Source,Target,Type
任务编号：1052803,数据采集,属于
任务编号：1045791,图像识别,属于
任务编号：1029121,数据采集,属于
任务编号：1066347,图像识别,属于
任务编号：1066346,图像识别,属于
任务编号：1066288,图像识别,属于
任务编号：1061773,数据存储,属于
任务编号：1050131,多媒体AI,属于
任务编号：1038608,人脸识别,属于
任务编号：1037042,其他人工智能,属于
任务编号：1059823,公司注册,属于
任务编号：1051534,商标注册,属于
任务编号：1068269,其他软件开发,属于
任务编号：1068204,采集工具,属于
任务编号：1068132,定制开发,属于
任务编号：1068032,前端开发,属于
任务编号：1067985,网站二次开发,属于
任务编号：1067891,其他软件开发,属于
任务编号：1067873,小程序开发,属于
任务编号：1067761,APP开发,属于
任务编号：1067531,APP开发,属于
任务编号：1067516,APP开发,属于
任务编号：1067457,定制开发,属于
任务编号：1067328,采集工具,属于
任务编号：1067230,脚本开发,属于
任务编号：1067104,脚本开发,属于
任务编号：1066826,小程序开发,属于
任务编号：1066561,企业官网,属于
任务编号：1066541,APP开发,属于
任务编号：1065991,小程序开发,属于
任务编号：1065940,APP开发,属于
任务编号：1065894,小程序开发,属于
任务编号：1065857,其他软件开发,属于
任务编号：1065530,小程序开发,属于
任务编号：1065519,网站二次开发,属于
任务编号：1065250,小程序开发,属于
任务编号：1065232,小程序开发,属于
任务编号：1065207,定制开发,属于
任务编号：1065096,其他软件开发,属于
任务编号：1065058,采集工具,属于
任务编号：1064834,商城建设,属于
任务编号：1064750,小程序开发,属于
任务编号：1064748,小程序开发,属于
任务编号：1063877,微信开发,属于
任务编号：1063842,小程序开发,属于
任务编号：1063813,嵌入式软件,属于
任务编号：1063781,小程序开发,属于
任务编号：1063552,APP开发,属于
任务编号：1063218,网站二次开发,属于
任务编号：1062999,APP开发,属于
任务编号：1063011,游戏建模,属于
任务编号：1062702,小程序开发,属于
任务编号：1062700,其他软件开发,属于
任务编号：1062588,小程序开发,属于
任务编号：1062479,小程序开发,属于
任务编号：1062473,企业官网,属于
任务编号：1062288,小程序开发,属于
任务编号：1062215,APP开发,属于
任务编号：1062119,APP开发,属于
任务编号：1061714,小程序开发,属于
任务编号：1061570,小程序开发,属于
任务编号：1061541,响应式网站,属于
任务编号：1061450,H5开发,属于
任务编号：1061418,游戏其他,属于
任务编号：1061350,小程序开发,属于
任务编号：1061154,小程序开发,属于
任务编号：1061095,网站UI设计,属于
任务编号：1060764,网站UI设计,属于
任务编号：1060738,APP开发,属于
任务编号：1060717,其他网站,属于
任务编号：1060663,小程序开发,属于
任务编号：1060144,前端开发,属于
任务编号：1059934,小程序开发,属于
任务编号：1059717,其他网站,属于
任务编号：1059613,网站UI设计,属于
任务编号：1059507,APP开发,属于
任务编号：1059506,其他软件开发,属于
任务编号：1059246,软件UI设计,属于
任务编号：1059162,H5开发,属于
任务编号：1058983,定制开发,属于
任务编号：1058816,软件UI设计,属于
任务编号：1058756,APP开发,属于
任务编号：1058743,网站UI设计,属于
任务编号：1058686,APP开发,属于
任务编号：1058635,后端开发,属于
任务编号：1058500,其他软件开发,属于
任务编号：1058482,APP开发,属于
任务编号：1058428,网站UI设计,属于
任务编号：1058403,小程序开发,属于
任务编号：1058258,小程序开发,属于
任务编号：1058238,定制开发,属于
任务编号：1058182,前端开发,属于
任务编号：1057937,测试服务,属于
任务编号：1057900,H5开发,属于
任务编号：1057825,小程序开发,属于
任务编号：1057675,网站二次开发,属于
任务编号：1057561,其他软件开发,属于
任务编号：1056513,小程序开发,属于
任务编号：1056446,企业官网,属于
任务编号：1056093,网站二次开发,属于
任务编号：1055981,小程序开发,属于
任务编号：1055974,其他管理软件,属于
任务编号：1055192,APP开发,属于
任务编号：1055131,VR场景,属于
任务编号：1054985,小程序开发,属于
任务编号：1054976,APP界面设计,属于
任务编号：1054342,H5开发,属于
任务编号：1054229,小程序开发,属于
任务编号：1054081,采集工具,属于
任务编号：1054023,小程序开发,属于
任务编号：1053995,小程序开发,属于
任务编号：1053921,APP开发,属于
任务编号：1053905,APP界面设计,属于
任务编号：1053480,小程序开发,属于
任务编号：1053272,软件UI设计,属于
任务编号：1053227,其他软件开发,属于
任务编号：1052510,软件UI设计,属于
任务编号：1052423,小程序开发,属于
任务编号：1052416,脚本开发,属于
任务编号：1052312,小程序开发,属于
任务编号：1052223,APP开发,属于
任务编号：1052017,H5开发,属于
任务编号：1051916,小程序开发,属于
任务编号：1051683,APP开发,属于
任务编号：1051479,小程序开发,属于
任务编号：1051237,小程序开发,属于
任务编号：1051151,采集工具,属于
任务编号：1051085,其他软件开发,属于
任务编号：1051005,小程序开发,属于
任务编号：1050824,定制开发,属于
任务编号：1050797,采集工具,属于
任务编号：1050701,APP开发,属于
任务编号：1050613,APP开发,属于
任务编号：1050594,APP开发,属于
任务编号：1050541,网站UI设计,属于
任务编号：1050395,网站UI设计,属于
任务编号：1050383,H5开发,属于
任务编号：1050227,区块链应用,属于
任务编号：1049583,APP开发,属于
任务编号：1049608,嵌入式软件,属于
任务编号：1049465,小程序开发,属于
任务编号：1049270,商城建设,属于
任务编号：1049251,小程序开发,属于
任务编号：1048644,小程序开发,属于
任务编号：1048404,小程序开发,属于
任务编号：1048349,APP开发,属于
任务编号：1048104,其他软件开发,属于
任务编号：1047961,网站UI设计,属于
任务编号：1047820,运维服务,属于
任务编号：1047714,APP开发,属于
任务编号：1047563,APP开发,属于
任务编号：1047564,APP界面设计,属于
任务编号：1047535,模板建站,属于
任务编号：1047461,软件UI设计,属于
任务编号：1047335,小程序开发,属于
任务编号：1047079,API接口,属于
任务编号：1047027,定制开发,属于
任务编号：1046796,APP开发,属于
任务编号：1046569,小程序开发,属于
任务编号：1046483,小程序开发,属于
任务编号：1046406,商城建设,属于
任务编号：1046282,APP开发,属于
任务编号：1046259,响应式网站,属于
任务编号：1046127,小程序开发,属于
任务编号：1046091,小程序开发,属于
任务编号：1046024,其他软件开发,属于
任务编号：1045813,软件UI设计,属于
任务编号：1045557,游戏建模,属于
任务编号：1045018,其他软件开发,属于
任务编号：1045017,其他软件开发,属于
任务编号：1045016,其他软件开发,属于
任务编号：1044991,APP开发,属于
任务编号：1044920,小程序开发,属于
任务编号：1044853,网站UI设计,属于
任务编号：1044713,手游开发,属于
任务编号：1044641,小程序开发,属于
任务编号：1044613,APP开发,属于
任务编号：1044545,其他软件开发,属于
任务编号：1044484,APP开发,属于
任务编号：1044284,PCBA,属于
任务编号：1044250,H5开发,属于
任务编号：1044225,运维服务,属于
任务编号：1044204,其他软件开发,属于
任务编号：1044067,其他工具软件,属于
任务编号：1044047,其他软件开发,属于
任务编号：1044030,软件UI设计,属于
任务编号：1044013,小程序开发,属于
任务编号：1043964,H5开发,属于
任务编号：1043912,门户网站,属于
任务编号：1043893,其他网站,属于
任务编号：1043874,网站UI设计,属于
任务编号：1043855,微信开发,属于
任务编号：1043712,APP开发,属于
任务编号：1043605,其他网站,属于
任务编号：1043433,小程序开发,属于
任务编号：1043352,电子设备,属于
任务编号：1043252,小程序开发,属于
任务编号：1042922,其他软件开发,属于
任务编号：1042938,小程序开发,属于
任务编号：1042957,企业官网,属于
任务编号：1042958,采集工具,属于
任务编号：1042948,脚本开发,属于
任务编号：1042554,电子设备,属于
任务编号：1042531,定制开发,属于
任务编号：1042153,小程序开发,属于
任务编号：1041996,模板建站,属于
任务编号：1041990,小程序开发,属于
任务编号：1041932,小程序开发,属于
任务编号：1041908,H5开发,属于
任务编号：1041805,网站UI设计,属于
任务编号：1041580,APP开发,属于
任务编号：1041556,后端开发,属于
任务编号：1041524,定制开发,属于
任务编号：1041475,小程序开发,属于
任务编号：1041465,其他软件开发,属于
任务编号：1040976,企业官网,属于
任务编号：1040857,其他软件开发,属于
任务编号：1040785,其他软件开发,属于
任务编号：1040776,前端开发,属于
任务编号：1040689,前端开发,属于
任务编号：1040472,H5开发,属于
任务编号：1040378,小程序开发,属于
任务编号：1040324,APP开发,属于
任务编号：1040148,APP界面设计,属于
任务编号：1040058,其他软件开发,属于
任务编号：1039600,产品原型设计,属于
任务编号：1039472,门户网站,属于
任务编号：1039409,小程序开发,属于
任务编号：1039339,软件UI设计,属于
任务编号：1039305,软件UI设计,属于
任务编号：1038986,模板建站,属于
任务编号：1038940,区块链应用,属于
任务编号：1038850,定制开发,属于
任务编号：1038729,APP开发,属于
任务编号：1038716,定制开发,属于
任务编号：1038640,小程序开发,属于
任务编号：1038440,微信开发,属于
任务编号：1038310,API接口,属于
任务编号：1038056,小程序开发,属于
任务编号：1038021,小程序开发,属于
任务编号：1037775,网站UI设计,属于
任务编号：1037714,APP开发,属于
任务编号：1037696,软件UI设计,属于
任务编号：1037590,营销型网站,属于
任务编号：1037336,APP开发,属于
任务编号：1037323,APP开发,属于
任务编号：1037242,商城建设,属于
任务编号：1037244,网站UI设计,属于
任务编号：1037101,小程序开发,属于
任务编号：1037041,定制开发,属于
任务编号：1036723,H5开发,属于
任务编号：1036565,小程序开发,属于
任务编号：1036228,小程序开发,属于
任务编号：1036193,响应式网站,属于
任务编号：1036191,定制开发,属于
任务编号：1036202,H5开发,属于
任务编号：1036097,其他工具软件,属于
任务编号：1035812,H5开发,属于
任务编号：1035342,小程序开发,属于
任务编号：1035206,小程序开发,属于
任务编号：1035183,小程序开发,属于
任务编号：1035010,APP开发,属于
任务编号：1034857,定制开发,属于
任务编号：1034819,采集工具,属于
任务编号：1034814,电商网站,属于
任务编号：1034751,小程序开发,属于
任务编号：1034738,SAAS软件,属于
任务编号：1034727,定制开发,属于
任务编号：1034609,脚本开发,属于
任务编号：1034350,小程序开发,属于
任务编号：1034276,SAAS软件,属于
任务编号：1034166,小程序开发,属于
任务编号：1034119,其他软件开发,属于
任务编号：1033908,其他软件开发,属于
任务编号：1033498,APP开发,属于
任务编号：1033499,其他软件开发,属于
任务编号：1033419,小程序开发,属于
任务编号：1033349,响应式网站,属于
任务编号：1033229,小程序开发,属于
任务编号：1033190,网站二次开发,属于
任务编号：1033176,小程序开发,属于
任务编号：1033164,安监系统软件,属于
任务编号：1032993,小程序开发,属于
任务编号：1032987,商城建设,属于
任务编号：1032903,其他软件开发,属于
任务编号：1031871,APP开发,属于
任务编号：1031761,小程序开发,属于
任务编号：1031725,小程序开发,属于
任务编号：1031609,网站二次开发,属于
任务编号：1031686,小程序开发,属于
任务编号：1031583,安监系统软件,属于
任务编号：1031421,其他软件开发,属于
任务编号：1031331,APP开发,属于
任务编号：1031228,小程序开发,属于
任务编号：1031040,H5开发,属于
任务编号：1031016,安监系统软件,属于
任务编号：1030667,H5开发,属于
任务编号：1030647,其他软件开发,属于
任务编号：1030550,手游开发,属于
任务编号：1030295,电商网站,属于
任务编号：1030236,小程序开发,属于
任务编号：1030137,手机网站,属于
任务编号：1030021,SAAS软件,属于
任务编号：1029895,其他软件开发,属于
任务编号：1029772,OA系统,属于
任务编号：1029739,小程序开发,属于
任务编号：1029721,小程序开发,属于
任务编号：1029515,SAAS软件,属于
任务编号：1029504,H5开发,属于
任务编号：1029188,前端开发,属于
任务编号：1028780,其他软件开发,属于
任务编号：1028755,SAAS软件,属于
任务编号：1028673,响应式网站,属于
任务编号：1028615,软件UI设计,属于
任务编号：1028551,其他软件开发,属于
任务编号：1028342,网站二次开发,属于
任务编号：1028237,分销管理软件,属于
任务编号：1028238,APP开发,属于
任务编号：1028173,小程序开发,属于
任务编号：1028124,企业官网,属于
任务编号：1028065,小程序开发,属于
任务编号：1027976,门户网站,属于
任务编号：1027597,APP开发,属于
任务编号：1027554,SAAS软件,属于
任务编号：1027542,小程序开发,属于
任务编号：1027537,小程序开发,属于
任务编号：1027510,网站UI设计,属于
任务编号：1027499,SAAS软件,属于
