标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【人脸识别】ai换脸直播软件,https://task.epwk.com/1122480/,94人,0人,1000-3000元,投标中,招标,A任务编号：1122480,联系人：朱先生需求：ai换脸直播软件源码 只要源码开源(方便二开)，预算 2000 加急,2025-05-15,,任务编号：1122480,1000.0,,,B任务编号：1122480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人脸识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【图像识别】反向图片检索,https://task.epwk.com/1120044/,286人,2人,3000-5000元,工作中,招标,A任务编号：1120044,根据拍的2D照片，检索数据库里面的图片，做对比给反馈信息，细节电话沟通,2025-04-23,,任务编号：1120044,5000.0,15天,北京市-北京市,B任务编号：1120044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【图像识别】识别液压表盘制作,https://task.epwk.com/1117480/,467人,5人,5000-10000元,选标中,招标,A任务编号：1117480,"识别类似表盘的刻度,根据照片识别结果",2025-04-03,,任务编号：1117480,8000.0,60天,广东省-广州市,B任务编号：1117480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,图像识别,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【数据处理】对图片表格进行OCR识别并转换格表头,https://task.epwk.com/1118194/,310人,3人,1000-3000元,圆满完成,招标,黑鹰00一品,开发一个自动化的程序，每天将十多份不同格式的图片报价格进行OCR识别，并转换为指定表头的数据格式，以markdown格式保存。图片格式的报价表和数据样式见附件。,2025-04-10,2025.05.09,任务编号：1118194,1500.0,15天,浙江省-嘉兴市,塞坦科技,https://shop.epwk.com/j7n38j8425e1/,塞坦科技,出售服务,https://shop.epwk.com/j7n38j8425e1/chushou/,企业,五品,64分,总 5 次中标，交易总金额,￥1.64万,塞坦科技,,仓库管理系统WMS,价格面议,AI工业视觉,价格面议,客户关系管理系统CRM,价格面议,企业信息系统,价格面议,教育信息化系统,价格面议,电子商务平台,价格面议,app软件开发,价格面议,erp系统开发,价格面议,软件定制开发,价格面议,数据处理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI接口】视频大模型开发,https://task.epwk.com/1117899/,407人,1人,5000-10000元,圆满完成,招标,ppt达人孙文,生成数字人,2025-04-08,2025.04.08,任务编号：1117899,6000.0,2天,上海市-市辖区,创码天地,https://shop.epwk.com/rp5z4vygwdx3/,创码天地,出售服务,https://shop.epwk.com/rp5z4vygwdx3/chushou/,个人,五品,57分,总 5 次中标，交易总金额,￥1.24万,创码天地,,,,,,,,,,,,,,,,,,,,AI接口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【智能体训练】法律问答智能体训练,https://task.epwk.com/1119640/,52人,1人,5000-10000元,圆满完成,招标,k1999****0,"1、我需要训练一个法律问答智能体。
2、得让它熟悉各类法律法规，像民法、刑法等。
3、能精准解答常见法律问题，如合同纠纷、劳动争议等。",2025-03-05,2025.03.21,任务编号：1119640,10000.0,7天,广东-广州市-市辖区,霸气横秋,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,智能体训练,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI模型训练】AI大模型训练,https://task.epwk.com/1119639/,89人,1人,2万-5万元,圆满完成,招标,k6226****5,擅长AI大模型训练，AI开发，或者AI问诊的团队联系，要求北京，上海，广州，南京，合肥的技术公司联系，项目比较急,2025-03-04,2025.03.20,任务编号：1119639,50000.0,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI模型训练,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI课程培训】实用的Python编程AI课程培训,https://task.epwk.com/1119631/,28人,1人,1万-2万元,圆满完成,招标,k6356****9,Python编程的AI课程培训。希望课程从基础语法教起，涵盖数据结构、函数、模块等知识。能用 AI 进行实例演示和代码纠错，布置适量作业并给予详细批改反馈。,2025-02-14,2025.03.05,任务编号：1119631,20000.0,8天,山西-太原市-市辖区,o60ee5c95d80c4,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI课程培训,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【数据分析】AI数据分析软件开发,https://task.epwk.com/1119630/,35人,2人,2万-5万元,圆满完成,招标,k4183****2,"称呼:陈先生
地区:上海
需求:AI数据分析软件开发，B2B加密货币增涨趋势的分析，类似股票分析软件，要上海或者周边的技术公司联系，12.13号要面谈的，具体详谈",2025-02-11,2025.03.01,任务编号：1119630,50000.0,"9天,9天","广东-深圳市-市辖区,山西-太原市-市辖区",浅末工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,数据分析,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
【AI实战项目】电商个性化推荐的AI实战项目,https://task.epwk.com/1119717/,15人,1人,5000-10000元,圆满完成,招标,k4743****0,"1、我们电商平台要做个性化推荐项目。
2、需分析用户浏览、购买等行为数据，精准推荐商品。
3、推荐结果要符合用户喜好，提高购买转化率。
4、能实时更新推荐内容，适应商品上新和用户兴趣变化，提升用户购物体验和平台销售额。",2025-02-08,2025.03.01,任务编号：1119717,10000.0,7天,湖北-武汉市-市辖区,o5859e2d96a608,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI实战项目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025
