需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122732,B任务编号：1122732,任务编号：1122732,其他人工智能,100.0,2025-05-17
k2797****1,故事老酒,任务编号：1119719,大模型应用,50000.0,2025-03-14
k9765****7,caijunxiong,任务编号：1119718,AI服务咨询,5000.0,2025-03-01
k7161****6,兮风夜影,任务编号：1119714,私有化部署,3000.0,2025-02-11
mf186****0643,果田科技 100%好评服务商,任务编号：1107749,数据处理,5000.0,2025-02-10
威高qzkLo,老郭的AI程序铺,任务编号：1105171,AI接口,48000.0,2025-01-20
k4873****3,夢里飄雪,任务编号：1119713,智能体搭建,3000.0,2025-01-13
k4743****0,十分逆天,任务编号：1116483,AIGC技术,15000.0,2025-01-11
k2246****0,颠覆風雲,任务编号：1119711,智能客服,10000.0,2025-01-11
k1282****3,凉辰梦瑾,任务编号：1119710,AI设计,8000.0,2025-01-10
k6697****1,浪漫使者,任务编号：1116491,语音识别,13000.0,2025-01-09
k2938****5,无敌帅锅,任务编号：1116490,语音识别,10000.0,2025-01-07
jueban123,海创博达,任务编号：1093427,其他人工智能,13000.0,2024-10-09
水上景色,唐图网络科技有限公司,任务编号：1066347,图像识别,25000.0,2023-12-08
水上景色,唐图网络科技有限公司,任务编号：1066346,图像识别,15000.0,2023-12-08
vitorru,灵耘AI,任务编号：1066288,图像识别,15000.0,2023-12-07
丞相xseQp,广州召隆信息技术有限公司,任务编号：1061773,数据存储,12000.0,2023-10-26
k9388****15,湖南众智互联,任务编号：1050131,多媒体AI,27200.0,2023-07-19
lxg1658,和若科技,任务编号：1038608,人脸识别,800.0,2023-04-27
威赞1IE8P,小小菜网络,任务编号：1037042,其他人工智能,1000.0,2023-04-15
o592ba50e8a87a,空然工作室,任务编号：1025301,数据采集,2500.0,2022-12-18
铸威AfdHR,o63025e334f946,任务编号：1022320,数据采集,200.0,2022-11-19
威友GFBSd,创梦科技工作室,任务编号：1021210,数据采集,200.0,2022-11-09
铸威AfdHR,武汉动阅科技有限公司,任务编号：1020642,数据采集,300.0,2022-11-04
E企航7MWPr,创梦科技工作室,任务编号：1019903,数据采集,300.0,2022-10-30
o61ea26d8479fa,泾县云顶文化传媒有限公司,任务编号：982186,图像识别,800.0,2022-02-15
优觅K1mu5,南京领尚信息科技有限公司,任务编号：972472,数据处理,400.0,2021-12-01
o60959bf885035,北京万比邻科技,任务编号：951510,数据采集,1500.0,2021-08-23
o58a84c4386f4e,微企邦网络科技,任务编号：927793,数据采集,5000.0,2021-04-03
o60389e9e4659e,蓬方洲软件开发工作室,任务编号：921567,数据采集,1000.0,2021-03-01
o5dc96c831739f,湖南鑫强科技有限公司,任务编号：811547,其他人工智能,5000.0,2019-11-11
o5c66c064b8b8b,华夏太和,任务编号：786829,数据采集,500.0,2019-08-25
同八字网,北京万比邻科技,任务编号：779740,数据采集,500.0,2019-08-06
o5c6b723ddddc3,武汉两点半网络技术有限公司,任务编号：775575,数据采集,200.0,2019-07-24
o5d231b3e5ed81,莱悦科技工作室,任务编号：770736,数据采集,300.0,2019-07-12
o59636f292b161,dyq666,任务编号：770536,数据采集,100.0,2019-07-11
o5b989407eb59b,深圳云鹊科技有限公司,任务编号：758844,数据采集,9600.0,2019-06-12
o5ce1****6379c,云铭科技,任务编号：749025,数据采集,1000.0,2019-05-19
o5c1339db5d20c,博妍科技,任务编号：732360,数据采集,3000.0,2019-04-09
o5c9cac5b4858b,专业数据采集服务,任务编号：728844,数据采集,3000.0,2019-03-31
o5ae5b3d996f0b,光辉岁月软件工作室,任务编号：727393,数据采集,500.0,2019-03-27
o5c96f1b5e7391,广州圆熙信息技术有限公司,任务编号：725744,数据采集,1500.0,2019-03-24
大狸猫,大葱店铺,任务编号：614617,数据采集,200.0,2018-05-16
o5ae67cbea6849,UPUP,任务编号：611892,数据采集,100.0,2018-05-09
