需求方,设计师,任务编号,能力标签,交易价格,发布时间
秒回客KPUQM,于男,任务编号：1088288,国际商标,100.0,2024-08-02
威风志XpZby,Frankhhhyyy,任务编号：1059823,公司注册,200.0,2023-10-09
lxm1971,微时代snz0M,任务编号：984692,商标注册,500.0,2022-03-03
o5fe8948a21993,Y力拔山兮气盖世,任务编号：912202,公司注册,100.0,2020-12-27
o5f4b****77571,o5ebe00ed26a5e,任务编号：890092,商标注册,158.0,2020-09-04
zpp2068,平川技艺研究所,任务编号：879559,公司注册,100.0,2020-07-21
o5ee44a9aa52d7,RamonHe,任务编号：870227,公司注册,150.0,2020-06-13
o5d22c6d1afdf2,o5e7586c677179,任务编号：846156,商标注册,100.0,2020-03-21
顾文林,小表表弟,任务编号：758885,公司注册,300.0,2019-06-12
htkm,柳伟工作室,任务编号：702874,商标注册,200.0,2019-01-14
topbird,比柯思网络科技,任务编号：675190,商标注册,200.0,2018-10-27
o5a9f748a1595e,天山童姥来了,任务编号：587860,公司注册,150.0,2018-03-07
Mr186****8812,o5a921c362ed02,任务编号：584405,外观设计专利,500.0,2018-02-26
o5556c1818c016,mf18811353659,任务编号：386134,公司注册,100.0,2015-10-20
中华寿面,艺尚,任务编号：258495,商标注册,360.0,2014-04-25
