需求方,设计师,任务编号,能力标签,交易价格,发布时间
青山绿水阳光,o5e4354fc8013e,任务编号：913700,测试服务,100.0,2021-01-06
青山绿水阳光,大众IT,任务编号：913700,测试服务,100.0,2021-01-06
Mr138****3377,华上设计,任务编号：729134,网站UI设计,800.0,2019-04-01
Mr138****3377,o5ad87e025013f,任务编号：729134,网站UI设计,800.0,2019-04-01
edwinyabo,马克品牌设计,任务编号：711435,APP界面设计,10000.0,2019-02-16
edwinyabo,杭州硬壳文化创意有限公司,任务编号：711435,APP界面设计,10000.0,2019-02-16
Wilsonchen,一创设计,任务编号：598922,产品原型设计,500.0,2018-04-04
Wilsonchen,o5aac7582b7a53,任务编号：598922,产品原型设计,500.0,2018-04-04
o57e233af02e61,小众设计工作室,任务编号：573575,网站UI设计,1200.0,2018-01-15
o57e233af02e61,广州搏锋,任务编号：573575,网站UI设计,1200.0,2018-01-15
o59a9****1746e,o59c855c09a6d0,任务编号：542497,网站UI设计,300.0,2017-10-11
o59a9****1746e,o59ce12a89245c,任务编号：542497,网站UI设计,300.0,2017-10-11
mf137****7146,仕雅传媒,任务编号：445785,网站UI设计,950.0,2016-09-12
mf137****7146,网络服务商,任务编号：445785,网站UI设计,950.0,2016-09-12
匹诺曹,鼎峰设计,任务编号：443975,网站UI设计,100.0,2016-09-03
匹诺曹,column的店铺,任务编号：443975,网站UI设计,100.0,2016-09-03
o56cfa76ad6998,竹叶常青设计工作室,任务编号：411196,网站UI设计,300.0,2016-03-22
o56cfa76ad6998,碧青设计,任务编号：411196,网站UI设计,300.0,2016-03-22
厦门希骏,林点商业设计空间,任务编号：325378,软件UI设计,1000.0,2014-12-31
厦门希骏,G.D.s,任务编号：325378,软件UI设计,1000.0,2014-12-31
hbjsjdq,简约艺术,任务编号：251033,网站UI设计,300.0,2014-03-07
hbjsjdq,宏仁设计工作室,任务编号：251033,网站UI设计,300.0,2014-03-07
