需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：316179,B任务编号：316179,任务编号：316179,其他工具软件,2000.0,2014-11-13
A任务编号：315162,B任务编号：315162,任务编号：315162,APP开发,100.0,2014-11-07
A任务编号：314834,B任务编号：314834,任务编号：314834,其他软件开发,700.0,2014-11-06
A任务编号：304744,B任务编号：304744,任务编号：304744,其他软件开发,3000.0,2014-09-07
北漂有家,汇世纪网络科技,任务编号：1121752,APP开发,6000.0,2025-05-09
k5165****69,厦门阿古瑶,任务编号：1121679,小程序开发,3000.0,2025-05-08
az566****,北京北宸星科技文化有限公司,任务编号：1121256,APP开发,6000.0,2025-05-06
o5c0e2646bb02d,旗铭玉保定市软件开发,任务编号：1121231,后端开发,500.0,2025-05-05
靓荐14tl2,杭州华舰信息技术有限公司,任务编号：1121047,APP开发,15000.0,2025-05-01
威鹤FYMRo,缇讯科技(上海)有限公司,任务编号：1120961,小程序开发,9000.0,2025-04-30
k6309****91,JURENKEJI,任务编号：1120942,小程序开发,6000.0,2025-04-29
水上景色,大连微图知行科技有限公司,任务编号：1120668,APP开发,36000.0,2025-04-28
k4222****44,湖南百用网络科技有限公司,任务编号：1120663,APP开发,500.0,2025-04-28
liuqiyue,艺欣科技工作室,任务编号：1120461,采集工具,1300.0,2025-04-26
威高vSWs9,德州悠扬信息科技有限公司,任务编号：1120435,采集工具,380.0,2025-04-26
boonsue,猎隼开发者,任务编号：1120384,小程序开发,41000.0,2025-04-25
mf158****8733,旗铭玉保定市软件开发,任务编号：1120174,定制开发,2000.0,2025-04-24
云嘉嘉lC7V3,慧兴科技,任务编号：1120079,小程序开发,5000.0,2025-04-23
vitorru,江苏执笔科技有限公司,任务编号：1119916,小程序开发,3000.0,2025-04-23
o5c988162ef72a,码链云舟,任务编号：1119700,APP界面设计,300.0,2025-04-21
化工攻城狮,智码科技,任务编号：1119681,脚本开发,500.0,2025-04-21
o5f6d607cb1281,初简馨网络,任务编号：1119601,小程序开发,6000.0,2025-04-21
vitorru,毛利网络,任务编号：1119087,APP开发,16000.0,2025-04-17
k5737****97,毕米科技工作室,任务编号：1118954,小程序开发,9600.0,2025-04-16
尚品4atjK,智码科技,任务编号：1118945,网站二次开发,1200.0,2025-04-16
聚盘6JfOp,缇讯科技(上海)有限公司,任务编号：1118826,小程序开发,2000.0,2025-04-15
o5f6d607cb1281,初简馨网络,任务编号：1118798,小程序开发,1700.0,2025-04-15
k4215****76,杭州动动脑智能软件,任务编号：1118771,小程序开发,3000.0,2025-04-15
o5f6d607cb1281,工匠网络,任务编号：1118662,小程序开发,5520.0,2025-04-14
徐乂乂,北京维拓软件工作室,任务编号：1118639,小程序开发,2400.0,2025-04-14
小二威威NwF09,v助利32VC7,任务编号：1118457,其他软件开发,200.0,2025-04-12
威风志cf5HO,悦深科技2018,任务编号：1118335,小程序开发,5400.0,2025-04-11
叶摩拉2Ksam,缇讯科技(上海)有限公司,任务编号：1118236,运维服务,1000.0,2025-04-10
vitorru,赛特网络--专注20多年的网络增值服务商,任务编号：1118186,小程序开发,5580.0,2025-04-10
水上景色,悦心互娱科技,任务编号：1118153,APP开发,4720.0,2025-04-10
杭州浔宸,游狸猫动画-三维技术服务,任务编号：1118001,游戏建模,3300.0,2025-04-09
水上景色,悦心互娱科技,任务编号：1117934,APP开发,20000.0,2025-04-08
水上景色,深圳宏佑兄弟工作室,任务编号：1117897,APP开发,3500.0,2025-04-08
k2472****39,大连星芒计算机软件有限公司,任务编号：1117786,小程序开发,17000.0,2025-04-07
威惠创SCOwW,北京北宸星科技文化有限公司,任务编号：1117608,小程序开发,120.0,2025-04-05
k1052****04,硕博明睿科技有限公司,任务编号：1117492,小程序开发,3000.0,2025-04-03
徐乂乂,北京维拓软件工作室,任务编号：1117372,APP开发,2400.0,2025-04-02
威上帝6wq90,跃腾开发团队,任务编号：1117254,小程序开发,500.0,2025-04-01
vitorru,广东起搏网络科技有限公司,任务编号：1117178,APP开发,16820.0,2025-03-31
vitorru,聚辉科技,任务编号：1117137,小程序开发,15600.0,2025-03-31
星享事成QT0YD,夜猫工作室,任务编号：1117092,APP开发,4500.0,2025-03-31
vitorru,苏州闰元网络科技有限公司,任务编号：1116901,APP开发,10000.0,2025-03-28
xunxin2019,鼎慧科技软件定制开发,任务编号：1116728,小程序开发,7500.0,2025-03-27
水上景色,北京机智创新科技有限公司,任务编号：1116639,APP开发,6000.0,2025-03-26
k8873****78,正都科技,任务编号：1116604,小程序开发,10000.0,2025-03-26
vitorru,广东起搏网络科技有限公司,任务编号：1116530,小程序开发,12596.0,2025-03-25
水上景色,赛特网络--专注20多年的网络增值服务商,任务编号：1116500,小程序开发,6400.0,2025-03-25
