标题,标题链接,查看数,参与数,需求价格,需求方,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,设计师,能力标签
【APP开发】腾龙国际APP平台tl7138com手游,https://task.epwk.com/1058891/,385人,5人,¥510,xbs123,510.0,￥12,2023-09-26,一，要求不被平台删除。二，所发贴的平台百度权重为1。三，贴子内容以附件为准。四，计件，4天后审合五，所有搞件须提供搞件的有效连接，打不开或者被删除不算。,任务编号：1058891,"工作室 |            
            小小龙儿",熙一,威迈力tLbnT,居多牧UywNh,,,,,,,B任务编号：1058891,APP开发
【APP开发】使用github账户领取额度，一个账户5元,https://task.epwk.com/990769/,2638人,0人,¥501,特服kFXhu,501.0,,2022-04-09,要求流程：一、打开网站https://verify.glif.io/二、点“start”三、登录github账户四、输入地址（每个github账户对应不同的地址，从附件中选择一个），并点击“Requsdt”五、等待完成，出现success，这个页面截图上传，代表完成任务，如果没有成功，请更换第四步中的地址。六、如果自己有多个github账户，可以清空浏览器缓存，换第二个github账户，开始领取，因为没有退出账户功能，只能清空浏览器缓存来更换账户交稿格式上传上述流程中第五步success页面截图,任务编号：990769,,,,,,,,,,,B任务编号：990769,APP开发
【影音播放】简单看视频，可长期做,https://task.epwk.com/943270/,1328人,2人,¥600,o5c15056d13a8f,600.0,￥12,2021-07-07,"一，步骤：第1步：打开手机浏览器扫描下方快手极速版二维码下载安装快手极速版（也可以自行去应用商店下载然后填写邀请码：393286450）第2步：打开【快手极速版】填写我的邀请码：393286450；被邀请成功后截图被谁邀请,要与我账号有关；第3步：完成注册与邀请后，连续2天看完至少6个视频，并截图,并关注我的快手号。第4步：昵称界面带快手号截图方便审核一个手机只能填写一次，用应用分身无效。一个一品威客账号只能参加一次交稿格式：注册日期+一共3张截图（快手昵称和ID界面截图+被谁邀请成功的截图+首页看完6个视频的截图）",任务编号：943270,o60e5a1cf11b70,o60dd547f5ce97,,,,,,,,,B任务编号：943270,影音播放
【小程序开发】连续三天看10分钟视频，秒审,https://task.epwk.com/940755/,2634人,13人,¥500,北初,500.0,,2021-06-22,第一步：打开微信，扫描下方附件中的哔哩哔哩二维码图片【必须是没有注册过b站的手机号扫描】第二步：然后打开bilibili登陆，必须要用刚才海报里填的本机手机号注册，第三步：登陆b站后 设置更改备注名（不设置过不了审），截图保存第四步：             连续3天每天看视频10分钟及以上！（不能间断，不然无效）             连续3天每天看视频10分钟及以上！（不能间断，不然无效）             连续3天每天看视频10分钟及以上！（不能间断，不然无效）交稿步骤：截图您的Bilibili账号页面（就是第三步）+关注我的bilibili截图（我的bilibili账号：北初zzq）（共2张）  注意事项：1，一个手机只能填写一次，用应用分身无效。2，只能是没有注册过b站的手机。新用户才能生效3，审核以后台为准。,任务编号：940755,,,,,,,,,,,B任务编号：940755,小程序开发
【APP开发】正规APP注册 1单3元,https://task.epwk.com/937706/,1775人,6人,¥600,o60b4df7c59a40,600.0,￥12,2021-06-01,一：下载“爱奇艺极速版”，注册登录，点击下方“赚钱”--“填写邀请码”--填写邀请码223312652二：第二天登录看视频一分钟，第三天登录看视频一分钟交稿格式：将“我的”页面截图，用户名清晰可见注：仅限第一次下载爱奇艺极速版的新用户（下载注册过爱奇艺和爱奇艺随刻版等版本的用户，都不是新用户，不能参加此任务），为防止刷号，每个一品账号仅限提交一次稿件,任务编号：937706,三金七七,o5f87ea5a0636f,o60b75a39834a2,相守是最浪漫的承诺,,,,,,,B任务编号：937706,APP开发
【其他工具软件】app下载注册，长期有效，急,https://task.epwk.com/830868/,2376人,42人,¥500,o5e19f9a7ddf97,500.0,￥149.85,2020-01-12,第一步：打开微信，扫描下方附件中的二维码图片第二步：下载安装注册登录第三步：登陆1天截图任务要求：注册好登入账号在（我的）截图即算完成。截图必须清晰，能清楚的看到用户的ID号码。（只需截图一张即可）一个一品账号限参加一次，重复提交无效。重要提醒：在参与任务的过程中，请勿进行支付转款，填写身份证、银行卡等个人隐私信息，一切以做任务为由的付费原因，平台均不受理，请参与者注意交易安全,任务编号：830868,"个人 |            
            slosao",o5e1ada192149a,"工作室 |            
            luo0710",wjiaocy,wyfxa,o5e1addf25d836,"个人 |            
            一颗冰心",亲亲宝贝儿,安美人,阿碧姑娘,B任务编号：830868,其他工具软件
【APP开发】下载App输入验证码即可领取佣金三元,https://task.epwk.com/806360/,2539人,5人,¥501,军团龍骑士,501.0,￥12,2019-10-25,"任务需求第一步：打开微信，扫描下方附件中的玩转星球二维码图片第二步：点击浏览器下载玩转星球APP安装并注册登录（也可自己从手机APP下载该软件）第三步:连续登入三天（防止不良用户新媒体推广）任务要求：1，提交输入我邀请码A6560562562的图片，2,不明白用户可以加我QQ471755290咨询.(晚上7点在线)交稿格式：提交输入我邀请码A6560562562的页面即可领取佣金，连续登入三天后台可查.（APP必须从本任务首次下载才可交稿）（注意：为恶意防止运营推广，本任务仅限未注册过该软件用户,每人每个手机号码仅限提交一次注册在别人那里注册过的无效）,第二步：点击浏览器下载玩转星球APP安装并注册登录（也可自己从手机APP下载该软件）第三步:连续登入三天（防止不良用户新媒体推广）任务要求：1，提交输入我邀请码A6560562562的图片，2,不明白用户可以加我QQ471755290咨询.(晚上7点在线)交稿格式：提交输入我邀请码A6560562562的页面即可领取佣金，连续登入三天后台可查.（APP必须从本任务首次下载才可交稿）（注意：为恶意防止运营推广，本任务仅限未注册过该软件用户,每人每个手机号码仅限提交一次注册在别人那里注册过的无效）",任务编号：806360,o5da176b66415d,疯疯癫癫傻傻,w2354852822,"个人 |            
            殇璃小铺",,,,,,,B任务编号：806360,APP开发
【微信开发】小程序邀请新人20人为一稿！！！,https://task.epwk.com/777891/,3465人,4人,¥501,o579a****55672,501.0,￥9,2019-07-31,"发布要求：1、您可以通过附件图片里的 小程序 我的里面有一个“分享邀请” 或者 ""小程序码"" 等邀请方式进行邀请新人。2、分享邀请，需要发给指定的人或者群，不限制大小。3、小程序码邀请，可以直接让别人扫，或者发送到朋友圈，让人扫。4、两种方式的邀请新人的数量都会显示在 “我的邀请”里面的数字。5、如果满足20人，则截图我的界面发送过来，即可被审核。验收标准：提交任务的时候请上传一张截图：小程序 “我的“ 直接截屏，上传即可（此图带有邀请人数）。",任务编号：777891,o5d56b0d33c697,o5d5f4dbe49005,o5d6626c6a6f78,,,,,,,,B任务编号：777891,微信开发
【游戏代练】花生日记邀请码下载注册,https://task.epwk.com/723899/,3749人,32人,¥500,A2W3QVO,500.0,￥208,2019-03-19,条件：1、手机通过提供的花生日记邀请码   A2W3QVO   注册下载花生日记APP，注册成功即可，可以推荐身边人下载 ，多劳多得              2、推广对象：淘宝用户群            3、交稿条件：注册成功截图，提供注册用户的手机号码前三位，后四位，格式如：159****4678佣金：一个有效注册得佣金4元。            邀请您加入花生日记，自动搜索淘宝天猫优惠券！先领券，再购物，更划算！-------------app下载链接： http://url.cn/5KRkJq6-------------复制这条信息∞A2W3QVO∞打开花生日记，注册领取优惠券,任务编号：723899,"个人 |            
            denglong","个人 |            
            denglong","工作室 |            
            小小龙儿","工作室 |            
            luo0710","个人 |            
            slosao","个人 |            
            慕容苓泽","工作室 |            
            小小龙儿",Ricky1991,"工作室 |            
            luo0710","个人 |            
            slosao",B任务编号：723899,游戏代练
【游戏代练】仅注册10秒就交稿3元/稿，可长期做,https://task.epwk.com/718471/,30762人,138人,¥530,三只鹅,530.0,￥210.7,2019-03-07,本网站可免费试玩，免费赚 钱，本任务要求仅注册，10秒完成。任务步骤和要求： 1、注册地址  http://www.jujuwan.com/153875（请将此链接复制到 浏览器网址上打开页面，按提示完善资料，奖励3元）2、在新人专区，把3元提出来。3、交稿，截图 （网站提3元+赏金3元=6元）。本网站可长期做，如你注册后还可在网站免费赚 钱。我还会额外给100元奖励。,任务编号：718471,"个人 |            
            起名设计",wmk813439648,sxy2033,埋头苦干11,"个人 |            
            七彩屋",o5c1cc25332f5d,o5c7bc89c95172,"工作室 |            
            鼎峰网络推广传媒",小企鹅工作室,o5c81c6eb4125c,B任务编号：718471,游戏代练
