需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1121726,B任务编号：1121726,任务编号：1121726,营销推广软文,800.0,2025-05-09
A任务编号：1119424,B任务编号：1119424,任务编号：1119424,广告策划,1000.0,2025-04-18
A任务编号：1076350,B任务编号：1076350,任务编号：1076350,宣传策划,1000.0,2024-04-07
A任务编号：1039321,B任务编号：1039321,任务编号：1039321,品牌起名,200.0,2023-05-05
k7625****96,腾际品牌管理,任务编号：974916,商业提案,3500.0,2021-12-16
k8820****58,品创科技（新媒体）官方旗舰店,任务编号：974840,产品卖点,2000.0,2021-12-16
k6180****03,腾际品牌管理,任务编号：970412,产品卖点,300.0,2021-11-19
k9368****70,利宏营销策划,任务编号：968866,产品卖点,1000.0,2021-11-10
A任务编号：850064,B任务编号：850064,任务编号：850064,营销推广软文,800.0,2020-04-04
A任务编号：821032,B任务编号：821032,任务编号：821032,广告策划,1000.0,2019-12-12
A任务编号：702071,B任务编号：702071,任务编号：702071,宣传策划,200.0,2019-01-11
A任务编号：599469,B任务编号：599469,任务编号：599469,产品卖点,600.0,2018-04-07
A任务编号：533197,B任务编号：533197,任务编号：533197,宣传策划,1000.0,2017-09-08
A任务编号：512942,B任务编号：512942,任务编号：512942,品牌故事,260.0,2017-06-27
A任务编号：510360,B任务编号：510360,任务编号：510360,产品卖点,900.0,2017-06-17
A任务编号：407272,B任务编号：407272,任务编号：407272,宣传策划,280.0,2016-03-02
A任务编号：317821,B任务编号：317821,任务编号：317821,百科/问答撰写,100.0,2014-11-21
fleaphpnet,亿帆文创,任务编号：1110514,编辑校对,500.0,2025-02-24
友森联创,千机阁软件开发,任务编号：1105124,项目策划,100.0,2025-01-20
fleaphpnet,亿帆文创,任务编号：1101557,专业代笔,200.0,2024-12-27
k2157****40,本能咨询工作室,任务编号：1088110,产品卖点,500.0,2024-08-01
k8782****1,苏州熊猫创意科技有限公司,任务编号：1116481,活动文案,500.0,2024-06-06
k4863****9,威和pIRtt,任务编号：1115850,广告口号,300.0,2024-05-24
k1361****1,皓月烟云,任务编号：1115844,活动文案,500.0,2024-05-13
k1330****1,一濒箫声,任务编号：1115839,客户案例,800.0,2024-05-05
k6988****3,傲世有限公司,任务编号：1115841,行业分析报告,1500.0,2024-04-13
k5799****1,十分逆天,任务编号：1115848,广告口号,300.0,2024-04-05
k2215****6,故事老酒,任务编号：1098944,详情页文案,1500.0,2024-03-22
k6093****1,一濒箫声,任务编号：1098934,行业分析报告,1000.0,2024-03-17
k4480****1,精品logo设计,任务编号：1098931,公众号文章,500.0,2024-03-15
k8566****1,故事老酒,任务编号：1098952,自媒体软文,500.0,2024-03-12
k8323****2,苏州熊猫创意科技有限公司,任务编号：1098940,种草文案,1500.0,2024-03-04
k4142****5,皓月烟云,任务编号：1098946,公关稿,1500.0,2024-02-23
k7619****9,木雪涯设计工作室,任务编号：1098930,公众号文章,800.0,2024-02-16
k8505****3,皓月烟云,任务编号：1098939,种草文案,800.0,2024-02-07
k5910****1,威和pIRtt,任务编号：1098947,公关稿,800.0,2024-02-05
k2529****1,皓月烟云,任务编号：1098951,自媒体软文,500.0,2024-02-03
顺景移民,悟喜丨品牌连锁定制,任务编号：1069968,商业提案,3000.0,2024-01-17
秒回客zhOlt,利宏营销策划,任务编号：1065501,产品卖点,800.0,2023-11-29
威多宝Lwcme,利宏营销策划,任务编号：1053639,其他内容创作,200.0,2023-08-14
墨语丹心,利宏营销策划,任务编号：1052430,其他内容创作,3000.0,2023-08-04
际尊服RnPJe,河南翼代码信息科技有限公司,任务编号：1049901,专业代笔,3000.0,2023-07-18
vitorru,花成蜜就,任务编号：1049769,商业提案,500.0,2023-07-17
威惠创s7eBr,利宏营销策划,任务编号：1041064,品牌故事,800.0,2023-05-16
风速阁XOKpy,利宏营销策划,任务编号：1041067,专业代笔,600.0,2023-05-16
k7742****99,利宏营销策划,任务编号：1039582,商业提案,1400.0,2023-05-08
k3617****09,众腾传媒,任务编号：1039471,其他内容创作,10000.0,2023-05-06
k3332****18,BOMUNI工作室,任务编号：1033068,商业提案,800.0,2023-03-16
yuuy999,利宏营销策划,任务编号：1029763,品牌故事,2000.0,2023-02-17
k2481****29,本能咨询工作室,任务编号：1028388,商业提案,2900.0,2023-02-06
chtf5023,亘鼎文化,任务编号：1028315,其他内容创作,600.0,2023-02-05
k7497****07,利宏营销策划,任务编号：1026532,产品卖点,300.0,2023-01-05
o5fb7f3ce41544,利宏营销策划,任务编号：1024516,宣传策划,1000.0,2022-12-10
k7497****07,利宏营销策划,任务编号：1021108,产品卖点,1400.0,2022-11-09
qiu3982,利宏营销策划,任务编号：1020618,专业代笔,800.0,2022-11-04
o62e87c386aef1,花成蜜就,任务编号：1008222,其他内容创作,800.0,2022-08-02
k1864****88,利宏营销策划,任务编号：1006501,产品卖点,1000.0,2022-07-21
o5ecb413fb4dc3,利宏营销策划,任务编号：1003074,专业代笔,1500.0,2022-06-30
o5f499d18743ca,利宏营销策划,任务编号：998849,商业提案,3800.0,2022-06-02
o626e50b5b1d9a,鲸叹号●爆款产品包装设计,任务编号：998425,其他内容创作,800.0,2022-05-30
威府SeDhd,利宏营销策划,任务编号：997003,宣传策划,3000.0,2022-05-20
高地密码UnGE4,96元创商业文案策划,任务编号：994116,品牌故事,500.0,2022-04-30
k9382****99,利宏营销策划,任务编号：986919,商业提案,1000.0,2022-03-17
o6220b74cbafb1,利宏营销策划,任务编号：984792,其他内容创作,3000.0,2022-03-03
铸威,利宏营销策划,任务编号：983405,其他内容创作,3000.0,2022-02-23
o5c07e34b0088d,腾际品牌管理,任务编号：982812,专业代笔,300.0,2022-02-18
伯爵dOfil,96元创商业文案策划,任务编号：981576,产品卖点,200.0,2022-02-10
威领iSmj9,利宏营销策划,任务编号：981378,产品卖点,5000.0,2022-02-08
k1104****89,腾际品牌管理,任务编号：978740,商业提案,1500.0,2022-01-11
vitorru,阿瑞营销推广工作室,任务编号：977222,商业提案,200.0,2021-12-31
o6057f8dab2997,阿瑞营销推广工作室,任务编号：973316,专业代笔,500.0,2021-12-07
o5ba500bb61c43,北京幻视互娱,任务编号：973308,专业代笔,400.0,2021-12-07
k5973****48,利宏营销策划,任务编号：963560,商业提案,6800.0,2021-10-27
FHD凡恩酒店设计,96元创商业文案策划,任务编号：956748,营销推广软文,700.0,2021-09-23
k9945****2,k856533561,任务编号：959972,编辑校对,3000.0,2021-09-22
k1948****12,利宏营销策划,任务编号：956275,宣传策划,3000.0,2021-09-20
k1361****1,k453721373,任务编号：959963,编辑校对,800.0,2021-09-20
k9972****2,k830492370,任务编号：959849,编辑校对,1500.0,2021-09-20
k9543****2,k264152000,任务编号：959865,编辑校对,1000.0,2021-09-20
k7498****0,k730715346,任务编号：959665,编辑校对,300.0,2021-09-18
k5117****9,k668922098,任务编号：960293,文学创作,800.0,2021-09-18
k3821****9,k980833310,任务编号：960094,百科/问答撰写,3000.0,2021-09-18
k4548****0,k872729570,任务编号：960188,百科/问答撰写,5000.0,2021-09-18
k1330****1,k324547797,任务编号：959676,编辑校对,500.0,2021-09-18
k4519****9,醉榻天下设计室,任务编号：960107,百科/问答撰写,4000.0,2021-09-18
k8545****5,k517168399,任务编号：959971,百科/问答撰写,1000.0,2021-09-18
k9484****0,蓝梦月影,任务编号：959552,编辑校对,1000.0,2021-09-17
