需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1090681,B任务编号：1090681,任务编号：1090681,百科/问答撰写,871.0,2024-08-30
A任务编号：1083234,B任务编号：1083234,任务编号：1083234,项目策划,2000.0,2024-06-14
A任务编号：980346,B任务编号：980346,任务编号：980346,产品卖点,1000.0,2022-01-22
A任务编号：953230,B任务编号：953230,任务编号：953230,宣传策划,2000.0,2021-09-02
A任务编号：802392,B任务编号：802392,任务编号：802392,商业提案,1000.0,2019-10-15
A任务编号：785972,B任务编号：785972,任务编号：785972,专业代笔,300.0,2019-08-22
A任务编号：762145,B任务编号：762145,任务编号：762145,宣传策划,200.0,2019-06-20
A任务编号：746489,B任务编号：746489,任务编号：746489,宣传策划,100.0,2019-05-13
A任务编号：679388,B任务编号：679388,任务编号：679388,百科/问答撰写,100.0,2018-11-07
A任务编号：620025,B任务编号：620025,任务编号：620025,广告策划,300.0,2018-05-30
A任务编号：493547,B任务编号：493547,任务编号：493547,宣传策划,100.0,2017-04-18
A任务编号：425602,B任务编号：425602,任务编号：425602,品牌故事,100.0,2016-06-03
A任务编号：378498,B任务编号：378498,任务编号：378498,商业提案,750.0,2015-09-09
o5b8023b3eebcd,利宏营销策划,任务编号：1116281,宣传策划,500.0,2025-03-23
赛威8dgq9,利宏营销策划,任务编号：1114885,宣传策划,500.0,2025-03-14
优社OJXYk,华创iTiFJ,任务编号：1091911,产品卖点,100.0,2024-09-14
vitorru,丽卿云商,任务编号：1087086,产品卖点,1000.0,2024-07-22
多面人生,利宏营销策划,任务编号：1084157,其他内容创作,1000.0,2024-06-24
k6244****9,木雪涯设计工作室,任务编号：1115846,活动文案,800.0,2024-06-08
k8545****5,十分逆天,任务编号：1115840,客户案例,500.0,2024-05-08
k7895****1,一濒箫声,任务编号：1098949,公关稿,800.0,2024-04-24
k1837****3,一濒箫声,任务编号：1115847,广告口号,500.0,2024-04-23
k6753****7,十分逆天,任务编号：1098936,行业分析报告,1000.0,2024-04-02
k4421****6,傲世有限公司,任务编号：1098953,自媒体软文,500.0,2024-03-25
k2049****6,威和pIRtt,任务编号：1098945,详情页文案,1000.0,2024-03-25
k8925****3,威和pIRtt,任务编号：1098941,种草文案,800.0,2024-03-07
o560266de9271f,悟喜丨品牌连锁定制,任务编号：1070632,商业提案,100.0,2024-01-24
k3011****5,故事老酒,任务编号：1098928,公众号文章,800.0,2024-01-05
k4399****55,花成蜜就,任务编号：1044789,商业提案,1000.0,2023-06-09
威创未来3aLuQ,花成蜜就,任务编号：1044388,专业代笔,500.0,2023-06-07
k1312****45,利宏营销策划,任务编号：1041125,产品卖点,1000.0,2023-05-16
尊鉴aClSE,众腾传媒,任务编号：1032369,营销推广软文,1500.0,2023-03-10
o5bf5024dd148f,利宏营销策划,任务编号：1031083,商业提案,3000.0,2023-03-01
k3940****31,本能咨询工作室,任务编号：1030104,产品卖点,2800.0,2023-02-21
k5716****95,利宏营销策划,任务编号：1029242,商业提案,3000.0,2023-02-13
k7497****07,利宏营销策划,任务编号：1026844,产品卖点,300.0,2023-01-09
k7497****07,利宏营销策划,任务编号：1026570,产品卖点,2700.0,2023-01-05
k1970****43,利宏营销策划,任务编号：1024377,商业提案,800.0,2022-12-08
安威客xsI13,威多宝绛槿,任务编号：1024215,其他内容创作,200.0,2022-12-07
k4650****31,利宏营销策划,任务编号：1024214,宣传策划,600.0,2022-12-07
k4650****31,利宏营销策划,任务编号：1023422,产品卖点,800.0,2022-11-29
o5c3f12b170585,本能咨询工作室,任务编号：1020523,商业提案,2500.0,2022-11-04
FUMA,利宏营销策划,任务编号：1019602,营销推广软文,150.0,2022-10-27
o5f6d607cb1281,智汇帮企业管理咨询,任务编号：1012175,商业提案,2000.0,2022-08-30
叭叭叭宝,亘鼎文化,任务编号：1010138,专业代笔,300.0,2022-08-15
o5f729dbcb21ac,江苏知然广告传媒有限公司,任务编号：1010110,产品卖点,600.0,2022-08-15
o59dddcaad878b,亘鼎文化,任务编号：1009054,产品卖点,300.0,2022-08-08
ty750****,花成蜜就,任务编号：1008428,项目策划,800.0,2022-08-03
baidushengzhe,亘鼎文化,任务编号：994667,宣传策划,2000.0,2022-05-06
k2015****94,96元创商业文案策划,任务编号：993043,商业提案,1650.0,2022-04-24
setiana0808,96元创商业文案策划,任务编号：992393,专业代笔,3500.0,2022-04-19
o5d5b602e5d076,阿瑞营销推广工作室,任务编号：988498,营销推广软文,100.0,2022-03-26
随风漂流1973,智通策划文案,任务编号：986628,专业代笔,500.0,2022-03-15
o5f1fab15b6256,96元创商业文案策划,任务编号：986100,品牌故事,1250.0,2022-03-11
领尊loHDA,腾际品牌管理,任务编号：984012,品牌故事,240.0,2022-02-26
威旺XAWFF,南京科研服务社,任务编号：980303,专业代笔,200.0,2022-01-22
chtf5023,南京科研服务社,任务编号：978627,专业代笔,1000.0,2022-01-10
一口苦涩,利宏营销策划,任务编号：978366,编辑校对,400.0,2022-01-09
金客kf6zq,96元创商业文案策划,任务编号：977719,营销推广软文,200.0,2022-01-05
o61d3df8413cb4,源木工作室,任务编号：977580,品牌故事,300.0,2022-01-04
朝阳007,阿瑞营销推广工作室,任务编号：977358,商业提案,577.0,2022-01-02
o5c6a1724b74e2,源木工作室,任务编号：976303,其他内容创作,300.0,2021-12-25
o60f534b3b0490,腾际品牌管理,任务编号：976132,产品卖点,200.0,2021-12-24
o6057f8dab2997,阿瑞营销推广工作室,任务编号：973382,专业代笔,2500.0,2021-12-07
k4999****27,利宏营销策划,任务编号：973298,产品卖点,1600.0,2021-12-07
极品堂RneYq,利宏营销策划,任务编号：971747,产品卖点,3000.0,2021-11-27
vitorru,利宏营销策划,任务编号：971113,产品卖点,2800.0,2021-11-24
o6174c8792dfed,利宏营销策划,任务编号：969807,广告策划,6400.0,2021-11-16
星享事成GEVTk,阿瑞营销推广工作室,任务编号：969691,商业提案,2000.0,2021-11-15
k7480****88,96元创商业文案策划,任务编号：968786,商业提案,3150.0,2021-11-10
vitorru,利宏营销策划,任务编号：968776,商业提案,3800.0,2021-11-10
伯爵PWJx7,利宏营销策划,任务编号：964542,其他内容创作,800.0,2021-10-28
vitorru,工厚研究院,任务编号：962993,商业提案,5000.0,2021-10-26
左先生9999,谷雨科技工作室,任务编号：960464,营销推广软文,600.0,2021-10-14
vitorru,腾际品牌管理,任务编号：959893,商业提案,2000.0,2021-10-12
vitorru,腾际品牌管理,任务编号：959690,商业提案,2000.0,2021-10-11
vitorru,工厚研究院,任务编号：958029,商业提案,2000.0,2021-09-30
天杰,文睿营销策划有限公司,任务编号：958006,营销推广软文,120.0,2021-09-29
gengwu366,北京幻视互娱,任务编号：957246,专业代笔,300.0,2021-09-26
Biuuuul,腾际品牌管理,任务编号：956766,专业代笔,500.0,2021-09-23
k9988****4,望川秋水,任务编号：960288,百科/问答撰写,5000.0,2021-09-20
k9971****4,k830492370,任务编号：959750,编辑校对,500.0,2021-09-20
o6146****8077b,北京幻视互娱,任务编号：956113,品牌故事,800.0,2021-09-19
k4932****8,k334964490,任务编号：960287,文学创作,10000.0,2021-09-18
k6220****9,k193089163,任务编号：960187,文学创作,3000.0,2021-09-18
k2529****1,k877697620,任务编号：959962,百科/问答撰写,3000.0,2021-09-18
k9543****2,k455313395,任务编号：960106,文学创作,800.0,2021-09-18
k5553****0,k949849653,任务编号：959451,编辑校对,500.0,2021-09-17
k6895****8,k186665983,任务编号：959970,文学创作,1200.0,2021-09-16
k3526****3,k952716790,任务编号：959847,文学创作,5000.0,2021-09-15
k5846****2,k916739477,任务编号：959448,百科/问答撰写,3000.0,2021-09-15
k9945****2,k649198362,任务编号：958930,编辑校对,500.0,2021-09-15
k3573****7,k566889185,任务编号：959748,文学创作,1000.0,2021-09-15
k6220****9,k732362207,任务编号：959322,百科/问答撰写,1200.0,2021-09-15
k2049****6,k622865127,任务编号：959674,文学创作,1000.0,2021-09-15
k5064****6,k849553717,任务编号：959055,编辑校对,800.0,2021-09-15
k8357****0,醉世逍遥,任务编号：959226,百科/问答撰写,1000.0,2021-09-15
k2548****8,凉辰梦瑾,任务编号：959447,文学创作,1000.0,2021-09-14
k8987****7,k642607944,任务编号：959321,文学创作,500.0,2021-09-14
k5117****9,高傲旳笑,任务编号：959470,文学创作,5000.0,2021-09-14
k2567****2,傲然星凌,任务编号：958791,百科/问答撰写,6000.0,2021-09-14
k6684****4,k871725629,任务编号：958623,百科/问答撰写,800.0,2021-09-13
k1439****0,王者孤独,任务编号：959048,文学创作,3000.0,2021-09-13
k6460****2,高傲旳笑,任务编号：959197,文学创作,3500.0,2021-09-13
k5947****1,k928239726,任务编号：958638,百科/问答撰写,2000.0,2021-09-13
k4863****9,k973196607,任务编号：958688,文学创作,500.0,2021-09-12
k6178****6,k859561818,任务编号：958510,文学创作,300.0,2021-09-11
k9972****2,k208045243,任务编号：958621,文学创作,500.0,2021-09-11
k4465****5,k447657918,任务编号：958352,百科/问答撰写,5000.0,2021-09-10
k9350****5,k121873454,任务编号：960189,编辑校对,800.0,2021-09-08
君客行F0fd7,阿瑞营销推广工作室,任务编号：953474,专业代笔,100.0,2021-09-03
k5625****1,独特情趣,任务编号：958351,文学创作,500.0,2021-09-01
o5edc****568f9,北京幻视互娱,任务编号：951221,品牌故事,500.0,2021-08-22
vitorru,利宏营销策划,任务编号：950964,商业提案,1000.0,2021-08-20
vitorru,96元创商业文案策划,任务编号：950754,商业提案,1750.0,2021-08-19
k6371****8,k450726589,任务编号：958326,编辑校对,1000.0,2021-08-18
k3184****5,彼岸红尘,任务编号：958274,编辑校对,1000.0,2021-08-17
k1728****7,k121380431,任务编号：958272,百科/问答撰写,5000.0,2021-08-15
k9259****4,兮风夜影,任务编号：958234,编辑校对,1500.0,2021-08-13
k7744****6,k207701974,任务编号：958233,百科/问答撰写,1500.0,2021-08-13
sz2020,北京幻视互娱,任务编号：948886,宣传策划,1500.0,2021-08-09
活跃的开发小野马,湖南木空文化传媒有限公司,任务编号：948868,宣传策划,20000.0,2021-08-09
k9192****6,致命的玩笑,任务编号：958452,编辑校对,500.0,2021-08-03
k9779****1,k474932652,任务编号：958401,编辑校对,1000.0,2021-08-02
o5c4f1fd489a95,北京幻视互娱,任务编号：947286,编辑校对,300.0,2021-07-30
vitorru,利宏营销策划,任务编号：944127,商业提案,2394.0,2021-07-13
k4716****82,腾际品牌管理,任务编号：938992,宣传策划,300.0,2021-06-09
k4716****82,腾际品牌管理,任务编号：937930,宣传策划,2100.0,2021-06-02
