标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【营销推广软文】正能量视频需要找人帮忙写文案,https://task.epwk.com/1121726/,628人,1人,1000元以内,选标中,A任务编号：1121726,正能量视频需要找人帮忙写文案。长期合作，团队服务商，具体详谈,2025-05-09,,任务编号：1121726,800.0,7天,山东省-青岛市,B任务编号：1121726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,营销推广软文
【广告策划】新款服装拍摄模特,https://task.epwk.com/1119424/,229人,0人,1000元以内,投标中,A任务编号：1119424,寻   服装拍摄模特，限年轻女士，限厦门市，长相甜美。根据开发的新款服饰，配合拍摄款式照片及衣服卖点视频。,2025-04-18,,任务编号：1119424,1000.0,,,B任务编号：1119424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广告策划
【宣传策划】家政平台宣传文案,https://task.epwk.com/1076350/,9604人,1人,1000-3000元,工作中,A任务编号：1076350,称呼:周先生地区:云南大理需求:家政服务平台，想从河南老家招20-50周岁的人员到大理做劳务输出，需要擅长文案的团队联系,2024-04-07,,任务编号：1076350,1000.0,9天,山东省-青岛市,B任务编号：1076350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宣传策划
【品牌起名】教育学习机起名字,https://task.epwk.com/1039321/,9398人,1人,1000元以内,待验收,A任务编号：1039321,项目：教育学习机取名字称呼:夏先生先生地区:江西南昌  需求:给教育学习机起名字，不要用地方区域去起，容易让人记住预算：价格详聊备注：微信是手机号【推广员任务小李引进】,2023-05-05,,任务编号：1039321,200.0,2天,河北省-石家庄市,B任务编号：1039321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,品牌起名
【商业提案】风投商业计划书,https://task.epwk.com/974916/,0人,1人,3000-5000元,圆满完成,k7625****96,"项目:风投商业计划书称呼:Tina地区:湖北省,武汉市需求:风投商业计划书，项目基本确认人，只需要根据要求代写就行。比较着急联系报价报工期预算:联系报价",2021-12-16,2021.12.29,任务编号：974916,3500.0,10天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",商业提案
【产品卖点】少儿培训的商业计划书,https://task.epwk.com/974840/,0人,1人,1000元以内,圆满完成,k8820****58,"项目:少儿培训的商业计划书称呼:颜女士地区:广东省,惠州市需求:雇主有个新项目，就是要写分商业计划书。具体的需求电话联系，很急",2021-12-16,2022.01.06,任务编号：974840,2000.0,1天,福建省-龙岩市,品创科技（新媒体）官方旗舰店,https://shop.epwk.com/09drj17yl53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【产品卖点】文案写作,https://task.epwk.com/970412/,2人,1人,1000-3000元,圆满完成,k6180****03,"项目:文案写作称呼:林先生地区:江西省,赣州市需求:公众号有关5G网络产业的文案写作，具体的资料都有，比较着急三天就需要。具体详谈报价预算:联系报价",2021-11-19,2021.12.28,任务编号：970412,300.0,2天,四川省-成都市-市辖区,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",PPT设计定制作演讲工作汇报路演招商课件企业介绍动态美,"￥100
            /起",产品卖点
【产品卖点】农业加工项目文案代写,https://task.epwk.com/968866/,2人,1人,1000元以内,圆满完成,k9368****70,"项目:农业加工项目文案代写称呼:曾先生地区:湖北省,黄冈市需求:农业加工项目文案代写，扩张工程所需，政府有政策，需要按照提纲要求写作，1.2天内完成，12日要上交预算:报价联系",2021-11-10,2021.11.23,任务编号：968866,1000.0,2天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",产品卖点
【营销推广软文】设计产品宣传资料和软文撰写,https://task.epwk.com/850064/,2716人,6人,1000元以内,待验收,A任务编号：850064,找人为我们设计产品宣传资料和软文撰写的人才。产品是保健食品。,2020-04-04,,任务编号：850064,800.0,"5天,3天,5天,5天","山东省-青岛市,上海市-市辖区-黄浦区,广东省-深圳市,山东省-青岛市",B任务编号：850064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,营销推广软文
【广告策划】拆迁小区的广告语,https://task.epwk.com/821032/,6992人,1人,1000元以内,待验收,A任务编号：821032,项目：文案姓名：陈先生地区：江苏需求：拆迁建了新小区的广告宣传语设计 2米4宽度 字数不限预算：详谈注意：已谈好合作  勿扰,2019-12-12,,任务编号：821032,1000.0,,,B任务编号：821032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广告策划
