需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：484726,B任务编号：484726,任务编号：484726,英语,200.0,2017-03-19
james_don,翻译Mr Hu,任务编号：1029124,英语,100.0,2023-02-12
聚盘DHuGO,威领Pghv0,任务编号：1019998,数据录入,300.0,2022-10-31
o5f6b2acec850e,陕西臻创意设计有限公司,任务编号：894585,日语,300.0,2020-09-23
o5f59a9a85da0b,北京云曼科技工作室,任务编号：891558,网络接单,600.0,2020-09-10
o5f24e9b168493,Reidies,任务编号：882034,英语,300.0,2020-08-01
o5e709b47df322,小杨文案,任务编号：845101,英语,400.0,2020-03-18
a8748****8,a19965449284,任务编号：787744,英语,110.0,2019-08-27
a8748****8,a19965243774,任务编号：778819,英语,110.0,2019-08-02
wdj88,ojbkkk,任务编号：776075,英语,110.0,2019-07-25
o5d286ff28dbdb,o5d0b7c17503be,任务编号：770931,英语,110.0,2019-07-12
做条咸鱼,Xx_2581,任务编号：759151,网络接单,300.0,2019-06-13
o5cd3b0e778fcf,博强翻译6688,任务编号：749348,英语,100.0,2019-05-20
o5cbe720d11763,创意轩,任务编号：738359,网络接单,200.0,2019-04-23
mf150****1187,o5b208183a7a04,任务编号：728179,网络接单,100.0,2019-03-29
o5c320c295ca5c,创意轩,任务编号：713636,网络接单,100.0,2019-02-23
bigsale777,巴黎彼岸,任务编号：670726,数据录入,100.0,2018-10-16
stermoon,pandan129,任务编号：665107,英语,110.0,2018-09-28
苦逼工作室饲养员,锻造完美人生,任务编号：664351,字幕翻译,105.0,2018-09-26
cmh1991,pandan129,任务编号：662480,视频听译,110.0,2018-09-20
o5ba1a61ac7fe7,创意轩,任务编号：661805,咨询服务,100.0,2018-09-19
郎哥,sarawzt,任务编号：657647,英语,120.0,2018-09-07
ytl21****305,sarawzt,任务编号：639714,英语,120.0,2018-07-21
o5b4ad847297ae,MC沐寒,任务编号：638641,网络接单,500.0,2018-07-18
huangzuchao,赵大壮阿,任务编号：637589,网络接单,300.0,2018-07-16
政客,sarawzt,任务编号：630697,英语,3000.0,2018-06-28
qh330112,燕子啁啾,任务编号：627879,英语,588.0,2018-06-20
o5aa0f049baf42,解忧杂货店7709,任务编号：588458,网络接单,100.0,2018-03-08
wh423,灵动翻译有限公司,任务编号：565922,英语,100.0,2017-12-22
directgp,Fiona26,任务编号：524280,英语,200.0,2017-08-08
mf189****2668,珠海市智科电脑科技,任务编号：521704,网络接单,3260.0,2017-07-31
o5954a626e4b31,秋收冬藏,任务编号：513452,文化艺术服务,100.0,2017-06-29
TEEDU,ttempt23,任务编号：508006,数据录入,300.0,2017-06-08
WeorMe,中英翻译大咖,任务编号：485665,英语,2000.0,2017-03-22
家悦,专业英文翻译QQ1159891737,任务编号：484837,英语,200.0,2017-03-19
mf134****5902,毛毛虫儿,任务编号：484415,数据录入,150.0,2017-03-17
sakaas,东宇网络科技,任务编号：483439,网络接单,500.0,2017-03-14
o58abe7c41a050,林明设计,任务编号：477342,数据录入,400.0,2017-02-21
mf134****5902,佛山富途网络|网站制作|网站建设|网页制作|网站设计,任务编号：475501,数据录入,200.0,2017-02-15
jql0088,幸福的花,任务编号：475418,咨询服务,100.0,2017-02-14
mf155****9662,ArcGIS制图与分析,任务编号：466904,数据录入,260.0,2016-12-25
山与水,mf15277192218,任务编号：460926,数据录入,100.0,2016-11-26
山与水,g1165659729,任务编号：459394,数据录入,100.0,2016-11-19
一了科技,专业英文翻译QQ1159891737,任务编号：453090,英语,2000.0,2016-10-24
TEEDU,春天国际,任务编号：421122,数据录入,200.0,2016-05-12
o5646d6bc1c6f4,中英翻译大咖,任务编号：400285,英语,100.0,2016-01-06
baijinyinying100,中英翻译大咖,任务编号：398062,英语,1200.0,2015-12-22
chaosday,团长的翻译事务所,任务编号：392591,英语,8000.0,2015-11-20
山与水,瘦葫芦的工作室,任务编号：392551,数据录入,200.0,2015-11-20
A先生,瘦葫芦的工作室,任务编号：388605,数据录入,300.0,2015-10-30
mf151****1117,习惯隐身的人,任务编号：386164,网络接单,100.0,2015-10-20
子虎广告,SOUS时光影像,任务编号：382207,英语,300.0,2015-09-28
