标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,能力标签
【招商加盟】内部测试，请勿操作,https://task.epwk.com/1081247/,85人,1人,¥100,圆满完成,单人悬赏,lgh01,内部测试。,2024-05-23,2024.05.23,任务编号：1081247,100.0,,,TESTER的商铺,https://shop.epwk.com/4rn8qe6gwngm/,TESTER的商铺,出售服务,https://shop.epwk.com/4rn8qe6gwngm/chushou/,工作室,九品,64分,总 35 次中标，交易总金额,￥2847.71,招商加盟
【教育培训】教育公司起名,https://task.epwk.com/1062749/,1728人,50人,¥400,圆满完成,单人悬赏,大冰老师,公司主营业务，学历提升业务第一，工商注册能通过。第二，简单易记，大气，尽量贴合业务。第三，三个字或者四个字。,2023-11-03,2024.03.29,任务编号：1062749,400.0,,,艺心,https://task.epwk.com/javascript:;,,,,,,,,,教育培训
【咨询服务】公司起名,https://task.epwk.com/1055307/,607人,17人,¥100,圆满完成,单人悬赏,萧乐,工程咨询公司，要求能注册，本人名杰，可以不嵌入“杰”,2023-08-26,2023.09.01,任务编号：1055307,100.0,,,墨客文化,https://task.epwk.com/javascript:;,,,,,,,,,咨询服务
【英语】公司英文名取名,https://task.epwk.com/1053274/,1700人,43人,¥100,圆满完成,单人悬赏,默客逍遥,公司名称：研凌 寻找一个英文名，简短一点的，同音或是其他！,2023-08-11,2024.09.20,任务编号：1053274,100.0,,,财贸王俊卡,https://task.epwk.com/javascript:;,,,,,,,,,英语
【咨询服务】婴儿取名任务,https://task.epwk.com/1010031/,940人,16人,¥100,圆满完成,单人悬赏,威站天下dTLa6,爸爸姓韦，妈妈姓曾。要求宝宝名字中含五行中的水和金。名字最好有寓意，朗朗上口。,2022-08-15,2023.11.30,任务编号：1010031,100.0,,,星汉创意工作室,https://shop.epwk.com/omdwkjyrxdrp/,,,,,,,,,咨询服务
【咨询服务】给我家双胞胎起名,https://task.epwk.com/891918/,3438人,28人,¥168,圆满完成,单人悬赏,o5f5b799c0e4dc,出生日期：2020年9月7日（大宝5点）（小宝5点29），农历七月二十 姓名要求 必要： （1）姓陈； （2）名字易念，不会有不好的联想，有较好寓意； （3）名字书写容易，拒绝笔画复杂；注明释义。,2020-09-11,2020.10.12,任务编号：891918,168.0,,,玉兔儿原创工作室,https://shop.epwk.com/81n41w29enp6/,,,,,,,,,咨询服务
【英语】公司英文商标创意设计/商标名称翻译,https://task.epwk.com/831191/,2762人,7人,¥149,圆满完成,单人悬赏,long1****118,我公司中文名称：上海奥华教育科技有限公司。现在需要给“奥华”起一个英文的名称。要求英文名称符合国外英文发音习惯，同时要尽量和奥华的中文读音相近。英文名称将应用于域名注册和商标注册。需要自创一个单词，别拿现成的一个单词来糊弄哈！1）公司背景 ：上海奥华教育科技有限公司，这是新注册的一家公司。公司将主要经营教育培训、精品课程研发、教学平台开发，教育实训软件开发等与教育教学相关的经营内容。2）名称寓意 ：在构思这个公司名称“奥华”的时候，“奥”代表奥林匹克精神，象征着教育。“华”代表中华、华夏。整体的意思，就是不断努力，追求中华教育的极致卓越。3）需要能够和“奥华”谐音 。4）单词数、字母数、首字母是否有要求 ：字母数5个左右，尽量不要超过7个字母。一个单词搞定。尽量保证能够注册相关域名和商标。其他的都没有要求。,2020-01-13,2020.01.30,任务编号：831191,149.0,,,张弓长,https://task.epwk.com/javascript:;,,,,,,,,,英语
【英语】商标名翻译成英文名，创意起名,https://task.epwk.com/728573/,2432人,43人,¥300,圆满完成,单人悬赏,o5c8edaf808d2a,公司主要从事地坪漆（涂料类），中文商标是“雅涂技研”（已经注册），现在想求一个类似名称的英文名，突出雅涂，也可以拼凑词，尽量要短，最好控制在6个字母以内，未注册过的。防止恶意模仿，麻烦掩蔽投稿。谢谢！     国家商标局查询网：http://sbj.saic.gov.cn/sbcx/,2019-03-30,2019.06.02,任务编号：728573,300.0,,,云影碧落,https://shop.epwk.com/89dvgxp8zdl2/,,,,,,,,,英语
【英语】中文翻译英文(铣刀特点）,https://task.epwk.com/684851/,3322人,7人,¥100,圆满完成,单人悬赏,veratsai,英文地道顺畅， 完全表达中文意思。 一旦中标及支付任务费用后， 稿件知识产权，使用权， 修改权， 发布权均属于任务发布者。,2018-11-23,2018.12.09,任务编号：684851,100.0,,,o5bf681da25d96,https://task.epwk.com/javascript:;,,,,,,,,,英语
【英语】中文品牌翻译英文,https://task.epwk.com/656932/,4559人,53人,¥100,圆满完成,单人悬赏,Mr151****4366,户外装备品牌：极地狐，需翻译成英文，英文需简短。,2018-09-05,2019.01.14,任务编号：656932,100.0,,,limax,https://task.epwk.com/javascript:;,,,,,,,,,英语
