需求方,设计师,任务编号,能力标签,交易价格,发布时间
威享9Njv9,幻灯奇艺坊,任务编号：1084550,电话调查,500.0,2024-06-27
威享9Njv9,幻灯奇艺坊,任务编号：1084549,电话调查,500.0,2024-06-27
威享9Njv9,幻灯奇艺坊,任务编号：1084548,电话调查,500.0,2024-06-27
威享9Njv9,糖九粥z,任务编号：1084545,电话调查,500.0,2024-06-27
小蜜蜂7297J,广州生职软件有限责任公司,任务编号：1072181,电话调查,400.0,2024-02-26
威迈力4TYe1,那一家店,任务编号：1047297,征集点子,166.0,2023-06-30
人间精品,臻威Jimmy,任务编号：1041520,征集点子,400.0,2023-05-18
人间精品,林墨mo,任务编号：999220,征集点子,500.0,2022-06-06
创意就是生产力,威我cv6ef,任务编号：995288,营销解决方案,600.0,2022-05-10
herngee,喵星人文案,任务编号：968402,征集点子,400.0,2021-11-08
创意就是生产力,小狼hati文创工作室,任务编号：947633,产品推广,400.0,2021-08-02
干饭人人上人,木木琉璃,任务编号：922097,活动策划,100.0,2021-03-03
o5d32ec1baac8a,_四脚吞金兽,任务编号：837593,品牌策划,100.0,2020-02-20
老王的生意圈,今天也没变成玩偶呢,任务编号：824430,整合营销,200.0,2019-12-22
托付梦想,mtx521,任务编号：735284,整合营销,100.0,2019-04-15
o5aa627de59f7f,岩淞视觉设计工作室,任务编号：708894,活动策划,500.0,2019-02-03
策联社团,范小闲,任务编号：684216,问卷调查,300.0,2018-11-21
策联社团,YIPINWEIKEEE,任务编号：652766,问卷调查,200.0,2018-08-24
mf158****0766,言而有信,任务编号：642000,征集点子,100.0,2018-07-30
策联社团,YIPINWEIKEEE,任务编号：636257,活动策划,400.0,2018-07-12
伯乐,小木兔工作室,任务编号：624429,品牌策划,500.0,2018-06-10
neil_ho,极思视觉,任务编号：624289,营销解决方案,500.0,2018-06-09
o5aba379799dd1,o5915c66db7d6d,任务编号：595763,征集点子,200.0,2018-03-27
lgd073,shede,任务编号：582639,征集点子,100.0,2018-02-16
策联社团,极思视觉,任务编号：531277,问卷调查,600.0,2017-09-02
CharlieSaMa,不二策划/网络工作室,任务编号：482510,活动策划,200.0,2017-03-11
epwkdxm,一品营销,任务编号：435479,活动策划,200.0,2016-07-21
mf138****8602,mf13525553514,任务编号：425849,活动策划,200.0,2016-06-05
凯翼汽车,xdfswyyg,任务编号：405898,活动策划,4000.0,2016-02-22
凯翼汽车,播放工作室,任务编号：405897,活动策划,12000.0,2016-02-22
mf136****8337,杂办,任务编号：400948,征集点子,100.0,2016-01-10
mf180****2010,新疆合赢智创信息科技服务有限公司,任务编号：393825,活动策划,500.0,2015-11-27
mf181****4218,mf18679755262,任务编号：376246,网站优化方案,100.0,2015-08-29
mf132****7700,mf18750690576,任务编号：354447,意见建议,100.0,2015-05-21
mf189****2032,裴裴Vic的店铺,任务编号：351765,活动策划,200.0,2015-05-10
泡芙假面,fish_,任务编号：331850,活动策划,100.0,2015-02-04
o54be44cdc570a,捌零设计,任务编号：329037,活动策划,100.0,2015-01-20
六号枫籽,瑞轩品牌策划,任务编号：257404,活动策划,50.0,2014-04-17
