需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122264,B任务编号：1122264,任务编号：1122264,SEO排名优化,20.0,2025-05-14
k5579****98,品创科技（新媒体）官方旗舰店,任务编号：970320,口碑营销,800.0,2021-11-18
际尊服RnPJe,橙焱创意,任务编号：1071595,微信代运营,3000.0,2024-02-18
际尊服RnPJe,橙焱创意,任务编号：1066948,整合营销,3000.0,2023-12-14
际尊服RnPJe,橙焱创意,任务编号：1063783,微信代运营,3000.0,2023-11-13
际尊服RnPJe,橙焱创意,任务编号：1060483,微信代运营,3000.0,2023-10-13
际尊服RnPJe,橙焱创意,任务编号：1054999,微信代运营,3000.0,2023-08-24
际尊服RnPJe,河南翼代码信息科技有限公司,任务编号：1045386,微信代运营,3000.0,2023-06-14
o62d380aa8ac13,利宏营销策划,任务编号：1005856,营销解决方案,1500.0,2022-07-17
尊服PQPS7,小火花软件,任务编号：995993,网站优化方案,3000.0,2022-05-13
o5f6d607cb1281,阿瑞营销推广工作室,任务编号：986466,整合营销,500.0,2022-03-14
创品Oj7CD,阿瑞营销推广工作室,任务编号：985812,口碑营销,300.0,2022-03-10
k2143****6,k499745321,任务编号：959203,关键词优化,3500.0,2021-09-20
k7418****6,k596764147,任务编号：959450,口碑营销,15000.0,2021-09-17
k2856****5,k558643400,任务编号：959324,口碑营销,10000.0,2021-09-16
k4915****6,k250285395,任务编号：959056,关键词优化,6500.0,2021-09-16
k5910****1,k590224159,任务编号：959054,网站优化方案,8500.0,2021-09-15
k1434****6,颠覆風雲,任务编号：958926,网站优化方案,4000.0,2021-09-14
k4664****6,k771071318,任务编号：958925,关键词优化,30000.0,2021-09-14
k3114****6,酷到招风,任务编号：958940,网站优化方案,6000.0,2021-09-14
k2548****8,k965526017,任务编号：958687,口碑营销,5500.0,2021-09-12
k6093****1,k831683541,任务编号：958839,网站优化方案,5000.0,2021-09-11
k2111****3,k429943279,任务编号：959668,关键词优化,8000.0,2021-09-09
k7552****5,霸气横秋,任务编号：959233,网站优化方案,2000.0,2021-09-08
k8357****0,k782912427,任务编号：959555,关键词优化,6000.0,2021-09-06
k9095****8,k245057308,任务编号：959205,网站优化方案,9000.0,2021-09-05
k6706****2,k455313395,任务编号：959453,关键词优化,4300.0,2021-09-04
k9325****3,k952278264,任务编号：959677,口碑营销,1500.0,2021-09-04
k4863****9,k655592266,任务编号：959327,关键词优化,5000.0,2021-09-03
k8953****7,k649983607,任务编号：958618,关键词优化,3000.0,2021-09-01
k3272****4,旧人往事,任务编号：958684,关键词优化,5000.0,2021-09-01
k2254****3,k941246030,任务编号：958682,网站优化方案,2500.0,2021-09-01
k2215****6,k517168399,任务编号：958755,网站优化方案,4500.0,2021-09-01
k1326****3,夢里飄雪,任务编号：958633,关键词优化,7000.0,2021-09-01
k5799****1,k610450024,任务编号：958783,关键词优化,8500.0,2021-09-01
k7893****2,k700848054,任务编号：958631,网站优化方案,1500.0,2021-09-01
k1728****7,k928239726,任务编号：958404,网站优化方案,5500.0,2021-08-30
vitorru,千海视觉-移动互联网高端定制视觉设计服务商,任务编号：950543,关键词优化,2000.0,2021-08-18
k9988****4,k225015473,任务编号：958275,口碑营销,6000.0,2021-08-18
k5186****6,k350186578,任务编号：958236,口碑营销,12500.0,2021-08-17
k5910****1,k123933889,任务编号：958311,网站优化方案,6000.0,2021-08-14
k8505****3,k198564399,任务编号：958249,关键词优化,6500.0,2021-08-11
k6717****5,k324457943,任务编号：958231,关键词优化,4500.0,2021-08-10
k8404****4,k542885471,任务编号：958505,网站优化方案,45000.0,2021-08-09
k6684****4,k700848054,任务编号：958454,关键词优化,8500.0,2021-08-08
k4880****1,夢里飄雪,任务编号：958405,关键词优化,8000.0,2021-08-04
k9258****5,k992793283,任务编号：958350,网站优化方案,1000.0,2021-08-03
k2111****3,k241732906,任务编号：958199,关键词优化,4500.0,2021-07-23
k1875****0,k599196496,任务编号：958229,网站优化方案,6500.0,2021-07-15
k2049****6,k184899490,任务编号：958197,网站优化方案,6500.0,2021-07-10
k2466****95,96元创商业文案策划,任务编号：941707,活动策划,300.0,2021-06-28
ljq834188,96元创商业文案策划,任务编号：935466,品牌策划,1750.0,2021-05-19
o609946c85c9ca,腾际品牌管理,任务编号：934094,整合营销,500.0,2021-05-12
k6768****37,阿瑞营销推广工作室,任务编号：933965,活动策划,1000.0,2021-05-11
大众推广ABCD,阿瑞营销推广工作室,任务编号：929882,产品推广,2200.0,2021-04-16
o6057ee63220cf,阿瑞营销推广工作室,任务编号：929862,产品推广,7000.0,2021-04-15
o606b0b1f7e5fc,阿瑞营销推广工作室,任务编号：927930,整合营销,600.0,2021-04-05
k5267****96,利宏营销策划,任务编号：917243,整合营销,12800.0,2021-01-25
o5eff17ed01dfb,鼎臻幻屏品牌设计,任务编号：890420,品牌策划,1000.0,2020-09-05
geebest,千海视觉-移动互联网高端定制视觉设计服务商,任务编号：881307,关键词优化,6800.0,2020-07-29
o5ef1d7bd98d1f,利宏营销策划,任务编号：875095,整合营销,1000.0,2020-07-03
o5ef1d7bd98d1f,利宏营销策划,任务编号：872923,整合营销,1500.0,2020-06-24
vitorru,利宏营销策划,任务编号：865039,微信代运营,150.0,2020-05-27
o5e8aa93514c6a,张影工作室,任务编号：850423,网站优化方案,1000.0,2020-04-06
k7619****19,利宏营销策划,任务编号：843452,活动策划,1000.0,2020-03-12
o5e4cbe6da0896,映善中国,任务编号：837205,活动策划,1000.0,2020-02-19
o5e4b6f4cbb1ac,腾际品牌管理,任务编号：836969,产品推广,600.0,2020-02-18
ltsjfykj,利宏营销策划,任务编号：835459,微信推广,250.0,2020-02-11
od3yxpfvr9owz3,东晋网络,任务编号：828077,关键词优化,4500.0,2020-01-03
ty750****,拙朴品牌营销,任务编号：818658,整合营销,1000.0,2019-12-04
o5c9868b842fd4,磐石网络,任务编号：818615,网站优化方案,1000.0,2019-12-04
o5d9ade3b8e7b0,拙朴品牌营销,任务编号：817499,活动策划,1659.0,2019-12-01
北京道安科技,美邦视觉,任务编号：811790,品牌策划,500.0,2019-11-12
dullboy,磐石网络,任务编号：805063,关键词优化,400.0,2019-10-22
k7808****19,利宏营销策划,任务编号：801726,活动策划,500.0,2019-10-11
o5d9d6c75b4c47,映善中国,任务编号：800832,活动策划,2500.0,2019-10-09
k3071****52,利宏营销策划,任务编号：800696,整合营销,800.0,2019-10-09
o5d920c677dc4a,慕容网络,任务编号：799689,淘宝/天猫代运营,2000.0,2019-10-04
k7847****76,利宏营销策划,任务编号：795720,营销解决方案,800.0,2019-09-20
k3739****76,光影品牌策划,任务编号：795380,活动策划,1000.0,2019-09-19
o5d648356c3047,腾际品牌管理,任务编号：787452,整合营销,120.0,2019-08-27
o5d4563a7c0331,Durant丶,任务编号：779048,产品推广,1000.0,2019-08-04
o5cf7dd9dab4bb,腾际品牌管理,任务编号：756507,活动策划,100.0,2019-06-05
changfeng,悟空网络工作室,任务编号：751334,微信推广,250.0,2019-05-24
changfeng,悟空网络工作室,任务编号：749965,微信推广,250.0,2019-05-21
mf189****9572,腾际品牌管理,任务编号：740023,活动策划,800.0,2019-04-26
o5c9460aca4d5d,岙珩文创,任务编号：726679,产品推广,500.0,2019-03-26
o5bc6bb051435e,天府互联/四川天虎互联科技有限公司,任务编号：718923,产品推广,1000.0,2019-03-08
小没良心的,光影品牌策划,任务编号：714597,整合营销,1500.0,2019-02-26
优胜美地,金芭蕉文案服务工作室,任务编号：713228,整合营销,2000.0,2019-02-22
mf155****4417,天府互联/四川天虎互联科技有限公司,任务编号：705102,关键词优化,768.0,2019-01-20
高手不容易,腾际品牌管理,任务编号：705029,活动策划,1800.0,2019-01-19
o59ccc5ff2d7d9,沐米的异想,任务编号：699558,活动策划,2000.0,2019-01-04
o5b4c4adaaaa3c,利宏营销策划,任务编号：643621,品牌策划,800.0,2018-07-31
o5b35a9108d26b,璞玉推广,任务编号：640687,产品推广,1000.0,2018-07-24
拉风车友,惠天下网络工作室,任务编号：638494,网站优化方案,400.0,2018-07-18
o59cf65d1a3f26,海心科技,任务编号：635570,网站优化方案,5000.0,2018-07-10
liuf888,重庆智青创网络科技,任务编号：628439,关键词优化,800.0,2018-06-21
o593aad9bbc235,光影品牌策划,任务编号：625953,活动策划,1200.0,2018-06-14
gang0110,applense,任务编号：625219,微信推广,200.0,2018-06-13
k7625****18,苏州燕子坞文化传媒有限公司,任务编号：623558,活动策划,900.0,2018-06-07
mmz2018,天府互联/四川天虎互联科技有限公司,任务编号：611265,网站优化方案,1000.0,2018-05-08
o583e21ed6ad59,o5acdf904ac032,任务编号：604690,整合营销,300.0,2018-04-20
zhwebs,pengzhuo123,任务编号：593904,关键词优化,2400.0,2018-03-22
DY001,紫彧营销咨询机构,任务编号：584544,活动策划,2000.0,2018-02-26
o576b2dd257edd,pengzhuo123,任务编号：580848,微信代运营,500.0,2018-02-06
赤壁起点装饰,殊同品牌策划设计,任务编号：565161,活动策划,1000.0,2017-12-20
炎炎1618,卓砾广告,任务编号：557294,微信推广,2400.0,2017-11-27
一品通无忧,利宏营销策划,任务编号：555351,网站优化方案,275.0,2017-11-21
