需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122900,B任务编号：1122900,任务编号：1122900,展台展厅,1.0,2025-05-19
A任务编号：1122710,B任务编号：1122710,任务编号：1122710,别墅设计,1000.0,2025-05-17
A任务编号：1118475,B任务编号：1118475,任务编号：1118475,施工图设计,200.0,2025-04-12
A任务编号：1118408,B任务编号：1118408,任务编号：1118408,效果图设计,200.0,2025-04-11
A任务编号：495018,B任务编号：495018,任务编号：495018,施工图设计,3000.0,2017-04-24
k8072****75,艺弘设计,任务编号：1119868,门头设计,2200.0,2025-04-22
大员0gNVi,憧憬如画全案设计工作室,任务编号：1111908,效果图设计,800.0,2025-03-03
朗润建筑,艺弘设计,任务编号：1111764,酒店宾馆,800.0,2025-03-02
优觅rvmkt,艺弘设计,任务编号：1096028,效果图设计,700.0,2024-11-06
mayuan1007,艺弘设计,任务编号：1080651,效果图设计,1200.0,2024-05-17
k7322****22,艺弘设计,任务编号：1060470,新房装修,600.0,2023-10-13
o5eaecf40a223c,艺弘设计,任务编号：1041492,医疗机构,500.0,2023-05-18
优客REd5L,艺弘设计,任务编号：1033582,餐饮饮食,5400.0,2023-03-20
k1825****72,艺弘设计,任务编号：1032709,效果图设计,500.0,2023-03-14
o5bde99026e049,佛山极影文化传媒有限公司,任务编号：1032586,新房装修,500.0,2023-03-13
k3332****18,方木空间设计,任务编号：1028216,店铺厂房,1000.0,2023-02-03
威主力y0262,豹思创意设计有限公司,任务编号：1019480,效果图设计,400.0,2022-10-27
优创45V93,河南礼诚装饰工程有限公司,任务编号：1018592,施工图设计,600.0,2022-10-19
o5aa654862f2ab,现代前沿设计,任务编号：1011421,效果图设计,2300.0,2022-08-24
多财多亿,鲸叹号●爆款产品包装设计,任务编号：1010576,效果图设计,4800.0,2022-08-18
韬领6yEMC,河南礼诚装饰工程有限公司,任务编号：1007063,餐饮饮食,1000.0,2022-07-25
专客z2RFS,方木空间设计,任务编号：1000957,娱乐休闲,2400.0,2022-06-16
k5157****02,DF室内设计工作室,任务编号：995905,软装设计,500.0,2022-05-13
k3287****10,造热文化传播,任务编号：993644,店铺厂房,5000.0,2022-04-27
克仍斯zfiG4,方木空间设计,任务编号：989461,餐饮饮食,8000.0,2022-04-01
花郎,屿舟设计,任务编号：983192,效果图设计,900.0,2022-02-22
o620cb0d190c75,简创壹品视觉设计,任务编号：982404,效果图设计,2000.0,2022-02-16
一V渡江20NiV,易盛设计,任务编号：981651,新房装修,6000.0,2022-02-10
o61e91e93cd513,方木空间设计,任务编号：980059,医疗机构,2500.0,2022-01-20
钱卫军,苏州知艺舍工程设计有限公司,任务编号：977439,施工图设计,300.0,2022-01-03
k4465****5,室内设计、灯光设计,任务编号：963089,娱乐休闲,20000.0,2021-10-11
k7744****6,厚木室内设计,任务编号：963908,导视设计,10000.0,2021-10-11
k9381****3,空间设计工作室1,任务编号：963929,复式设计,8000.0,2021-10-11
k5117****9,银翼效果图设计表现,任务编号：963955,舞台设计,1000.0,2021-10-11
k8566****1,萤火虫设计_独立设计师,任务编号：963090,娱乐休闲,20000.0,2021-10-11
k8817****7,k648097966,任务编号：963331,工程造价,3000.0,2021-10-11
k6706****2,桃源创意设计工作室,任务编号：963329,工程造价,20000.0,2021-10-11
k3173****0,所见空间设计,任务编号：964119,样板间,50000.0,2021-10-11
k9381****3,盛达空间设计,任务编号：963931,复式设计,40000.0,2021-10-11
k8217****9,武功空间设计,任务编号：963330,工程造价,3000.0,2021-10-11
k7161****6,淄博前景空间设计,任务编号：964139,医疗机构,20000.0,2021-10-11
k5990****4,室内设计 曾,任务编号：963930,复式设计,5000.0,2021-10-11
k7418****6,一品空间设计,任务编号：964118,样板间,40000.0,2021-10-11
k2254****3,EATUSE设计,任务编号：963907,导视设计,8000.0,2021-10-11
k1884****8,唯你空间设计,任务编号：963950,舞台设计,2000.0,2021-10-10
k1875****0,大匠康宅,任务编号：963905,导视设计,10000.0,2021-10-10
k4548****0,设计胡小2,任务编号：963952,舞台设计,3000.0,2021-10-10
k1935****3,曲高建筑装饰设计,任务编号：963927,复式设计,3000.0,2021-10-10
k3844****5,张张烘焙甜点设计,任务编号：963951,舞台设计,3000.0,2021-10-10
k9558****1,共创空间设计,任务编号：962938,医疗机构,4000.0,2021-10-10
k5921****8,k365143731,任务编号：962934,样板间,20000.0,2021-10-10
k7005****5,建维青年设计,任务编号：963906,导视设计,10000.0,2021-10-10
k7566****7,唯東设计,任务编号：962933,样板间,40000.0,2021-10-10
k9508****4,鼎尚空间室内设计,任务编号：963926,复式设计,20000.0,2021-10-10
k3526****3,小飞龙室内设计工作室,任务编号：962932,样板间,45000.0,2021-10-10
k9095****8,k212410990,任务编号：962937,医疗机构,8000.0,2021-10-10
k6226****5,唯你空间设计,任务编号：963325,工程造价,10000.0,2021-10-10
k7619****9,三里-设计,任务编号：964137,医疗机构,3000.0,2021-10-10
k1837****3,DEZ室内空间设计工作室,任务编号：963328,工程造价,2500.0,2021-10-10
k6198****9,威臣装饰工程设计,任务编号：963326,工程造价,8000.0,2021-10-10
k7566****7,恒瑾室内设计工作室,任务编号：963327,工程造价,15000.0,2021-10-10
k3305****4,设计胡小2,任务编号：964116,样板间,20000.0,2021-10-10
k2567****2,餐饮店室内设计,任务编号：963922,导视设计,5000.0,2021-10-09
