需求方,设计师,任务编号,能力标签,交易价格,发布时间
No312,识亿品牌顾问,任务编号：1095552,动画制作,6000.0,2024-10-31
No312,青春影视,任务编号：1095552,动画制作,6000.0,2024-10-31
山东新房通,仙路漫漫,任务编号：851535,短视频营销,200.0,2020-04-09
山东新房通,比卡球01,任务编号：851535,短视频营销,200.0,2020-04-09
na309****36,一半小时,任务编号：815424,短视频营销,500.0,2019-11-24
na309****36,Samatha,任务编号：815424,短视频营销,500.0,2019-11-24
边缘BianYuan,o5a35053f0bf15,任务编号：803368,剧本创作,1000.0,2019-10-16
边缘BianYuan,o5d8b09612100e,任务编号：803368,剧本创作,1000.0,2019-10-16
魔杖的邓布利多,自由文案社,任务编号：735496,短视频营销,100.0,2019-04-16
魔杖的邓布利多,o595848e89a858,任务编号：735496,短视频营销,100.0,2019-04-16
o5c984887bfc7b,o5cafe75c37390,任务编号：734165,配音配乐,5050.0,2019-04-13
o5c984887bfc7b,濮阳暖醒,任务编号：734165,配音配乐,5050.0,2019-04-13
mf134****6665,雨打芭蕉   文案·设计,任务编号：686824,短视频代运营,1000.0,2018-11-28
mf134****6665,尚客,任务编号：686824,短视频代运营,1000.0,2018-11-28
那一缕温柔,Cmlish,任务编号：677413,图片处理,300.0,2018-11-02
那一缕温柔,叶宇韩,任务编号：677413,图片处理,300.0,2018-11-02
磐石旗厦门,浪花刀坊,任务编号：563109,广告片/MV,6000.0,2017-12-13
磐石旗厦门,杭州木惟影视传媒有限公司,任务编号：563109,广告片/MV,6000.0,2017-12-13
磐石旗厦门,小様传媒,任务编号：562839,广告片/MV,6000.0,2017-12-13
磐石旗厦门,浪花刀坊,任务编号：562839,广告片/MV,6000.0,2017-12-13
o59604d9f2b9d8,A470014211,任务编号：557345,图片处理,300.0,2017-11-27
o59604d9f2b9d8,韩国棒子思密达,任务编号：557345,图片处理,300.0,2017-11-27
mf134****6665,xdfswyyg,任务编号：505841,配音配乐,500.0,2017-05-29
mf134****6665,飞天文化,任务编号：505841,配音配乐,500.0,2017-05-29
o57808e32b6afa,点将设计-DIANJIANG DESIGN,任务编号：434443,图片处理,1800.0,2016-07-16
o57808e32b6afa,國寳丨Solomon,任务编号：434443,图片处理,1800.0,2016-07-16
