需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122648,B任务编号：1122648,任务编号：1122648,剪辑服务,1000.0,2025-05-16
A任务编号：1122609,B任务编号：1122609,任务编号：1122609,影视拍摄,3000.0,2025-05-16
A任务编号：1122472,B任务编号：1122472,任务编号：1122472,影视拍摄,1000.0,2025-05-15
A任务编号：1122393,B任务编号：1122393,任务编号：1122393,影视拍摄,3000.0,2025-05-14
A任务编号：1122359,B任务编号：1122359,任务编号：1122359,剪辑服务,1000.0,2025-05-14
A任务编号：1122060,B任务编号：1122060,任务编号：1122060,影视拍摄,3000.0,2025-05-12
A任务编号：1122053,B任务编号：1122053,任务编号：1122053,影视拍摄,1000.0,2025-05-12
A任务编号：1121998,B任务编号：1121998,任务编号：1121998,二维动画,1000.0,2025-05-12
A任务编号：1121958,B任务编号：1121958,任务编号：1121958,视频定制,500.0,2025-05-12
A任务编号：1121895,B任务编号：1121895,任务编号：1121895,剪辑服务,160.0,2025-05-11
A任务编号：1121426,B任务编号：1121426,任务编号：1121426,剪辑服务,1000.0,2025-05-07
A任务编号：1121420,B任务编号：1121420,任务编号：1121420,其他短视频,900.0,2025-05-07
A任务编号：1121362,B任务编号：1121362,任务编号：1121362,创意类视频创作,700.0,2025-05-06
A任务编号：1120209,B任务编号：1120209,任务编号：1120209,三维动画,2100.0,2025-04-24
A任务编号：1119896,B任务编号：1119896,任务编号：1119896,二维动画,6000.0,2025-04-22
A任务编号：1116354,B任务编号：1116354,任务编号：1116354,后期制作,7000.0,2025-03-24
A任务编号：1065727,B任务编号：1065727,任务编号：1065727,抖音代运营,1.0,2023-12-01
A任务编号：1058708,B任务编号：1058708,任务编号：1058708,剪辑服务,1000.0,2023-09-25
A任务编号：1049980,B任务编号：1049980,任务编号：1049980,剪辑服务,1000.0,2023-07-18
A任务编号：1038772,B任务编号：1038772,任务编号：1038772,创意短视频,1000.0,2023-04-28
A任务编号：562844,B任务编号：562844,任务编号：562844,创意短视频,34500.0,2017-12-13
同君行gWJEU,大桥设计,任务编号：1121037,三维动画,6800.0,2025-04-30
辽宁玉屏旅游,影创信息科技,任务编号：1114678,剪辑服务,100.0,2025-03-13
流水少年,影创信息科技,任务编号：1114103,产品视频,2000.0,2025-03-11
k8698****68,上海光梭行工作室,任务编号：1108042,影视拍摄,4000.0,2025-02-12
k6634****20,鲸语 科技,任务编号：1104212,剪辑服务,1000.0,2025-01-14
致利昂ofCoB,慧域工作室,任务编号：1101280,视频定制,100.0,2024-12-26
k3692****40,慧域工作室,任务编号：1097485,影视拍摄,1000.0,2024-11-23
k7383****90,慧域工作室,任务编号：1096260,剪辑服务,3000.0,2024-11-08
k7936****12,合肥四维虹动画,任务编号：1094509,动画制作,5000.0,2024-10-21
威品堂9jBdx,铭睿剪辑,任务编号：1093896,剪辑服务,200.0,2024-10-14
威恒天下2TVWX,澜图工作室,任务编号：1093371,后期制作,800.0,2024-10-08
k3923****78,安生工作室,任务编号：1092208,剪辑服务,160.0,2024-09-19
DZZ威,HR传媒,任务编号：1090380,剪辑服务,500.0,2024-08-27
领域之巅CIJ2E,卓益工作室,任务编号：1090372,剪辑服务,688.0,2024-08-27
doreen88,慧域工作室,任务编号：1088498,剪辑服务,230.0,2024-08-05
mark878,慧域工作室,任务编号：1087925,创意短视频,150.0,2024-07-30
fswytx,燊源影视,任务编号：1085965,剪辑服务,420.0,2024-07-11
v助利wPA3f,柏枳视觉工作室,任务编号：1084292,视频定制,500.0,2024-06-25
威威虎QUlUv,安生工作室,任务编号：1082471,抖音视频,400.0,2024-06-05
刘远,伟迪动画【威客店】,任务编号：1081997,其他短视频,500.0,2024-05-31
小蜜蜂QCx8h,慧域工作室,任务编号：1081158,产品拍摄,1500.0,2024-05-23
领域之巅iJnTd,小林剪辑室,任务编号：1079341,剪辑服务,150.0,2024-05-07
Mr186****0238,有点久文化,任务编号：1078607,剪辑服务,500.0,2024-04-28
威创金品N0tWx,安安子视觉创意工作室,任务编号：1076575,剪辑服务,300.0,2024-04-09
威创金品XGQXG,爱尚剪辑工作室,任务编号：1073017,产品视频,600.0,2024-03-05
V领地tYQWL,拾光工作室,任务编号：1067236,剪辑服务,500.0,2023-12-18
威旺R7g6N,云南富冠传媒,任务编号：1063736,产品视频,1000.0,2023-11-12
千禾魔术牌具店,晓影影视,任务编号：1062603,MV/混剪,400.0,2023-11-02
k9303****99,唯秀辉视影视传媒,任务编号：1060762,创意短视频,1200.0,2023-10-16
k3106****28,庆迪剪辑,任务编号：1057224,剧本创作,650.0,2023-09-12
k1470****02,云南富冠传媒,任务编号：1056560,影视拍摄,1500.0,2023-09-06
k2658****52,庆迪剪辑,任务编号：1056014,剧本创作,200.0,2023-09-01
CCCCLAUDIA,三只火烈鸟传媒,任务编号：1055156,其他短视频,1200.0,2023-08-25
作佳文化,河南玄灵文化传播有限公司,任务编号：1055101,动画设计,12000.0,2023-08-25
CCCCLAUDIA,三只火烈鸟传媒,任务编号：1054934,其他短视频,600.0,2023-08-24
CCCCLAUDIA,三只火烈鸟传媒,任务编号：1054544,其他短视频,600.0,2023-08-21
顶服4gkeI,北京嘉宇天成文化传播有限公司,任务编号：1053316,影视拍摄,3000.0,2023-08-11
极品堂Z8K6d,哈尔滨巨狮文化传媒有限公司,任务编号：1052213,剪辑服务,200.0,2023-08-03
k8324****99,博辉传媒,任务编号：1050103,影视拍摄,300.0,2023-07-19
威品堂kfEXz,博辉传媒,任务编号：1050080,抖音视频,500.0,2023-07-19
际尊服RnPJe,剪创空间,任务编号：1049476,剪辑服务,2000.0,2023-07-15
聚品创客hnTOK,唯秀辉视影视传媒,任务编号：1049316,剪辑服务,3000.0,2023-07-14
创时空WcxbZ,摩威文化传媒,任务编号：1049272,动画制作,3000.0,2023-07-13
k5425****35,花成蜜就,任务编号：1044987,影视拍摄,700.0,2023-06-12
骄世客39PMz,噔噔工作室,任务编号：1044385,剧本创作,2000.0,2023-06-07
k1711****0,南京星逸文化传媒有限公司,任务编号：1050361,剧本创作,10000.0,2023-05-30
k5463****4,野创传媒,任务编号：1043864,剪辑服务,1300.0,2023-05-20
k7726****3,南京星逸文化传媒有限公司,任务编号：1047916,剧本创作,10000.0,2023-05-20
k2005****1,极感传媒,任务编号：1048935,产品拍摄,20000.0,2023-05-19
k5910****1,南京星逸文化传媒有限公司,任务编号：1047254,剧本创作,7000.0,2023-05-18
k7526****7,傲世有限公司,任务编号：1050358,视频定制,15000.0,2023-05-18
k2254****3,酷也孤独,任务编号：1043245,剪辑服务,1600.0,2023-05-16
k8397****5,南京玳墨动画,任务编号：1043072,剪辑服务,8000.0,2023-05-16
k4128****6,苏州熊猫创意科技有限公司,任务编号：1042977,二维动画,8000.0,2023-05-15
k4548****0,苏州熊猫创意科技有限公司,任务编号：1048934,产品拍摄,20000.0,2023-05-14
k1999****0,傲世有限公司,任务编号：1047328,视频定制,15000.0,2023-05-14
k4880****1,极感传媒,任务编号：1047327,VR效果图,20000.0,2023-05-14
k1886****6,南京星逸文化传媒有限公司,任务编号：1042927,二维动画,3000.0,2023-05-12
k7418****6,横行天下有限公司,任务编号：1050354,产品拍摄,20000.0,2023-05-11
k2998****5,十分逆天,任务编号：1042717,产品拍摄,1800.0,2023-05-11
k3796****7,南京星逸文化传媒有限公司,任务编号：1046947,剧本创作,7000.0,2023-05-11
k2268****7,凉辰梦瑾,任务编号：1042855,短视频营销,3000.0,2023-05-10
k6758****8,傲世有限公司,任务编号：1047915,视频定制,15000.0,2023-05-10
k7614****5,极感传媒,任务编号：1043226,抖音视频,2000.0,2023-05-10
k9988****4,南京星逸文化传媒有限公司,任务编号：1046223,剧本创作,7000.0,2023-05-09
k8176****9,野创传媒,任务编号：1043228,抖音视频,3000.0,2023-05-06
k4406****7,浅末工作室,任务编号：1042721,视频定制,1200.0,2023-05-06
k8987****7,南京玳墨动画,任务编号：1043227,抖音视频,3000.0,2023-05-03
k5910****1,風雨英雄,任务编号：1042720,企业宣传片,1500.0,2023-05-03
k9280****0,横行天下有限公司,任务编号：1042718,VR效果图,3500.0,2023-05-01
