需求方,设计师,任务编号,能力标签,交易价格,发布时间
o5b4b9c9662e36,B任务编号：861753,任务编号：861753,LOGO设计,1210.0,2020-05-16
o5b9210c93fe9b,B任务编号：657691,任务编号：657691,插画设计,640.0,2018-09-07
o5b85fe55569c5,B任务编号：654358,任务编号：654358,包装设计,500.0,2018-08-29
hzhkzkj,B任务编号：549736,任务编号：549736,招牌设计,600.0,2017-11-02
o58bb8af703a26,B任务编号：501211,任务编号：501211,详情页设计,500.0,2017-05-13
mf156****7936,B任务编号：445232,任务编号：445232,LOGO设计,500.0,2016-09-09
chenbian,B任务编号：439974,任务编号：439974,LOGO设计,990.0,2016-08-13
精锐教育,B任务编号：418649,任务编号：418649,详情页设计,510.0,2016-04-28
精锐教育,B任务编号：412314,任务编号：412314,详情页设计,510.0,2016-03-27
自由的我2012,B任务编号：407118,任务编号：407118,广告设计,1500.0,2016-03-01
精锐教育,B任务编号：405595,任务编号：405595,详情页设计,510.0,2016-02-20
三只鹅,B任务编号：404311,任务编号：404311,广告设计,510.0,2016-02-03
三只鹅,B任务编号：379886,任务编号：379886,广告设计,500.0,2015-09-16
mf186****5155,B任务编号：315829,任务编号：315829,LOGO设计,500.0,2014-11-12
wangbowel,B任务编号：299038,任务编号：299038,排版设计,100.0,2014-08-06
admin999,B任务编号：257718,任务编号：257718,宣传册设计,250.0,2014-04-20
