ID,Transaction_Price,Publication_Time,[z],type
任务编号：258495,360,2014/4/25,2,订单
任务编号：323239,200,2014/12/20,2,订单
任务编号：323240,200,2014/12/20,2,订单
任务编号：323242,200,2014/12/20,2,订单
任务编号：323243,200,2014/12/20,2,订单
任务编号：322651,110,2014/12/17,2,订单
任务编号：322551,400,2014/12/17,2,订单
任务编号：315924,150,2014/11/12,2,订单
任务编号：315352,300,2014/11/9,2,订单
任务编号：325407,12510,2014/12/31,2,订单
任务编号：325353,800,2014/12/31,2,订单
任务编号：324894,800,2014/12/29,2,订单
任务编号：324429,800,2014/12/26,2,订单
任务编号：324085,30000,2014/12/24,2,订单
任务编号：323939,5000,2014/12/23,2,订单
任务编号：323736,2000,2014/12/23,2,订单
任务编号：323416,3500,2014/12/22,2,订单
任务编号：323308,1000,2014/12/21,2,订单
任务编号：323097,3800,2014/12/19,2,订单
任务编号：322557,5000,2014/12/17,2,订单
任务编号：321983,1500,2014/12/15,2,订单
任务编号：321708,1000,2014/12/12,2,订单
任务编号：321325,9000,2014/12/10,2,订单
任务编号：320900,1500,2014/12/8,2,订单
任务编号：320574,150,2014/12/6,2,订单
任务编号：320085,1500,2014/12/3,2,订单
任务编号：319994,8000,2014/12/3,2,订单
任务编号：319604,4000,2014/12/1,2,订单
任务编号：319584,5000,2014/12/1,2,订单
任务编号：319379,1000,2014/11/30,2,订单
任务编号：319167,8000,2014/11/28,2,订单
任务编号：318487,2000,2014/11/25,2,订单
任务编号：318245,18880,2014/11/24,2,订单
任务编号：317871,500,2014/11/21,2,订单
任务编号：317222,3000,2014/11/19,2,订单
任务编号：316716,5000,2014/11/17,2,订单
任务编号：316816,150,2014/11/17,2,订单
任务编号：316391,1600,2014/11/14,2,订单
任务编号：316388,5000,2014/11/14,2,订单
任务编号：315738,1000,2014/11/11,2,订单
任务编号：315555,32000,2014/11/10,2,订单
任务编号：315451,500,2014/11/10,2,订单
任务编号：315446,5000,2014/11/10,2,订单
任务编号：314672,15000,2014/11/5,2,订单
任务编号：314421,1200,2014/11/4,2,订单
任务编号：313977,2500,2014/11/2,2,订单
任务编号：313935,5000,2014/11/2,2,订单
任务编号：313316,870,2014/10/29,2,订单
任务编号：313248,1500,2014/10/29,2,订单
任务编号：312634,900,2014/10/26,2,订单
任务编号：311581,4200,2014/10/20,2,订单
任务编号：311147,500,2014/10/17,2,订单
任务编号：311156,10000,2014/10/17,2,订单
任务编号：310112,500,2014/10/12,2,订单
任务编号：310082,700,2014/10/12,2,订单
任务编号：309388,1300,2014/10/8,2,订单
任务编号：308061,900,2014/9/26,2,订单
任务编号：308014,1000,2014/9/26,2,订单
任务编号：307902,3000,2014/9/25,2,订单
任务编号：307487,1500,2014/9/23,2,订单
任务编号：306409,3200,2014/9/17,2,订单
任务编号：306407,5000,2014/9/17,2,订单
任务编号：305200,800,2014/9/11,2,订单
任务编号：305133,2100,2014/9/11,2,订单
任务编号：305055,6000,2014/9/10,2,订单
任务编号：304741,12000,2014/9/7,2,订单
任务编号：304476,7000,2014/9/5,2,订单
任务编号：302974,3500,2014/8/28,2,订单
任务编号：302465,2000,2014/8/25,2,订单
任务编号：302412,6000,2014/8/25,2,订单
任务编号：301672,20000,2014/8/20,2,订单
任务编号：301319,1500,2014/8/19,2,订单
任务编号：301291,800,2014/8/19,2,订单
任务编号：301194,1000,2014/8/18,2,订单
任务编号：300652,950,2014/8/14,2,订单
任务编号：300369,500,2014/8/13,2,订单
任务编号：300164,2000,2014/8/12,2,订单
任务编号：300001,1000,2014/8/11,2,订单
任务编号：299959,9800,2014/8/11,2,订单
任务编号：299965,20000,2014/8/11,2,订单
任务编号：299296,1800,2014/8/7,2,订单
任务编号：298755,12000,2014/8/5,2,订单
任务编号：297841,1000,2014/7/31,2,订单
任务编号：297517,1000,2014/7/29,2,订单
任务编号：297351,4500,2014/7/29,2,订单
任务编号：297196,1000,2014/7/28,2,订单
任务编号：297010,2680,2014/7/26,2,订单
任务编号：296206,1000,2014/7/22,2,订单
任务编号：295787,1000,2014/7/19,2,订单
任务编号：294672,600,2014/7/13,2,订单
任务编号：294346,2300,2014/7/10,2,订单
任务编号：294302,200,2014/7/10,2,订单
任务编号：293232,2000,2014/7/3,2,订单
任务编号：293058,6000,2014/7/2,2,订单
任务编号：293031,3500,2014/7/2,2,订单
任务编号：293041,1000,2014/7/2,2,订单
任务编号：292757,150,2014/7/1,2,订单
任务编号：292664,10000,2014/7/1,2,订单
任务编号：292618,300,2014/6/30,2,订单
任务编号：291917,6000,2014/6/25,2,订单
任务编号：291890,800,2014/6/25,2,订单
任务编号：291273,5000,2014/6/21,2,订单
任务编号：290670,3500,2014/6/17,2,订单
任务编号：290211,1000,2014/6/14,2,订单
任务编号：289989,1000,2014/6/12,2,订单
任务编号：289858,999,2014/6/11,2,订单
任务编号：289670,1000,2014/6/10,2,订单
任务编号：289561,5000,2014/6/10,2,订单
任务编号：289551,200,2014/6/10,2,订单
任务编号：289549,2800,2014/6/9,2,订单
任务编号：289020,10000,2014/6/6,2,订单
任务编号：288583,30000,2014/6/3,2,订单
任务编号：287873,1000,2014/5/28,2,订单
任务编号：287479,150,2014/5/25,2,订单
任务编号：287292,800,2014/5/23,2,订单
任务编号：287199,800,2014/5/22,2,订单
任务编号：287244,1000,2014/5/23,2,订单
任务编号：286389,5000,2014/5/17,2,订单
任务编号：286317,15000,2014/5/16,2,订单
任务编号：286288,800,2014/5/16,2,订单
任务编号：285428,850,2014/5/12,2,订单
任务编号：285214,2200,2014/5/9,2,订单
任务编号：285134,2000,2014/5/9,2,订单
任务编号：284881,4000,2014/5/7,2,订单
任务编号：284394,5000,2014/5/5,2,订单
任务编号：284198,1000,2014/5/3,2,订单
任务编号：283938,1200,2014/4/30,2,订单
任务编号：283934,600,2014/4/30,2,订单
任务编号：283469,200,2014/4/28,2,订单
任务编号：283448,3000,2014/4/28,2,订单
任务编号：283439,350,2014/4/28,2,订单
任务编号：258341,1000,2014/4/24,2,订单
任务编号：258293,700,2014/4/23,2,订单
任务编号：257914,400,2014/4/21,2,订单
任务编号：257194,1000,2014/4/16,2,订单
任务编号：255795,800,2014/4/10,2,订单
任务编号：253998,1000,2014/3/27,2,订单
任务编号：253691,500,2014/3/25,2,订单
任务编号：253402,20000,2014/3/23,2,订单
任务编号：253037,800,2014/3/20,2,订单
任务编号：253006,1000,2014/3/20,2,订单
任务编号：252244,5000,2014/3/15,2,订单
任务编号：251708,3000,2014/3/12,2,订单
任务编号：251471,800,2014/3/10,2,订单
任务编号：249578,3500,2014/2/25,2,订单
任务编号：249270,1000,2014/2/23,2,订单
任务编号：249198,500,2014/2/22,2,订单
任务编号：249173,600,2014/2/21,2,订单
任务编号：248555,8000,2014/2/18,2,订单
任务编号：248230,3500,2014/2/14,2,订单
任务编号：248113,4000,2014/2/13,2,订单
任务编号：248018,550,2014/2/13,2,订单
任务编号：247269,550,2014/2/6,2,订单
任务编号：246955,550,2014/1/26,2,订单
任务编号：246766,2000,2014/1/24,2,订单
任务编号：246628,300,2014/1/23,2,订单
任务编号：246359,500,2014/1/21,2,订单
任务编号：246287,1800,2014/1/20,2,订单
任务编号：244859,800,2014/1/8,2,订单
任务编号：244857,888,2014/1/8,2,订单
任务编号：316179,2000,2014/11/13,2,订单
任务编号：315162,100,2014/11/7,2,订单
任务编号：314834,700,2014/11/6,2,订单
任务编号：304744,3000,2014/9/7,2,订单
任务编号：325368,10000,2014/12/31,2,订单
任务编号：325342,300,2014/12/31,2,订单
任务编号：325214,1500,2014/12/30,2,订单
任务编号：324615,5000,2014/12/26,2,订单
任务编号：324573,1500,2014/12/26,2,订单
任务编号：324570,2500,2014/12/26,2,订单
任务编号：324529,2300,2014/12/26,2,订单
任务编号：324486,1000,2014/12/26,2,订单
任务编号：324233,1500,2014/12/25,2,订单
任务编号：323878,10000,2014/12/23,2,订单
任务编号：323810,3000,2014/12/23,2,订单
任务编号：323732,500,2014/12/23,2,订单
任务编号：323661,575,2014/12/22,2,订单
任务编号：323649,4200,2014/12/22,2,订单
任务编号：323631,5000,2014/12/22,2,订单
任务编号：323618,3000,2014/12/22,2,订单
任务编号：323604,800,2014/12/22,2,订单
任务编号：323546,300,2014/12/22,2,订单
任务编号：323347,600,2014/12/21,2,订单
任务编号：323229,1500,2014/12/20,2,订单
任务编号：323096,800,2014/12/19,2,订单
任务编号：323013,800,2014/12/19,2,订单
任务编号：322907,15000,2014/12/18,2,订单
任务编号：322788,2000,2014/12/18,2,订单
任务编号：322725,4000,2014/12/18,2,订单
任务编号：322639,300,2014/12/17,2,订单
任务编号：322213,500,2014/12/16,2,订单
任务编号：321958,200,2014/12/14,2,订单
任务编号：321976,200,2014/12/15,2,订单
任务编号：321748,500,2014/12/12,2,订单
任务编号：321633,100,2014/12/12,2,订单
任务编号：321559,10000,2014/12/11,2,订单
任务编号：321402,841,2014/12/11,2,订单
任务编号：321203,6000,2014/12/10,2,订单
任务编号：321037,6000,2014/12/9,2,订单
任务编号：320894,100,2014/12/8,2,订单
任务编号：320831,12800,2014/12/8,2,订单
任务编号：320737,100,2014/12/8,2,订单
任务编号：320710,1800,2014/12/8,2,订单
任务编号：320687,350,2014/12/7,2,订单
任务编号：320475,13000,2014/12/5,2,订单
任务编号：320337,400,2014/12/5,2,订单
任务编号：320229,2000,2014/12/4,2,订单
任务编号：320191,200,2014/12/4,2,订单
任务编号：320017,3000,2014/12/3,2,订单
任务编号：320062,800,2014/12/3,2,订单
任务编号：319879,1500,2014/12/2,2,订单
任务编号：319882,100,2014/12/2,2,订单
任务编号：319792,350,2014/12/2,2,订单
任务编号：319764,500,2014/12/2,2,订单
任务编号：319608,1500,2014/12/1,2,订单
任务编号：319561,20000,2014/12/1,2,订单
任务编号：319434,230,2014/11/30,2,订单
任务编号：319487,600,2014/12/1,2,订单
任务编号：319422,4000,2014/11/30,2,订单
任务编号：319207,2500,2014/11/28,2,订单
任务编号：319253,4600,2014/11/29,2,订单
任务编号：319229,3000,2014/11/28,2,订单
任务编号：319122,3000,2014/11/28,2,订单
任务编号：318960,200,2014/11/27,2,订单
任务编号：318883,200,2014/11/27,2,订单
任务编号：318809,200,2014/11/27,2,订单
任务编号：318828,50000,2014/11/27,2,订单
任务编号：318760,400,2014/11/26,2,订单
任务编号：318756,300,2014/11/26,2,订单
任务编号：318739,500,2014/11/26,2,订单
任务编号：318723,24800,2014/11/26,2,订单
任务编号：318670,1000,2014/11/26,2,订单
任务编号：318599,500,2014/11/26,2,订单
任务编号：318236,930,2014/11/24,2,订单
任务编号：318200,505,2014/11/24,2,订单
任务编号：318136,8000,2014/11/24,2,订单
任务编号：318040,200,2014/11/23,2,订单
任务编号：317832,1500,2014/11/21,2,订单
任务编号：317846,400,2014/11/21,2,订单
任务编号：317637,100,2014/11/21,2,订单
任务编号：317543,500,2014/11/20,2,订单
任务编号：317510,5000,2014/11/20,2,订单
任务编号：317408,100,2014/11/20,2,订单
任务编号：317459,2700,2014/11/20,2,订单
任务编号：317233,500,2014/11/19,2,订单
任务编号：317130,100,2014/11/18,2,订单
任务编号：316836,150,2014/11/17,2,订单
任务编号：316754,2500,2014/11/17,2,订单
任务编号：316714,2200,2014/11/17,2,订单
任务编号：316637,4000,2014/11/16,2,订单
任务编号：316660,500,2014/11/16,2,订单
任务编号：316608,600,2014/11/15,2,订单
任务编号：316636,2000,2014/11/16,2,订单
任务编号：316568,200,2014/11/15,2,订单
任务编号：316454,800,2014/11/14,2,订单
任务编号：316412,5000,2014/11/14,2,订单
任务编号：316363,5000,2014/11/14,2,订单
任务编号：316018,1000,2014/11/12,2,订单
任务编号：315725,200,2014/11/11,2,订单
任务编号：315571,12000,2014/11/10,2,订单
任务编号：315465,500,2014/11/10,2,订单
任务编号：315402,4500,2014/11/9,2,订单
任务编号：314717,100,2014/11/5,2,订单
任务编号：314718,101,2014/11/5,2,订单
任务编号：314668,1500,2014/11/5,2,订单
