标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签,交易价格1,需求价格备选,参与交稿,字段8_link,字段9_link,字段3,字段4,字段5,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16,字段17,字段18,字段19,交易价格备选,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,字段6,需求者,赏金总额1,交易总�����额,年份
【商标注册】中华寿喜文化商标设计,https://task.epwk.com/258495/,9049人,5人,¥360,圆满完成,单人悬赏,中华寿面,谢谢各位设计师的参与！1.商标构成：文字商标，文字内容为：感谢今生有你2.LOGO设计作品应构思精巧，简洁明快，色彩协调，健康向上，大气、简约，有独特的创意，易懂、易记、易识别，有强烈的视觉冲击力和直观的整体美感，有较强的思想性、艺术性、感染力和时代感。3.因为我公司是为全球华人和喜欢中华寿喜文化的世界友人提供寿喜文化礼品，所以设计者要有全球意识。我们商标包装中的文字内容主要有中文简体  中文繁体  英文  俄文 四种，这四种文字会出现在同一个包装上。4. 商品主要包括面条，剪纸、字画等工艺品，烟花，灯笼等。附说明：1、所设计的作品必须为原创，不得与其它企业或品牌标识类似，抄袭剽窃他人作品。不得侵犯他人著作权；如有侵犯他人著作权，由竞标者承担所有法律责任；我们要对新的Logo进行商标注册，各位竞标者一定要注意所设计作品的不重复性，如有雷同或无法进行商标注册将无法参与竞标。 2、竞标方设计作品一经选中，则视为同意征集方拥有对设计方案的所有权。最终中标的设计作品，其全部权利（包括但不限于知识产权、著作权、使用权、发布权、处分权)归我方，即拥有该作品的独立完整知识产权，有权对设计作品进行修改、组合和应用。我方除设计费外，无需向竞标者支付任何费用。3、中标的设计作品，我方支付设计费后，竞标者不得再在其他任何地方使用该作品，或为第三人提供该作品创意方案，否则构成侵权，本公司保留依法追究设计方法律责任的权利。 4、 如选中某作品，但需要进行适当微调，希望中标者能依据我们的意见适当调整。4、征集结果公布后，未采用的作品即可自行处理。5、参加此竞标者被视为同意以上声明。 交易双方交流可通过:一品威客站内信、任务详情之威客任务交流区或咨询一品威客在线客服人员,2014-04-25,2014.05.21,任务编号：258495,360.0,,,艺尚,https://shop.epwk.com/9w56eg1wkdv1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,商标注册,￥ 360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】女裤详情页设计1,https://task.epwk.com/323239/,4428人,8人,¥200,圆满完成,,Mr137****9868,女裤详情页，有意者电话. http://item.taobao.com/item.htm?spm=686.1000925.0.0.LRzkJY&id=41208488216,2014-12-20,2015.01.08,任务编号：323239,200.0,,,赳赳软件有限公司,,,LOGO设计,,企业,三品,40分,,,,"￥1500
            /月",,,,,,,,,,,,,,,,,,,网站UI设计,,,9.0,https://shop.epwk.com/78n96vgwonkv/,https://shop.epwk.com/78n96vgwonkv/chushou/,网店装修,"￥8000
            /月",UI设计,"￥10000
            /年",综合性网站开发,"￥15000
            /月",,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】女裤详情页设计4,https://task.epwk.com/323240/,4429人,5人,¥200,圆满完成,,Mr137****9868,女裤详情页有意者电话.http://item.taobao.com/item.htm?id=41359649992,2014-12-20,2015.01.08,任务编号：323240,200.0,,,赳赳软件有限公司,,,LOGO设计,,企业,三品,40分,,,,"￥1500
            /月",,,,,,,,,,,,,,,,,,,网站UI设计,,,6.0,https://shop.epwk.com/78n96vgwonkv/,https://shop.epwk.com/78n96vgwonkv/chushou/,网店装修,"￥8000
            /月",UI设计,"￥10000
            /年",综合性网站开发,"￥15000
            /月",,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】女裤详情页设计3,https://task.epwk.com/323242/,3495人,4人,¥200,圆满完成,,Mr137****9868,女裤详情页有意者电话:http://item.taobao.com/item.htm?id=41760001942,2014-12-20,2015.01.08,任务编号：323242,200.0,,,晟夕设计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站UI设计,,,5.0,https://shop.epwk.com/0jnekxkz9nv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【网站UI设计】女裤详情页设计2,https://task.epwk.com/323243/,3852人,5人,¥200,圆满完成,,Mr137****9868,女裤详情页有意者电话联系 http://item.taobao.com/item.htm?id=41229766269,2014-12-20,2015.01.08,任务编号：323243,200.0,,,艺中人传媒,,,字体设计、淘宝美工、海报设计、专业摄影、图片制作、LOGO设计,,工作室,七品,38分,,,,价格面议,,,,,,,,,,,,,,,,,,,网站UI设计,,,6.0,https://shop.epwk.com/qgdmjqy3ydke/,https://shop.epwk.com/qgdmjqy3ydke/chushou/,字体设计、淘宝美工、海报设计、专业摄影、图片制作、LOGO设计,价格面议,字体设计、淘宝美工、海报设计、专业摄影、图片制作、LOGO设计,"￥40
            /件",字体设计、淘宝美工、海报设计、专业摄影、图片制作、LOGO设计,"￥200
            /件",LOGO设计企业公司商标设计 图形平面设计 标志店铺装修 淘宝美工,价格面议,,,,,,,,,,,,,,,,,,,,,,,,2014
【软件UI设计】制作一个app图标，ICON图,https://task.epwk.com/322651/,5917人,8人,¥110,圆满完成,,qiguzh,1、附件是旧的废弃模糊图标.仅供参考。新的高清图标请制作好发给我psd格式的原始文件。2、交稿的威客朋友，请上传一个512*512尺寸PNG即可。要求图标是可以被公开使用的内容，不存在版权纠纷。3、该app游戏是个通过摄像头和地图来操作解锁获取碎片水晶，然后通过碎片水晶来解锁查看美女和帅哥的小游戏。4、图标上希望可以显示有“碎片恋人”字样，或者“碎片lover”字样等内容。5、是否显示碎片水晶图示、或者某些性感诱惑而又不过分的其他等元素。没有要求和限制，接活的朋友您随便发挥。6、整体不需要考虑啥复杂设计，只要图标清晰可用即可。,2014-12-17,2015.01.02,任务编号：322651,110.0,,,G.D.s,,,,,个人,九品,39分,,,,,,,,,,,,,,,,,,,,,,,软件UI设计,,,11.0,https://shop.epwk.com/z2nkzorm4nqy/,https://shop.epwk.com/z2nkzorm4nqy/chushou/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【APP界面设计】微信界面设计,https://task.epwk.com/322551/,4779人,3人,¥400,圆满完成,,将军与士兵,需要设计两个页面。页面结构已经画好，参见附件的界面设计一和二。可以参考附件中的参考样式1和2。必须符合手机操控，一个页面浏览完毕。一旦有满意的作品，立刻中标。,2014-12-17,2014.12.31,任务编号：322551,400.0,,,新媒体工作室,,,,,工作室,四品,29分,,,,,,,,,,,,,,,,,,,,,,,APP界面设计,,,4.0,https://shop.epwk.com/9w56eg0w3dv1/,https://shop.epwk.com/9w56eg0w3dv1/chushou/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【软件UI设计】Ｘ展架图形设计,https://task.epwk.com/315924/,4342人,7人,¥150,圆满完成,,lgd073,制作意图：让人扫描观注微信公众号送一些小礼品公众号名称：金钥匙财富金钥匙设计寓意：财富大门，金钥匙为您开启公众号宗旨：传播理财知识，提升国民的财富意识和财富水平。以培养财富自由人士为目标，以让财富永续传承为追求。为中国的贵族提供土壤和营养。公众号档目：理财专区　投资专区　健康教子,2014-11-12,2015.03.07,任务编号：315924,150.0,,,竹叶常青设计工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,软件UI设计,,,9.0,https://shop.epwk.com/omdwk09q1drp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
【软件UI设计】制作安卓手机应用图标,https://task.epwk.com/315352/,5439人,5人,¥300,圆满完成,,mf187****8282,1.所属灯具行业 2.简约，大方 3.宝之蓝照明,2014-11-09,2014.11.25,任务编号：315352,300.0,,,柒彩明扬,,,标识设计,,工作室,四品,35分,,,,"￥500
            /次",,,,,,,,,,,,,,,,,,,软件UI设计,,,6.0,https://shop.epwk.com/81n41wp80np6/,https://shop.epwk.com/81n41wp80np6/chushou/,包装设计,"￥1500
            /次",画册设计,价格面议,字体设计,"￥300
            /次",单页设计,"￥300
            /次",海报设计,"￥300
            /次",,,,,,,,,,,,,,,,,,,,,,2014
【企业官网】家具O2O项目安卓、IOS版APP及后台开发,https://task.epwk.com/325407/,3950人,9人,1万-2万元,圆满完成,,aiming555,•开发内容：IOS、Andriod版本移动客户端、移动端卖家版、web（简单简洁）、服务器对接，数据库、后台！•开发要求•提交100%程式源代码，发布到指定的应用商店，供用户下载安装，免费bug修改，版本稳定性升级。•ios平台开发语言：object-c，开发环境：Xcode;要求IOS8 SDK的64位应用开发•android 平台开发语言：java，开发环境：Zend Studio 、Eclipse•后台开发语言：JAVA•后台数据库：Mysql（或者NOSQL）•后台接口API 说明•LBS+GPS•安全体系：建立标准统一、适应需要、切实可行的网络安全保障体系运行环境•操作系统：Microsoft Windows 2003 Server•支持环境：IIS 6.0,2014-12-31,2015.01.16,任务编号：325407,12510.0,"70天,50天,30天,50天,7天,5天,60天","重庆市-市辖区-九龙坡区,重庆市-市辖区-九龙坡区,上海市-市辖区-浦东新区,河南省-洛阳市-西工区,成都,深圳,山西省-太原市-迎泽区",重庆世贝信息技术有限公司,https://shop.epwk.com/zqdpl4l7pn1v/,重庆世贝信息技术有限公司,出售服务,https://shop.epwk.com/zqdpl4l7pn1v/chushou/,工作室,四品,38分,,,重庆世贝信息技术有限公司,,,,,,,,,,,,,,,,,,,,企业官网,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014
