Source,Target,Type
任务编号：563574,法律文书,属于
任务编号：490424,商标注册,属于
任务编号：565566,软件UI设计,属于
任务编号：563411,APP界面设计,属于
任务编号：553508,小程序开发,属于
任务编号：551146,网站UI设计,属于
任务编号：548918,网站UI设计,属于
任务编号：545115,网站UI设计,属于
任务编号：541427,网站UI设计,属于
任务编号：536219,APP界面设计,属于
任务编号：533258,软件UI设计,属于
任务编号：531608,APP界面设计,属于
任务编号：528533,网站UI设计,属于
任务编号：517418,小程序开发,属于
任务编号：517157,网站UI设计,属于
任务编号：516193,网站UI设计,属于
任务编号：514700,网站UI设计,属于
任务编号：511735,网站UI设计,属于
任务编号：510787,网站UI设计,属于
任务编号：501633,网站UI设计,属于
任务编号：495947,网站UI设计,属于
任务编号：490221,网站UI设计,属于
任务编号：490193,网站UI设计,属于
任务编号：481947,软件UI设计,属于
任务编号：481784,网站UI设计,属于
任务编号：481453,网站UI设计,属于
任务编号：479446,网站UI设计,属于
任务编号：476783,网站UI设计,属于
任务编号：474492,软件UI设计,属于
任务编号：469415,网站UI设计,属于
任务编号：568934,网站UI设计,属于
任务编号：568762,网站UI设计,属于
任务编号：568372,手机网站,属于
任务编号：568418,企业官网,属于
任务编号：568348,企业官网,属于
任务编号：568311,APP开发,属于
任务编号：568082,其他软件开发,属于
任务编号：567637,APP开发,属于
任务编号：567496,小程序开发,属于
任务编号：567512,微信开发,属于
任务编号：567340,企业官网,属于
任务编号：567326,微信开发,属于
任务编号：566963,其他软件开发,属于
任务编号：566912,网站UI设计,属于
任务编号：566717,APP开发,属于
任务编号：566038,软件UI设计,属于
任务编号：566037,软件UI设计,属于
任务编号：565998,网站UI设计,属于
任务编号：565741,APP开发,属于
任务编号：565562,企业官网,属于
任务编号：565419,小程序开发,属于
任务编号：564635,企业官网,属于
任务编号：564840,企业官网,属于
任务编号：564636,网站UI设计,属于
任务编号：564511,微信开发,属于
任务编号：564320,微信开发,属于
任务编号：564243,小程序开发,属于
任务编号：563534,企业官网,属于
任务编号：563525,软件UI设计,属于
任务编号：563498,网站UI设计,属于
任务编号：563465,微信开发,属于
任务编号：563423,小程序开发,属于
任务编号：563324,小程序开发,属于
任务编号：563167,企业官网,属于
任务编号：562719,微信开发,属于
任务编号：562769,小程序开发,属于
任务编号：562568,小程序开发,属于
任务编号：562472,APP开发,属于
任务编号：562004,微信开发,属于
任务编号：561988,企业官网,属于
任务编号：561602,企业官网,属于
任务编号：561324,后端开发,属于
任务编号：561250,小程序开发,属于
任务编号：561258,APP开发,属于
任务编号：561075,APP开发,属于
任务编号：560434,网站UI设计,属于
任务编号：560792,微信开发,属于
任务编号：560981,电商网站,属于
任务编号：560897,APP开发,属于
任务编号：560805,小程序开发,属于
任务编号：560496,微信开发,属于
任务编号：560444,小程序开发,属于
任务编号：560384,微信开发,属于
任务编号：559524,小程序开发,属于
任务编号：559695,小程序开发,属于
任务编号：559411,企业官网,属于
任务编号：559349,企业官网,属于
任务编号：558642,企业官网,属于
任务编号：558446,网站UI设计,属于
任务编号：558418,APP开发,属于
任务编号：558135,APP界面设计,属于
任务编号：558123,测试服务,属于
任务编号：558017,企业官网,属于
任务编号：557871,微信开发,属于
任务编号：557464,手机网站,属于
任务编号：557378,APP开发,属于
任务编号：557174,企业官网,属于
任务编号：557089,电商网站,属于
任务编号：556726,APP开发,属于
任务编号：556589,企业官网,属于
任务编号：556537,企业官网,属于
任务编号：556249,手机网站,属于
任务编号：556393,企业官网,属于
任务编号：556251,网站UI设计,属于
任务编号：556055,小程序开发,属于
任务编号：556023,APP界面设计,属于
任务编号：555891,软件UI设计,属于
任务编号：555833,软件UI设计,属于
任务编号：555794,OA系统,属于
任务编号：555773,OA系统,属于
任务编号：555675,APP开发,属于
任务编号：555094,APP开发,属于
任务编号：554984,APP开发,属于
任务编号：554953,企业官网,属于
任务编号：554865,微信开发,属于
任务编号：554628,小程序开发,属于
任务编号：554500,企业官网,属于
任务编号：554405,APP开发,属于
任务编号：554330,小程序开发,属于
任务编号：554218,企业官网,属于
任务编号：554140,APP开发,属于
任务编号：553768,APP开发,属于
任务编号：553305,APP开发,属于
任务编号：553389,网站UI设计,属于
任务编号：553229,APP开发,属于
任务编号：552407,企业官网,属于
任务编号：552306,微信开发,属于
任务编号：552254,企业官网,属于
任务编号：551657,APP开发,属于
任务编号：551179,脚本开发,属于
任务编号：551168,小程序开发,属于
任务编号：550744,APP开发,属于
任务编号：550478,电商网站,属于
任务编号：550268,APP开发,属于
任务编号：549618,小程序开发,属于
任务编号：549459,企业官网,属于
任务编号：549428,小程序开发,属于
任务编号：549351,企业官网,属于
任务编号：548972,APP开发,属于
任务编号：548864,企业官网,属于
任务编号：548513,企业官网,属于
任务编号：548027,小程序开发,属于
任务编号：548035,企业官网,属于
任务编号：547842,企业官网,属于
任务编号：547617,企业官网,属于
任务编号：547494,APP开发,属于
任务编号：547191,APP开发,属于
任务编号：545948,企业官网,属于
任务编号：546777,微信开发,属于
任务编号：546696,微信开发,属于
任务编号：546544,小程序开发,属于
任务编号：546431,APP开发,属于
任务编号：546411,APP开发,属于
任务编号：546255,小程序开发,属于
任务编号：545923,APP界面设计,属于
任务编号：545908,小程序开发,属于
任务编号：545921,安全服务,属于
任务编号：545695,微信开发,属于
任务编号：545682,APP开发,属于
任务编号：545625,APP开发,属于
任务编号：545048,小程序开发,属于
任务编号：545119,企业官网,属于
任务编号：544912,APP开发,属于
任务编号：544862,APP开发,属于
任务编号：544880,APP开发,属于
任务编号：544378,其他软件开发,属于
任务编号：544119,微信开发,属于
任务编号：543767,网站UI设计,属于
任务编号：543693,网站UI设计,属于
任务编号：543702,其他工具软件,属于
任务编号：543351,OA系统,属于
任务编号：543017,后端开发,属于
任务编号：542338,APP开发,属于
任务编号：542495,其他软件开发,属于
任务编号：542275,小程序开发,属于
任务编号：542282,企业官网,属于
任务编号：541998,安全服务,属于
任务编号：541979,APP开发,属于
任务编号：541930,小程序开发,属于
任务编号：541759,小程序开发,属于
任务编号：541754,APP开发,属于
任务编号：541753,网站UI设计,属于
任务编号：541082,企业官网,属于
任务编号：541062,微信开发,属于
任务编号：540597,微信开发,属于
任务编号：540320,手机网站,属于
任务编号：540175,APP界面设计,属于
任务编号：539850,其他软件开发,属于
任务编号：539798,APP开发,属于
任务编号：532805,小程序开发,属于
任务编号：539538,APP开发,属于
任务编号：539481,企业官网,属于
任务编号：539284,小程序开发,属于
任务编号：539130,网站UI设计,属于
任务编号：539070,小程序开发,属于
任务编号：538959,手游开发,属于
任务编号：538791,其他软件开发,属于
任务编号：538758,小程序开发,属于
任务编号：538596,软件UI设计,属于
任务编号：538497,手游开发,属于
任务编号：538474,手游开发,属于
任务编号：538348,企业官网,属于
任务编号：538361,小程序开发,属于
任务编号：537800,企业官网,属于
任务编号：537707,APP开发,属于
任务编号：537639,安全服务,属于
任务编号：537366,手游开发,属于
任务编号：537309,微信开发,属于
任务编号：537029,手游开发,属于
任务编号：536601,手游开发,属于
任务编号：536134,小程序开发,属于
任务编号：536031,微信开发,属于
任务编号：535593,微信开发,属于
任务编号：535356,手游开发,属于
任务编号：535353,数据库设计,属于
任务编号：535135,企业官网,属于
任务编号：534979,微信开发,属于
任务编号：534682,小程序开发,属于
任务编号：534674,小程序开发,属于
任务编号：534638,APP开发,属于
任务编号：534587,测试服务,属于
任务编号：534456,网站UI设计,属于
任务编号：534361,网站UI设计,属于
任务编号：534137,其他软件开发,属于
任务编号：533707,小程序开发,属于
任务编号：533364,APP界面设计,属于
任务编号：533789,网站UI设计,属于
任务编号：533727,网站UI设计,属于
任务编号：533596,网站UI设计,属于
任务编号：533327,小程序开发,属于
任务编号：533250,企业官网,属于
任务编号：533124,微信开发,属于
任务编号：532841,网站UI设计,属于
任务编号：532525,APP开发,属于
任务编号：532457,APP开发,属于
任务编号：532311,小程序开发,属于
任务编号：532209,网站UI设计,属于
任务编号：531667,安全服务,属于
任务编号：531522,小程序开发,属于
任务编号：531415,企业官网,属于
任务编号：530022,电商网站,属于
任务编号：530874,手游开发,属于
任务编号：530743,企业官网,属于
任务编号：530552,其他软件开发,属于
任务编号：530490,前端开发,属于
任务编号：530388,企业官网,属于
任务编号：530241,企业官网,属于
任务编号：530157,微信开发,属于
任务编号：530053,企业官网,属于
任务编号：530064,企业官网,属于
任务编号：529915,微信开发,属于
任务编号：529863,微信开发,属于
任务编号：529279,其他软件开发,属于
任务编号：529003,网站UI设计,属于
任务编号：528898,微信开发,属于
任务编号：528820,APP开发,属于
任务编号：528503,小程序开发,属于
任务编号：528477,网站UI设计,属于
任务编号：528451,企业官网,属于
任务编号：528103,企业官网,属于
任务编号：527822,小程序开发,属于
任务编号：527758,微信开发,属于
任务编号：527556,小程序开发,属于
任务编号：527483,微信开发,属于
任务编号：527285,小程序开发,属于
任务编号：527312,小程序开发,属于
