ID,Transaction_Price,Publication_Time
任务编号：967065,1500.0,2021-11-03
任务编号：963071,200.0,2021-10-26
任务编号：972472,400.0,2021-12-01
任务编号：951510,1500.0,2021-08-23
任务编号：927793,5000.0,2021-04-03
任务编号：921567,1000.0,2021-03-01
任务编号：928369,500.0,2021-04-07
任务编号：924078,100.0,2021-03-14
任务编号：977053,39000.0,2021-12-30
任务编号：976842,10000.0,2021-12-29
任务编号：976771,600.0,2021-12-28
任务编号：976758,6500.0,2021-12-28
任务编号：976680,8500.0,2021-12-28
任务编号：976528,800.0,2021-12-27
任务编号：976333,600.0,2021-12-26
任务编号：976289,5000.0,2021-12-25
任务编号：975977,1000.0,2021-12-23
任务编号：975600,2500.0,2021-12-21
任务编号：975599,6000.0,2021-12-21
任务编号：975574,16800.0,2021-12-21
任务编号：975450,600.0,2021-12-20
任务编号：975422,500.0,2021-12-20
任务编号：975348,1500.0,2021-12-20
任务编号：975215,10000.0,2021-12-18
任务编号：975106,5000.0,2021-12-17
任务编号：975086,2500.0,2021-12-17
任务编号：974054,3000.0,2021-12-11
任务编号：973814,1800.0,2021-12-10
任务编号：973795,29500.0,2021-12-09
任务编号：973728,5000.0,2021-12-09
任务编号：973644,5000.0,2021-12-09
任务编号：973287,600.0,2021-12-07
任务编号：973060,200.0,2021-12-06
任务编号：973058,300.0,2021-12-06
任务编号：972882,3800.0,2021-12-04
任务编号：972948,1000.0,2021-12-05
任务编号：972808,4700.0,2021-12-03
任务编号：972649,1000.0,2021-12-02
任务编号：972567,50000.0,2021-12-02
任务编号：972319,4500.0,2021-12-01
任务编号：972140,5000.0,2021-11-30
任务编号：972113,13000.0,2021-11-30
任务编号：971966,2300.0,2021-11-29
任务编号：971908,12000.0,2021-11-29
任务编号：971863,200.0,2021-11-28
任务编号：971432,15000.0,2021-11-25
任务编号：971230,1000.0,2021-11-24
任务编号：971202,6000.0,2021-11-24
任务编号：971019,7000.0,2021-11-23
任务编号：970982,6000.0,2021-11-23
任务编号：970855,4000.0,2021-11-22
任务编号：970619,4000.0,2021-11-20
任务编号：970473,500.0,2021-11-19
任务编号：970435,12500.0,2021-11-19
任务编号：970317,6000.0,2021-11-18
任务编号：970246,15000.0,2021-11-18
任务编号：970208,30000.0,2021-11-18
任务编号：970207,39000.0,2021-11-18
任务编号：970167,9600.0,2021-11-17
任务编号：969983,2000.0,2021-11-17
任务编号：969869,49000.0,2021-11-16
任务编号：969024,200.0,2021-11-11
任务编号：969639,13500.0,2021-11-15
任务编号：969561,6500.0,2021-11-15
任务编号：969537,10800.0,2021-11-15
任务编号：968610,2500.0,2021-11-09
