需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122480,B任务编号：1122480,任务编号：1122480,人脸识别,1000.0,2025-05-15
A任务编号：1120044,B任务编号：1120044,任务编号：1120044,图像识别,5000.0,2025-04-23
A任务编号：1117480,B任务编号：1117480,任务编号：1117480,图像识别,8000.0,2025-04-03
黑鹰00一品,塞坦科技,任务编号：1118194,数据处理,1500.0,2025-04-10
ppt达人孙文,创码天地,任务编号：1117899,AI接口,6000.0,2025-04-08
k1999****0,霸气横秋,任务编号：1119640,智能体训练,10000.0,2025-03-05
k6226****5,浪漫使者,任务编号：1119639,AI模型训练,50000.0,2025-03-04
k6356****9,o60ee5c95d80c4,任务编号：1119631,AI课程培训,20000.0,2025-02-14
k4183****2,浅末工作室,任务编号：1119630,数据分析,50000.0,2025-02-11
k4743****0,o5859e2d96a608,任务编号：1119717,AI实战项目,10000.0,2025-02-08
k4842****8,木雪涯设计工作室,任务编号：1119637,AI知识库,10000.0,2025-02-07
k2327****8,十分逆天,任务编号：1119635,智能体模板,10000.0,2025-02-06
k8357****0,風雨英雄,任务编号：1119636,数据标注,3000.0,2025-02-06
k5799****1,横行天下有限公司,任务编号：1119716,AI聊天机器人,10000.0,2025-02-05
k4824****2,无敌帅锅,任务编号：1119715,Chatgpt,20000.0,2025-02-02
k5564****5,极感传媒,任务编号：1119629,AI系统集成,50000.0,2025-02-01
k3483****2,兮风夜影,任务编号：1116489,语音识别,18000.0,2025-01-17
k1434****6,彼岸红尘,任务编号：1119626,模型调优,10000.0,2025-01-15
k1268****7,皓月烟云,任务编号：1119625,AI数字人,20000.0,2025-01-14
k6697****1,野创传媒,任务编号：1119628,AI算法开发,20.0,2025-01-07
k1750****3,南京星逸文化传媒有限公司,任务编号：1119627,AI写作,20000.0,2025-01-06
k5112****9,浅末工作室,任务编号：1116486,AIGC技术,20000.0,2025-01-05
企特约AWhiT,云南南强信息,任务编号：1098661,图像识别,5000.0,2024-12-08
维联创vfAxr,索源科技,任务编号：1097312,数据分析,5000.0,2024-11-21
威创享sMGiG,索源科技,任务编号：1095071,机器学习,5000.0,2024-10-27
一V渡江vtjlP,华极科技,任务编号：1076027,图像识别,6000.0,2024-04-02
kimmy_1,工作室｜天航软件开发,任务编号：1071365,数据分析,2000.0,2024-02-06
lv2271,厦门成沃软件,任务编号：1052803,数据采集,600.0,2023-08-07
lxg1658,森威s.well,任务编号：1045791,图像识别,5000.0,2023-06-17
o6173****0b6d8,创梦科技工作室,任务编号：1029121,数据采集,900.0,2023-02-12
o5d2c3868e8db9,见日智能科技,任务编号：1022903,图像识别,2500.0,2022-11-24
o6361d5a96b4a4,长沙市白熊科技有限公司,任务编号：1020359,图像识别,6500.0,2022-11-02
鲸创客0xam5,广州召隆信息技术有限公司,任务编号：1005092,图像识别,4000.0,2022-07-12
o617cf3eda8807,深圳全栈开发工作室,任务编号：967065,数据采集,1500.0,2021-11-03
水手20,广西顺隽信息工程有限责任公司,任务编号：963071,数据采集,200.0,2021-10-26
xdxu1991,长毛象软件工作室,任务编号：896782,数据采集,300.0,2020-10-07
xdxu1991,长毛象软件工作室,任务编号：896727,数据采集,200.0,2020-10-07
o5d8d9b10109d5,西安安睿科技,任务编号：823435,数据采集,3000.0,2019-12-19
lzj650601,汕头市讯博信息科技有限公司,任务编号：812730,数据采集,3000.0,2019-11-15
o5d91b43ce6f25,武汉轻洽网络技术有限公司,任务编号：799265,数据采集,1000.0,2019-09-30
同八字网,贝轩数据采集,任务编号：769088,数据采集,700.0,2019-07-09
o5d0a239e705c4,易数云数据服务平台,任务编号：761898,数据采集,240.0,2019-06-20
o57f8****27430,上海云飞网络科技工作室,任务编号：756896,数据采集,1000.0,2019-06-06
limiday,linhaoqi027,任务编号：744738,其他人工智能,200.0,2019-05-09
