Source,Target,Type
任务编号：1122480,人脸识别,属于
任务编号：1120044,图像识别,属于
任务编号：1117480,图像识别,属于
任务编号：1118194,数据处理,属于
任务编号：1117899,AI接口,属于
任务编号：1119640,智能体训练,属于
任务编号：1119639,AI模型训练,属于
任务编号：1119631,AI课程培训,属于
任务编号：1119630,数据分析,属于
任务编号：1119717,AI实战项目,属于
任务编号：1119637,AI知识库,属于
任务编号：1119635,智能体模板,属于
任务编号：1119636,数据标注,属于
任务编号：1119716,AI聊天机器人,属于
任务编号：1119715,Chatgpt,属于
任务编号：1119629,AI系统集成,属于
任务编号：1116489,语音识别,属于
任务编号：1119626,模型调优,属于
任务编号：1119625,AI数字人,属于
任务编号：1119628,AI算法开发,属于
任务编号：1119627,AI写作,属于
任务编号：1116486,AIGC技术,属于
任务编号：1098661,图像识别,属于
任务编号：1097312,数据分析,属于
任务编号：1095071,机器学习,属于
任务编号：1076027,图像识别,属于
任务编号：1071365,数据分析,属于
任务编号：1052803,数据采集,属于
任务编号：1045791,图像识别,属于
任务编号：1029121,数据采集,属于
任务编号：1022903,图像识别,属于
任务编号：1020359,图像识别,属于
任务编号：1005092,图像识别,属于
任务编号：967065,数据采集,属于
任务编号：963071,数据采集,属于
任务编号：896782,数据采集,属于
任务编号：896727,数据采集,属于
任务编号：823435,数据采集,属于
任务编号：812730,数据采集,属于
任务编号：799265,数据采集,属于
任务编号：769088,数据采集,属于
任务编号：761898,数据采集,属于
任务编号：756896,数据采集,属于
任务编号：744738,其他人工智能,属于
任务编号：1122732,其他人工智能,属于
任务编号：1119719,大模型应用,属于
任务编号：1119718,AI服务咨询,属于
任务编号：1119714,私有化部署,属于
任务编号：1107749,数据处理,属于
任务编号：1105171,AI接口,属于
任务编号：1119713,智能体搭建,属于
任务编号：1116483,AIGC技术,属于
任务编号：1119711,智能客服,属于
任务编号：1119710,AI设计,属于
任务编号：1116491,语音识别,属于
任务编号：1116490,语音识别,属于
任务编号：1093427,其他人工智能,属于
任务编号：1066347,图像识别,属于
任务编号：1066346,图像识别,属于
任务编号：1066288,图像识别,属于
任务编号：1061773,数据存储,属于
任务编号：1050131,多媒体AI,属于
任务编号：1038608,人脸识别,属于
任务编号：1037042,其他人工智能,属于
任务编号：1025301,数据采集,属于
任务编号：1022320,数据采集,属于
任务编号：1021210,数据采集,属于
任务编号：1020642,数据采集,属于
任务编号：1019903,数据采集,属于
任务编号：982186,图像识别,属于
任务编号：972472,数据处理,属于
任务编号：951510,数据采集,属于
任务编号：927793,数据采集,属于
任务编号：921567,数据采集,属于
任务编号：811547,其他人工智能,属于
任务编号：786829,数据采集,属于
任务编号：779740,数据采集,属于
任务编号：775575,数据采集,属于
任务编号：770736,数据采集,属于
任务编号：770536,数据采集,属于
任务编号：758844,数据采集,属于
任务编号：749025,数据采集,属于
任务编号：732360,数据采集,属于
任务编号：728844,数据采集,属于
任务编号：727393,数据采集,属于
任务编号：725744,数据采集,属于
任务编号：614617,数据采集,属于
任务编号：611892,数据采集,属于
任务编号：1088288,国际商标,属于
任务编号：1059823,公司注册,属于
任务编号：984692,商标注册,属于
任务编号：912202,公司注册,属于
任务编号：890092,商标注册,属于
任务编号：879559,公司注册,属于
任务编号：870227,公司注册,属于
任务编号：846156,商标注册,属于
任务编号：758885,公司注册,属于
任务编号：702874,商标注册,属于
任务编号：675190,商标注册,属于
任务编号：587860,公司注册,属于
任务编号：584405,外观设计专利,属于
任务编号：386134,公司注册,属于
任务编号：258495,商标注册,属于
任务编号：563574,法律文书,属于
任务编号：490424,商标注册,属于
任务编号：388152,法律文书,属于
任务编号：1009157,法律文书,属于
任务编号：889854,版权登记,属于
任务编号：580121,版权转让,属于
任务编号：467629,法律文书,属于
任务编号：1051534,商标注册,属于
任务编号：765108,商标注册,属于
任务编号：363664,公司注册,属于
任务编号：1096230,APP界面设计,属于
任务编号：1084563,网站UI设计,属于
任务编号：1083830,网站UI设计,属于
任务编号：1070703,餐饮,属于
任务编号：1025384,网站UI设计,属于
任务编号：928369,网站UI设计,属于
任务编号：924078,小程序开发,属于
任务编号：885493,软件UI设计,属于
任务编号：860264,其他行业,属于
任务编号：850712,软件UI设计,属于
任务编号：849154,APP界面设计,属于
任务编号：826303,APP界面设计,属于
任务编号：821045,软件UI设计,属于
任务编号：809583,小程序开发,属于
任务编号：789414,网站UI设计,属于
任务编号：773353,软件UI设计,属于
任务编号：772779,APP开发,属于
任务编号：764732,其他网站,属于
任务编号：764057,产品原型设计,属于
任务编号：751284,网站UI设计,属于
任务编号：736728,网站UI设计,属于
任务编号：731945,网站UI设计,属于
任务编号：728092,微信开发,属于
任务编号：719062,网站UI设计,属于
任务编号：718565,网站UI设计,属于
任务编号：711891,APP界面设计,属于
任务编号：698940,产品原型设计,属于
任务编号：688143,其他软件开发,属于
任务编号：686280,企业官网,属于
任务编号：681471,网站UI设计,属于
任务编号：665116,软件UI设计,属于
任务编号：663463,网站UI设计,属于
任务编号：608939,网站UI设计,属于
任务编号：607510,软件UI设计,属于
任务编号：595221,产品原型设计,属于
任务编号：586571,软件UI设计,属于
任务编号：585297,网站UI设计,属于
任务编号：565566,软件UI设计,属于
任务编号：563411,APP界面设计,属于
任务编号：553508,小程序开发,属于
任务编号：551146,网站UI设计,属于
任务编号：548918,网站UI设计,属于
任务编号：545115,网站UI设计,属于
任务编号：541427,网站UI设计,属于
任务编号：536219,APP界面设计,属于
任务编号：533258,软件UI设计,属于
任务编号：531608,APP界面设计,属于
任务编号：528533,网站UI设计,属于
任务编号：517418,小程序开发,属于
任务编号：517157,网站UI设计,属于
任务编号：516193,网站UI设计,属于
任务编号：514700,网站UI设计,属于
任务编号：511735,网站UI设计,属于
任务编号：510787,网站UI设计,属于
任务编号：501633,网站UI设计,属于
任务编号：495947,网站UI设计,属于
任务编号：490221,网站UI设计,属于
任务编号：490193,网站UI设计,属于
任务编号：481947,软件UI设计,属于
任务编号：481784,网站UI设计,属于
任务编号：481453,网站UI设计,属于
任务编号：479446,网站UI设计,属于
任务编号：476783,网站UI设计,属于
任务编号：474492,软件UI设计,属于
任务编号：469415,网站UI设计,属于
任务编号：467591,网站UI设计,属于
任务编号：466342,网站UI设计,属于
任务编号：461489,APP界面设计,属于
任务编号：460951,网站UI设计,属于
任务编号：457886,网站UI设计,属于
任务编号：457441,软件UI设计,属于
任务编号：456636,软件UI设计,属于
任务编号：454279,软件UI设计,属于
任务编号：454736,APP开发,属于
任务编号：453398,软件UI设计,属于
任务编号：452732,软件UI设计,属于
任务编号：452486,网站UI设计,属于
任务编号：448643,软件UI设计,属于
任务编号：448227,软件UI设计,属于
任务编号：446210,网站UI设计,属于
任务编号：441101,小程序开发,属于
任务编号：430445,网站UI设计,属于
任务编号：427277,网站UI设计,属于
任务编号：423315,网站UI设计,属于
任务编号：422902,软件UI设计,属于
任务编号：422005,软件UI设计,属于
任务编号：418435,企业官网,属于
任务编号：417482,软件UI设计,属于
任务编号：413478,网站UI设计,属于
任务编号：407418,网站UI设计,属于
任务编号：401605,企业官网,属于
任务编号：400454,网站UI设计,属于
任务编号：397970,网站UI设计,属于
任务编号：393989,网站UI设计,属于
任务编号：388106,网站UI设计,属于
任务编号：385531,前端开发,属于
任务编号：385207,网站UI设计,属于
任务编号：384123,APP界面设计,属于
任务编号：383657,网站UI设计,属于
任务编号：379654,APP界面设计,属于
任务编号：374970,网站UI设计,属于
任务编号：362204,网站UI设计,属于
任务编号：357679,网站UI设计,属于
任务编号：357674,网站UI设计,属于
任务编号：347411,软件UI设计,属于
任务编号：343875,网站UI设计,属于
任务编号：339995,软件UI设计,属于
任务编号：337555,APP界面设计,属于
任务编号：335049,APP界面设计,属于
任务编号：335295,网站UI设计,属于
任务编号：333896,网站UI设计,属于
任务编号：326126,网站UI设计,属于
任务编号：326198,APP界面设计,属于
任务编号：323239,网站UI设计,属于
任务编号：323240,网站UI设计,属于
任务编号：323242,网站UI设计,属于
任务编号：323243,网站UI设计,属于
任务编号：322651,软件UI设计,属于
任务编号：322551,APP界面设计,属于
任务编号：315924,软件UI设计,属于
任务编号：315352,软件UI设计,属于
任务编号：1118842,小程序开发,属于
任务编号：1118834,小程序开发,属于
任务编号：1118724,其他软件开发,属于
任务编号：1118044,运维服务,属于
任务编号：1117606,小程序开发,属于
任务编号：1117558,其他软件开发,属于
任务编号：1117400,采集工具,属于
任务编号：1117281,APP开发,属于
任务编号：1117278,软件UI设计,属于
任务编号：1116821,脚本开发,属于
任务编号：1116791,定制开发,属于
任务编号：1116783,小程序开发,属于
任务编号：1116618,小程序开发,属于
任务编号：1116327,小程序开发,属于
任务编号：1116304,阅读/图像,属于
任务编号：1116097,响应式网站,属于
任务编号：1116064,其他软件开发,属于
任务编号：1115523,脚本开发,属于
任务编号：1114721,其他软件开发,属于
任务编号：1114665,APP开发,属于
任务编号：1114388,定制开发,属于
任务编号：1114335,H5开发,属于
任务编号：1114329,APP界面设计,属于
任务编号：1113665,ERP系统,属于
任务编号：1113549,小程序开发,属于
任务编号：1113372,其他软件开发,属于
任务编号：1113202,小程序开发,属于
任务编号：1112171,小程序开发,属于
任务编号：1112038,H5开发,属于
任务编号：1112011,小程序开发,属于
任务编号：1111889,其他管理软件,属于
任务编号：1111982,APP开发,属于
任务编号：1111618,小程序开发,属于
