ID,Transaction_Price,Publication_Time
任务编号：1122480,1000.0,2025-05-15
任务编号：1120044,5000.0,2025-04-23
任务编号：1117480,8000.0,2025-04-03
任务编号：1118194,1500.0,2025-04-10
任务编号：1117899,6000.0,2025-04-08
任务编号：1119640,10000.0,2025-03-05
任务编号：1119639,50000.0,2025-03-04
任务编号：1119631,20000.0,2025-02-14
任务编号：1119630,50000.0,2025-02-11
任务编号：1119717,10000.0,2025-02-08
任务编号：1119637,10000.0,2025-02-07
任务编号：1119635,10000.0,2025-02-06
任务编号：1119636,3000.0,2025-02-06
任务编号：1119716,10000.0,2025-02-05
任务编号：1119715,20000.0,2025-02-02
任务编号：1119629,50000.0,2025-02-01
任务编号：1116489,18000.0,2025-01-17
任务编号：1119626,10000.0,2025-01-15
任务编号：1119625,20000.0,2025-01-14
任务编号：1119628,20.0,2025-01-07
任务编号：1119627,20000.0,2025-01-06
任务编号：1116486,20000.0,2025-01-05
任务编号：1098661,5000.0,2024-12-08
任务编号：1097312,5000.0,2024-11-21
任务编号：1095071,5000.0,2024-10-27
任务编号：1076027,6000.0,2024-04-02
任务编号：1071365,2000.0,2024-02-06
任务编号：1052803,600.0,2023-08-07
任务编号：1045791,5000.0,2023-06-17
任务编号：1029121,900.0,2023-02-12
任务编号：1022903,2500.0,2022-11-24
任务编号：1020359,6500.0,2022-11-02
任务编号：1005092,4000.0,2022-07-12
任务编号：967065,1500.0,2021-11-03
任务编号：963071,200.0,2021-10-26
任务编号：896782,300.0,2020-10-07
任务编号：896727,200.0,2020-10-07
任务编号：823435,3000.0,2019-12-19
任务编号：812730,3000.0,2019-11-15
任务编号：799265,1000.0,2019-09-30
任务编号：769088,700.0,2019-07-09
任务编号：761898,240.0,2019-06-20
任务编号：756896,1000.0,2019-06-06
任务编号：744738,200.0,2019-05-09
任务编号：1122732,100.0,2025-05-17
任务编号：1119719,50000.0,2025-03-14
任务编号：1119718,5000.0,2025-03-01
任务编号：1119714,3000.0,2025-02-11
任务编号：1107749,5000.0,2025-02-10
任务编号：1105171,48000.0,2025-01-20
任务编号：1119713,3000.0,2025-01-13
任务编号：1116483,15000.0,2025-01-11
任务编号：1119711,10000.0,2025-01-11
任务编号：1119710,8000.0,2025-01-10
任务编号：1116491,13000.0,2025-01-09
任务编号：1116490,10000.0,2025-01-07
任务编号：1093427,13000.0,2024-10-09
任务编号：1066347,25000.0,2023-12-08
