需求方,设计师,任务编号,能力标签,交易价格,发布时间
邱邱邱,初晓创意互联,任务编号：1096230,APP界面设计,688.0,2024-11-08
致利昂lXrlL,初晓创意互联,任务编号：1084563,网站UI设计,2000.0,2024-06-27
开设堂siFPo,虎虎666,任务编号：1083830,网站UI设计,1400.0,2024-06-20
大冰老师,威啸uq5cI,任务编号：1070703,餐饮,300.0,2024-01-25
ganjue68,艺行设计,任务编号：1025384,网站UI设计,500.0,2022-12-19
zhuisulogo,广州柏森体验设计咨询服务有限公司,任务编号：928369,网站UI设计,500.0,2021-04-07
cyk12345,云影碧落,任务编号：924078,小程序开发,100.0,2021-03-14
ace_xhy,金海岸Design,任务编号：885493,软件UI设计,500.0,2020-08-15
阿佑999,o5eb25fb01db5e,任务编号：860264,其他行业,500.0,2020-05-11
缤纷科技123,还行设计,任务编号：850712,软件UI设计,1000.0,2020-04-07
wmh13****55304,一三设计馆,任务编号：849154,APP界面设计,400.0,2020-04-01
long2357,o5cd397042f136,任务编号：826303,APP界面设计,300.0,2019-12-27
long2357,格致设计,任务编号：821045,软件UI设计,300.0,2019-12-12
玉米0301,li1774528561的店铺,任务编号：809583,小程序开发,100.0,2019-11-05
o59ba3c8cb1a3a,加一品牌策划,任务编号：789414,网站UI设计,6000.0,2019-09-01
ARCH1004,阶梯设计,任务编号：773353,软件UI设计,500.0,2019-07-18
适度夸张,局间版友品牌创意视觉策划,任务编号：772779,APP开发,500.0,2019-07-17
taoxiaoke01,廊坊之窗工作室,任务编号：764732,其他网站,500.0,2019-06-27
o5d105f06c4a60,局间版友品牌创意视觉策划,任务编号：764057,产品原型设计,2000.0,2019-06-25
o5ce750c4cb952,爱设计的鸭梨工作室,任务编号：751284,网站UI设计,2000.0,2019-05-24
o59ba3c8cb1a3a,岩淞视觉设计工作室,任务编号：736728,网站UI设计,1500.0,2019-04-18
天立科技,安瑞品牌设计,任务编号：731945,网站UI设计,1200.0,2019-04-08
西伯利亚的星空,蜻蜓创意设计工作室,任务编号：728092,微信开发,500.0,2019-03-29
o5c7e35d025efe,易狼网络品牌设计,任务编号：719062,网站UI设计,1200.0,2019-03-08
Bigbear0079,小默默的店,任务编号：718565,网站UI设计,500.0,2019-03-07
RealDeal,阶梯设计,任务编号：711891,APP界面设计,300.0,2019-02-18
haimw888,o5b8c66703dc11,任务编号：698940,产品原型设计,3000.0,2019-01-02
cuidonglai,爱创空间设计,任务编号：688143,其他软件开发,500.0,2018-12-01
博能燃气sinopower,倾城信网络科技有限公司,任务编号：686280,企业官网,2500.0,2018-11-27
wawa2018,奕客设计,任务编号：681471,网站UI设计,500.0,2018-11-13
o5b90dcdc3b2f3,优忆设计,任务编号：665116,软件UI设计,300.0,2018-09-28
fskenny,奕客设计,任务编号：663463,网站UI设计,300.0,2018-09-24
o59ba3c8cb1a3a,艺思设计,任务编号：608939,网站UI设计,1500.0,2018-05-01
yundengshare,Super设计,任务编号：607510,软件UI设计,300.0,2018-04-27
o59ba3c8cb1a3a,奥创设计 ARCANE DESIGN,任务编号：595221,产品原型设计,360.0,2018-03-26
chendoyou,小茜_lan,任务编号：586571,软件UI设计,600.0,2018-03-03
o59ba3c8cb1a3a,奥创设计 ARCANE DESIGN,任务编号：585297,网站UI设计,1440.0,2018-02-28
antpedia,与世无争视觉策划,任务编号：565566,软件UI设计,400.0,2017-12-21
o5a32****16df5,金美世纪（北京）教育科技有限责任公司,任务编号：563411,APP界面设计,300.0,2017-12-14
o59e75fce2d3bf,道一文字,任务编号：553508,小程序开发,200.0,2017-11-14
柏HAKU,鹿途设计,任务编号：551146,网站UI设计,800.0,2017-11-07
柏HAKU,大白工作室,任务编号：548918,网站UI设计,800.0,2017-10-30
o59ba3c8cb1a3a,lingxiao19930211,任务编号：545115,网站UI设计,1200.0,2017-10-19
o59ba3c8cb1a3a,彩翼天游,任务编号：541427,网站UI设计,1200.0,2017-10-08
yedahong,晨临凯视觉设计工作室,任务编号：536219,APP界面设计,300.0,2017-09-18
o59b2908b5dd30,charles_zhang,任务编号：533258,软件UI设计,700.0,2017-09-08
o59ab6fe91e69d,o56eb6e352c957,任务编号：531608,APP界面设计,300.0,2017-09-03
mf534****803480,汉柏设计,任务编号：528533,网站UI设计,500.0,2017-08-23
牧牛童,竹叶常青设计工作室,任务编号：517418,小程序开发,500.0,2017-07-15
o5966f1e96c9a5,杰俊网络科技,任务编号：517157,网站UI设计,480.0,2017-07-14
华韶,唐山佳协网络科技有限公司,任务编号：516193,网站UI设计,500.0,2017-07-10
wolfkiss,jie杰哥子,任务编号：514700,网站UI设计,300.0,2017-07-04
wolfkiss,异拓网络,任务编号：511735,网站UI设计,600.0,2017-06-22
delanhuagong,东柏网络,任务编号：510787,网站UI设计,1000.0,2017-06-19
hehaipo,个人电商设计,任务编号：501633,网站UI设计,800.0,2017-05-15
o58f6****89361,河南凡客空间网络科技有限公司,任务编号：495947,网站UI设计,300.0,2017-04-26
