需求方,设计师,任务编号,能力标签,交易价格,发布时间
壹选Sv9gO,诚创天翼,任务编号：1116369,产品卖点,200.0,2025-03-24
o5f7836c7b0e24,武林设计,任务编号：1115278,公司起名,100.0,2025-03-16
为客呈现Aox2z,隐形人设计工作室,任务编号：1111172,公司起名,2000.0,2025-02-27
o5f7836c7b0e24,银子啦,任务编号：1109386,品牌起名,100.0,2025-02-19
企威特TqrGE,o5eb2734f8c161,任务编号：1109344,公司起名,600.0,2025-02-19
jmgzjb,zwh123123,任务编号：1107904,广告口号,700.0,2025-02-11
o5f7836c7b0e24,威多宝UisO9,任务编号：1100947,品牌起名,100.0,2024-12-24
o5f7836c7b0e24,晓云文匠,任务编号：1098188,品牌起名,100.0,2024-12-02
丢失的马蹄钉,艺心,任务编号：1097404,品牌起名,300.0,2024-11-22
yangyi1111,飞扬数字传媒工作室,任务编号：1097344,宝宝起名,130.0,2024-11-21
创意就是生产力,虎三,任务编号：1097062,品牌故事,400.0,2024-11-18
威啸kBYgj,晓云文匠,任务编号：1097030,产品卖点,100.0,2024-11-18
o5f7836c7b0e24,创墨无界,任务编号：1096982,品牌起名,100.0,2024-11-17
charles_zhao,文心艺境,任务编号：1096717,品牌起名,200.0,2024-11-13
唯可888,灯火月桥,任务编号：1096679,品牌起名,400.0,2024-11-13
威铺99993,hencongmingde,任务编号：1095735,广告策划,500.0,2024-11-03
微服S8UcQ,韩娟娟Alice,任务编号：1095678,品牌起名,168.0,2024-11-02
小九123,灯火月桥,任务编号：1095314,品牌起名,200.0,2024-10-29
jhsq0530,威多宝UisO9,任务编号：1094703,品牌起名,200.0,2024-10-22
创意就是生产力,北京大匠设计工作室,任务编号：1094588,其他内容创作,300.0,2024-10-21
o59b76aa0962cd,o5b19554598b0f,任务编号：1094242,宝宝起名,500.0,2024-10-17
o5f7836c7b0e24,九臣原创设计,任务编号：1093148,品牌起名,100.0,2024-09-30
创时空T2AGo,逍遥云上逍遥仙,任务编号：1091181,品牌起名,100.0,2024-09-20
o5f7836c7b0e24,三和创意,任务编号：1091777,公司起名,100.0,2024-09-13
o5f7836c7b0e24,文案服务,任务编号：1091684,品牌起名,100.0,2024-09-12
vitorru,见字如面,任务编号：1091248,品牌起名,500.0,2024-09-06
hnwscjns,晓云文匠,任务编号：1090749,宝宝起名,100.0,2024-09-01
o5f7836c7b0e24,见字如面,任务编号：1090488,公司起名,100.0,2024-08-28
o5f7836c7b0e24,@烨名珠@,任务编号：1090462,品牌起名,100.0,2024-08-28
唯客心V5keg,见证奇迹,任务编号：1089139,品牌起名,250.0,2024-08-12
o5f7836c7b0e24,于男,任务编号：1088752,公司起名,100.0,2024-08-07
