需求方,设计师,任务编号,能力标签,交易价格,发布时间
威你所思REsLx,B任务编号：979304,任务编号：979304,生日祝福,500.0,2022-01-14
益企创梦73GJ0,B任务编号：975002,任务编号：975002,纪念日祝福,666.0,2021-12-17
o5c8d28f14e13a,B任务编号：928274,任务编号：928274,道歉短信,500.0,2021-04-07
微笑灬永恒,B任务编号：918918,任务编号：918918,节假日祝福,500.0,2021-02-05
o5fb4ab1d9c81e,B任务编号：906205,任务编号：906205,生日祝福,500.0,2020-11-23
尚未乐器,B任务编号：902189,任务编号：902189,软文发布,500.0,2020-11-02
Wz_爱安妮,B任务编号：893959,任务编号：893959,生日祝福,500.0,2020-09-21
o5f5f930b0d1fe,B任务编号：893807,任务编号：893807,道歉短信,500.0,2020-09-20
o5f4e27592bebc,B任务编号：890971,任务编号：890971,百科/问答撰写,500.0,2020-09-08
杨小包,B任务编号：888570,任务编号：888570,生日祝福,500.0,2020-08-28
o5f298417a3b0e,B任务编号：887257,任务编号：887257,产品卖点,600.0,2020-08-23
o5e0ef24a54aa3,B任务编号：828101,任务编号：828101,生日祝福,500.0,2020-01-03
qq250****163,B任务编号：820909,任务编号：820909,软文发布,500.0,2019-12-11
o5d0a697405ad9,B任务编号：761804,任务编号：761804,生日祝福,500.0,2019-06-20
o5ce1feab2c99b,B任务编号：749170,任务编号：749170,生日祝福,500.0,2019-05-20
qq250****163,B任务编号：748969,任务编号：748969,软文发布,500.0,2019-05-19
麒麟咨询,B任务编号：741344,任务编号：741344,生日祝福,500.0,2019-04-30
dywbnet,B任务编号：740868,任务编号：740868,百科/问答撰写,510.0,2019-04-28
o5b826a7b9e7c3,B任务编号：740334,任务编号：740334,道歉短信,500.0,2019-04-27
qq250****163,B任务编号：737411,任务编号：737411,软文发布,500.0,2019-04-20
qweiop101,B任务编号：722807,任务编号：722807,软文发布,500.0,2019-03-17
网络推广达人,B任务编号：721773,任务编号：721773,软文发布,500.0,2019-03-14
o5b62bd250ad65,B任务编号：710200,任务编号：710200,爱情表白,500.0,2019-02-12
o5c628aa27f082,B任务编号：710119,任务编号：710119,纪念日祝福,642.0,2019-02-12
o5c2831d7e6ecc,B任务编号：698248,任务编号：698248,生日祝福,500.0,2018-12-30
mgj12****789,B任务编号：692178,任务编号：692178,生日祝福,500.0,2018-12-18
o58fc8cdd3a441,B任务编号：667275,任务编号：667275,生日祝福,500.0,2018-10-07
亲爱的小五,B任务编号：665469,任务编号：665469,生日祝福,500.0,2018-09-29
o58fc8cdd3a441,B任务编号：664776,任务编号：664776,生日祝福,500.0,2018-09-27
悠幽传奇,B任务编号：651594,任务编号：651594,爱情表白,500.0,2018-08-21
serkxiaohao,B任务编号：649394,任务编号：649394,爱情表白,500.0,2018-08-15
seeya11,B任务编号：637199,任务编号：637199,爱情表白,500.0,2018-07-14
o5b3c6d1095df0,B任务编号：633166,任务编号：633166,其他,500.0,2018-07-04
bdmingen,B任务编号：624543,任务编号：624543,软文发布,500.0,2018-06-10
苏子陌,B任务编号：620010,任务编号：620010,爱情表白,500.0,2018-05-30
o5af8625b059d9,B任务编号：613714,任务编号：613714,爱情表白,500.0,2018-05-14
haloxu518,B任务编号：610666,任务编号：610666,软文发布,500.0,2018-05-06
o5a66d384d5835,B任务编号：608582,任务编号：608582,软文发布,500.0,2018-04-30
o5ad8291a53852,B任务编号：607145,任务编号：607145,软文发布,500.0,2018-04-26
o5a66d384d5835,B任务编号：604851,任务编号：604851,软文发布,500.0,2018-04-20
o5a66d384d5835,B任务编号：604735,任务编号：604735,软文发布,500.0,2018-04-20
o5a66d384d5835,B任务编号：601134,任务编号：601134,软文发布,500.0,2018-04-11
mpcms,B任务编号：599818,任务编号：599818,软文发布,500.0,2018-04-08
o5a66d384d5835,B任务编号：599525,任务编号：599525,软文发布,500.0,2018-04-07
风尘,B任务编号：599496,任务编号：599496,百科/问答撰写,500.0,2018-04-07
o5a66d384d5835,B任务编号：595066,任务编号：595066,软文发布,500.0,2018-03-26
大唐天下,B任务编号：592082,任务编号：592082,软文发布,500.0,2018-03-18
时先生V,B任务编号：582394,任务编号：582394,爱情表白,520.0,2018-02-13
风尘,B任务编号：580516,任务编号：580516,百科/问答撰写,500.0,2018-02-05
要的就是信誉,B任务编号：574897,任务编号：574897,生日祝福,500.0,2018-01-18
hexia953,B任务编号：570779,任务编号：570779,生日祝福,500.0,2018-01-06
微笑的美丽麻麻,B任务编号：564455,任务编号：564455,生日祝福,500.0,2017-12-18
hongtao1547,B任务编号：558948,任务编号：558948,生日祝福,500.0,2017-12-01
七七sweet,B任务编号：549264,任务编号：549264,项目策划,1000.0,2017-11-01
ChuckM6,B任务编号：538638,任务编号：538638,公司起名,900.0,2017-09-25
临渊如墨,B任务编号：504467,任务编号：504467,宣传策划,501.0,2017-05-24
o58d3****340aa,B任务编号：491642,任务编号：491642,软文发布,600.0,2017-04-12
o58d3****340aa,B任务编号：491637,任务编号：491637,软文发布,500.0,2017-04-12
o58d3****340aa,B任务编号：490979,任务编号：490979,软文发布,500.0,2017-04-10
