需求方,设计师,任务编号,能力标签,交易价格,发布时间
lgh01,TESTER的商铺,任务编号：1081247,招商加盟,100.0,2024-05-23
大冰老师,艺心,任务编号：1062749,教育培训,400.0,2023-11-03
萧乐,墨客文化,任务编号：1055307,咨询服务,100.0,2023-08-26
默客逍遥,财贸王俊卡,任务编号：1053274,英语,100.0,2023-08-11
威站天下dTLa6,星汉创意工作室,任务编号：1010031,咨询服务,100.0,2022-08-15
o5f5b799c0e4dc,玉兔儿原创工作室,任务编号：891918,咨询服务,168.0,2020-09-11
long1****118,张弓长,任务编号：831191,英语,149.0,2020-01-13
o5c8edaf808d2a,云影碧落,任务编号：728573,英语,300.0,2019-03-30
veratsai,o5bf681da25d96,任务编号：684851,英语,100.0,2018-11-23
Mr151****4366,limax,任务编号：656932,英语,100.0,2018-09-05
veratsai,silvaaxx,任务编号：646695,英语,100.0,2018-08-08
荔枝最好吃223,o5994fb7f1ff91,任务编号：645094,英语,400.0,2018-08-03
空白格2017,济南雅文翻译工作室,任务编号：544715,英语,100.0,2017-10-18
mf152****6357,睿森Riesen,任务编号：499411,英语,100.0,2017-05-08
o58cf****28184,o581f275cf1a25,任务编号：485124,英语,100.0,2017-03-20
xueleng,老胡家工作室,任务编号：445123,印刷出版,550.0,2016-09-08
mf158****1188,中英翻译大咖,任务编号：393159,英语,100.0,2015-11-24
mf183****0105,十一设计,任务编号：368096,印刷出版,300.0,2015-07-23
wlasd4682,huch3923,任务编号：294720,运势测算,50.0,2014-07-13
anqier53168,长亭流景,任务编号：285374,印刷出版,300.0,2014-05-12
太阳花,西红柿市长,任务编号：251874,英语,100.0,2014-03-13
