需求方,设计师,任务编号,能力标签,交易价格,发布时间
A任务编号：1122201,B任务编号：1122201,任务编号：1122201,招商加盟,1000.0,2025-05-13
A任务编号：1120894,B任务编号：1120894,任务编号：1120894,服务人员,1000.0,2025-04-29
A任务编号：1101912,B任务编号：1101912,任务编号：1101912,招商加盟,100.0,2024-12-30
A任务编号：453337,B任务编号：453337,任务编号：453337,印刷出版,500.0,2016-10-25
A任务编号：386640,B任务编号：386640,任务编号：386640,网络接单,200.0,2015-10-22
lgh813,华丽艺术,任务编号：1104087,招商加盟,100.0,2025-01-13
lgh813,华丽艺术,任务编号：1101343,招商加盟,100.0,2024-12-26
epqihua,陕西臻创意设计有限公司,任务编号：930551,英语,3000.0,2021-04-20
o5dcaf318c377a,盛世服务网络科技,任务编号：820578,日语,120.0,2019-12-11
xyp1230,初八信珩【专注VR/AR定制研发】,任务编号：818452,代办/跑腿,1600.0,2019-12-04
o5dd36cb4dba50,智造之间,任务编号：814552,英语,100.0,2019-11-21
o5d9048c1980b4,强哥全能,任务编号：799698,英语,100.0,2019-10-04
o5d6a7d6bf1097,译出未来,任务编号：789380,英语,110.0,2019-08-31
ml133****6483,zyj1106zyj,任务编号：764572,网络接单,100.0,2019-06-26
o5c077c8909a35,o5af02063871be,任务编号：693433,数据录入,100.0,2018-12-16
o5b4ad847297ae,o5b4b1e1de349d,任务编号：637336,网络接单,100.0,2018-07-15
o5ad98541ce47e,起名取名+翻译,任务编号：604803,英语,100.0,2018-04-20
试金石智业,smile423,任务编号：579789,数据录入,750.0,2018-02-02
o5a0c0297cf649,创新天地,任务编号：553803,网络接单,300.0,2017-11-15
zhaobing654,代码集市,任务编号：536910,数据录入,2000.0,2017-09-20
dounaichp,o59797b6c731b9,任务编号：520331,网络接单,150.0,2017-07-26
mf189****2668,珠海市智科电脑科技,任务编号：517817,网络接单,950.0,2017-07-17
mf189****5007,林明设计,任务编号：482369,数据录入,300.0,2017-03-10
新萝卜包装设计,金马小子,任务编号：477864,印刷出版,1011.0,2017-02-23
yxc_shmily,Howfar工作室,任务编号：475508,数据录入,500.0,2017-02-15
epweike2015,专业英文翻译QQ1159891737,任务编号：464717,英语,200.0,2016-12-14
flyingdusk,不二策划/网络工作室,任务编号：456198,网络接单,100.0,2016-11-06
亚撒色,日初创意品牌设计,任务编号：447549,英语,800.0,2016-09-23
Mr151****4320,雁过无痕0317,任务编号：436698,英语,200.0,2016-07-27
mf183****5779,阳光创意工作室,任务编号：429107,数据录入,300.0,2016-06-22
mf183****2926,上海左心广告设计,任务编号：414319,印刷出版,700.0,2016-04-06
mf189****0764,鲜泉软件开发,任务编号：405712,英语,800.0,2016-02-21
EmilyZhongzhong,逍遥行路人,任务编号：383959,英语,100.0,2015-10-10
Mr139****5608,鹏毓网络,任务编号：375657,数据录入,1000.0,2015-08-26
dongzhe,Cally_Chiong,任务编号：367402,英语,400.0,2015-07-20
mf138****8447,刘佳林,任务编号：359579,人力外派,250.0,2015-06-13
CRMOA,o54fc6970c2c1e,任务编号：356075,英语,1000.0,2015-05-28
o538329fa49e67,头脑风暴,任务编号：352256,印刷出版,150.0,2015-05-12
lezhie,艾豆笔尖,任务编号：296368,数据录入,130.0,2014-07-23
Lori梁,青岛蔚蓝深空自动化科技有限公司,任务编号：249759,英语,1000.0,2014-02-26
