需求方,设计师,任务编号,能力标签,交易价格,发布时间
愈之Bruce,纠纠工作室,任务编号：1049798,品牌策划,1600.0,2023-07-17
愈之Bruce,筑梦之地,任务编号：1049798,品牌策划,1600.0,2023-07-17
dfjy11,o5dabe79d3ba57,任务编号：805949,活动策划,150.0,2019-10-24
dfjy11,嘟嘟悦,任务编号：805949,活动策划,150.0,2019-10-24
策联社团,wong小玉,任务编号：797173,意见建议,300.0,2019-09-24
策联社团,o5d296bda3fccc,任务编号：797173,意见建议,300.0,2019-09-24
o5d58****39251,星火设计工作室,任务编号：788545,问卷调查,100.0,2019-08-29
o5d58****39251,o5bd180df78a88,任务编号：788545,问卷调查,100.0,2019-08-29
爱网如斯,东林设计,任务编号：617591,征集点子,441.0,2018-05-24
爱网如斯,一辰创客,任务编号：617591,征集点子,441.0,2018-05-24
mf186****1307,九嶷工作室,任务编号：480408,征集点子,100.0,2017-03-04
mf186****1307,o58ac2e4bcb9cd,任务编号：480408,征集点子,100.0,2017-03-04
mf137****6469,蓉小么小铺子,任务编号：466035,征集点子,250.0,2016-12-21
mf137****6469,mf180****6316,任务编号：466035,征集点子,250.0,2016-12-21
mf137****6469,不二策划/网络工作室,任务编号：460099,征集点子,200.0,2016-11-23
mf137****6469,o56691e5061b40,任务编号：460099,征集点子,200.0,2016-11-23
mf134****6665,mf188****1202,任务编号：459418,征集点子,500.0,2016-11-20
mf134****6665,快玉方cy,任务编号：459418,征集点子,500.0,2016-11-20
xuanyouwang,一品居士,任务编号：376956,意见建议,100.0,2015-09-01
xuanyouwang,星月阳lanlu09,任务编号：376956,意见建议,100.0,2015-09-01
JerryChou,mf158****2192,任务编号：368635,征集点子,150.0,2015-07-25
JerryChou,卡卡罗特,任务编号：368635,征集点子,150.0,2015-07-25
谊新工作室,小司马迁智慧屋,任务编号：346177,活动策划,100.0,2015-04-15
谊新工作室,lijie28,任务编号：346177,活动策划,100.0,2015-04-15
卖弄舌尖,婉婉玉婷,任务编号：283576,意见建议,70.0,2014-04-28
卖弄舌尖,庆爷5411,任务编号：283576,意见建议,70.0,2014-04-28
