需求方,设计师,任务编号,能力标签,交易价格,发布时间
cngygy,TONYS,任务编号：815981,办公空间,400.0,2019-11-26
cngygy,凡创设计工程工作室,任务编号：815981,办公空间,400.0,2019-11-26
cngygy,止渡艺术空间设计,任务编号：812892,办公空间,300.0,2019-11-15
cngygy,凡创设计工程工作室,任务编号：812892,办公空间,300.0,2019-11-15
wtw8hh,岩淞视觉设计工作室,任务编号：807800,门头设计,800.0,2019-10-30
wtw8hh,筑梦空间,任务编号：807800,门头设计,800.0,2019-10-30
壹波设计工坊,筑梦空间,任务编号：800147,施工图设计,100.0,2019-10-07
壹波设计工坊,FW.  rising,任务编号：800147,施工图设计,100.0,2019-10-07
陈列滨,红石建筑设计工作室,任务编号：751915,庭院设计,1180.0,2019-05-25
陈列滨,TONYS,任务编号：751915,庭院设计,1180.0,2019-05-25
A逍遥子A,走心建筑设计,任务编号：674669,餐饮饮食,1932.0,2018-10-26
A逍遥子A,云水禅心设计小作坊,任务编号：674669,餐饮饮食,1932.0,2018-10-26
耿耿与淮,窝窝de窝窝,任务编号：657709,新房装修,118.0,2018-09-07
耿耿与淮,吹吹小裤裆,任务编号：657709,新房装修,118.0,2018-09-07
域杰装饰工程,铭思空间设计,任务编号：651957,新房装修,500.0,2018-08-22
域杰装饰工程,hmlhsj,任务编号：651957,新房装修,500.0,2018-08-22
ad0511,厚名设计工作室,任务编号：627878,门头设计,1500.0,2018-06-20
ad0511,o5ab104d5885d8,任务编号：627878,门头设计,1500.0,2018-06-20
o5afb8b0c15bff,智酷设计工作室,任务编号：614463,公共场所,900.0,2018-05-16
o5afb8b0c15bff,斊恚设计,任务编号：614463,公共场所,900.0,2018-05-16
hapag,壹点阳光设计工作室,任务编号：598043,效果图设计,100.0,2018-04-02
hapag,鸿枟装饰,任务编号：598043,效果图设计,100.0,2018-04-02
o5ab8b4b873fa6,一撇一捺空间设计,任务编号：595215,门头设计,600.0,2018-03-26
o5ab8b4b873fa6,BY15873142460,任务编号：595215,门头设计,600.0,2018-03-26
Rongfu,丰景设计,任务编号：586579,餐饮饮食,1000.0,2018-03-04
Rongfu,花野君的画铺15800372188,任务编号：586579,餐饮饮食,1000.0,2018-03-04
黑鹰00一品,热巧克力,任务编号：540016,其他家装服务,120.0,2017-09-29
黑鹰00一品,科学筑家●品质非凡——设计感动生活,任务编号：540016,其他家装服务,120.0,2017-09-29
黑鹰00一品,捨作建筑设计工作室,任务编号：538050,其他家装服务,100.0,2017-09-23
黑鹰00一品,王亚飞24,任务编号：538050,其他家装服务,100.0,2017-09-23
acan2008,造化如风,任务编号：504907,效果图设计,1000.0,2017-05-26
acan2008,智酷设计工作室,任务编号：504907,效果图设计,1000.0,2017-05-26
qq710****98,饭饭设计@_@,任务编号：496926,其他家装服务,500.0,2017-04-30
qq710****98,昆明众石嘉创文化传播,任务编号：496926,其他家装服务,500.0,2017-04-30
epqihua,云鸟DE设计,任务编号：448464,效果图设计,5000.0,2016-09-28
epqihua,赣丰工业设计,任务编号：448464,效果图设计,5000.0,2016-09-28
sakura520,F设计事务所,任务编号：433917,别墅设计,2400.0,2016-07-14
sakura520,华瑞建筑设计事务所,任务编号：433917,别墅设计,2400.0,2016-07-14
佳德电脑办公,智酷设计工作室,任务编号：341386,单身公寓设计,1300.0,2015-03-28
佳德电脑办公,mchu520,任务编号：341386,单身公寓设计,1300.0,2015-03-28
张欢one,金蝉设计工作室,任务编号：284172,其他家装服务,500.0,2014-05-03
