需求方,设计师,任务编号,能力标签,交易价格,发布时间
潮威33D87,B任务编号：1008113,任务编号：1008113,新媒体营销,650.0,2022-08-01
聚品创客1RZkn,B任务编号：949238,任务编号：949238,短视频代运营,500.0,2021-08-11
h1391****187,B任务编号：691899,任务编号：691899,企业宣传片,1000.0,2018-12-12
erisky,B任务编号：682885,任务编号：682885,影视拍摄,500.0,2018-11-17
xinxin2018,B任务编号：651847,任务编号：651847,短视频代运营,1500.0,2018-08-22
zctg,B任务编号：612524,任务编号：612524,新媒体营销,800.0,2018-05-11
o5aebfe28ce291,B任务编号：610219,任务编号：610219,新媒体营销,600.0,2018-05-05
haloxu518,B任务编号：608439,任务编号：608439,新媒体营销,600.0,2018-04-29
zctg,B任务编号：607357,任务编号：607357,新媒体营销,1500.0,2018-04-26
zctg,B任务编号：607387,任务编号：607387,新媒体营销,900.0,2018-04-26
磐石旗厦门,B任务编号：563146,任务编号：563146,广告片/MV,4800.0,2017-12-13
自由的我2012,B任务编号：410173,任务编号：410173,图片处理,3000.0,2016-03-16
yanliu,B任务编号：408837,任务编号：408837,图片处理,1000.0,2016-03-10
zuoshitu,B任务编号：302023,任务编号：302023,广告片/MV,100.0,2014-08-22
zuoshitu,B任务编号：297758,任务编号：297758,广告片/MV,200.0,2014-07-30
