需求方,设计师,任务编号,能力标签,交易价格,发布时间
浩琛,素凡创新设计,任务编号：1104943,3D建模,980.0,2025-01-18
k2103****34,素造创意,任务编号：1104588,包装设计,1499.0,2025-01-16
k7247****26,深圳萬森品牌,任务编号：1104022,包装设计,1800.0,2025-01-13
k8355****91,逆流回响,任务编号：1103723,包装设计,1499.0,2025-01-10
k1379****08,素造创意,任务编号：1103352,VI设计,1500.0,2025-01-08
k5197****24,素凡创新设计,任务编号：1103262,产品外观设计,1300.0,2025-01-08
高地密码FiOL0,小小小小鸟设计,任务编号：1103056,LOGO设计,500.0,2025-01-07
k3058****67,利宏营销策划,任务编号：1102042,宣传册设计,800.0,2024-12-31
威威虎5cHs5,原色设计工作室,任务编号：1101905,VI设计,1500.0,2024-12-30
索克巴格2HnLs,小LIU店铺,任务编号：1101902,宣传册设计,1000.0,2024-12-30
ringchan,素凡创新设计,任务编号：1101624,产品外观设计,1000.0,2024-12-28
k1299****19,素凡创新设计,任务编号：1100854,产品外观设计,200.0,2024-12-23
k4585****38,素造创意,任务编号：1100070,包装设计,1000.0,2024-12-18
E企航qDxLT,壹成品牌设计工作室,任务编号：1099728,LOGO设计,500.0,2024-12-16
k1349****96,郑州万瑞,任务编号：1099279,3D建模,500.0,2024-12-12
k7303****70,机械加工设计,任务编号：1099284,3D建模,4200.0,2024-12-12
k6800****77,成都晋禾品牌设计有限公司,任务编号：1098719,包装设计,8000.0,2024-12-09
k1732****39,沈阳中瑞恒信,任务编号：1098522,宣传册设计,1000.0,2024-12-05
k6460****2,苏州熊猫创意科技有限公司,任务编号：1115817,产品结构设计,2000.0,2024-12-03
k3750****19,微悦文创 | 悦设计,任务编号：1097950,海报设计,1200.0,2024-11-29
amorosow,鲸语 科技,任务编号：1097905,宣传单设计,600.0,2024-11-28
amorosow,抓重点设计,任务编号：1097899,海报设计,1000.0,2024-11-28
amorosow,泽若品牌设计工作室,任务编号：1097750,展示设计,1800.0,2024-11-27
k9215****25,视觉灵动.设计,任务编号：1097449,包装设计,2200.0,2024-11-22
优客yGxTD,泽若品牌设计工作室,任务编号：1097025,宣传册设计,600.0,2024-11-18
mf186****0773,素造创意,任务编号：1096952,VI设计,11000.0,2024-11-17
赛威22QCd,素凡创新设计,任务编号：1096915,卡通形象设计,1500.0,2024-11-15
GKboss,天津博漫插画设计有限公司,任务编号：1096848,漫画设计,1500.0,2024-11-15
k3587****87,四喜广告,任务编号：1096645,宣传册设计,2000.0,2024-11-13
mayuan1007,沈阳中瑞恒信,任务编号：1095661,展示设计,3180.0,2024-11-01
专客z2RFS,坤艺科技,任务编号：1095613,宣传单设计,1280.0,2024-11-01
k4880****32,灵悦创想,任务编号：1095389,包装设计,200.0,2024-10-30
k7374****08,鸿翼创意设计,任务编号：1095358,包装设计,500.0,2024-10-30
zth66****1,杭州薪和工业设计有限公司,任务编号：1094779,产品外观设计,4000.0,2024-10-23
liutongxing,河南武林网络科技有限公司,任务编号：1094555,交互设计,600.0,2024-10-21
