Source,Target,Value
2014 Type 1,2015 Type 1,4
2014 Type 1,2015 Type 2,1
2014 Type 1,2015 Type 3,10
2014 Type 1,2015 Type 4,6
2014 Type 2,2015 Type 1,1
2014 Type 2,2015 Type 2,1
2014 Type 2,2015 Type 3,2
2014 Type 2,2015 Type 4,1
2014 Type 3,2015 Type 1,2
2014 Type 3,2015 Type 3,111
2014 Type 3,2015 Type 4,7
2014 Type 4,2015 Type 1,7
2014 Type 4,2015 Type 2,7
2014 Type 4,2015 Type 3,46
2014 Type 4,2015 Type 4,27
2015 Type 1,2016 Type 1,7
2015 Type 1,2016 Type 2,1
2015 Type 1,2016 Type 3,4
2015 Type 1,2016 Type 4,5
2015 Type 2,2016 Type 1,3
2015 Type 2,2016 Type 2,1
2015 Type 2,2016 Type 3,1
2015 Type 3,2016 Type 1,4
2015 Type 3,2016 Type 2,2
2015 Type 3,2016 Type 3,178
2015 Type 3,2016 Type 4,46
2015 Type 4,2016 Type 1,6
2015 Type 4,2016 Type 2,2
2015 Type 4,2016 Type 3,16
2015 Type 4,2016 Type 4,31
2016 Type 1,2017 Type 1,23
2016 Type 1,2017 Type 2,4
2016 Type 1,2017 Type 3,9
2016 Type 1,2017 Type 4,2
2016 Type 2,2017 Type 2,6
2016 Type 2,2017 Type 3,2
2016 Type 2,2017 Type 4,3
2016 Type 3,2017 Type 1,13
2016 Type 3,2017 Type 2,3
2016 Type 3,2017 Type 3,205
2016 Type 3,2017 Type 4,24
2016 Type 4,2017 Type 1,11
2016 Type 4,2017 Type 2,5
2016 Type 4,2017 Type 3,35
2016 Type 4,2017 Type 4,42
2017 Type 1,2018 Type 1,42
2017 Type 1,2018 Type 2,6
2017 Type 1,2018 Type 3,6
2017 Type 1,2018 Type 4,10
2017 Type 2,2018 Type 1,2
2017 Type 2,2018 Type 2,2
2017 Type 2,2018 Type 4,4
2017 Type 3,2018 Type 1,14
2017 Type 3,2018 Type 2,2
2017 Type 3,2018 Type 3,264
2017 Type 3,2018 Type 4,59
2017 Type 4,2018 Type 1,5
2017 Type 4,2018 Type 2,6
2017 Type 4,2018 Type 3,20
2017 Type 4,2018 Type 4,48
2018 Type 1,2019 Type 1,81
2018 Type 1,2019 Type 2,7
2018 Type 1,2019 Type 3,13
2018 Type 1,2019 Type 4,13
2018 Type 2,2019 Type 1,4
2018 Type 2,2019 Type 2,6
2018 Type 2,2019 Type 4,4
2018 Type 3,2019 Type 1,13
2018 Type 3,2019 Type 2,3
2018 Type 3,2019 Type 3,277
2018 Type 3,2019 Type 4,34
2018 Type 4,2019 Type 1,14
2018 Type 4,2019 Type 2,3
2018 Type 4,2019 Type 3,43
2018 Type 4,2019 Type 4,64
2019 Type 1,2020 Type 1,45
2019 Type 1,2020 Type 2,13
2019 Type 1,2020 Type 3,25
2019 Type 1,2020 Type 4,9
2019 Type 2,2020 Type 1,1
2019 Type 2,2020 Type 2,4
2019 Type 2,2020 Type 3,3
2019 Type 2,2020 Type 4,1
2019 Type 3,2020 Type 1,9
2019 Type 3,2020 Type 2,5
2019 Type 3,2020 Type 3,229
2019 Type 3,2020 Type 4,51
2019 Type 4,2020 Type 1,3
2019 Type 4,2020 Type 2,5
2019 Type 4,2020 Type 3,24
2019 Type 4,2020 Type 4,38
2020 Type 1,2021 Type 1,46
2020 Type 1,2021 Type 2,1
2020 Type 1,2021 Type 3,6
2020 Type 1,2021 Type 4,3
2020 Type 2,2021 Type 1,3
2020 Type 2,2021 Type 2,3
2020 Type 2,2021 Type 3,1
2020 Type 2,2021 Type 4,6
2020 Type 3,2021 Type 1,20
2020 Type 3,2021 Type 2,4
2020 Type 3,2021 Type 3,152
2020 Type 3,2021 Type 4,60
2020 Type 4,2021 Type 1,9
2020 Type 4,2021 Type 2,7
2020 Type 4,2021 Type 3,21
2020 Type 4,2021 Type 4,32
2021 Type 1,2022 Type 1,36
2021 Type 1,2022 Type 2,7
2021 Type 1,2022 Type 3,6
2021 Type 1,2022 Type 4,5
2021 Type 2,2022 Type 1,5
2021 Type 2,2022 Type 2,14
2021 Type 2,2022 Type 3,1
2021 Type 2,2022 Type 4,5
2021 Type 3,2022 Type 1,9
2021 Type 3,2022 Type 2,2
2021 Type 3,2022 Type 3,103
2021 Type 3,2022 Type 4,28
2021 Type 4,2022 Type 1,8
2021 Type 4,2022 Type 2,12
2021 Type 4,2022 Type 3,21
2021 Type 4,2022 Type 4,44
2022 Type 1,2023 Type 1,34
2022 Type 1,2023 Type 2,5
2022 Type 1,2023 Type 3,3
2022 Type 1,2023 Type 4,1
2022 Type 2,2023 Type 1,5
2022 Type 2,2023 Type 2,10
2022 Type 2,2023 Type 3,1
2022 Type 2,2023 Type 4,14
2022 Type 3,2023 Type 1,8
2022 Type 3,2023 Type 2,1
2022 Type 3,2023 Type 3,75
2022 Type 3,2023 Type 4,19
2022 Type 4,2023 Type 1,4
2022 Type 4,2023 Type 2,5
2022 Type 4,2023 Type 3,12
2022 Type 4,2023 Type 4,50
2023 Type 1,2024 Type 1,32
2023 Type 1,2024 Type 2,4
2023 Type 1,2024 Type 3,6
2023 Type 1,2024 Type 4,6
2023 Type 2,2024 Type 1,7
2023 Type 2,2024 Type 2,8
2023 Type 2,2024 Type 4,7
2023 Type 3,2024 Type 1,2
2023 Type 3,2024 Type 2,1
2023 Type 3,2024 Type 3,64
2023 Type 3,2024 Type 4,12
2023 Type 4,2024 Type 1,2
2023 Type 4,2024 Type 2,4
2023 Type 4,2024 Type 3,8
2023 Type 4,2024 Type 4,46
2024 Type 1,2025 Type 1,14
2024 Type 1,2025 Type 2,4
2024 Type 1,2025 Type 3,2
2024 Type 1,2025 Type 4,8
2024 Type 2,2025 Type 1,3
2024 Type 2,2025 Type 2,9
2024 Type 2,2025 Type 3,1
2024 Type 2,2025 Type 4,1
2024 Type 3,2025 Type 1,10
2024 Type 3,2025 Type 3,1
2024 Type 3,2025 Type 4,34
2024 Type 4,2025 Type 1,3
2024 Type 4,2025 Type 2,11
2024 Type 4,2025 Type 3,2
2024 Type 4,2025 Type 4,15
