Source,Target,Value
2015 Type 1,2016 Type 1,7
2015 Type 1,2016 Type 2,1
2015 Type 1,2016 Type 3,4
2015 Type 1,2016 Type 4,5
2015 Type 2,2016 Type 1,3
2015 Type 2,2016 Type 2,1
2015 Type 2,2016 Type 3,1
2015 Type 3,2016 Type 1,4
2015 Type 3,2016 Type 2,2
2015 Type 3,2016 Type 3,178
2015 Type 3,2016 Type 4,46
2015 Type 4,2016 Type 1,6
2015 Type 4,2016 Type 2,2
2015 Type 4,2016 Type 3,16
2015 Type 4,2016 Type 4,31
2015 Type 1,2016 [流失],2516
2015 Type 2,2016 [流失],1397
2015 Type 3,2016 [流失],1974
2015 Type 4,2016 [流失],1349
2015 [新增],2016 Type 1,5332
2015 [新增],2016 Type 2,2223
2015 [新增],2016 Type 3,2400
2015 [新增],2016 Type 4,2423
2016 Type 1,2017 Type 1,23
2016 Type 1,2017 Type 2,4
2016 Type 1,2017 Type 3,9
2016 Type 1,2017 Type 4,2
2016 Type 2,2017 Type 2,6
2016 Type 2,2017 Type 3,2
2016 Type 2,2017 Type 4,3
2016 Type 3,2017 Type 1,13
2016 Type 3,2017 Type 2,3
2016 Type 3,2017 Type 3,205
2016 Type 3,2017 Type 4,24
2016 Type 4,2017 Type 1,11
2016 Type 4,2017 Type 2,5
2016 Type 4,2017 Type 3,35
2016 Type 4,2017 Type 4,42
2016 Type 1,2017 [流失],5314
2016 Type 2,2017 [流失],2218
2016 Type 3,2017 [流失],2354
2016 Type 4,2017 [流失],2412
2016 [新增],2017 Type 1,7819
2016 [新增],2017 Type 2,3554
2016 [新增],2017 Type 3,3544
2016 [新增],2017 Type 4,2985
2017 Type 1,2018 Type 1,42
2017 Type 1,2018 Type 2,6
2017 Type 1,2018 Type 3,6
2017 Type 1,2018 Type 4,10
2017 Type 2,2018 Type 1,2
2017 Type 2,2018 Type 2,2
2017 Type 2,2018 Type 4,4
2017 Type 3,2018 Type 1,14
2017 Type 3,2018 Type 2,2
2017 Type 3,2018 Type 3,264
2017 Type 3,2018 Type 4,59
2017 Type 4,2018 Type 1,5
2017 Type 4,2018 Type 2,6
2017 Type 4,2018 Type 3,20
2017 Type 4,2018 Type 4,48
2017 Type 1,2018 [流失],7802
2017 Type 2,2018 [流失],3564
2017 Type 3,2018 [流失],3456
2017 Type 4,2018 [流失],2977
2017 [新增],2018 Type 1,5391
2017 [新增],2018 Type 2,3991
2017 [新增],2018 Type 3,2494
2017 [新增],2018 Type 4,3582
2018 Type 1,2019 Type 1,81
2018 Type 1,2019 Type 2,7
2018 Type 1,2019 Type 3,13
2018 Type 1,2019 Type 4,13
2018 Type 2,2019 Type 1,4
2018 Type 2,2019 Type 2,6
2018 Type 2,2019 Type 4,4
2018 Type 3,2019 Type 1,13
2018 Type 3,2019 Type 2,3
2018 Type 3,2019 Type 3,277
2018 Type 3,2019 Type 4,34
2018 Type 4,2019 Type 1,14
2018 Type 4,2019 Type 2,3
2018 Type 4,2019 Type 3,43
2018 Type 4,2019 Type 4,64
2018 Type 1,2019 [流失],5340
2018 Type 2,2019 [流失],3993
2018 Type 3,2019 [流失],2457
2018 Type 4,2019 [流失],3579
2018 [新增],2019 Type 1,5725
2018 [新增],2019 Type 2,3399
2018 [新增],2019 Type 3,3566
2018 [新增],2019 Type 4,4801
2019 Type 1,2020 Type 1,45
2019 Type 1,2020 Type 2,13
2019 Type 1,2020 Type 3,25
2019 Type 1,2020 Type 4,9
2019 Type 2,2020 Type 1,1
2019 Type 2,2020 Type 2,4
2019 Type 2,2020 Type 3,3
2019 Type 2,2020 Type 4,1
2019 Type 3,2020 Type 1,9
2019 Type 3,2020 Type 2,5
2019 Type 3,2020 Type 3,229
2019 Type 3,2020 Type 4,51
2019 Type 4,2020 Type 1,3
2019 Type 4,2020 Type 2,5
2019 Type 4,2020 Type 3,24
2019 Type 4,2020 Type 4,38
2019 Type 1,2020 [流失],5745
2019 Type 2,2020 [流失],3409
2019 Type 3,2020 [流失],3605
2019 Type 4,2020 [流失],4846
2019 [新增],2020 Type 1,3954
2019 [新增],2020 Type 2,3157
2019 [新增],2020 Type 3,3005
2019 [新增],2020 Type 4,2250
2020 Type 1,2021 Type 1,46
2020 Type 1,2021 Type 2,1
2020 Type 1,2021 Type 3,6
2020 Type 1,2021 Type 4,3
2020 Type 2,2021 Type 1,3
2020 Type 2,2021 Type 2,3
2020 Type 2,2021 Type 3,1
2020 Type 2,2021 Type 4,6
2020 Type 3,2021 Type 1,20
2020 Type 3,2021 Type 2,4
2020 Type 3,2021 Type 3,152
2020 Type 3,2021 Type 4,60
2020 Type 4,2021 Type 1,9
2020 Type 4,2021 Type 2,7
2020 Type 4,2021 Type 3,21
2020 Type 4,2021 Type 4,32
2020 Type 1,2021 [流失],3956
2020 Type 2,2021 [流失],3171
2020 Type 3,2021 [流失],3050
2020 Type 4,2021 [流失],2280
2020 [新增],2021 Type 1,654
2020 [新增],2021 Type 2,949
2020 [新增],2021 Type 3,913
2020 [新增],2021 Type 4,1512
2021 Type 1,2022 Type 1,36
2021 Type 1,2022 Type 2,7
2021 Type 1,2022 Type 3,6
2021 Type 1,2022 Type 4,5
2021 Type 2,2022 Type 1,5
2021 Type 2,2022 Type 2,14
2021 Type 2,2022 Type 3,1
2021 Type 2,2022 Type 4,5
2021 Type 3,2022 Type 1,9
2021 Type 3,2022 Type 2,2
2021 Type 3,2022 Type 3,103
2021 Type 3,2022 Type 4,28
2021 Type 4,2022 Type 1,8
2021 Type 4,2022 Type 2,12
2021 Type 4,2022 Type 3,21
2021 Type 4,2022 Type 4,44
2021 Type 1,2022 [流失],678
2021 Type 2,2022 [流失],939
2021 Type 3,2022 [流失],951
2021 Type 4,2022 [流失],1528
2021 [新增],2022 Type 1,245
2021 [新增],2022 Type 2,338
