Designer_ID,Year,Niche_Width,Resource_Volume,Total_Overlap,Mean_Overlap,Competitor_Count,Value_Potential,Total_Revenue,Log_Value,Cluster_ID
10米工作室,2014,6.039816920880575,4.000000000000001,226.11345878888343,0.0703089113149513,668,399.9999999,1600.0,5.993961427057193,4
123456789,2014,5.821579615304498,1.0,125.66137045960328,0.0390738092225134,128,14999.999985,15000.0,9.615872143528955,1
12分,2014,6.642742382080494,2.0,682.8587734261743,0.2123317081549049,1016,482.9999997585,966.0,6.182084906217665,3
1L工作室,2014,4.957607040764319,1.0,226.0984536861198,0.0703042455491666,738,335.999999664,336.0,5.820082929355329,4
1号设计铺,2014,6.642742382080494,1.0,682.8587734261743,0.2123317081549049,1016,199.9999998,200.0,5.303304907064051,3
3A创意工作室,2014,6.642742382080494,1.0,682.8587734261743,0.2123317081549049,1016,599.9999994,600.0,6.398594933536871,3
59软件,2014,4.211759496631541,1.0,67.62832558624717,0.0210287082046788,70,999.999999,1000.0,6.90875477831622,4
7878789898,2014,3.3861642646647576,1.0,59.73744214368063,0.018575075293433,61,49.99999995,50.0,3.9318256317439335,4
7异 设计空间,2014,6.642742382080494,1.0,682.8587734261743,0.2123317081549049,1016,499.9999995,500.0,6.216606100086861,3
7维6度设计铺,2014,5.785410264334903,0.9999999999999998,171.32254677987964,0.0532719361877735,189,299.9999997,300.0,5.707110263752198,4
90度设计工作室,2014,2.772588722239781,1.0,7.589086477786832,0.0023597905714511,8,99.9999999,100.0,4.61512051585116,4
A%DESIGN©️,2014,2.3978952727983707,1.0,3.9403889722854384,0.0012252453272031,4,99.9999999,100.0,4.61512051585116,4
AIK studio,2014,3.687675661330046,1.0,125.46867756129517,0.0390138922765221,487,99.9999999,100.0,4.61512051585116,4
A新萝卜-最实惠,2014,6.050119211677299,4.0,611.6493253322076,0.1901894668321541,1043,1049.9999997375,4200.0,6.957497370627189,3
B244146,2014,2.7516666169315167,1.0,201.2093921161078,0.0625651094888394,724,999.999999,1000.0,6.90875477831622,4
B244149,2014,1.6094379124341005,1.0,9.918621165286098,0.0030841483722904,10,1599.9999984,1600.0,7.378383711997339,2
B244241,2014,5.86575832176124,1.0,243.3457536120873,0.075667211944057,254,199.9999998,200.0,5.303304907064051,4
