Year,Rank,Knowledge,Weight
2014,1,原创,0.01821015492290717
2014,2,知识产权,0.014535736559452705
2014,3,简洁,0.010684091739179872
2014,4,大气,0.00987533427253237
2014,5,企业官网,0.008684690800978669
2014,6,视觉冲击力,0.006977204667687438
2014,7,版权合规,0.006615353692620986
2014,8,LOGO,0.006125179986849146
2014,9,LOGO设计,0.005791411397197949
2014,10,年轻人,0.005718926235043032
2015,1,原创,0.018554780026575863
2015,2,企业官网,0.01393603122381177
2015,3,大气,0.01387791121046118
2015,4,知识产权,0.01363351404120565
2015,5,简洁,0.01260410574623924
2015,6,视觉冲击力,0.008531148021000289
2015,7,明快,0.007287425179948932
2015,8,LOGO设计,0.006740697059051558
2015,9,版权合规,0.006006375963374702
2015,10,著作权,0.005508177556291776
2016,1,原创,0.0163450794099265
2016,2,企业官网,0.014626836430299025
2016,3,大气,0.011072562481713672
2016,4,简洁,0.010568107928405568
2016,5,知识产权,0.009484821222134522
2016,6,视觉冲击力,0.006753971767389207
2016,7,明快,0.006528349790326874
2016,8,版权合规,0.005473218779894266
2016,9,年轻人,0.004990486900134155
2016,10,LOGO,0.00392039787831622
2017,1,原创,0.01762454249579193
2017,2,企业官网,0.012565717219286579
2017,3,大气,0.009911209619697745
2017,4,简洁,0.009599746653046456
2017,5,知识产权,0.008000420825984733
2017,6,视觉冲击力,0.006303643286730346
2017,7,明快,0.005922744900827773
2017,8,版权合规,0.005238041677263275
2017,9,小程序开发,0.004780805927503662
2017,10,LOGO设计,0.004210143837556751
2018,1,原创,0.017985292010239833
2018,2,大气,0.00928720126647697
2018,3,简洁,0.00923897533603527
2018,4,知识产权,0.0088884950608769
2018,5,微信,0.007114445398289734
2018,6,视觉冲击力,0.005969483017268379
2018,7,LOGO设计,0.005964201155306491
2018,8,APP开发,0.0057747504777299645
2018,9,企业官网,0.0052499281622564835
2018,10,年轻人,0.00511242636205819
2019,1,原创,0.01743048843207581
2019,2,简洁,0.009188128427617714
2019,3,大气,0.008845212676573256
2019,4,知识产权,0.008185266511969358
2019,5,APP开发,0.007562552307753223
2019,6,企业官网,0.006869022981521014
2019,7,LOGO设计,0.00607226615555235
2019,8,开发,0.0059957399941840605
2019,9,视觉冲击力,0.00567641263444138
2019,10,小程序,0.004822448492135129
2020,1,原创,0.013022239015541797
2020,2,开发,0.010586641231278027
2020,3,简洁,0.007993885310915163
2020,4,小程序,0.007781988700866001
2020,5,合同,0.007463984536569345
2020,6,大气,0.007238721901380048
2020,7,小程序开发,0.006503092487500913
2020,8,APP开发,0.006190476843755727
2020,9,LOGO设计,0.0057962219187493785
2020,10,APP,0.005591192030685988
2021,1,原创,0.01687596242386591
2021,2,大气,0.010581108955591693
2021,3,简洁,0.010355122647755878
2021,4,LOGO设计,0.009194899970532426
2021,5,开发,0.007906063704957486
2021,6,合同,0.007646517872620072
2021,7,小程序,0.007324190718783687
2021,8,微信,0.006653237358842886
2021,9,品牌标识突出,0.006384719491017031
2021,10,简约,0.006181970682146978
2022,1,原创,0.020320453631978874
2022,2,预算,0.013911739942119512
2022,3,大气,0.012669152817094098
2022,4,微信,0.01221532683254747
2022,5,简洁,0.01215367036296199
2022,6,LOGO设计,0.011953234241449022
2022,7,包装设计,0.010816286075726843
2022,8,品牌标识突出,0.010098792385403519
2022,9,版权合规,0.009476969467196478
2022,10,快手极速版,0.008399218548856696
2023,1,原创,0.019083948698519433
2023,2,包装设计,0.015462516823780914
2023,3,预算,0.015238586711523746
2023,4,简洁,0.01412789722925982
2023,5,大气,0.0133878284568545
2023,6,LOGO设计,0.011665314941009381
2023,7,服务商,0.011472897394466794
2023,8,微信,0.011127959123272196
2023,9,小程序,0.010447840426783839
2023,10,报价,0.008964233856662734
2024,1,包装设计,0.022381751970703717
2024,2,合同,0.020298012478129082
2024,3,原创,0.01863251970293806
2024,4,小程序,0.01506916323306938
2024,5,版权合规,0.013277932221535756
2024,6,预算,0.013061470143763658
2024,7,微信,0.011830588084211505
2024,8,服务商,0.011721711073337538
2024,9,简洁,0.010858496814911503
2024,10,大气,0.010288028741795067
2025,1,包装设计,0.013489560253369134
2025,2,合同,0.011882534449209193
2025,3,预算,0.010097003128711831
2025,4,页面排版,0.00881057268722467
2025,5,版权合规,0.008009862306876926
2025,6,原创,0.007788316210751064
2025,7,小程序,0.007629162247566227
2025,8,大气,0.007530902025854675
2025,9,服务商,0.006904335561433668
2025,10,完成时间,0.006135149788148775
