Year,Knowledge,Frequency,Rank
2021,原创,363,1
2021,大气,222,2
2021,简洁,214,3
2021,LOGO设计,196,4
2021,知识产权,131,5
2021,品牌标识突出,128,6
2021,LOGO,123,7
2021,简约,111,8
2021,版权合规,109,9
2021,视觉冲击力,101,10
2021,微信,100,11
2021,小程序,99,12
2021,开发,90,13
2021,logo设计,85,14
2021,年轻人,84,15
2021,合同,79,16
2021,商标注册,78,17
2021,时尚,76,18
2021,快手极速版,74,19
2021,著作权,69,20
2021,新用户,68,21
2021,明快,63,22
2021,醒目易识别,59,23
2021,使用权,59,24
2021,发布权,58,25
2021,公司LOGO,56,26
2021,知识产权合规,55,27
2021,原创设计,54,28
2021,品牌起名,51,29
2021,包装设计,51,30
2021,简单,51,31
2021,高端,50,32
2021,微信小程序,49,33
2021,网站,47,34
2021,设计,46,35
2021,一个手机只能填写一次,46,36
2021,预算,45,37
2021,小程序开发,41,38
2021,知识产权说明,41,39
2021,手机浏览器,39,40
2021,APP,39,41
2021,企业官网,39,42
2021,APP开发,38,43
2021,客户,36,44
2021,设计师,35,45
2021,公司,34,46
2021,logo,33,47
2021,美观,32,48
2021,服务商,32,49
2021,大方,32,50
2021,消费者,31,51
2021,AI,30,52
2021,用户,29,53
2021,科技感,29,54
2021,简洁大气,28,55
2021,名片,28,56
2021,矢量图形源文件,28,57
2021,图形,28,58
2021,创意,28,59
2021,易记,28,60
2021,效果图,26,61
2021,样板间,26,62
2021,CDR,25,63
2021,文字,25,64
2021,简洁大方,24,65
2021,有创意,24,66
2021,简约大气,24,67
2021,截图,24,68
2021,高端大气,24,69
2021,二维码,24,70
2021,商标,23,71
2021,公司logo,23,72
2021,应用商店,22,73
2021,装修设计,22,74
2021,宣传册设计,22,75
2021,自建房,22,76
2021,简单明了,21,77
2021,未侵犯他人著作权,21,78
2021,手机,21,79
2021,注册,21,80
2021,原创作品,21,81
2021,新手威客,21,82
2021,新注册用户,21,83
2021,VI设计,20,84
2021,辨识度高,20,85
2021,可注册,20,86
2021,注册日期,19,87
2021,联系报价,19,88
2021,宣传册,19,89
2021,二次开发,19,90
2021,创意说明,18,91
2021,新颖,18,92
2021,长期合作,18,93
2021,注册商标,18,94
2021,外观设计,18,95
2021,儿童,18,96
2021,国际化,17,97
2021,起名,17,98
2021,好记,17,99
2021,原创性,17,100
