Year,Knowledge,Frequency,Rank
2014,原创,257,1
2014,知识产权,203,2
2014,简洁,159,3
2014,大气,155,4
2014,LOGO设计,103,5
2014,视觉冲击力,102,6
2014,LOGO,101,7
2014,明快,82,8
2014,版权合规,78,9
2014,著作权,69,10
2014,发布权,66,11
2014,企业官网,66,12
2014,使用权,64,13
2014,品牌标识突出,62,14
2014,名片,58,15
2014,年轻人,57,16
2014,醒目易识别,56,17
2014,简单,46,18
2014,简约,44,19
2014,时尚,41,20
2014,用户,28,24
2014,logo设计,25,27
2014,知识产权说明,15,47
2014,易记,14,53
2014,知识产权合规,13,59
2014,商标注册,12,61
2014,小程序开发,11,77
2014,小程序,9,99
2014,二维码,9,107
2014,开发,6,162
2014,微信,6,168
2014,包装设计,6,201
2014,报价,3,499
2014,服务商,2,971
2014,公众号,1,4365
2014,合同,1,7243
2014,完成时间,1,7616
2015,原创,813,1
2015,知识产权,583,2
2015,大气,563,3
2015,简洁,494,4
2015,视觉冲击力,345,5
2015,LOGO设计,300,6
2015,明快,283,7
2015,著作权,237,8
2015,LOGO,230,9
2015,使用权,205,10
2015,发布权,202,11
2015,版权合规,199,12
2015,品牌标识突出,199,13
2015,年轻人,190,14
2015,醒目易识别,180,15
2015,名片,154,16
2015,简约,149,17
2015,企业官网,126,18
2015,时尚,117,19
2015,易记,102,20
2015,简单,86,23
2015,商标注册,82,25
2015,logo设计,61,30
2015,小程序开发,46,42
2015,知识产权合规,43,48
2015,用户,42,50
2015,知识产权说明,38,67
2015,微信,35,76
2015,二维码,33,83
2015,小程序,26,105
2015,包装设计,18,144
2015,服务商,8,353
2015,公众号,7,416
2015,开发,5,581
2015,报价,3,1350
2015,预算,2,2093
2015,合同,2,2422
2015,案例,2,2559
2016,原创,887,1
2016,大气,549,2
2016,简洁,528,3
2016,知识产权,520,4
2016,视觉冲击力,361,5
2016,明快,344,6
2016,LOGO设计,246,7
2016,年轻人,239,8
2016,LOGO,232,9
2016,品牌标识突出,227,10
2016,醒目易识别,209,11
2016,版权合规,198,12
2016,著作权,189,13
2016,微信,166,14
2016,使用权,151,15
2016,发布权,145,16
2016,公众号,129,17
2016,企业官网,119,18
2016,二维码,118,19
2016,简单,118,20
2016,简约,116,21
2016,时尚,110,22
2016,名片,109,24
2016,知识产权合规,99,25
2016,logo设计,89,26
2016,知识产权说明,83,28
2016,商标注册,73,30
2016,易记,50,41
2016,用户,45,51
2016,小程序开发,25,89
2016,开发,21,110
2016,小程序,17,136
2016,包装设计,16,141
2016,服务商,16,147
2016,预算,7,338
2016,案例,6,409
2016,报价,5,486
2016,新用户,1,3613
2016,手机浏览器,1,14095
2016,合同,1,15169
2017,原创,1407,1
2017,大气,714,2
2017,简洁,676,3
2017,知识产权,640,4
2017,视觉冲击力,450,5
2017,明快,422,6
2017,LOGO设计,358,7
2017,LOGO,331,8
2017,品牌标识突出,307,9
2017,版权合规,305,10
2017,醒目易识别,268,11
2017,著作权,261,12
2017,商标注册,243,13
2017,年轻人,242,14
2017,发布权,225,15
2017,使用权,225,16
2017,知识产权合规,182,17
2017,企业官网,178,18
2017,简约,177,19
2017,时尚,169,20
2017,知识产权说明,147,21
2017,微信,123,22
2017,简单,120,24
2017,易记,113,26
2017,名片,107,27
2017,logo设计,96,29
2017,小程序开发,73,36
2017,包装设计,45,67
2017,用户,45,68
2017,二维码,43,73
2017,公众号,42,74
2017,开发,41,77
2017,小程序,36,89
2017,微信小程序,25,129
2017,服务商,17,193
2017,合同,13,257
2017,新用户,9,402
2017,案例,8,445
2017,预算,8,450
2017,手机浏览器,3,1226
2017,报价,1,20371
2018,原创,1178,1
2018,大气,564,2
2018,简洁,549,3
2018,知识产权,507,4
2018,LOGO设计,416,5
2018,视觉冲击力,343,6
2018,明快,298,7
2018,LOGO,280,8
2018,品牌标识突出,270,9
2018,著作权,235,10
2018,logo设计,230,11
2018,版权合规,229,12
2018,年轻人,224,13
2018,醒目易识别,216,14
2018,发布权,209,15
2018,使用权,209,16
2018,知识产权合规,185,17
2018,商标注册,173,18
2018,简约,165,19
2018,微信,159,20
2018,知识产权说明,155,21
2018,二维码,126,22
2018,简单,121,23
2018,时尚,109,25
2018,名片,98,27
2018,包装设计,94,28
2018,企业官网,92,30
2018,小程序,86,33
2018,用户,80,34
2018,易记,70,40
2018,小程序开发,58,50
2018,开发,57,52
2018,微信小程序,52,56
2018,服务商,39,74
2018,公众号,35,85
2018,预算,25,119
2018,合同,25,123
2018,新用户,22,146
2018,案例,6,570
2018,手机浏览器,6,604
2018,报价,4,1066
2019,原创,1096,1
2019,简洁,546,2
2019,大气,538,3
2019,知识产权,509,4
2019,LOGO设计,395,5
2019,视觉冲击力,336,6
2019,明快,288,7
2019,LOGO,275,8
2019,logo设计,261,9
2019,品牌标识突出,252,10
2019,醒目易识别,243,11
2019,著作权,239,12
2019,年轻人,232,13
2019,版权合规,214,14
2019,使用权,195,15
2019,发布权,193,16
2019,微信,192,17
2019,知识产权合规,173,18
2019,商标注册,158,19
2019,知识产权说明,148,20
2019,简约,146,21
2019,企业官网,123,22
2019,小程序,115,23
2019,简单,114,24
2019,二维码,111,25
2019,时尚,97,29
2019,小程序开发,94,30
2019,用户,90,32
2019,易记,87,33
2019,包装设计,83,34
2019,名片,81,36
2019,开发,67,45
2019,新用户,62,50
2019,预算,47,68
2019,合同,41,79
2019,微信小程序,36,92
2019,公众号,29,111
2019,服务商,20,160
2019,案例,11,314
2019,手机浏览器,8,489
2019,报价,5,789
2019,完成时间,2,3129
2020,原创,534,1
2020,简洁,295,2
2020,大气,281,3
2020,LOGO设计,233,4
2020,知识产权,217,5
2020,LOGO,182,6
2020,版权合规,166,7
2020,品牌标识突出,159,8
2020,微信,152,9
2020,视觉冲击力,148,10
2020,年轻人,124,11
2020,明快,123,12
2020,logo设计,115,13
2020,商标注册,101,14
2020,醒目易识别,101,15
2020,简约,99,16
2020,开发,93,17
2020,小程序,92,18
2020,简单,85,19
2020,包装设计,84,20
2020,著作权,83,21
2020,小程序开发,79,22
2020,使用权,73,23
2020,发布权,72,25
2020,时尚,70,27
2020,知识产权说明,68,28
2020,合同,64,31
2020,二维码,60,33
2020,易记,59,35
2020,知识产权合规,58,36
2020,名片,47,44
2020,企业官网,46,47
2020,新用户,44,48
2020,微信小程序,44,49
2020,用户,42,53
2020,公众号,25,95
2020,快手极速版,23,98
2020,案例,15,148
2020,预算,13,171
2020,服务商,12,193
2020,报价,10,229
2020,报价预算,1,15877
2020,手机浏览器,1,15952
2021,原创,363,1
2021,大气,222,2
2021,简洁,214,3
2021,LOGO设计,196,4
2021,知识产权,131,5
2021,品牌标识突出,128,6
2021,LOGO,123,7
2021,简约,111,8
2021,版权合规,109,9
2021,视觉冲击力,101,10
2021,微信,100,11
2021,小程序,99,12
2021,开发,90,13
2021,logo设计,85,14
2021,年轻人,84,15
2021,合同,79,16
2021,商标注册,78,17
2021,时尚,76,18
2021,快手极速版,74,19
2021,著作权,69,20
2021,新用户,68,21
2021,明快,63,22
2021,醒目易识别,59,23
2021,使用权,59,24
2021,发布权,58,25
2021,知识产权合规,55,27
2021,包装设计,51,30
2021,简单,51,31
2021,微信小程序,49,33
2021,预算,45,37
2021,小程序开发,41,38
2021,知识产权说明,41,39
2021,手机浏览器,39,40
2021,企业官网,39,42
2021,服务商,32,49
2021,用户,29,53
2021,名片,28,56
2021,易记,28,60
2021,二维码,24,70
2021,公众号,10,168
2021,服务商地域不限,10,186
2021,报价,4,541
2021,案例,4,559
2021,报价预算,2,1928
2022,原创,206,1
2022,大气,131,2
2022,简洁,126,3
2022,LOGO设计,122,4
2022,预算,114,5
2022,快手极速版,111,6
2022,品牌标识突出,100,7
2022,微信,96,8
2022,新用户,94,9
2022,手机浏览器,89,10
2022,包装设计,85,11
2022,版权合规,79,12
2022,LOGO,75,13
2022,知识产权,74,14
2022,年轻人,66,15
2022,小程序,64,16
2022,商标注册,64,17
2022,视觉冲击力,63,18
2022,简约,61,19
2022,logo设计,58,20
2022,明快,49,24
2022,简单,47,25
2022,时尚,44,26
2022,小程序开发,38,29
2022,醒目易识别,38,30
2022,开发,37,31
2022,二维码,36,34
2022,服务商,36,35
2022,服务商地域不限,31,39
2022,报价,30,45
2022,用户,30,47
2022,微信小程序,29,50
2022,知识产权说明,28,51
2022,合同,23,69
2022,著作权,22,70
2022,使用权,21,73
2022,知识产权合规,20,75
2022,发布权,20,83
2022,名片,19,86
2022,企业官网,15,103
2022,案例,14,109
2022,公众号,12,124
2022,易记,10,157
2022,报价预算,1,10846
2023,原创,178,1
2023,大气,118,2
2023,简洁,115,3
2023,LOGO设计,110,4
2023,预算,107,5
2023,包装设计,94,6
2023,小程序,88,7
2023,微信,80,8
2023,知识产权,78,9
2023,服务商,76,10
2023,品牌标识突出,74,11
2023,LOGO,73,12
2023,版权合规,71,13
2023,视觉冲击力,66,14
2023,logo设计,65,15
2023,报价,60,16
2023,简约,59,17
2023,年轻人,49,18
2023,案例,45,19
