Knowledge,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
LOGO,7.0,9.0,9.0,8.0,8.0,8.0,6.0,7.0,13.0,12.0,11.0,20.0
LOGO设计,5.0,6.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,4.0,9.0,12.0
logo设计,27.0,30.0,26.0,29.0,11.0,9.0,13.0,14.0,20.0,15.0,30.0,36.0
二维码,107.0,83.0,19.0,73.0,22.0,25.0,33.0,70.0,34.0,103.0,54.0,187.0
企业官网,12.0,18.0,18.0,18.0,30.0,22.0,47.0,42.0,103.0,125.0,154.0,
使用权,13.0,10.0,15.0,16.0,16.0,15.0,23.0,24.0,73.0,31.0,44.0,
公众号,4365.0,416.0,17.0,74.0,85.0,111.0,95.0,168.0,124.0,96.0,97.0,
包装设计,201.0,144.0,141.0,67.0,28.0,34.0,20.0,30.0,11.0,6.0,3.0,1.0
原创,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
发布权,11.0,11.0,16.0,15.0,15.0,16.0,25.0,25.0,83.0,35.0,47.0,
合同,7243.0,2422.0,15169.0,257.0,123.0,79.0,31.0,16.0,69.0,22.0,2.0,4.0
名片,15.0,16.0,24.0,27.0,27.0,36.0,44.0,56.0,86.0,101.0,129.0,107.0
品牌标识突出,14.0,13.0,10.0,9.0,9.0,10.0,8.0,6.0,7.0,11.0,12.0,9.0
商标注册,61.0,25.0,30.0,13.0,18.0,19.0,14.0,17.0,17.0,41.0,36.0,102.0
大气,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,7.0,7.0
完成时间,7616.0,,,,,3129.0,,,,109.0,73.0,10.0
小程序,99.0,105.0,136.0,89.0,33.0,23.0,18.0,12.0,16.0,7.0,4.0,2.0
小程序开发,77.0,42.0,89.0,36.0,50.0,30.0,22.0,38.0,29.0,68.0,13.0,11.0
年轻人,16.0,14.0,8.0,14.0,13.0,13.0,11.0,15.0,15.0,18.0,21.0,18.0
开发,162.0,581.0,110.0,77.0,52.0,45.0,17.0,13.0,31.0,21.0,17.0,19.0
微信,168.0,76.0,14.0,22.0,20.0,17.0,9.0,11.0,8.0,8.0,10.0,14.0
微信小程序,,,,129.0,56.0,92.0,49.0,33.0,50.0,26.0,19.0,55.0
快手极速版,,,,,,,98.0,19.0,6.0,47.0,,
手机浏览器,,,14095.0,1226.0,604.0,489.0,15952.0,40.0,10.0,83.0,,
报价,499.0,1350.0,486.0,20371.0,1066.0,789.0,229.0,541.0,45.0,16.0,18.0,33.0
报价预算,,,,,,,15877.0,1928.0,10846.0,49.0,28.0,16.0
新用户,,,3613.0,402.0,146.0,50.0,48.0,21.0,9.0,77.0,,
时尚,20.0,19.0,22.0,20.0,25.0,29.0,27.0,18.0,26.0,55.0,75.0,551.0
明快,8.0,7.0,6.0,6.0,7.0,7.0,12.0,22.0,24.0,23.0,29.0,92.0
易记,53.0,20.0,41.0,26.0,40.0,33.0,35.0,60.0,157.0,112.0,111.0,545.0
服务商,971.0,353.0,147.0,193.0,74.0,160.0,193.0,49.0,35.0,10.0,14.0,8.0
服务商地域不限,,,,,,,,186.0,39.0,20.0,37.0,32.0
案例,,2559.0,409.0,445.0,570.0,314.0,148.0,559.0,109.0,19.0,23.0,50.0
版权合规,9.0,12.0,12.0,10.0,12.0,14.0,7.0,9.0,12.0,13.0,5.0,5.0
用户,24.0,50.0,51.0,68.0,34.0,32.0,53.0,53.0,47.0,28.0,20.0,13.0
知识产权,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,14.0,9.0,16.0,28.0
知识产权合规,59.0,48.0,25.0,17.0,17.0,18.0,36.0,27.0,75.0,84.0,94.0,
知识产权说明,47.0,67.0,28.0,21.0,21.0,20.0,28.0,39.0,51.0,60.0,50.0,103.0
简单,18.0,23.0,20.0,24.0,23.0,24.0,19.0,31.0,25.0,29.0,25.0,43.0
简洁,3.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,6.0,15.0
简约,19.0,17.0,21.0,19.0,19.0,21.0,16.0,8.0,19.0,17.0,15.0,17.0
著作权,10.0,8.0,13.0,12.0,10.0,12.0,21.0,20.0,70.0,25.0,42.0,917.0
视觉冲击力,6.0,5.0,5.0,5.0,6.0,6.0,10.0,10.0,18.0,14.0,27.0,68.0
醒目易识别,17.0,15.0,11.0,11.0,14.0,11.0,15.0,23.0,30.0,24.0,46.0,294.0
预算,,2093.0,338.0,450.0,119.0,68.0,171.0,37.0,5.0,5.0,8.0,3.0
