designer,year,ability,order_count,total_amount,designer_idx,ability_idx
*一米阳光工作室*,2019,LOGO设计,1,300.0,1,11
-创优信息技术有限公司-,2019,IT解决方案,1,300.0,2,10
1+2品牌设计,2019,LOGO设计,1,800.0,3,11
102工作室,2019,其他,1,100.0,4,41
102工作室,2019,品牌起名,2,400.0,4,81
102工作室,2019,宣传策划,1,106.0,4,100
102工作室,2019,广告策划,2,2900.0,4,113
1L工作室,2019,公司起名,1,100.0,5,39
1L工作室,2019,品牌起名,1,100.0,5,81
1号品牌设计,2019,LOGO设计,3,1500.0,6,11
21克设计,2019,LOGO设计,6,3400.0,7,11
42DESIGN,2019,效果图设计,1,300.0,8,139
47号设计工作室,2019,LOGO设计,12,10386.0,9,11
52Hz工作室,2019,商业空间,1,1000.0,10,83
6B创意设计工作室,2019,3D建模,5,2900.0,11,1
6B创意设计工作室,2019,海报设计,1,800.0,11,167
@烨名珠@,2019,公司起名,1,300.0,12,39
@烨名珠@,2019,品牌起名,1,500.0,12,81
A2774135186,2019,品牌起名,1,100.0,13,81
AC设计,2019,LOGO设计,13,8375.0,14,11
AI旭峰,2019,网店取名,1,288.0,15,196
AND绘梨衣,2019,品牌起名,1,100.0,16,81
ART咖,2019,宝宝起名,1,660.0,17,96
AYANABON,2019,专业代笔,1,100.0,18,22
Ai创设计丶,2019,宣传单设计,1,300.0,19,99
Ai创设计丶,2019,展台设计,1,500.0,19,107
Ai创设计丶,2019,海报设计,1,300.0,19,167
Allison视觉工作室,2019,公司起名,1,100.0,20,39
App 游戏开发,2019,小程序开发,1,2000.0,21,104
Artair,2019,VI设计,1,1200.0,22,15
Ashers,2019,3D建模,1,150.0,23,1
Aug-85,2019,LOGO设计,1,500.0,24,11
A凡先生,2019,其他设计,1,300.0,25,55
A新萝卜-最实惠,2019,LOGO设计,4,5028.0,26,11
A新萝卜-最实惠,2019,VI设计,1,1920.0,26,15
A新萝卜-最实惠,2019,动画设计,1,2800.0,26,66
A新萝卜-最实惠,2019,店铺/网店起名,1,500.0,26,116
A王北风,2019,LOGO设计,1,500.0,27,11
A计划创意,2019,LOGO设计,1,500.0,28,11
A锐设计,2019,LOGO设计,20,15000.0,29,11
A锐设计,2019,吉祥物设计,1,600.0,29,74
B698621,2019,LOGO设计,1,24900.0,30,11
B698632,2019,APP开发,1,21500.0,31,3
B698634,2019,LOGO设计,1,30000.0,32,11
B698635,2019,LOGO设计,1,20000.0,33,11
B698651,2019,金融,1,30000.0,34,226
B698653,2019,小程序开发,1,1960.0,35,104
B698655,2019,H5开发,1,1970.0,36,8
B698656,2019,其他宣传品设计,1,1940.0,37,47
B698677,2019,LOGO设计,1,3636.0,38,11
B698691,2019,企业官网,1,8000.0,39,32
B698695,2019,LOGO设计,1,10000.0,40,11
B698697,2019,产品原型设计,1,20000.0,41,27
B698700,2019,VI设计,1,1000.0,42,15
B698707,2019,APP开发,1,15880.0,43,3
B698708,2019,店铺装修,1,30000.0,44,119
B698709,2019,小程序开发,1,5580.0,45,104
B698711,2019,小程序开发,1,12800.0,46,104
B698712,2019,小程序开发,1,19800.0,47,104
B698789,2019,包装设计,1,27000.0,48,67
B698800,2019,店铺装修,1,46500.0,49,119
B698814,2019,小程序开发,1,500.0,50,104
B698832,2019,前端开发,1,5000.0,51,60
B698836,2019,宣传单设计,1,300.0,52,99
B698839,2019,动画设计,1,21000.0,53,66
B698840,2019,网站UI设计,1,21000.0,54,198
B698842,2019,活动策划,1,5000.0,55,164
B698844,2019,活动策划,1,2000.0,56,164
B698845,2019,活动策划,1,2000.0,57,164
B698846,2019,活动策划,1,5000.0,58,164
B698847,2019,企业官网,1,3000.0,59,32
B698850,2019,活动策划,1,3000.0,60,164
B698854,2019,活动策划,1,6800.0,61,164
B698866,2019,APP开发,1,17200.0,62,3
B698871,2019,H5设计,1,8000.0,63,9
B698872,2019,APP开发,1,16500.0,64,3
B698903,2019,APP开发,1,43000.0,65,3
B698904,2019,APP开发,1,50000.0,66,3
B698905,2019,智能家居软件,1,50000.0,67,157
B698906,2019,微信开发,1,40000.0,68,126
B698907,2019,智能家居软件,1,10000.0,69,157
B698908,2019,APP开发,1,49900.0,70,3
B698910,2019,APP开发,1,50000.0,71,3
B698916,2019,教育教学,1,12500.0,72,141
B698920,2019,插画设计,1,800.0,73,138
B698927,2019,广告设计,1,41200.0,74,114
B698928,2019,APP开发,1,50000.0,75,3
B698930,2019,APP开发,1,50000.0,76,3
B698934,2019,APP开发,1,50000.0,77,3
B698935,2019,其他网站,1,50000.0,78,53
B698936,2019,通讯通信,1,40000.0,79,221
B698937,2019,生活家政,1,50000.0,80,181
B698952,2019,企业官网,1,1500.0,81,32
B698963,2019,手提袋设计,1,4800.0,82,132
B698964,2019,企业官网,1,8000.0,83,32
B698981,2019,小程序开发,1,50000.0,84,104
B698982,2019,APP开发,1,1000.0,85,3
B698991,2019,系统工具,1,49840.0,86,192
B698995,2019,测试服务,1,19136.0,87,166
B699007,2019,测试服务,1,49862.0,88,166
B699013,2019,企业官网,1,49865.0,89,32
B699021,2019,APP开发,1,50000.0,90,3
B699031,2019,企业官网,1,49886.0,91,32
B699032,2019,淘宝/天猫代运营,1,10000.0,92,168
B699034,2019,小程序开发,1,4000.0,93,104
B699041,2019,APP开发,1,20000.0,94,3
B699043,2019,微信推广,1,79000.0,95,127
B699046,2019,LOGO设计,1,100.0,96,11
B699048,2019,产品外观设计,1,28000.0,97,28
B699055,2019,产品外观设计,1,29000.0,98,28
B699061,2019,创意短视频,1,600.0,99,58
B699065,2019,APP开发,1,15000.0,100,3
B699066,2019,LOGO设计,1,39977.0,101,11
B699085,2019,企业官网,1,22000.0,102,32
B699096,2019,商业提案,1,2000.0,103,82
B699097,2019,商业提案,1,1000.0,104,82
B699099,2019,商业提案,1,2000.0,105,82
B699100,2019,商业提案,1,1500.0,106,82
B699101,2019,微信开发,1,40200.0,107,126
B699102,2019,商业提案,1,1500.0,108,82
B699110,2019,商业贸易,1,50000.0,109,84
B699111,2019,商业贸易,1,40000.0,110,84
B699112,2019,软件UI设计,1,200.0,111,217
B699116,2019,微信开发,1,19950.0,112,126
B699117,2019,生活家政,1,50000.0,113,181
B699125,2019,智能家居软件,1,50000.0,114,157
B699175,2019,微信开发,1,9520.0,115,126
B699184,2019,店铺装修,1,2000.0,116,119
B699205,2019,LOGO设计,1,19900.0,117,11
B699220,2019,图片处理,1,1970.0,118,88
B699222,2019,标签设计,1,158.0,119,161
B699225,2019,APP开发,1,39000.0,120,3
B699227,2019,APP开发,1,41000.0,121,3
B699230,2019,整合营销,1,45000.0,122,145
B699231,2019,其他设计,1,1950.0,123,55
B699232,2019,其他软件开发,1,1940.0,124,56
B699238,2019,详情页设计,1,300.0,125,214
B699240,2019,APP开发,1,50000.0,126,3
B699241,2019,前端开发,1,1980.0,127,60
B699242,2019,APP开发,1,36000.0,128,3
B699247,2019,企业官网,1,30000.0,129,32
B699249,2019,VI设计,1,38000.0,130,15
B699252,2019,LOGO设计,1,7000.0,131,11
B699253,2019,企业官网,1,34942.0,132,32
B699255,2019,LOGO设计,1,3680.0,133,11
B699261,2019,APP开发,1,4000.0,134,3
B699267,2019,小程序开发,1,26600.0,135,104
B699268,2019,APP开发,1,30000.0,136,3
B699274,2019,VI设计,1,10000.0,137,15
B699276,2019,其他软件开发,1,3000.0,138,56
B699277,2019,LOGO设计,1,4750.0,139,11
B699278,2019,APP开发,1,45000.0,140,3
B699279,2019,APP开发,1,32000.0,141,3
