Designer_ID,Year,Niche_Width,Resource_Volume,Total_Overlap,Mean_Overlap,Competitor_Count,Value_Potential,Total_Revenue,Log_Value
................................,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,499.99999949999994,500.0,6.216606100086861
10年app开发团队，靠谱接单,2018,7.117419316619403,2.999999999999999,1544.6380851570234,0.0968607314953924,1962,6133.333331288889,18400.0,8.721656684783806
1号品牌设计,2018,7.532405080371582,7.0,2935.3372819305314,0.1840683063855603,4261,523.7142856394694,3666.0,6.2628538966217695
21克设计,2018,7.53240508037158,11.0,2935.3372819308365,0.1840683063855795,4261,514.5454544986777,5660.0,6.245225475124925
313工作室,2018,4.987284602280633,1.0,46.04368562480736,0.0028872945146301,56,99.99999989999999,100.0,4.61512051585116
3733软件设计,2018,6.018604490611329,1.0000000000000002,340.4613950439451,0.0213495575997958,364,999.9999989999999,1000.0,6.9087547783162195
3Q工作室,2018,7.526649717167888,2.0,2497.991276708565,0.1566433358442694,4815,1154.9999994225,2310.0,7.052721048732756
419网络科技,2018,7.08149109020296,3.0,1912.229748389451,0.1199115663378347,3981,1166.6666662777777,3500.0,7.062762734196329
47号设计工作室,2018,7.550324204629746,7.0,3010.7793964522034,0.1887991093279114,4645,657.1428570489796,4600.0,6.489422015737964
5 哥 视 觉,2018,7.53240508037158,1.0,2935.337281930196,0.1840683063855393,4261,599.9999994,600.0,6.398594933536871
7视觉设计工作室,2018,7.53240508037158,1.0,2935.337281930196,0.1840683063855393,4261,999.9999989999999,1000.0,6.9087547783162195
AC设计,2018,7.53240508037158,4.999999999999999,2935.337281930312,0.1840683063855466,4261,511.9999998976,2560.0,6.240275844971159
AIVE DESIGN,2018,6.424739754503784,4.0,1641.8236648233749,0.1029550175470856,3969,556.2499998609375,2225.0,6.323013972016427
ART美品牌设计,2018,7.657560550618578,21.0,2971.701820836511,0.1863486436844868,4265,485.1428571197551,10188.0,6.186502525398072
Ai创设计丶,2018,5.137547730621771,2.0000000000000004,588.8769870400465,0.0369271328174607,2112,299.99999985,600.0,5.707110264250537
Alice39,2018,6.8964991037023085,1.0,1802.2135979779653,0.1130127044571371,3921,299.9999997,300.0,5.707110263752198
Android开发yxc,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,2499.9999974999996,2500.0,7.824445929878019
Apencil 品牌设计,2018,6.987632229039047,3.0,2317.9854850124493,0.1453555831825703,4033,633.3333331222223,1900.0,6.452574578295232
App/小程序／微信公众号-开发,2018,6.168205618533342,1.0,819.2015195690185,0.0513702589558549,1909,15999.999983999998,16000.0,9.680406498268937
Archer1206,2018,5.2980761956351845,1.0,45.675932611696105,0.0028642335619048,55,99.99999989999999,100.0,4.61512051585116
Arousedfly工业设计工作室,2018,5.807914700234399,1.0,1438.9744021375618,0.0902348029182643,3806,299.9999997,300.0,5.707110263752198
Avenue Studio,2018,6.897534915257799,3.0,1767.3588883295113,0.1108270451075131,4342,986.6666663377778,2960.0,6.895345258572459
Azreal,2018,6.207442209863388,1.0,1747.6274476860794,0.1095897314658606,3927,387.99999961199995,388.0,5.963579342621017
A【免费设计深入咨询】【专业外观|结构|电控|手板|批量生产】,2018,5.518264469869425,2.0,133.9031346346443,0.0083967601827706,271,5999.999997,12000.0,8.699681400489595
A新萝卜-最实惠,2018,7.770607686980965,5.999999999999999,2962.04708384266,0.1857432171469655,4076,1020.8333331631944,6125.0,6.9293536783681295
A锐设计,2018,7.529789747501948,32.0,2935.855950009626,0.1841008308778846,4261,678.1249999788087,21700.0,6.520805204840483
B569065,2018,7.53240508037158,1.0,2935.337281930196,0.1840683063855393,4261,1800.999998199,1801.0,7.496652437168838
B569075,2018,5.632939344146319,1.0,329.6659447244978,0.0206725995312283,606,4999.999994999999,5000.0,8.517393170419103
B569077,2018,7.53240508037158,1.0,2935.337281930196,0.1840683063855393,4261,688.9999993109999,689.0,6.536691596592754
B569081,2018,4.686609709921823,0.9999999999999998,212.52589389549223,0.0133270141026834,218,9999.999989999998,10000.0,9.210440365976616
B569120,2018,5.760036029502253,1.0,2133.366327859626,0.1337785368946902,4031,9999.999989999998,10000.0,9.210440365976616
B569154,2018,5.516783374375111,1.0,187.44309218396523,0.0117541288131915,266,499.99999949999994,500.0,6.216606100086861
B569231,2018,4.095515254792108,1.0,70.77051125340736,0.0044378573558291,76,9499.999990499999,9500.0,9.159152334206855
B569232,2018,4.154740478262574,1.0,523.8232445985748,0.0328477609957092,1827,7999.999991999999,8000.0,8.987321811850249
B569238,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,44999.999955,45000.0,10.714439989727792
B569246,2018,4.095515254792108,1.0,70.77051125340736,0.0044378573558291,76,3999.9999959999996,4000.0,8.294299607857484
B569247,2018,4.095515254792108,1.0,70.77051125340736,0.0044378573558291,76,1999.9999979999998,2000.0,7.601402333584233
B569251,2018,4.095515254792108,1.0,70.77051125340736,0.0044378573558291,76,999.9999989999999,1000.0,6.9087547783162195
B569252,2018,4.095515254792108,1.0,70.77051125340736,0.0044378573558291,76,999.9999989999999,1000.0,6.9087547783162195
B569262,2018,6.857657923885389,1.0,1999.9074584371583,0.1254096355701485,3919,1499.9999985,1500.0,7.313886830634128
B569263,2018,5.516783374375111,1.0,187.44309218396523,0.0117541288131915,266,99.99999989999999,100.0,4.61512051585116
B569264,2018,6.857657923885389,1.0,1999.9074584371583,0.1254096355701485,3919,2999.999997,3000.0,8.0067008444407
B569265,2018,6.857657923885389,1.0,1999.9074584371583,0.1254096355701485,3919,4999.999994999999,5000.0,8.517393170419103
B569271,2018,6.857657923885389,1.0,1999.9074584371583,0.1254096355701485,3919,999.9999989999999,1000.0,6.9087547783162195
B569273,2018,2.079441541679836,1.0,58.99999999999999,0.0036997554398946,59,8999.999990999999,9000.0,9.105090960257197
B569276,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,34999.999964999995,35000.0,10.463131910491995
B569280,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,27999.999971999998,28000.0,10.239995501805351
B569284,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,10999.999989,11000.0,9.305741455739527
B569288,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,25999.999974,26000.0,10.165890276802493
B569291,2018,5.571105239137044,1.0000000000000002,271.3609396243131,0.0170164256364402,311,199.99999979999998,200.0,5.303304907064051
B569292,2018,6.214571885917419,1.0000000000000002,852.3431011420292,0.0534484919509644,879,699.9999992999999,700.0,6.552507886036016
B569297,2018,3.970291913552121,1.0,30.65033759004317,0.0019220127666672,32,9899.9999901,9900.0,9.200391040122616
B569311,2018,7.53240508037158,1.0,2935.337281930196,0.1840683063855393,4261,499.99999949999994,500.0,6.216606100086861
B569347,2018,5.807914700234399,1.0,1438.9744021375618,0.0902348029182643,3806,1499.9999985,1500.0,7.313886830634128
B569376,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,39999.999959999994,40000.0,10.596659731783603
B569377,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,2999.999997,3000.0,8.0067008444407
B569378,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,44499.999955499996,44500.0,10.703266938811977
B569380,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,37999.999961999994,38000.0,10.545367753151769
B569387,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,49999.99995,50000.0,10.819798283210305
B569392,2018,6.768302560254049,1.0,2216.721389761285,0.1390055427203415,2262,49999.99995,50000.0,10.819798283210305
B569413,2018,7.117419316619404,1.0,1544.6380851570475,0.0968607314953939,1962,49999.99995,50000.0,10.819798283210305
B569414,2018,6.018604490611329,1.0000000000000002,340.4613950439451,0.0213495575997958,364,49999.99995,50000.0,10.819798283210305
