Designer_ID,Year,Niche_Width,Resource_Volume,Total_Overlap,Mean_Overlap,Competitor_Count,Value_Potential,Total_Revenue,Log_Value,Cluster_ID
*一米阳光工作室*,2020,7.685658342547027,12.0,2584.419674384528,0.2014356722045617,4021,298.3333333084722,3580.0,5.701557779551035,2
07品牌策划,2020,7.916504524611385,3.000000000000001,2859.963556657046,0.2229122023894813,4027,666.6666664444444,2000.0,6.503789046664875,2
1号品牌设计,2020,7.649410384283863,18.0,2831.4307429295413,0.2206882886149291,4027,651.1111110749383,11720.0,6.480214963166645,2
365设计,2020,5.86367754158535,4.000000000000001,657.2016300534599,0.0512238215162478,2260,549.9999998625,2200.0,6.311734808903368,3
47号设计工作室,2020,7.71577717565462,7.0,2833.9751309762373,0.2208866041290909,4029,414.2857142265306,2900.0,6.028966751361049,2
6T传媒,2020,7.02158957455431,1.0000000000000002,1783.4318062842765,0.1390048173253527,3623,2999.999997,3000.0,8.0067008444407,2
@烨名珠@,2020,7.049231645943404,4.0,1354.2059225592088,0.1055499549929235,3101,187.49999995312496,750.0,5.239098006639392,2
A7ingOba,2020,7.649410384283863,1.0,2831.430742929261,0.2206882886149073,4027,499.9999995,500.0,6.216606100086861,2
ALEX设计,2020,4.33870391530342,1.0000000000000002,629.830147222578,0.0490904245691798,2200,599.9999994,600.0,6.398594933536871,3
AQI柒设计工作室,2020,7.649410384283863,2.0,2831.430742929261,0.2206882886149073,4027,449.999999775,900.0,6.111467339003787,2
AYHL设计,2020,4.378380851296234,2.0,16.739587134401788,0.0013047223019798,19,299.99999985,600.0,5.707110264250537,3
Alt晓彩,2020,6.8008606825472135,1.0,1176.5421562764238,0.0917024283925505,2924,199.9999998,200.0,5.303304907064051,2
Aqun设计,2020,6.761225516369041,3.0000000000000004,1912.0982491939667,0.1490333787368641,3906,599.9999998,1800.0,6.398594934202428,2
A【免费设计深入咨询】【专业外观|结构|电控|手板|批量生产】,2020,5.86367754158535,1.0000000000000002,657.2016300534599,0.0512238215162478,2260,4749.999995249999,4750.0,8.466110400187132,3
A新萝卜-最实惠,2020,3.5396275666948114,1.0,6.744445960793655,0.0005256777833822,8,999.999999,1000.0,6.90875477831622,3
A设计D木子,2020,5.751785690654641,1.0,1199.4965597213632,0.0934915479128108,3333,399.9999996,400.0,5.993961426309063,3
B827365,2020,6.786879106067515,1.0,2314.454313998709,0.1803939449726195,3856,29999.99997,30000.0,10.308985992422116,4
B827386,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,30999.999969,31000.0,10.341774740011552,4
B827392,2020,2.5232109529528914,1.0,20.856318449415543,0.0016255899025265,21,40999.99995899999,41000.0,10.621351734632936,1
B827395,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,13999.999986,14000.0,9.546884033617996,4
B827399,2020,6.786879106067515,1.0,2314.454313998709,0.1803939449726195,3856,19999.99998,20000.0,9.90353755028622,4
B827401,2020,4.877608099992569,1.0000000000000002,538.1390835157276,0.0419438100947566,2122,2399.9999976,2400.0,7.783640595221669,3
B827404,2020,4.877608099992569,1.0000000000000002,538.1390835157276,0.0419438100947566,2122,2399.9999976,2400.0,7.783640595221669,3
B827409,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,31897.999968102,31898.0,10.370329939319229,4
B827418,2020,6.786879106067515,1.0,2314.454313998709,0.1803939449726195,3856,9999.999989999998,10000.0,9.210440365976616,4
B827420,2020,4.672572034037005,1.0,24.760954844911943,0.0019299263324171,29,2399.9999976,2400.0,7.783640595221669,3
B827422,2020,2.5665989181145106,1.0,7.359545576275664,0.0005736200760931,8,2399.9999976,2400.0,7.783640595221669,1
B827430,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,30999.999969,31000.0,10.341774740011552,4
B827492,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,32499.9999675,32500.0,10.389026136075266,4
B827498,2020,6.786879106067515,1.0,2314.454313998709,0.1803939449726195,3856,23979.99997602,23980.0,10.085017128129914,4
B827499,2020,5.632129640562413,1.0000000000000002,226.3661474247673,0.0176435033066849,246,1747.9999982519998,1748.0,7.466799474019174,3
B827506,2020,6.419422121690803,1.0,2680.3772320618496,0.2089148271287489,3918,29999.99997,30000.0,10.308985992422116,4
B827522,2020,3.332204510175204,1.0,205.45042952954043,0.0160132836733858,206,6499.9999935,6500.0,8.779711289204622,1
B827527,2020,4.991943045234411,1.0,178.89520637851558,0.0139435079016769,188,8499.999991499999,8500.0,9.047939081617477,1
B827530,2020,7.649410384283863,1.0,2831.430742929261,0.2206882886149073,4027,3989.99999601,3990.0,8.291797104048984,2
B827532,2020,2.302585092994045,1.0,71.22580661353484,0.005551504802302,230,9499.9999905,9500.0,9.159152334206857,1
B827538,2020,4.709260746468254,1.0,352.4912210626462,0.0274739844943605,362,7899.999992099999,7900.0,8.97474461172286,1
B827547,2020,4.991943045234411,1.0,178.89520637851558,0.0139435079016769,188,3199.9999968,3200.0,8.071218538970175,3
B827549,2020,6.786879106067515,1.0,2314.454313998709,0.1803939449726195,3856,19999.99998,20000.0,9.90353755028622,4
B827550,2020,3.9889840465642767,0.9999999999999998,143.6104488943879,0.0111933319481206,146,39999.99996,40000.0,10.596659731783603,1
B827552,2020,5.844101597163609,1.0000000000000002,283.58079649463525,0.022102945946581,303,14999.999985,15000.0,9.615872143528955,4
