Year,Knowledge,Frequency,Rank
2016,原创,887,1
2016,大气,549,2
2016,简洁,528,3
2016,知识产权,520,4
2016,视觉冲击力,361,5
2016,明快,344,6
2016,LOGO设计,246,7
2016,年轻人,239,8
2016,LOGO,232,9
2016,品牌标识突出,227,10
2016,醒目易识别,209,11
2016,版权合规,198,12
2016,著作权,189,13
2016,微信,166,14
2016,使用权,151,15
2016,发布权,145,16
2016,公众号,129,17
2016,企业官网,119,18
2016,二维码,118,19
2016,简单,118,20
2016,简约,116,21
2016,时尚,110,22
2016,任务教程,110,23
2016,名片,109,24
2016,知识产权合规,99,25
2016,logo设计,89,26
2016,手机赚钱任务,87,27
2016,知识产权说明,83,28
2016,微信任务,75,29
2016,商标注册,73,30
2016,公司LOGO,71,31
2016,大方,67,32
2016,简洁大方,58,33
2016,原创设计,57,34
2016,公司logo,55,35
2016,名片设计,54,36
2016,交稿要求,53,37
2016,威客,52,38
2016,微信公众号,51,39
2016,长期合作,51,40
2016,易记,50,41
2016,注册商标,50,42
2016,手机签到,49,43
2016,logo,49,44
2016,消费者,48,45
2016,手机游戏比赛,48,46
2016,未侵犯他人著作权,48,47
2016,商标,48,48
2016,高端,47,49
2016,VI设计,46,50
2016,用户,45,51
2016,绿色,44,52
2016,简洁大气,42,53
2016,网站,40,54
2016,试玩平台,40,55
2016,易识别,39,56
2016,简洁明了,39,57
2016,健康,39,58
2016,创意说明,39,59
2016,截图,38,60
2016,设计师,38,61
2016,创意,37,62
2016,QQ,37,63
2016,截图交稿,36,64
2016,客户,35,65
2016,原创性,33,66
2016,美观,33,67
2016,注册,33,68
2016,公司,31,69
2016,APP,31,70
2016,原创作品,31,71
2016,AI,31,72
2016,科技感,31,73
2016,新颖,30,74
2016,简单大方,30,75
2016,商标设计,29,76
2016,Photoshop,29,77
2016,朗朗上口,29,78
2016,游戏试玩,29,79
2016,CDR,29,80
2016,醒目,29,81
2016,国际化,28,82
2016,环保,27,83
2016,PSD,27,84
2016,买家注册半年以上,26,85
2016,简约大气,26,86
2016,清新,25,87
2016,品牌起名,25,88
2016,小程序开发,25,89
2016,现代,25,90
2016,餐饮品牌元素,25,91
2016,没有违规记录,25,92
2016,蓝色,24,93
2016,国际范,24,94
2016,微信用户,24,95
2016,手赚联盟,23,96
2016,公司名称,23,97
2016,淘宝任务,23,98
2016,未侵犯著作权,23,99
2016,注册任务,23,100
