designer,year,ability,order_count,total_amount,designer_idx,ability_idx
1069个点子,2015,公司注册,1,200.0,1,24
10米工作室,2015,LOGO设计,2,800.0,2,7
10米工作室,2015,名片设计,1,100.0,2,50
17科技工作室,2015,企业官网,1,5600.0,3,21
17科技工作室,2015,电商网站,1,3500.0,3,117
1985设计工作室,2015,LOGO设计,17,9060.0,4,7
1985设计工作室,2015,VI设计,1,1150.0,4,11
1985设计工作室,2015,其他设计,1,2000.0,4,35
1985设计工作室,2015,包装设计,2,1000.0,4,44
1985设计工作室,2015,宣传册设计,1,1000.0,4,63
1985设计工作室,2015,封面设计,1,500.0,4,66
1985设计工作室,2015,网站UI设计,1,1000.0,4,123
2.1设计,2015,字体设计,1,500.0,5,60
2030视觉工作室,2015,LOGO设计,1,500.0,6,7
208创意星空间  视觉设计工作室,2015,LOGO设计,1,300.0,7,7
208创意星空间  视觉设计工作室,2015,卡通形象设计,1,500.0,7,46
208创意星空间  视觉设计工作室,2015,海报设计,1,300.0,7,110
208创意星空间  视觉设计工作室,2015,网站UI设计,1,100.0,7,123
3733软件设计,2015,安全服务,1,8000.0,8,61
3733软件设计,2015,小程序开发,1,2000.0,8,67
3A视觉创意机构,2015,LOGO设计,1,300.0,9,7
51DEV,2015,后端开发,1,5000.0,10,52
52互联,2015,企业官网,1,200.0,11,21
59软件,2015,其他软件开发,2,6100.0,12,36
6T传媒,2015,LOGO设计,1,500.0,13,7
6T传媒,2015,VI设计,1,2000.0,13,11
7月广告设计工作室,2015,包装设计,1,1000.0,14,44
7月广告设计工作室,2015,海报设计,1,300.0,14,110
7点视觉设计,2015,LOGO设计,5,3200.0,15,7
7点视觉设计,2015,包装设计,1,1000.0,15,44
7点视觉设计,2015,宣传册设计,1,1800.0,15,63
7维6度设计铺,2015,VI设计,1,1500.0,16,11
80后IT男工作室,2015,小程序开发,1,3500.0,17,67
8688广告设计,2015,LOGO设计,1,500.0,18,7
8号广告设计室,2015,招牌设计,1,300.0,19,93
90號視覺品牌設計,2015,VI设计,1,500.0,20,11
90號視覺品牌設計,2015,包装设计,1,300.0,20,44
9号设计工作室,2015,海报设计,1,200.0,21,110
9号设计工作室,2015,网站UI设计,1,400.0,21,123
9度设计,2015,LOGO设计,1,600.0,22,7
9度设计,2015,VI设计,1,700.0,22,11
A.O设计工作室,2015,单身公寓设计,1,200.0,23,45
ARC艾柯空间创意设计公司,2015,效果图设计,1,500.0,24,96
ATTA视觉,2015,表情设计,1,500.0,25,133
Addin Creative 台灣愛得意原創,2015,产品外观设计,2,6000.0,26,17
Amamiya工作室,2015,小程序开发,1,300.0,27,67
Amamiya工作室,2015,手游开发,1,2500.0,27,92
