标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,字段14,字段15,字段16
【网络接单】小 红书 任务简单好做！10元一单 每日结！,https://task.epwk.com/1109223/,2390人,6人,¥500,聚云Io8G6,￥ 500,￥30,2025.02.18,任务要求（每个小 红书号每天只能发布一个）     1. 账号要求：不能使用刚注册的新号，粉丝数量需要大于或者等于 3个。     2. 视频要求：每日审核 通过审核之前请勿删除视频 否则视为不通过。操作流程    1. 素材：打开网址： https://jz.ql14.com/xiaohongshu/  下载 视频素材 和 复制话题。    2. 上传视频：打开 小 红书，上传所下载的视频（视频分辨率设置为1080p），并粘贴复制好的话题。提交要求    1. 主页截图：需展示粉丝数量，以证明账号符合任务要求。    2. 提交分享链接：请提供已发布视频的分享链接。     3. 一个小 红书账户每天仅限参与一次感谢您的参与！如有疑问，请及时联系任务发布方。,任务编号：1109223,易V咖2IJAk,易V咖2IJAk,六百六十六,,,,,,,
【网络接单】(抖 音) 新手可做！只需上传视频，日赚15元！,https://task.epwk.com/1109179/,1409人,14人,¥510,聚云Io8G6,￥ 510,￥105,2025.02.18,任务要求（每个抖 音账号每天只能发布一个）     1. 账号要求：需使用 老号，且粉丝数量 ≥ 3人。     2. 视频要求：视频需 停留24小时，方可计为 完成任务。操作流程    1. 素材：打开网址： jz.ql14.com/douyin    2. 下载 视频素材 和 复制话题。    2. 上传视频：打开   抖  音，上传所下载的视频（视频分辨率设置为1080p），并粘贴复制好的话题。提交要求    1. 主页截图：需展示粉丝数量，以证明账号符合任务要求。    2. 提交分享链接：请提供已发布视频的分享链接。     3. 一个抖 音账户每天仅限参与一次感谢您的参与！如有疑问，请及时联系任务发布方。,任务编号：1109179,易V咖2IJAk,葱聪设计,乐肆,"个人 |            
            蜜蜂工作室",威勒尼xfmdP,凯郎7JBCs,骄世客upu5k,,,
【网络接单】抖 音评论代发3块/条,https://task.epwk.com/1107445/,2058人,20人,¥501,聚云Io8G6,￥ 501,￥153,2025.02.08,任务说明注意：做单时间为早上 10 点到晚上 19 点，其他时间段无法审核。任务目标在抖 音平台上完成以下操作，确保你的账号在操作后持续展示符合要求的状态至少 1 小时。任务成功后，将获得通过确认。操作步骤1. 更换头像与昵称头像：请将你的抖 音头像更换为附件中的图片。昵称：从下面的昵称列表中随机选择一个，并设置为你的抖 音昵称： 请到附件获取昵称,任务编号：1107445,Y0x140ED8,听风yy45,听风yy45,听风yy45,Saudade,企鹅WZlB8,企鹅WZlB8,企鹅WZlB8,凌生为己,凌生为己
【网络接单】填写调查问卷,https://task.epwk.com/1099590/,7791人,202人,¥600,铸威MTI4d,￥ 600,￥507,2024.12.15,大家好！本人正在参与一项众包创新绩效的研究，这份调查问卷是非常重要的数据来源，希望各位可以协助完成问卷，不胜感激！声明：问卷不涉及任何个人身份信息。要求：1.填写问卷之前请确保您之前参与过众包任务（不限平台，只要参与过就行。没有参与过的不符合要求）。2.请在回答完毕后截图开始界面和最后界面。请您上传截图，并备注用户名，我们将对各位的填写情况进行评估并发放奖金。3.此问卷简单，请根据您在众包平台的的使用感受和实际情况作答。4.同一账号或IP地址的用户只可填写一次。问卷链接：https://www.wjx.cn/vm/OLmVgkD.aspx#  或者下载并扫描二维码填写再次感谢您的配合！,任务编号：1099590,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",月下布洛芬,同乐911,乔伊伊,之州,四川曾先生,安美人,青青子衿Care,Echol
【网络接单】【抖yin】店铺客服聊天任务,https://task.epwk.com/1069725/,3237人,146人,¥500,聚云nPocK,￥ 500,￥469.65,2024.01.13,【每个账号只能参与一次】拥有Dou yin平台认证账号，且在【dou yin】平台优购物经验的优先。打开手机【Dou yin】-右下角【我】-找到【Dou 音商城】-进入搜索【瓦罐带鱼】找到店铺名称为【亚圣斋官方旗舰店】的店铺打开店铺几款产品浏览，然后找客服聊天。（锻炼客服回复及不及时，话术是否专业。）【可以问“发什么快递”、“保质期多久”“什么口味”、“怎么存放”、“多久发货“等常见咨询问题。】聊天结束后-点击聊天页面【输入框】上方小字【评价服务】，给一下满星支持，然后截图提交任务。任务审核要求；1.提交Dou 音 账号主页截图，便于审核时店铺聊天记录账号与提交账号是否一致。2.提交聊天页面 满星评价的截图（可参考附件图最后一张）,任务编号：1069725,优客pS7uF,"个人 |            
            崽崽的外接铺",小卢不乱撞,一二一三,丸虽无意逐鹿,唤醒mXO6P,思爱威1CJs5,唯客心jni6N,威主力Tyx8Q,睐佳fPAYy
【网络接单】看视频赚钱，很简单,https://task.epwk.com/1055475/,3465人,13人,¥720,qiang6144,￥ 720,￥9,2023.08.28,一，步骤：       第一步：打开手机浏览器扫描下方快手极速版二维码下载安装       第二步：打开【快手极速版】填写我的邀请码：360789557       第三步：连续2天随意看6个视频即可      第四步： 提交自己主页昵称图，备注注册时间，后台有数据就通过新用户参与，一个手机只能填写一次，用应用分身无效。,任务编号：1055475,立意nYkNo,,,,,,,,,
【网络接单】在知乎上相关话题添加评论,https://task.epwk.com/1050456/,2532人,59人,¥500,唯客心2JJG6,￥ 500,￥380,2023.07.21,"一、任务要求：在知乎上对相关问题进行评论  二、账号要求：知乎账号注册半年以上，每评论3条个不同问题算一稿，一个账号仅限交稿一次三、操作步骤：1、打开网页版或者手机APP版的知乎2、搜索以下关键词（任选）：跨境定制        定制产品      跨境POD     pod定制   个性定制     选品平台      SDSDIY      HICUSTOM      圣诞节    父亲节礼品   跨境选品       跨境创业   3、找到对应的问题或者话题，可以复制以下内容进行评论四、评论回复内容参考：1、   可以了解一下QDPOD.com, 工厂直供，价格更低，还支持免费开品！2、   市面上可以做Shopify独立站 定制的平台非常多，www.qdpod.com 可以一件定制，不用囤货，还方便测款。POD定制是蓝海市场，而且个性定制支持一件替换素材，大大节省工作量3、  qdpod.com是由工厂直营的一件定制代发的平台，非常有优势，产品质量好，交货非常快4 、   我知道一家工厂直营的网站，跟小伙伴们介绍一下，www.qdpod.com， 可以对接shopify、etsy，支持导单，支持代发，有需要的小伙伴可以试一下5、  www.qdpod.com 是由2000平服饰类工厂和1700平饰品工厂直营的，价格非常有优势，产品质量方面也可靠，需要的小伙伴们可以试试六、回复成功就可以了，根据截图回复的带问题的界面交稿即可，电脑版和手机版交稿要求看附件图，谢谢",任务编号：1050456,v助利DpBfL,呵呦,v企创pd2PL,"个人 |            
            蜜蜂工作室",聚优357jq,全企手XgBK8,G盖先生,Prof_Brian,G盖先生,韬领Ntmvh
【网络接单】看几分钟视频，很容易,https://task.epwk.com/1040800/,3634人,4人,¥3195,晴天太阳好,￥ 3195,￥9,2023.05.15,"一，步骤：第1步：打开手机浏览器扫描下方快手极速版二维码下载安装快手极速版（也可以自行去应用商店下载然后填写邀请码：534313607）第2步：打开【快手极速版】填写我的邀请码：534313607；被邀请成功后截图被谁邀请,要与我账号有关；第3步：完成注册与邀请后，连续2天看完至少6个视频，并截图,并关注我的快手号。第4步：昵称界面带快手号截图方便审核一个手机只能填写一次，用应用分身无效。交稿格式：注册日期+一共3张截图（快手昵称和ID界面截图+被谁邀请成功的截图+首页看完6个视频的截图）（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件）",任务编号：1040800,企威特dwidV,,,,,,,,,
【网络接单】看视频赚钱，很容易,https://task.epwk.com/1040699/,3095人,9人,¥3384,qiang6144,￥ 3384,￥18,2023.05.13,一，步骤：       第一步：打开手机浏览器扫描下方快手极速版二维码下载安装       第二步：打开【快手极速版】填写我的邀请码：360789557       第三步：连续2天随意看6个视频即可      第四步： 提交自己主页昵称图，备注注册时间，后台有数据就通过新用户参与，一个手机只能填写一次，用应用分身无效。,任务编号：1040699,不会赚钱的社畜,米西米西在哪里,,,,,,,,
【网络接单】看几分钟视频，很简单,https://task.epwk.com/1040600/,2050人,1人,¥1368,晴天太阳好,￥ 1368,,2023.05.12,"一，步骤：第1步：打开手机浏览器扫描下方快手极速版二维码下载安装快手极速版（也可以自行去应用商店下载然后填写邀请码：534313607）第2步：打开【快手极速版】填写我的邀请码：534313607；被邀请成功后截图被谁邀请,要与我账号有关；第3步：完成注册与邀请后，连续2天看完至少6个视频，并截图,并关注我的快手号。第4步：昵称界面带快手号截图方便审核一个手机只能填写一次，用应用分身无效。交稿格式：注册日期+一共3张截图（快手昵称和ID界面截图+被谁邀请成功的截图+首页看完6个视频的截图）（注意：为防止刷号，本任务仅限新手威客，九品威客参与（刚注册就是九品，所以说新手威客可以参与），品级高于九品的1-8品请勿参与，名字是xx营销，xx工作室，xx传媒的请勿参与，每人仅限提交一次稿件）",任务编号：1040600,,,,,,,,,,
