标题,标题链接,查看数,参与数,需求价格,需求者,需求价格1,需求价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【品牌策划】征询一个好听的品牌名,https://task.epwk.com/1049798/,3841人,63人,¥1600,愈之Bruce,￥ 1600,￥ 1600,2023.07.17,我们目前想启动一个以茶饮为载体及休闲放松的适合年轻人的门店项目，类似星巴克，需要取一个品牌名，这个品牌名不要被茶和糕点的范围给限制筐住！可以发散思维，甚至八杆子打不着，但是寓意很好，好听易记，还要能够注册下来商标，最好是能全品类注册商标！我们要弘扬传递中国传统文化，传递正能量，给人们带来幸福和爱的氛围！激发生命价值，共享幸福人生使命价值观！名字中英文都要有！,任务编号：1049798,纠纠工作室,筑梦之地
【活动策划】教育培训机构段考宣传,https://task.epwk.com/805949/,2560人,12人,¥150,dfjy11,￥ 150,￥ 150,2019.10.24,登峰教育是当地一所综合性的培训机构从小学到初中，在当地有一点名气。现在初中和高中开始第一次段考了，想在段考成绩出来后宣传一下多招点学生。宣传手段：有地推单页（效果不明显），朋友圈广告（公众号是广告主），学管师微信。然后一般考完试我们会收集在这里学的前三名学生的照片和信息。现在征集宣传方案和策略或具体的宣传语。,任务编号：805949,o5dabe79d3ba57,嘟嘟悦
【意见建议】征集几个关于如何打造少女文胸的思路,https://task.epwk.com/797173/,2281人,14人,¥300,策联社团,￥ 300,￥ 300,2019.09.24,现在有一个项目是需要做少女文胸的品牌，我们需要您提供一下您对于少女文胸的看法和思考，来帮助我们了解消费者购买少女文胸时的一些行为和心理。 以下是4个思路，您可以按照顺序一一作答或者延伸。 1.一提到少女文胸，你最先想到什么牌子？2.你有买过或者帮你女儿买过少女文胸吗？买的是什么牌子？选择它的原因是什么？3.当你或者你女儿需要买一件少女文胸时，你第一时间考虑的是什么？4.你会因为什么而挑中一件少女文胸？是促销？是价格？是款式？还是因为其他原因？ Ps：您可以问问自己的女儿、朋友的女儿，或者有女儿的妈妈，问问她们购买文胸的所想所做。,任务编号：797173,wong小玉,o5d296bda3fccc
【问卷调查】征集被营销推广案例,https://task.epwk.com/788545/,2099人,5人,¥100,o5d58****39251,￥ 100,￥ 100,2019.08.29,写下你被吸引加到微信或QQ上的经历，越详细越好，越多段越好。日常加朋友、交友、被询问有没卖什么东西之类除外。字数不少于100字。能被用来商业化运作，运营推广变现的优先采纳得奖,任务编号：788545,星火设计工作室,o5bd180df78a88
【征集点子】寻求健康的成年人舌苔照片,https://task.epwk.com/617591/,10110人,19人,¥441,爱网如斯,￥ 441,￥ 441,2018.05.24,中医的正常舌苔特征是：“淡红舌薄白苔”，具体地说，舌色淡红鲜明，舌质滋润，舌体大小适中，柔软灵活，舌苔均匀、薄白而润。本人通过百度搜索了大量舌苔照片，很少见到符合中医的正常舌苔特征的图片，即使找到了因为像素不够不够满意，故委托大家帮我寻找。拍摄要求一：舌头自然伸出，勿过度用力。二：舌色红润，无齿痕，无明显白苔。三：请在光线充分的自然光下拍摄，三：年龄18岁以上。四：jpg格式，没有经过压缩的原图。五：.  所拍摄的作品应为原创，拍摄他人的需经过授权，如有侵犯他人肖像权，由拍摄者承担所有法律责任。  六：  选中的设计作品，本人支付委托费用后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用。   七：中标者需要提供本人全身照片及姓名，年龄，地址，电话等身份信息，另外会通过视频通话核实，身份信息不会对外公开。另提供接近健康状态的舌苔数张以供参考。一共设置了5位中奖者，本人会通过补充内容将其中4位获奖者没有获得一等奖的原因让大家了解舌诊的诊断意义，以感谢大家的积极参与。,任务编号：617591,东林设计,一辰创客
【征集点子】甜品食材海选,https://task.epwk.com/480408/,5410人,20人,¥100,mf186****1307,￥ 100,￥ 100,2017.03.04,"甜品食材海选
小伙伴们，我的小甜品店定位五谷类原生态甜品，亦或说广式糖水。征求优质的甜品食材，薯类优先。木薯，红薯，香芋，紫薯，淮山，南瓜，土豆等已知除外，为了找到合适的东西好多尝试过，不过太大众也就没什么亮点。现寻找新颖食材。感谢大家支持。要求:薯类优先，粉糯香的优先。",任务编号：480408,九嶷工作室,o58ac2e4bcb9cd
【征集点子】产品推广创意征集,https://task.epwk.com/466035/,3666人,15人,¥250,mf137****6469,￥ 250,￥ 250,2016.12.21,摩拜单车火了，共享的是单车。解决人们不用花高价值购买车子，直接花	1元就可以出租使用的问题的。滴滴打车，共享的是汽车。现在我们想做类似单车一样的共享经济，需要寻找下一个样品。可以用来进行共享的。如相机？奢侈品？LV包？或者？？　　一定要说明 理由最好是功能性的，高价值的。可以代价共享，不必花高价钱购买的。如充电宝是不错，但价格太低，直接购买就可以，没有必要租用。,任务编号：466035,蓉小么小铺子,mf180****6316
【征集点子】创新公司点子征集,https://task.epwk.com/460099/,5628人,10人,¥200,mf137****6469,￥ 200,￥ 200,2016.11.23,要求：1、         行业，互联网、IT、人工智能，文化产业，未来有像百度一样百亿市值公司潜力；2、         美国硅谷或者英国等其它发达国家的创新企业，已产生年1000万美元的赢利，并成功融资过1000万以上美元的；如十五年前的谷歌，后来百度做了； 8年前的facebook一样，后来微博做了，现在是微信； 5年前的uber，后来滴滴打车做了一样；3、         如果在中国发展，基本上同样适合。但中国还没有这样的企业发展壮大，是我们仿着做的好时候。 请把结果贴上来。并附上此公司的网址或者APP。,任务编号：460099,不二策划/网络工作室,o56691e5061b40
【征集点子】征集生活中、工作中遇到的技术问题,https://task.epwk.com/459418/,8692人,11人,¥500,mf134****6665,￥ 500,￥ 500,2016.11.20,收集技术问题，请提交你生活中、工作中遇到的技术问题，请按照模板提交你你生活中、工作中遇到的技术问题；以供我进行研究，,任务编号：459418,mf188****1202,快玉方cy
【意见建议】网站新栏目征求发展建议,https://task.epwk.com/376956/,4791人,10人,¥100,xuanyouwang,￥ 100,￥ 100,2015.09.01,选优网推出新栏目《轻松购物秘籍》（网址：http://buy.xuanyouwang.com），想请各位以普通网购用户的身份试用该栏目，然后回答以下三个问题：问题1：您觉得这个栏目对您选购商品有帮助吗？无论是否有帮助，都请说明理由。问题2：您认为这个栏目在哪些方面可以做得更好一些？问题3：对这个栏目的发展，您有什么建议？    注意：请隐藏稿件。功能介绍：《轻松购物秘籍》是一个新型的购物搜索引擎，拥有以下功能：一、可以用买家印象筛选商品，让您喜欢的商品瞬间聚合；二、可以用买家评价和评价人数筛选商品，让您迅速找到口碑好的商品，而且评价人数越多，评价越靠谱；三、可以用金牌卖家和放心店铺等店铺特征筛选商品，让您找到更放心的卖家；四、可以自由输入，组合筛选，让您随心所欲，轻松购物。,任务编号：376956,一品居士,星月阳lanlu09
