标题,browser,字段1,价格,status,字段2
【电话调查】车辆产品信息调查（新显示画面后一定时间内不接受输入）,76人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（显示系统）,57人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（多辆车共享建议信息）,21人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（车载声音输入系统）,21人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（图像生成装置）,17人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（自动制动装置或碰撞报警装置）,18人,1人,¥400,待验收,直接雇佣
【电话调查】车辆产品信息调查（显示车辆动作）,23人,1人,¥400,待验收,直接雇佣
【淘宝/天猫代运营】阿里巴巴1688淘宝代运营代运营天猫代运营,669人,1人,¥10,待验收,直接雇佣
【产品推广】APP下载/注册/绑卡/APP推广/全国推广,2454人,1人,¥90,待验收,直接雇佣
【APP推广】app下载注册 APP下载注册,2909人,1人,¥100,待验收,直接雇佣
【微信推广】微信人工阅读推广,3913人,1人,¥50,待验收,直接雇佣
【活动策划】店面开业活动策划,5067人,1人,¥800,待验收,直接雇佣
【整合营销】川菜调味料经销商招商方案,1861人,1人,¥1000,待验收,直接雇佣
【网站优化方案】blued点赞推广,1967人,1人,¥10,待验收,直接雇佣
【APP推广】专业推广拉新人进群,3110人,1人,¥45,待验收,直接雇佣
【APP推广】QQ群发100个群,3371人,1人,¥10,待验收,直接雇佣
【网站优化方案】网站访问量SEO UV 浏览量 点击率 1000IP流量,2357人,1人,¥200,待验收,直接雇佣
【活动策划】店铺文案策划,2524人,1人,¥1000,待验收,直接雇佣
【关键词优化】各大平台发布推广文章,3675人,1人,¥200,待验收,直接雇佣
【微信推广】没有,2340人,1人,¥12,待验收,直接雇佣
【微信推广】微信推广,3856人,1人,¥1000,待验收,直接雇佣
【电话调查】车辆产品信息调查（车辆周边监视装置）,20人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车道变更中止条件）,8人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（限制车道变更）,10人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车辆远程操作2）,23人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车辆远程操作）,17人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（驾驶辅助装置）,14人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车辆自动驾驶切换）,11人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（警报技术）,8人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车道维持控制技术）,10人,1人,¥400,圆满完成,直接雇佣
,,,,,
【电话调查】车辆产品信息调查（车道维持控制装置）,17人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（防撞功能2）,15人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（防撞功能）,20人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（自动驾驶模式）,21人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（辅助停车功能）,13人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车道维持控制功能的显示）,16人,1人,¥400,圆满完成,直接雇佣
【电话调查】显示系统信息调查,25人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（多辆车共享建议信息）,41人,1人,¥400,圆满完成,直接雇佣
【电话调查】车辆产品信息调查（车载声音输入系统）,34人,1人,¥400,圆满完成,直接雇佣
【产品推广】服务器续费+网站优化维护,13人,1人,¥8012,圆满完成,直接雇佣
【网店推广】淘宝天猫店铺电脑手机APP无线关键词搜索人工流量访客优化推广,71人,1人,¥60,圆满完成,直接雇佣
【微信推广】文案原创、微信公众号代运营、微信文章写作,232人,1人,¥6000,圆满完成,直接雇佣
【爆款打造】南城里面馆爆款打造,1人,1人,¥500,圆满完成,直接雇佣
【新闻营销】旅游景区新闻营销,5人,1人,¥2000,圆满完成,直接雇佣
【其他平台代运营】生鲜拼多多店铺运营,8人,1人,¥1500,圆满完成,直接雇佣
【产品上架与优化】川菜调味料上架与优化,2人,1人,¥500,圆满完成,直接雇佣
【节日营销活动】购物节返利网站营销活动策划,4人,1人,¥800,圆满完成,直接雇佣
【电商平台管理】亚马逊平台管理,14人,1人,¥800,圆满完成,直接雇佣
【专业背书营销】森珍otc药品专业背书营销,3人,1人,¥2000,圆满完成,直接雇佣
【整合营销】小红书定制营销,192人,1人,¥1300,圆满完成,直接雇佣
【电话调查】app注册拉新接收短信验证码新人手机号注册任务收发验证码,65人,1人,¥10,圆满完成,直接雇佣
【产品推广】公司产品推广方案,61人,1人,¥100,圆满完成,直接雇佣
【产品推广】视频拍摄制作,125人,1人,¥1200,圆满完成,直接雇佣
【微信代运营】朋友圈转发视频号，并且点赞视频号视频。,160人,1人,¥500,圆满完成,直接雇佣
【视频推广】短视频 抖 dou音 转发任务 发布到个人账号粉丝量不限,194人,1人,¥500,圆满完成,直接雇佣
【整合营销】视频剪辑制作,633人,1人,¥1500,圆满完成,直接雇佣
【整合营销】视频剪辑制作,443人,1人,¥1500,圆满完成,直接雇佣
【公众号推广】制作公众号,402人,1人,¥1000,圆满完成,直接雇佣
【品牌策划】公司品牌营销方案,234人,1人,¥980,圆满完成,直接雇佣
【微信推广】微信推广维护,301人,1人,¥19800,圆满完成,直接雇佣
,,,,,
【产品推广】中国大学课程慕课关注,254人,1人,¥3600,圆满完成,直接雇佣
【微信代运营】PPT制作及文案编写,535人,1人,¥1500,圆满完成,直接雇佣
【微信推广】新媒体内容运营,423人,1人,¥5000,圆满完成,直接雇佣
【APP推广】网站SEO优化百度360搜狗神马搜索收录关键词排名,257人,1人,¥1000,圆满完成,直接雇佣
【关键词优化】Linkedin推广,285人,1人,¥2000,圆满完成,直接雇佣
【关键词优化】EPR新闻稿,185人,1人,¥6000,圆满完成,直接雇佣
【关键词优化】EPR新闻稿-谷歌海外推广,179人,1人,¥6000,圆满完成,直接雇佣
【关键词优化】Linkedin运营-seo优化,284人,1人,¥6000,圆满完成,直接雇佣
【微信代运营】公众号代运营,309人,1人,¥10000,圆满完成,直接雇佣
【产品推广】课程关注,171人,1人,¥560,圆满完成,直接雇佣
【产品推广】已经谈好了,203人,1人,¥600,圆满完成,直接雇佣
【微博营销】已经谈好了,226人,1人,¥150,圆满完成,直接雇佣
【微信代运营】公众号代运营,385人,1人,¥20000,圆满完成,直接雇佣
【营销解决方案】方案撰写,599人,1人,¥2500,圆满完成,直接雇佣
【产品推广】课程关注,410人,1人,¥2200,圆满完成,直接雇佣
【产品推广】中国大学慕课课程关注,262人,1人,¥160,圆满完成,直接雇佣
【网店推广】淘宝宝贝收藏,499人,1人,¥30,圆满完成,直接雇佣
【网店推广】淘宝天猫店铺推广优化电商人,407人,1人,¥50,圆满完成,直接雇佣
【产品推广】网络营销,1535人,1人,¥4160,圆满完成,直接雇佣
【APP推广】网络第二阶段,353人,1人,¥1700,圆满完成,直接雇佣
【产品推广】网络营销加强版,353人,1人,¥4500,圆满完成,直接雇佣
【微信推广】购买附近推一个季度,246人,1人,¥2800,圆满完成,直接雇佣
【网店推广】淘宝宝贝收藏,355人,1人,¥10,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,508人,1人,¥4680,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,328人,1人,¥1280,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,323人,1人,¥2680,圆满完成,直接雇佣
【微博营销】200转 200赞,457人,1人,¥140,圆满完成,直接雇佣
【微博营销】200转 200赞,443人,1人,¥140,圆满完成,直接雇佣
【活动策划】招商策划方案,590人,1人,¥13000,圆满完成,直接雇佣
【信息流】民宿软文营销方案,693人,1人,¥29000,圆满完成,直接雇佣
,,,,,
【信息流】旅游基地新闻稿发布,323人,1人,¥23700,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,343人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】PPT设计,373人,1人,¥1600,圆满完成,直接雇佣
【品牌策划】朋友圈代运营套餐C,346人,1人,¥4680,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,272人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】活动策划,443人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,306人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,275人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】PPT设计,279人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,291人,1人,¥2600,圆满完成,直接雇佣
【品牌策划】商业计划书标准版,302人,1人,¥3000,圆满完成,直接雇佣
【品牌策划】招商策划方案,462人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,292人,1人,¥1500,圆满完成,直接雇佣
【关键词优化】媒体流量投放,294人,1人,¥3500,圆满完成,直接雇佣
【网站优化方案】千站推收录版4399一年,223人,1人,¥4399,圆满完成,直接雇佣
【微信推广】微信朋友圈附近推季度套餐,276人,1人,¥4980,圆满完成,直接雇佣
【网站优化方案】千站推收录版4399一年,226人,1人,¥4399,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,283人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】招商策划方案,464人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】logo设计,290人,1人,¥1600,圆满完成,直接雇佣
【口碑营销】百科创建,254人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,279人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,415人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】PPT设计,261人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,221人,1人,¥6800,圆满完成,直接雇佣
【品牌策划】号商业计划书,292人,1人,¥3000,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,214人,1人,¥2500,圆满完成,直接雇佣
【关键词优化】百科创建,333人,1人,¥14866,圆满完成,直接雇佣
【品牌策划】创意园整体装饰,374人,1人,¥9999,圆满完成,直接雇佣
【品牌策划】商业计划书,166人,1人,¥3000,圆满完成,直接雇佣
,,,,,
【品牌策划】品牌全案套餐C,293人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,91人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】PPT设计,103人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】招商策划方案,203人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,108人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,197人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】招商策划方案,193人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,94人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】PPT设计,138人,1人,¥1800,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,105人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,81人,1人,¥1200,圆满完成,直接雇佣
【品牌策划】招商PPT设计,247人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】活动策划方案,195人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,90人,1人,¥2500,圆满完成,直接雇佣
【品牌策划】招商策划,98人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】公众号代运营套餐C,101人,1人,¥4500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐B,100人,1人,¥2800,圆满完成,直接雇佣
【品牌策划】招商策划方案,291人,1人,¥3500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐A,230人,1人,¥1500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,177人,1人,¥6500,圆满完成,直接雇佣
【品牌策划】新办公厂房的企业文化布置,479人,1人,¥19000,圆满完成,直接雇佣
【品牌策划】过年礼品礼盒设计,387人,1人,¥10000,圆满完成,直接雇佣
【网站优化方案】百科编写并上线,310人,1人,¥4500,圆满完成,直接雇佣
【网站优化方案】千站推收录版4399/年,228人,1人,¥4399,圆满完成,直接雇佣
【品牌策划】招商策划,111人,1人,¥3600,圆满完成,直接雇佣
【口碑营销】整合营销方案,277人,1人,¥7500,圆满完成,直接雇佣
【品牌策划】品牌全案套餐C,190人,1人,¥6500,圆满完成,直接雇佣
