标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,字段8,字段7,字段9,字段10,字段11,字段12,字段13,��段14,字段15,字段16
【APP推广】注册成为明德漫商平台会员,https://task.epwk.com/1113171/,4638人,86人,¥1200,永不止步9899,￥ 1200,￥297,2025.03.07,用真实的手机号码，扫我提供的二维码成为“明德漫商”平台会员，一个手机号码注册一个会员，要绑定手机号码，一个一品众包注册一个会员，注册成功后截图给我（样板）。,任务编号：1113171,威威虎rP0Eu,M���******M8s5,不知名树,不知名树,小二威威yv1NG,HY黄也,星享事成krssU,,o5d8f3a549badf,o5d8f3a549badf
【微信推广】问卷调查：生成式人工智能滥用风险对内容观看者的影响,https://task.epwk.com/1110829/,5864人,289人,¥3300,alexlounbut,￥ 3300,￥2028,2025.02.26,您好！非常感谢您能抽出宝贵的时间来协助完成此次调查。    如果您满足下面两个条件，请您帮忙完成这份问卷调查。    条件1：对生成式人工智能（AI）有所了解；    条件2：使用社交媒体观看内容创作者发布的内容（短文、图片、短视频等）。    本次问卷调查的题量不多、题目简单，为了保证科学研究的严谨性，请您认真审题并一一回答相关问题。    我们会仔细审核您的问卷，审核通过后，会向您支付6元报酬。谢谢！    我们郑重承诺：此次问卷调查所收集的信息仅被用于学术研究，研究成果将会公开发表。    打开下面链接，即可进入答题页面。谢谢    https://www.wjx.cn/vm/OybOK2S.aspx#,任务编号：1110829,"个人 |            
            悦思维设计",乔伊伊,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",致利昂JI2Yd,Tomorrow28,gracewang19,,chenligui,享客堂eH1IF
【问卷调查】内容创业者遵守人工智能（AI）使用规范的研究,https://task.epwk.com/1108317/,2662人,53人,¥4000,alexlounbut,￥ 4000,￥630,2025.02.14,如果您是“内容创业者”，请您帮忙完成这份问卷调查。    内容创业者是指在互联网上通过创造和分享有价值的内容来获得商业收益的创业者。人工智能（AI）为内容创业者提供了强大的工具和支持，提高创作效率、优化内容质量、实现多模态创作、提升用户体验和助力内容变现。    内容创业者在使用AI时，需遵循国家及各平台的相关规章制度。2024年9月，国家互联网信息办发布的《生成式人工智能服务管理办法（征求意见稿）》规定使用AI生成内容应体现社会主义核心价值观，不得含有违法、虚假等不良信息，且要保护个人信息、隐私和商业秘密。国内社交媒体平台（如，短视频渠道代运营、快手、小红书、微博、微信等）都在不断推出和完善AI的使用规范。    如果内容创业者滥用AI，国家有关部门和平台会对相关责任人做出处罚。    本次问卷调查的题量不多，但是，为了保证科学研究的严谨性，我们需要您提供佐证材料来证明您是内容创业者。我们会认真核对您提供的佐证材料，如果审核通过，我们会向您提供10元报酬。谢谢！    复制下面链接可以进入到问卷回答页面。请仔细阅读问卷开头部分的要点说明，然后按照要求完成问卷。非常感谢！    https://www.wjx.cn/vm/OrdbZHm.aspx,任务编号：1108317,呼呼白玉盘,"工作室 |            
            小小龙儿",乔伊伊,"个人 |            
            叶忆长安",Saudade,搬砖专家,"个人 |            
            新人杂货铺",,"个人 |            
            悦思维设计","工作室 |            
            @奥斯卡"
【产品推广】Steam 游戏添加 [愿望单],https://task.epwk.com/1101348/,1297人,53人,¥2100,MoshowGames,￥ 2100,￥138,2024.12.26,"steam国产独立游戏""硬币与仙人掌""https://store.steampowered.com/app/2529540/_Coins__Wishpalm/前提: 拥有steam账号并至少拥有一款收费游戏.要求: 进入游戏的商店页面.如果认为该游戏值得玩,则将其加入""愿望单"".交稿条件：  1.一张游戏库中已购买过的其他收费游戏的截图(包含账户名称) 【该条件是为了查看是否是新账号，需要老账号才可参与该任务】                    2.提交一张加入愿望单的截图,(包含账户名称)                    3.以上截图需要参考任务附件：“steam截图”截取上传完成时限：2025-01-09之前",任务编号：1101348,hinai,yutea,老叔爱吃肉,游风W,威威虎o74d5,东池咸鱼,chenxivfx,,银归,yumi2000
【公众号推广】简单手机注册，10元一稿在线结佣金,https://task.epwk.com/1086125/,1978人,6人,¥500,威威起家xqeST,￥ 500,,2024.07.12,"1，手机打开微信，扫一扫--1附件-的二维码注册下载，注册时必须要填邀请码--Z9mA7G，否则无效。2，注册下载完成打开优客帮APP找到拉新任务选项，找到：快手极速-立返-LS,点击进去--2附件，先别急着做，一定要先看下流程文件中的提示--3和3-1附件，不按要求的无效，然后再看下提交截图，保留好每一步的提交截图--4附件。3，了解以上步骤后点击领取任务开始按步骤做任务，做完直接提交，一单顺利完成。任务简单务必按要求做，我会根据后天提交截图真实数据支付佣金。                          （任务完成优客帮可以不用卸载，我会不定期在威客发布高单值简单注册任务）",任务编号：1086125,,,,,,,,,,
【信息流】论坛发帖，一贴三元，审核严格,https://task.epwk.com/1085490/,1458人,11人,¥501,威威起家1v9vG,￥ 501,￥24,2024.07.07,任务需求：第一:论坛发帖，各类与英语学习、经验分享或华人留学相关的论坛发布 ，论坛最近3天内有新帖子发布。不能在同一论坛一直发， 否则不通过。第二:发布的帖子需要存活3天以上，被删除的不算通过。第三:在帖子内包含我们网址链接，文案可灵活变动，但链接原则不变。第三:不得在论坛“商家发布信息处发布”文案内容已经上传在文档，下载即可看到，从中选择一个发布到论坛。审核标准：提供发帖链接，多张论坛截图（显示论坛最近3天内有新帖子发布，发布的帖子存活3天以上）。,任务编号：1085490,"工作室 |            
            小小龙儿",陆壹贰,在线接单专业靠谱,spark乄原始人,spark乄原始人,spark乄原始人,spark乄原始人,,,
【产品推广】小红书推广，产品推广,https://task.epwk.com/1082615/,1639人,83人,¥501,xushunbin8939,￥ 501,￥315,2024.06.07,"步骤：    1.小红书搜索""洗碗机放错洗碗盐"" 找到帐号 ""废物搭子"" 发的文章    2.进去查看洗碗机那篇，点赞，并且写条常规评论自由发挥，可以说同样求助，或者说问问处理好了没，结果怎样等等。。       禁止评论随便敷衍      3.截图自己的主页，截图关注主页，评论截图，上传，收钱！只要认真对待基本都会选稿，会通过截图的内容以及标题进行审核, 谢谢理解。营销工作室（非真实个人账号）稿件无效。",任务编号：1082615,qwepoi2008,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",可可谷谷,四川曾先生,乔伊伊,鸡肉烧麦,,南风顺我意,YB2018
【APP推广】APP下载，一稿3元,https://task.epwk.com/1077943/,1063人,4人,¥501,蓝忆欢,￥ 501,￥3,2024.04.22,"1:识别二维码,（附1图片2:按要求下载注册（注：电话号码，昵称不可以重复），3:完成新人任务即刻。交稿要求：提供新人奖励成功的截图（如附2）及手机号前三后二位及个人ID。",任务编号：1077943,M企****SRYP,,,,,,,,,
【微信推广】微信关注公众号，转发朋友圈，一单3元,https://task.epwk.com/1077337/,625人,6人,¥501,o5a794c8275f3a,￥ 501,￥18,2024.04.16,一、任务要求：1、在微信上关注公众号“大国护眼”，关注后再给此公众号发“威客”2个字即可，不能取消关注；2、将公众号当天推文【跟着赵阳学护眼，守护明亮视界！】或【赵阳医生团队挂号指南】分享至朋友圈（不可以屏蔽任何人）48小时后截图即为合格。朋友圈内容编辑：【跟着眼科医生赵阳学习护眼，还能免费领书籍】（8：30-21：00时间段发布为有效）；3、将公众号分享至一个100人以上的微信群，僵尸群除外！群发时间（8：30-21：00时间段发布为有效）；4、微信隐私设置中要把“允许陌生人查看十条朋友圈”打开，方便我们其他号审核；5、微信好友至少200人以上，一个威客账号限参加一次，重复无效；6、完成任务之后，回到威客，打开该任务，把截图上传附件以便审核； 注：营销团队请勿参加，全是运营推广好友的用户不要参加，必须是新媒体推广。 二、审核标准：1、上传您的微信呢称（不是微信号！！！）图片一张，以便审核；2、上传关注公众号并发了“威客”2字截图一张；3、上传好友数量截图一张；4、上传朋友圈超过24小时截图一张；5、上传微信群分享截图一张。,任务编号：1077337,"工作室 |            
            小小龙儿","个人 |            
            叶忆长安",qwepoi2008,可可谷谷,乔伊伊,四川曾先生,,,,
【小程序推广】按要求微信扫码截图，快手极速版刷视频就可以赚钱,https://task.epwk.com/1077029/,717人,0人,¥500,威镇天下sFGbO,￥ 500,,2024.04.12,任务步骤：1.用微信扫码，附件1中的小程序二维码，扫码进入小程序主页截图一张，截图小程序首页上的推广二维码（下快手免费拿礼品上的二维码）；          2.下载快手极速版app注册登录后，用快手极速版20分钟内扫步骤1中推广二维码，扫码后绑定设备并截图一张（设备必须提示为纯新）；根据自己需要可以申请领取礼品，同时需要连续8天用快手极速版app刷短视频（非直播），每天2分钟以上。         3.再次用微信扫小程序二维码，点里面的“天天领券”版块，浏览里面三个活动并截图三张；         4.后台审核内容：以上所述至少5张截图，绑定设备及连续8天刷快手极速版app短视频。         5.稿件只需要截图。         6.绑定设备、连续刷快手短视频等只是后台审核。         7.期间如果不知道是否刷视频达标，可以联系微信，下附作者微信二维码。,任务编号：1077029,,,,,,,,,,
