标题,browser,字段1,价格,status
【办公空间】酒吧吧台,2686人,1人,¥200,待验收
【其他家装服务】九龙湖别墅全套图纸设计,5969人,1人,¥4266,待验收
【其他家装服务】消防会议室设计,1649人,1人,¥500,待验收
【效果图设计】自建房外观效果图设计,3388人,1人,¥500,待验收
【其他建筑设计】厂房效果图,43人,1人,¥50,圆满完成
【效果图设计】餐饮空间设计,161人,1人,¥1000,圆满完成
【新房装修】毛胚房装修设计,426人,1人,¥1550,圆满完成
【餐饮饮食】艺术甜品蛋糕店装修设计,84人,1人,¥1500,圆满完成
【商业空间】办公室施工图设计,93人,1人,¥1500,圆满完成
【工程造价】帮我做园林算量预算,270人,1人,¥200,圆满完成
【商业空间】设计制作垃圾分类效果图,197人,1人,¥1000,圆满完成
【办公空间】办公室，办公场所，会议室，接待室，茶室，效果图设计,1455人,1人,¥3000,圆满完成
【效果图设计】效果图,346人,1人,¥10,圆满完成
【园林设计】要求店面设计布局软装有：炸鸡冷饮区，零食区，打印复印区。,265人,1人,¥150,圆满完成
【园林设计】不可抄袭，作假,322人,1人,¥1800,圆满完成
【餐饮饮食】设计一小面展厅墙的摆放设计+海报【三期】,269人,1人,¥100,圆满完成
【展台展厅】室内设计效果图,332人,1人,¥100,圆满完成
【办公空间】需要办公室装修 风格待定,149人,1人,¥100,圆满完成
【娱乐休闲】室内设计需求（二期）,176人,1人,¥100,圆满完成
【公共场所】设计一小面展厅墙的摆放设计+海报【二期】,161人,1人,¥100,圆满完成
【展台展厅】需要设计一小面展厅墙的摆放设计 包括海报,192人,1人,¥100,圆满完成
【展台展厅】毛坯房设计,422人,1人,¥3500,圆满完成
【园林设计】CAD画图,497人,1人,¥300,圆满完成
【施工图设计】简中式装修设计效果（动态）,778人,1人,¥800,圆满完成
【展台展厅】办公用品木板台历外观设计,264人,1人,¥1000,圆满完成
【商业建筑】网吧与电竞酒店,277人,1人,¥800,圆满完成
【园林设计】旧厂区改造别墅小区,287人,1人,¥1700,圆满完成
【新房装修】日餐效果图,448人,1人,¥300,圆满完成
【效果图设计】效果图制作,419人,1人,¥400,圆满完成
【商业空间】书店装修效果图,350人,1人,¥1000,圆满完成
,,,,
【商业空间】展厅施工图（第二期）,221人,1人,¥1000,圆满完成
【店铺厂房】施工图,411人,1人,¥1000,圆满完成
【其他定制】需要画一套展厅CAD施工图（第一期，20张立面）,559人,1人,¥1000,圆满完成
【新房装修】两套loft公寓设计,455人,1人,¥1000,圆满完成
【店铺厂房】装修效果图设计360度全景图,354人,1人,¥1500,圆满完成
【效果图设计】办公室装修效果图修改,279人,1人,¥3000,圆满完成
【其他家装服务】平面图,460人,1人,¥200,圆满完成
【其他家装服务】整套效果图,347人,1人,¥700,圆满完成
【效果图设计】基础装修效果图,603人,1人,¥600,圆满完成
【效果图设计】艺术培训机构做图,702人,1人,¥1000,圆满完成
【效果图设计】文化馆设计,313人,1人,¥800,圆满完成
【效果图设计】出套房VR图,436人,1人,¥300,圆满完成
【效果图设计】奖牌模仿设计，一点点创意，不要一样,307人,1人,¥140,圆满完成
【效果图设计】装修设计图和施工图,447人,1人,¥1000,圆满完成
【效果图设计】装修设计款上第3期。,749人,1人,¥1000,圆满完成
【效果图设计】指挥大厅及会议室平面效果图,296人,1人,¥600,圆满完成
【效果图设计】珠宝店铺效果图设计,435人,1人,¥2000,圆满完成
【效果图设计】房子装修设计第2期。,657人,1人,¥1000,圆满完成
【效果图设计】必须按我的要求改，满意后才付款,421人,1人,¥350,圆满完成
【效果图设计】房子设计款第1期,361人,1人,¥200,圆满完成
【园林设计】单体建筑效果图,466人,1人,¥300,圆满完成
【新房装修】客厅墙面设计第一期,872人,1人,¥30000,圆满完成
【智能家居系統】智能家居设计,488人,1人,¥50000,圆满完成
【其他家装服务】权威五金,177人,1人,¥430,圆满完成
【其他家装服务】整体室内设计,1233人,1人,¥50000,圆满完成
【新房装修】卧室设计,533人,1人,¥15000,圆满完成
【衣柜定制】定制衣柜,801人,1人,¥19000,圆满完成
【智能家居系統】室内装修二,410人,1人,¥30000,圆满完成
【智能家居系統】室内设计一,401人,1人,¥50000,圆满完成
【施工图设计】舞蹈教室设计,1024人,1人,¥73000,圆满完成
,,,,
【新房装修】客厅设计,944人,1人,¥38000,圆满完成
【其他家装服务】装修,505人,1人,¥30000,圆满完成
【新房装修】厨房设计,483人,1人,¥27000,圆满完成
【新房装修】客厅设计,757人,1人,¥35000,圆满完成
【新房装修】厨房设计,246人,1人,¥23000,圆满完成
【新房装修】客厅装修,2148人,1人,¥50000,圆满完成
【展台展厅】搬家新办公室壁画绘制,250人,1人,¥5000,圆满完成
【庭院设计】庭院设计,652人,1人,¥35000,圆满完成
【施工图设计】施工图设计,332人,1人,¥29000,圆满完成
【橱柜定制】橱柜定制,552人,1人,¥14000,圆满完成
【其他家装服务】室内效果设计,1163人,1人,¥500,圆满完成
【软装设计】文化墙绘画,485人,1人,¥5000,圆满完成
【新房装修】客厅设计,785人,1人,¥24000,圆满完成
【新房装修】卫生间设计,596人,1人,¥23000,圆满完成
【新房装修】厨房设计,379人,1人,¥23000,圆满完成
【新房装修】卧室设计,990人,1人,¥35000,圆满完成
【新房装修】客厅装修设计,636人,1人,¥38000,圆满完成
【展台展厅】设计一个展台,757人,1人,¥28000,圆满完成
【其他定制】实木展示架设计生产,446人,1人,¥35000,圆满完成
【新房装修】卧室软装设计,431人,1人,¥500,圆满完成
【新房装修】出二张客厅效果图设计,1231人,1人,¥400,圆满完成
【别墅设计】泉州安溪6层别墅施工图设计,841人,1人,¥29000,圆满完成
【软装设计】形象墙设计安装,303人,1人,¥15100,圆满完成
【衣柜定制】整体衣柜设计定制,1502人,1人,¥41000,圆满完成
【商业空间】设计超市空间摆放,317人,1人,¥27600,圆满完成
【展台展厅】展厅设计450平米,278人,1人,¥35000,圆满完成
【展台展厅】展厅设计450平米,323人,1人,¥35000,圆满完成
【新房装修】认证通过，算完成。,938人,1人,¥150,圆满完成
【展台展厅】设计一个展厅,509人,1人,¥26888,圆满完成
【别墅设计】漳州诏安6层别墅设计,676人,1人,¥29800,圆满完成
,,,,
【教育场所】天天向上幼儿园建筑设计,599人,1人,¥29500,圆满完成
【软装设计】形象墙vi视觉设计,111人,1人,¥1500,圆满完成
【教育场所】雅馨幼儿园建筑设计,345人,1人,¥28900,圆满完成
【别墅设计】湖南郴州6层别墅设计,690人,1人,¥29200,圆满完成
【展台展厅】办公室空间设计,439人,1人,¥1200,圆满完成
【别墅设计】泉州东区农村别墅设计,876人,1人,¥28700,圆满完成
【餐饮饮食】快乐小厨中式餐厅装修设计,562人,1人,¥29800,圆满完成
【其他家装服务】套房装修设计,1175人,1人,¥50000,圆满完成
【酒店宾馆】泉州卧龙饭店施工图设计,504人,1人,¥29000,圆满完成
【别墅设计】同安西柯3层别墅设计,701人,1人,¥26800,圆满完成
【别墅设计】江西赣州6层农村别墅设计,648人,1人,¥29500,圆满完成
【教育场所】设计一个书店,522人,1人,¥29000,圆满完成
【别墅设计】广东湛江600平别墅设计,711人,1人,¥24500,圆满完成
【店铺厂房】可爱小子母婴店装修设计,418人,1人,¥24000,圆满完成
【餐饮饮食】剩下的完事付,688人,1人,¥300,圆满完成
【园林设计】别墅园林设计,1274人,1人,¥40000,圆满完成
【餐饮饮食】阿波罗美式餐厅施工图设计,346人,1人,¥28800,圆满完成
【别墅设计】湖州乡野别墅施工图设计,477人,1人,¥28500,圆满完成
【教育场所】动感空间幼儿园设计,349人,1人,¥28000,圆满完成
【教育场所】阳光宝贝幼儿园施工图设计,324人,1人,¥28800,圆满完成
【效果图设计】同安庄府室内设计施工图,473人,1人,¥24800,圆满完成
【效果图设计】中海万锦熙岸130平室内设计,431人,1人,¥25000,圆满完成
【商业空间】超市设计,374人,1人,¥26500,圆满完成
【教育场所】阿拉丁国际幼儿园建筑设计,329人,1人,¥27800,圆满完成
【别墅设计】福建三明6层别墅设计,500人,1人,¥28000,圆满完成
【其他家装服务】套房装修设计,1163人,1人,¥50000,圆满完成
【新房装修】别墅橱柜设计,757人,1人,¥10000,圆满完成
【店铺厂房】3000平方米钢结构厂房设计,547人,1人,¥25000,圆满完成
【酒店宾馆】浙江绍兴8层酒店设计,565人,1人,¥27800,圆满完成
【施工图设计】需要效果图和现场施工图,802人,1人,¥1800,圆满完成
,,,,
