标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【剪辑服务】宣传视频剪辑,https://task.epwk.com/1122648/,367人,0人,1000元以内,投标中,,理发前后对比的视频剪辑，有参照视频，报价详谈,2025.05.16,,任务编号：1122648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】招商视频的拍摄,https://task.epwk.com/1122609/,218人,0人,3000-5000元,投标中,,"称呼:叶先生地区:浙江省,杭州市需求:门店开业视频，招商视频的拍摄，脚本可以讨论，需要当地的拍摄尽快联系完成时间:越快越好预算:报价联系备注：手机微信同号",2025.05.16,,任务编号：1122609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】一条短视频点 赞女装穿搭结合热点的视频的寄拍,https://task.epwk.com/1122472/,283人,0人,1000元以内,投标中,,一条短视频点赞女装穿搭结合热点的视频的寄拍 要求 模特好看有经验，不管是工作室还是企业都可以但是一定要有专业的编导，拍出来的东西一定要自己看得下去再找我，我这里是短视频渠道加粉新号所以这些视频必须结合热点出来拍，带着过往案例打我电话。按过往视频质量给价格，如果视频质量低于800的价位就不要打电话，报价上不封顶,2025.05.15,,任务编号：1122472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】餐饮产品的影视拍摄,https://task.epwk.com/1122393/,221人,0人,3000-5000元,投标中,,"称呼:罗先生所在行业:餐饮组织性质:个人地区:四川省,成都市需求:需要做餐饮产品的宣传拍摄，需要照片和短视频，高清，到时需要在短视频点赞和美团上展示。要求性价比。目前没有脚本和相关的文案完成时间:越快越好预算:报价联系，性价比高备注：微信手机",2025.05.14,,任务编号：1122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】找个人接单剪辑,https://task.epwk.com/1122359/,1356人,8人,1000元以内,投标中,,✅会剪映✅30一条✅视频剪辑时长会在30-60秒✅我方会提供视频脚本文案、素材和参考视频，请按照自己的剪辑风格和手法来剪即可✅任务长做长有，最好能稳定合作的，有责任心，好沟通！注意，公司的不需要加，个人接单的可以！！！没问题的直接＋我就好！具体再沟通任务不常上线看，有意向直接+我就好了,2025.05.14,,任务编号：1122359,"￥1000,￥210,￥800,￥1000,￥210,￥900","30天,7天,15天,7天,7天,30天","上海市-市辖区,浙江省-湖州市,湖南省-长沙市,广东省-清远市,福建省-福州市,内蒙古-乌兰察布市",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】个人ip打造拍摄,https://task.epwk.com/1122060/,526人,0人,3000-5000元,投标中,,"称呼:吕女士地区:广东省,广州市需求个人ip打造，客户是to B的，需要广州的拍摄带相关案例联系报价完成时间:看报价预算:报价联系备注：手机微信同号",2025.05.12,,任务编号：1122060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【影视拍摄】孩子学校公众号要的，读书视频，拍摄剪辑,https://task.epwk.com/1122053/,1162人,0人,1000-3000元,投标中,,称呼:女士地区:西安需求:孩子学校公众号要的，读书视频，拍摄剪辑。提供参考的完成时间:再定预算:报价联系备注 微信号是手机号,2025.05.12,,任务编号：1122053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【二维动画】简单二维动画,https://task.epwk.com/1121998/,178人,0人,1000元以内,投标中,,简单二维动画，能表达意思就可,2025.05.12,,任务编号：1121998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【视频定制】企业宣传片视频定制,https://task.epwk.com/1121958/,573人,2人,1000元以内,投标中,,企业宣传片视频定制，文案900多个字，大概5分钟时长,2025.05.12,,任务编号：1121958,"￥500,￥800","2天,3天","浙江省-杭州市,福建省-厦门市",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【剪辑服务】美团旅游视频剪辑,https://task.epwk.com/1121895/,1033人,5人,1000元以内,投标中,,美团旅游视频剪辑，2条，1-2分钟，1分钟80元,2025.05.11,,任务编号：1121895,"￥160,￥350,￥120,￥300,￥100","1天,3天,3天,3天,5天","内蒙古-乌兰察布市,湖南省-常德市,北京市-北京市,湖南省-岳阳市",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
