标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4
【3D建模】硅胶材质玩具背包3D建模,https://task.epwk.com/1104943/,822人,3人,1000元以内,圆满完成,浩琛,有草图，只做外观，不需要设计内部构造设计，工程文件格式为stl或stp。产品用于开硅胶磨具批量生产，外观需尽量细致，交付需要给到工程文件和2-3张渲染图。,2025.01.18,2025.02.18,任务编号：1104943,￥980,3天,广东省-深圳市,素凡创新设计,https://shop.epwk.com/rp5z4vxvwdx3/,素凡创新设计,出售服务,https://shop.epwk.com/rp5z4vxvwdx3/chushou/,工作室,二品,60分,总 87 次中标，交易总金额,￥5.55万,素凡创新设计,,品牌设计 logo,"￥1000
            /次",智能穿戴外观设计,"￥3500
            /次",家纺产品设计,"￥3500
            /次",家电类外观设计,"￥3500
            /次"
【包装设计】农药包装设计，微信沟通,https://task.epwk.com/1104588/,1383人,1人,1000-3000元,圆满完成,k2103****34,称呼：王先生地区: 昆明，服务商地域不限需求: 3-4个产品组合一起内包装设计，还需要设计一款外包装的纸箱  。服务商提供过往案例、报价预算: 看服务商报价时间：未定备注：微信是手机号,2025.01.16,2025.02.08,任务编号：1104588,￥1499,10天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 220 次中标，交易总金额,￥56.35万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起"
【包装设计】冻品的包装设计,https://task.epwk.com/1104022/,706人,1人,1000-3000元,圆满完成,k7247****26,"称呼:陈先生（先加微信）地区:福建省,泉州市（服务商地域不限，有产品案例经验的）需求:冻品的包装设计 烤串  一定有自己设计过的案例经验的  具体详谈完成时间:再定预算:报价联系备注 微信号是手机号",2025.01.13,2025.02.05,任务编号：1104022,￥1800,5天,广东省-深圳市,深圳萬森品牌,https://shop.epwk.com/09drjy1o653w/,深圳萬森品牌,出售服务,https://shop.epwk.com/09drjy1o653w/chushou/,企业,四品,78分,总 13 次中标，交易总金额,￥3.62万,深圳萬森品牌,,包装设计 总监创作 保证原创,"￥500
            /起",宣传册 产品册 折页 设计,"￥300
            /起",VI设计 总监创作 保证原创,"￥5000
            /起",LOGO设计 总监创作 保证原创 保证注册通过,"￥999
            /起"
【包装设计】洗衣液瓶型外观设计,https://task.epwk.com/1103723/,2256人,1人,1000-3000元,圆满完成,k8355****91,称呼：刘先生地区: 不详，服务商地域不限需求: 产品是洗衣液，需要设计洗衣液的瓶型，具体的需求详谈 。服务商提供案例、报价预算: 看服务商报价时间：未定备注：微信是手机号,2025.01.10,2025.03.12,任务编号：1103723,￥1499,6天,江西省-鹰潭市-余江县,逆流回响,https://shop.epwk.com/7lngqww78dmr/,逆流回响,出售服务,https://shop.epwk.com/7lngqww78dmr/chushou/,工作室,七品,57分,总 2 次中标，交易总金额,￥2920.30,逆流回响,,产品包装设计,"￥1000
            /起",LOGO设计,"￥800
            /起",,,,
【VI设计】食品行业的VI设计,https://task.epwk.com/1103352/,136人,1人,1000-3000元,圆满完成,k1379****08,称呼:刘先生（决策人）地区:新疆需求:已经有商标名了，需要设计商标的logo以图形和商标名结合设计，做的是清真食品需要突出清真和新疆民族特色的元素；3到5款食品包装设计，都是半成品冷冻的如烤包子，也需要突出新疆文化，设计需要有做过相关产品在对接完成时间:近期预算:具体详聊备注：手机微信同号,2025.01.08,2025.02.12,任务编号：1103352,￥1500,10天,山东省-烟台市,素造创意,https://shop.epwk.com/m7d7w92qy5q8/,素造创意,出售服务,https://shop.epwk.com/m7d7w92qy5q8/chushou/,企业,一品,93分,总 220 次中标，交易总金额,￥56.35万,素造创意,,LOGO设计,"￥1680
            /起",品牌vi设计,"￥9800
            /起",形象IP设计,"￥5800
            /起",餐饮全案设计,"￥18800
            /起"
【产品外观设计】日用产品的外观和内部设计（预付款）,https://task.epwk.com/1103262/,111人,2人,1000-3000元,圆满完成,k5197****24,"称呼:苗先生地区:廊坊市,廊坊市需求:塑料加工厂，长期有项目，先做两款外观设计，网红产品。厨房用具，日用百货类的产品，必须保证可以开模，要求设计是有做过此类案例完成时间:近期预算:具体详聊备注：手机微信同号",2025.01.08,2025.01.09,任务编号：1103262,￥1300,3天,广东省-深圳市,素凡创新设计,https://shop.epwk.com/rp5z4vxvwdx3/,素凡创新设计,出售服务,https://shop.epwk.com/rp5z4vxvwdx3/chushou/,工作室,二品,60分,总 87 次中标，交易总金额,￥5.55万,素凡创新设计,,品牌设计 logo,"￥1000
            /次",智能穿戴外观设计,"￥3500
            /次",家纺产品设计,"￥3500
            /次",家电类外观设计,"￥3500
            /次"
【LOGO设计】品牌LOGO设计,https://task.epwk.com/1103056/,113人,1人,1000元以内,圆满完成,高地密码FiOL0,称呼:郭女士地区:福建福州需求:主营幼儿园孩子心理课程的，想设计品牌LOGO，名称：芮笠，具体带案例沟通,2025.01.07,2025.01.10,任务编号：1103056,￥500,3天,广东省-广州市,小小小小鸟设计,https://shop.epwk.com/2j5jjpz1v5pz/,小小小小鸟设计,出售服务,https://shop.epwk.com/2j5jjpz1v5pz/chushou/,个人,七品,52分,总 3 次中标，交易总金额,￥1725.00,小小小小鸟设计,,,,,,,,,
【宣传册设计】PDF宣传文档设计,https://task.epwk.com/1102042/,32人,1人,1000元以内,圆满完成,k3058****67,称呼:史先生地区:江苏苏州需求:有一个项目的介绍，可以提供文字档，现在要设计5页左右的PDF宣传文档，具体详谈,2024.12.31,2025.01.03,任务编号：1102042,￥800,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3487 次中标，交易总金额,￥1073.48万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起"
"【VI设计】""像素鲸""摄影喷绘店品牌VI设计",https://task.epwk.com/1101905/,295人,2人,1000-3000元,圆满完成,威威虎5cHs5,有个性 颜色可以多变 创新,2024.12.30,2025.01.09,任务编号：1101905,￥1500,5天,辽宁省-大连市-市辖区,原色设计工作室,https://shop.epwk.com/7g5ykgm9gn0q/,原色设计工作室,出售服务,https://shop.epwk.com/7g5ykgm9gn0q/chushou/,企业,四品,60分,总 38 次中标，交易总金额,￥5.3万,原色设计工作室,,LOGO/VIS/包装设计/画册设计/海报设计,"￥1200
            /起",UI设计/APP界面/H5设计/小程序界面设计,"￥2000
            /起",食品、日化内外包装设计,"￥1800
            /件",京东/淘宝/团购平台/店铺装修定制设计 详情页  海报,"￥1800
            /起"
【宣传册设计】家具企业招商手册设计,https://task.epwk.com/1101902/,121人,1人,1000-3000元,圆满完成,索克巴格2HnLs,称呼：吕女士地区: 江西，服务商地域不限需求: 我们是做校园家具类的，我想做一份年会的家具招商手册，大约10页的内容。设计公司要提供一些 课桌椅、公寓床、办公家具定制类的一些家具招商的案例 。服务商提供过往案例、报价预算: 看服务商报价时间：未定备注：微信是手机号,2024.12.30,2025.03.10,任务编号：1101902,￥1000,7天,内蒙古-呼和浩特市-玉泉区,小LIU店铺,https://shop.epwk.com/0z5o4r67qnjq/,小LIU店铺,出售服务,https://shop.epwk.com/0z5o4r67qnjq/chushou/,个人,八品,36分,,,小LIU店铺,,,,,,,,,
