标题,标题链接,查看数,参与数,需求价格,详情标题,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2
【封面设计】纯音乐单曲封面设计,https://task.epwk.com/1121525/,1535人,40人,"¥2,600",纯音乐单曲封面设计,No312,￥ 2600,￥ 2600,2025.05.07,音乐片段试听：https://xhslink.com/a/4PmnnhQR5SYbb 音乐主题：世界。描述的是世界的复杂性。封面风格参考：参考附件图片。附件图片为 Into the World 之前发行的红石 Rich Johnson 个人版所用封面。单曲英文名：Into the World单曲中文名：世界创作者：红石 Rich Johnson & Tommy Arnold（音乐为中外双人合作创作，Rich Johnson 是红石的英文名，英文封面不需要有“红石”）设计师需至少同时提交中文封面、英文封面、中英文封面各一份（三个封面仅文字部分不同）。封面文字需辨识度高。封面文字为单曲名和两个创作者名。设计风格往大气、深刻的方向贴，中文字可考虑水墨风。设计长宽比1:1，尺寸按一般高清海报的标准做。“红石 Rich Johnson & Tommy Arnold” 中的“&”并不是必须的，视设计排版可以保留或删除这个符号，也就是说两个创作者名也可以在删除这个符号的情况下上下排版。任务不会提前结束，需要充足时间创作的设计者不用担心。请注意任务为多人中标模式，一二等奖中标后作品使用权均归雇主方所有。,任务编号：1121525,盗火设计,平面设计阿军
【LOGO设计】设计一个药房的LOGO,https://task.epwk.com/1120272/,2201人,45人,¥600,设计一个药房的LOGO,mf138****8721,￥ 600,￥ 600,2025.04.25,1、要求设计一个药房的LOGO，包括整体招牌的设计。2、字体设计不得侵权，否则出现版权纠纷后果由设计者承担3、字体可以参考我附图设计4、背景色可考虑用蒂芙尼蓝#66D3C0/淡黄#FDDE835、药房名字叫欧健大药房,任务编号：1120272,深圳非凡设计工作室,深圳非凡品牌策划
【LOGO设计】酒类-商标设计,https://task.epwk.com/1119215/,4266人,54人,"¥1,800",酒类-商标设计,ZSJOSHSON,￥ 1800,￥ 1800,2025.04.17,需求：目的：设计商标用于酒类产品销售及生产使用，并注册商标的主题：以绿水青山为意境设计图案，不用中文字，意境可以带有英文LWALM和水中带有小鱼说明：1.所有设计案件必须原创文件2.设第1-3名中标者，全3名中标者必须提供原文件给我司。3.全3名中标者，若在商标注册过程，商标需要修改，请协调修改。,任务编号：1119215,樂山樂水888999,鸿儒大师的商铺
【吉祥物设计】起航宝贝吉祥物征稿,https://task.epwk.com/1117907/,1052人,18人,"¥4,000",起航宝贝吉祥物征稿,o5b2b0ee311303,￥ 4000,￥ 4000,2025.04.08,"品牌故事     ""作为全球领先的绳网游乐园缔造者，起航游艺品牌，专注从事游乐设备绳网、艺术绳网、家具休闲绳网等各类绳网项目。作为国内首批以绳网游乐设备设计、生产、销售、施工、售后为一体的综合服务厂商，目前拥有专业团队100余人，业务覆盖全国300+主要城市，产品销往30+国家。公司秉承“质量是生存根本，服务是发展核心""的经营理念，逐步深化""起航游艺”品牌。精益求精，旨在为每一位客户打造独特、完美的绳网乐园，为引领“绳网艺术发展”的目标砥砺前行！ 文化符号：""我们希望吉祥物能成为精致游乐园的象征，工匠 ' 智慧、友善、创新、 运动活力' 的品牌 DNA。3. 设计要求（明确方向）维度具体要求心理学依据视觉风格现代简约 / 萌系治愈 / 科技感（需匹配品牌调性）色彩心理学影响用户联想核心元素包含品牌 LOGO 主色调视觉一致性强化品牌记忆角色设定性别 / 年龄 / 性格特征（如 欢乐儿童"" 或 积极向上的童年）拟人化提升情感共鸣场景适配游乐园中实用性增强设计价值  表情与姿态库场景推荐姿势情绪表达乐园入口挥手致意，绳索形成欢迎拱门热情、开放设备安全检查手持放大镜观察绳结，眉头微皱专业、严谨儿童互动被孩子们围绕，绳索化作滑梯 / 秋千欢乐、亲和国际展会佩戴 VR 眼镜，绳索延伸出地球仪图案科技、全球化1. 禁止事项不得使用尖锐棱角设计（与安全理念冲突）避免全黑 / 全白主色调（影响品牌识别度）禁止直接复制其他企业吉祥物造型（如迪士尼角色）2. 创意加分项可变形设计：根据不同游乐场景切换形态（如攀岩模式 / 秋千模式）",任务编号：1117907,三鱼创意,墨思设计Moth
【封面设计】纯音乐单曲封面设计,https://task.epwk.com/1116279/,1401人,27人,"¥2,000",纯音乐单曲封面设计,No312,￥ 2000,￥ 2000,2025.03.23,音乐片段试听：https://weibo.com/1623806611/PdbZhsVt3 单曲英文名： the Night单曲中文名：史诗和序章创作者：红石 Rich Johnson & Tommy Arnold（音乐为中外双人合作创作，Rich Johnson 是红石的英文名，英文封面不需要有“红石”）设计师需至少同时提交中文封面和英文封面各一份（两个封面仅文字部分不同）。视具体设计情况，设计师可以在中文封面和英文封面的基础上再提交一份中英文封面。封面文字需辨识度高。封面文字为单曲名和两个创作者名。设计风格往大气、深刻的方向贴，中文字可考虑水墨风。任务不会提前结束，需要充足时间创作的设计者不用担心。请注意任务为多人中标模式，一二等奖中标后作品使用权均归雇主方所有。,任务编号：1116279,平面设计阿军,佳动设计工作室
【LOGO设计】宠御logo烫金标贴设计，急着优先出来基本采用,https://task.epwk.com/1116059/,811人,17人,¥500,宠御logo烫金标贴设计，急着优先出来基本采用,a5318****,￥ 500,￥ 500,2025.03.20,排版根据设计师 自行决定 横竖排版都可以  图文,任务编号：1116059,tomzhouwei,海旭设计
【包装设计】喜糖婚庆礼盒外观设计,https://task.epwk.com/1104402/,6209人,15人,"¥1,200",喜糖婚庆礼盒外观设计,领尊YSQsZ,￥ 1200,￥ 1200,2025.01.15,婚庆喜糖礼盒参考我方提供的盒型 做外观设计，工艺上建议有烫金 UV。内容上喜庆，以红色调为主 尺寸24乘以24乘以8厚需要两个稿件 都需要源文件  附件做个参考,任务编号：1104402,素凡创新设计,不至于此瓦龙
【LOGO设计】建筑公司logo设计,https://task.epwk.com/1099840/,1235人,26人,¥500,建筑公司logo设计,o5def07f03361e,￥ 500,￥ 500,2024.12.17,"公司名称：贵州津辉发展建筑工程有限公司
设计要求：
1、根据公司名称设计符合建筑行业的logo
2、大气、简洁、有寓意
3、有视觉冲击力，醒目易识别
4、附上创意说明。
知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任; 
2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",任务编号：1099840,速 豹 品 牌 设 计,凤动传媒
【LOGO设计】《Everythings code》英文LOGO设计,https://task.epwk.com/1094189/,3228人,55人,"¥1,600",《Everythings code》英文LOGO设计,No312,￥ 1600,￥ 1600,2024.10.16,《Everything's code》是一本信息学学术专著，中文名《万物代码》。LOGO 用于相应电子书/实体书的封面及各类推广材料。LOGO 设计需直接以“Everything's code”文字为主体设计文字 LOGO。不需要单独的图标。整个 LOGO 可以有文字以外的元素，但文字需要是主体。虽然《Everything's code》是信息学学术专著，但不希望 LOGO 设计太刻板太学究气，希望发挥创意，更大气一些。艺术感越重越好。能体现艺术与科学结合的风格更佳。可以有电影海报字体感。除了信息学，逻辑学、数学、物理学也是该学术专著的强相关学科，也可以从相关学科寻找风格灵感。参考设计风格：2.5D等距视角（Isometric）、视错觉等。稿件建议同时提供“Everything's”在上“code”在下两行排列和一行排列两个版本的设计（这里仅指排列方式，并不意味着设计需要是规整的图形），如果有其他排列方式创意也可，最终看创意和整体效果。如能一并提供竖排版本更佳。需要在设计中加入中文字符丰富内容时可以使用《万物代码》这个中文名，但英文部分需要是主体。任务不会提前结束，需要充足时间创作的设计者不用担心。请注意任务为多人中标模式，一二等奖中标后作品使用权均归雇主方所有。,任务编号：1094189,MOJA-墨匠品牌创设,MIO视觉艺术
【LOGO设计】企业logo设计,https://task.epwk.com/1093536/,2359人,34人,¥500,企业logo设计,金潞商3niV2,￥ 500,￥ 500,2024.10.10,新船程国际物流上海有限公司  国际航运业 logo 简单大方,任务编号：1093536,宇易品牌策划,隐形人设计工作室
【LOGO设计】《万物代码》文字LOGO设计,https://task.epwk.com/1093202/,3585人,51人,"¥1,500",《万物代码》文字LOGO设计,No312,￥ 1500,￥ 1500,2024.10.03,《万物代码》是一本信息学学术专著。LOGO 用于相应电子书/实体书的封面及各类推广材料。LOGO 设计需直接以“万物代码”四个字为主体设计文字 LOGO。不需要单独的图标。整个 LOGO 可以有文字以外的元素，但文字需要是主体。虽然《万物代码》是信息学学术专著，但不希望 LOGO 设计太刻板太学究气，希望发挥创意，更大气蓬勃一些。艺术感越重越好。能体现艺术与科学结合的风格更佳。可以有电影海报字体感。除了信息学，逻辑学、数学也是该学术专著的强相关学科，也可以从相关学科寻找风格灵感。参考设计风格：水墨风、2.5D等距视角（Isometric）、视错觉等。稿件需同时提供四字方块排列和四字一行排列两个版本的设计（这里仅指排列方式，并不意味着设计需要是规整的矩形，尤其对于水墨风格设计来说）。如能一并提供竖排版本更佳。《万物代码》的英文书名为 Everything's code，需要在设计中加入英文字符丰富内容时可以使用这个英文名。任务不会提前结束，需要充足时间创作的设计者不用担心。请注意任务为多人中标模式，一二等奖中标后作品使用权均归雇主方所有。,任务编号：1093202,麦鹏文化,ONLY IDEA 设计工作室
【LOGO设计】设计个LOGO,https://task.epwk.com/1092982/,6717人,60人,"¥1,200",设计个LOGO,njytj,￥ 1200,￥ 1200,2024.09.28,设计个LOGO。图标+文字名称为：一统金图标要有个性，一眼能记住，图标可以用“一桶金”实物   这个形象化。反映普通人用我们的平台挣到钱，过着自由自在的生活。可以微信小程序里搜索：一统金   。一个以技能为服务的平台，用户通过平台发单师傅通过自己的技能接单来改善生活LOGO主要用于线下门店门头使用，显眼明亮，站点图标使用，师傅工作服，工具包,任务编号：1092982,海旭设计,一念阁 | 设计
【LOGO设计】设计一个药房的招牌，包括LOGO,https://task.epwk.com/1091345/,4117人,47人,¥500,设计一个药房的招牌，包括LOGO,mf138****8721,￥ 500,￥ 500,2024.09.08,"设计一个药房的招牌，包括其中的LOGO。名字叫“今声大药房”。字体和底色可参考下图，字体本人偏爱扁平体翻译搜索复制< iframe src="""">< /iframe>",任务编号：1091345,金生设计室,雨夜设计工作室
【LOGO设计】创源金属logo设计,https://task.epwk.com/1089831/,3269人,56人,"¥1,500",创源金属logo设计,置信区间,￥ 1500,￥ 1500,2024.08.20,公司是以生产铝业为主，其次为风能发电项目。要求：1.对应公司铝业项目2.绿色发展(风车\草地\河流 )3.智能制造4.绿色液状铝液造型5.可以尝试向八卦图（阴阳图）方向扩展，以便于可以在品牌故事层面给予支撑（用八卦的天地阴阳的原理，表达我们对于绿色以及对于人们生活的帮助）备注：任务比较着急，请各位设计师尽量在8月23号前交稿，可能会提前选稿，谢谢！,任务编号：1089831,简。心商铺,凡人设计工作室
【LOGO设计】建筑企业公司LOGO及VI设计,https://task.epwk.com/1089472/,5536人,57人,"¥5,000",建筑企业公司LOGO及VI设计,小企鹅w7AxA,￥ 5000,￥ 5000,2024.08.15,任务需求 一、公司简介1、公司名称：山西瑞鑫弘建筑工程有限公司2、中文简称：瑞鑫弘3、公司经营项目：工程施工和设计、投资、建材销售、建筑工程机械与设备租赁二、公司LOGO及VI设计内容及要求：1、LOGO突出简洁、时尚、大气感；英文标志或者图形标志都可以。2、LOGO要求有独特的创意，易懂、易记、易识别，有强烈的视觉冲击力和美感；3、LOGO主色调不限；4、色彩应用与构图组合简洁明快，美观大方，具有独特个性，色彩高雅，能适合各种应用媒体；5、设计者必须提供LOGO创意说明文稿及一句广告语，设计图必须注明各部分比例、颜色、尺寸；6、VI设计：VI视觉基础系统设计，如名片、信封、信纸、形象墙，包装盒，宣传册；三、时间要求设计征集截止本月底；四、知识产权及有关事项声明：1、所设计的作品应为原创，LOGO未在国家商标局注册过，未侵犯他人著作权；如有侵犯他人著作权，由设计者承担所有法律责任； 2、如中标，设计方必须提供以上要求设计作品完整的方案，包括各种矢量图形源文件和所用到的字体，以方便进行修改完善和印刷； 3、中标的设计作品，我方支付设计制作费后，即拥有该作品知识产权，包括著作权、使用权和发布权等，有权对设计作品进行修改、组合和应用； 4、设计作品一经采用，所有权、修改权和使用权均归我方所有，设计者不得在其他任何地方使用该设计作品，设计作品一经采用，所有权、修改权和使用权均由本公司所有，设计者不得再在其他任何地方使用该作品，否则构成侵权，本公司保留依法追究设计方法律责任的权利；5、请尽量提早上传方案。为不耽误更多威客的时间，有满意方案之时可能提前宣布评标；6、请留意您参与项目的结束时间，以免疏忽错过；7、在未收到正式宣布您中标前，请不要将您作品的源文件发给任何人；8、所有中标人员（一等奖、二等奖）都必须提供矢量图形源文件和所用到的字体；9、参与此设计任务者被视为同意以上所有声明。征集结果公布后，未采用的作品即可自行处理；,任务编号：1089472,望川设计,新创视觉
【LOGO设计】设计个亲子育儿教育项目的logo,https://task.epwk.com/1089171/,1108人,24人,¥500,设计个亲子育儿教育项目的logo,o5a65c2df9a62d,￥ 500,￥ 500,2024.08.12,"logo设计说明1.两只大猫（代表父母）一只小猫（代表孩子），有彩虹，有爱心，有笑脸。2.logo是为亲子游戏、亲子户外游戏、亲子研学旅行等游戏类的主题设计。名字叫猫.令/亲;子[趣;玩。3.要有童趣的感觉，设计能体现亲子玩乐。保持童心、父母陪玩，大人与小孩紧密相连、共同参与游戏的形象，生动展现了父母陪伴孩子的重要性。4.要体现轻松高效好玩有趣的理念，体现家庭温馨，欢乐幸福。5.logo设计写上 “猫/令,亲;子/趣;玩”。主色调为橙黄色。(标点号去除)",任务编号：1089171,金生设计室,相同设计
【海报设计】科学养生，从你契合细胞需求开始，希望找人重新修改,https://task.epwk.com/1087624/,7172人,42人,"¥2,200",科学养生，从你契合细胞需求开始，希望找人重新修改,爱网如斯,￥ 2200,￥ 2200,2024.07.26,海报内容：见附件要求1，海报尺寸，1500840要求2，海报会放在下面链接里面，注意是否协调，https://appoupkyyes3856.h5.xiaoeknow.com要求3，采用CorelDRAW设计，提供CDR文件，后期可能会修改文字内容，。要求4，字体选择免费商用字体，交稿时同时提供字体安装文件。要求5，图片素材需要提供相关来源或链接，不能有版权纠纷。要求6，可以使用创客贴的图片素材，https://www.chuangkit.com/，但需要提供网页链接，不是图片链接，（我要确认是那个页面下载的图片）,任务编号：1087624,素凡创新设计,广杨工作室
【服装设计】个性创意图形设计——运动时尚品牌,https://task.epwk.com/1084976/,1877人,19人,"¥1,152",个性创意图形设计——运动时尚品牌,shirley女郎,￥ 1152,￥ 1152,2024.07.02,我们要寻找的是最新潮、时尚、有个性的球拍握把绑带设计，这种绑带可以用于多种球拍。我们的受众人群是相对年轻、对时尚和自我有追求的球拍运动爱好者。请参考我们现有的设计。交稿要求： 每个稿件请提供三款配色，每款设计的图案最好就一到两种颜色，相对简洁，但是有创意有个性，图案是重复、均匀的覆盖整条绑带，绑带尺寸：110027mm，我们需要的源文件稿件是11001100mm的整版设计，设计需要达到裁切不影响单条效果。请注意，不能有渐进色。我们的办公室在厦门，并在香港和美国都有注册公司，主要外销： 欧洲、美国、澳大利亚。希望能通过此项目找到长期合作的超级有才华的设计师。谢谢！期待你的加入！ 需要提供源文件（ai）,任务编号：1084976,MIO视觉艺术,言叶LBA平面设计工作室
