标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求时间,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10
【LOGO设计】注册阅读，连续三天,https://task.epwk.com/861753/,7114人,1人,"¥1,210",o5b4b9c9662e36,￥ 1210,￥3,2020.05.16,1、必须是趣头条新用户，一个一品账号一单 ，恶意提交必举报  2、打开链接去浏览器下载:http://94.fanwangsiwang.cn/hl6h/aHb4.html?pid=YgK01YYU。在任务中心填邀请码:A1032456876   3、连续3天每天阅读3篇新闻   4、交单要求:趣头条个人主页截图，去主页点我的金币把阅读新闻的所有记录截图，注册手机号后4位，附件有两张交单图,任务编号：861753,g1425436609,,,,,,,,,
【插画设计】爱情鸟( 如 喜鹊 或 鸳鸯 )设计,https://task.epwk.com/657691/,4455人,4人,¥640,o5b9210c93fe9b,￥ 640,,2018.09.07,"爱情鸟( 如 喜鹊 或 鸳鸯 ) 5对不同风格, 需要原创手绘, 稿件必需要提供失量原件AI或CDR给买家。",任务编号：657691,,,,,,,,,,
【包装设计】外卖筷子外包装设计,https://task.epwk.com/654358/,3474人,0人,¥500,o5b85fe55569c5,￥ 500,,2018.08.29,符合时尚潮流，符合消费对象的心理，标语新奇，和食  味  有关，如食不可档  求好评求点赞等等,任务编号：654358,,,,,,,,,,
【招牌设计】知聊APP简单下载，一稿3元,https://task.epwk.com/549736/,3826人,2人,¥600,hzhkzkj,￥ 600,￥3,2017.11.02,1、之前做过或者下载过知聊APP请勿做任务，后台看不到数据2、请务必通过以下二维码下载，通过扫描二维码打开显示的页面，点击“立即下载”（一定要用微信扫描，可以先将二维码保存至手机相册，然后打开微信——扫描相册）3、下载并使用第三方登录——微信（一定要用微信登录），登录后即可提交个人中心页截图4、然后将微信个人中心页截图提交，昵称、头像需跟APP中的昵称、头像一致，否则视为非同一人（由于是微信登录，APP会直接获取微信昵称、头像）5、完成以上步骤后就可以提交任务，次日中午12点之前记得要再打开一次APP（后台会有数据）提交内容：两张个人中心页截图,任务编号：549736,wsqah2003,,,,,,,,,
【详情页设计】大众点评网商户评论，5元一稿,https://task.epwk.com/501211/,4260人,2人,¥500,o58bb8af703a26,￥ 500,￥10,2017.05.13,"具体要求：问答平台：大众点评网商户""上海誉胜注册公司""问答内容：五星或四星评论，字数要求30字起，并且附带2张图片，可以大众点评上搜索誉胜注册公司  或在附件里下载账号要求：要求一星以上大众点评账号好评，最好浙江地区！交稿格式：问答链接地址+截图（必须 要三天之内没有被屏蔽删除才算有效稿件）参考评论内容（仅限参考，不要直接复制，需改动）：1.誉胜注册公司办理真的不错，营业执照1个月就结束了，正好参加了他们的财务优惠活动，不错2.真不愧是上海的服务，上海的公司，不错",任务编号：501211,"个人 |            
            YJ工作室","个人 |            
            先承传媒",,,,,,,,
【LOGO设计】公司logo和VI设计,https://task.epwk.com/445232/,4936人,0人,¥500,mf156****7936,￥ 500,,2016.09.09,"北京龙点晶教育科技发展有限公司，LOGO设计及简单应用                                                    经营介绍：从事幼儿教育互联网类的经营（线上幼儿园管理辅助，线上线下教师学习培训，教材教具研发销售，幼儿园连锁加盟服务，幼教软件开发）                                    VI应用内容：设计LOGO、产品图标设计，名片、员工胸牌、                                    设计要求：                                                                            1、大气、简洁、明快;                                                                2、有视觉冲击力，醒目易识别，突出幼教品牌元素;                                                                3、能体现特色，                                            4、附上创意说明。                                                                        知识产权说明：                                                                            1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;                                                                2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品;",任务编号：445232,,,,,,,,,,
【LOGO设计】普通话语音采集,https://task.epwk.com/439974/,6395人,2人,¥990,chenbian,￥ 990,,2016.08.13,普通话语音采集，广东、福建、贵州男女不限。其他省只需要男生。录音为QQ、微信等通话录音采集。只需要录制本人声音，不需要录制对方声音。标准普通话发音录通话时长达到6小时，每段语音在5分钟到30分钟即可，每人最少12段语音。录音人不可以读文章，读剧本，不能唱歌。录音之前请务必听一下录音示例。地址：http://pan.baidu.com/s/1o84ckzw工资为15元一小时，录完6小时质检合格结算工资，一共90元。（质检在3个工作日左右）详谈请加QQ：1161392095如遇平台文件上传有限制，就传到我QQ1161392095或者百度云13026000379稿件要求详见附件,任务编号：439974,,,,,,,,,,
【详情页设计】大众点评网商户评论，3元一稿,https://task.epwk.com/418649/,4383人,3人,¥510,精锐教育,￥ 510,￥6,2016.04.28,具体要求：问答平台：大众点评网商户杭州地区（精锐教育（凤起路学习中心））链接  http://www.dianping.com/shop/5561462687474703a2f2f7777772e6469616e70696e672e636f6d2f73686f702f35353631343632问答内容：五星或四星评论，字数要求30字起，并且附带2张图片，可以网上搜索精锐教育账号要求：要求一星以上大众点评账号好评，浙江地区账号！交稿格式：问答链接地址+截图（必须 要三天之内没有被屏蔽删除才算有效稿件）参考评论内容（仅限参考，不要直接复制，需改动）：1.我们孩子是同学推荐过来的，老师很负责，会经常电话和我们沟通孩子情况，让我们可以了解孩子上课的表现，很用心专业的服务，这样才能真正的帮助到孩子，你们的用心才是我们家长的放心。女儿很喜欢这里的两位老师，特别是科学老师。2.说良心话，补习班呢没少带孩子去，但是凤起东路的精锐教育确实靠谱，孩子短短的半年期间，孩子学习成绩直线上升，老师教学补习很耐心上心。绝对好评3.之前从没有想过辅导机构可以有这样的环境。现在孩子已经入读两个多月了，成绩虽然进步只有不到10分，但是张老师对孩子认真负责的态度，以及学习规划我还是很认可的，而且一个月至少有3次电话交流，平时还会微信沟通，期待期末孩子成绩的提升。一点小小的建议，感觉隔音效果不是太好，不知道会不会相互影响。4.孩子念初中，比较贪玩，后头给他报了这个课外辅导，辅导物理和化学，感觉最近成绩进步比较大，王老师对孩子比较负责，课后习题什么的也挺合理的，孩子压力也不会特别重。,任务编号：418649,mf187****3543,quanshuilingran,,,,,,,,
【详情页设计】大众点评网商户评论，3元一稿,https://task.epwk.com/412314/,4160人,9人,¥510,精锐教育,￥ 510,￥12,2016.03.27,具体要求：问答平台：大众点评网商户杭州地区（精锐教育（凤起路学习中心））链接 http://www.dianping.com/shop/5561462问答内容：五星或四星评论，字数要求30字起，并且附带2张图片，可以网上搜索精锐教育账号要求：要求一星以上大众点评账号好评，最好浙江地区！交稿格式：问答链接地址+截图（必须 要三天之内没有被屏蔽删除才算有效稿件）参考评论内容（仅限参考，不要直接复制，需改动）：1.刚报了科学和数学，是因为孩子跟着同学去精锐参加了一次活动。报了精锐的家长发照片给我，我看孩子在那很开心。就想去了解看看。感觉那边老师挺专业的。绕了校区，拍了教室的照片跟大家分享下。环境还是不错的…孩子刚上两次课，班主任和学科老师都会给我打电话反馈2.孙老师教学亲切，深入浅出，孩子们都很喜欢她的课，愿意与她沟通，现在已经成为好朋友，非常感谢莫老师对孩子的付出。3.之前从没有想过辅导机构可以有这样的环境。现在孩子已经入读两个多月了，成绩虽然进步只有不到10分，但是张老师对孩子认真负责的态度，以及学习规划我还是很认可的，而且一个月至少有3次电话交流，平时还会微信沟通，期待期末孩子成绩的提升。一点小小的建议，感觉隔音效果不是太好，不知道会不会相互影响。,任务编号：412314,"工作室 |            
            百荷工作室","个人 |            
            源清文案",mf139****0308,"个人 |            
            kyo5566",,,,,,
【广告设计】简单微信任务10元一稿，长期能做,https://task.epwk.com/407118/,17164人,54人,"¥1,500",自由的我2012,￥ 1500,￥290,2016.03.01,任务很简单，只要你有微信就可以参与打开你的手机微信添加好友 搜索公众号 SZLM9588  进行添加关注或者打开任务附件用微信扫描二维码添加公众号开始任务关注后在对话框内回复数字  20  获得20元任务教程，按照教程内的方法完成后交稿到这里就可以获得10元稿费了哦完成20任务后 再回复 数字 95  获得95元任务教程，按照教程内的方法完成后交稿到这里就可以再获得10元稿费，以上两个任务都是几分钟就能完成的，简单易懂，赚得多， 交稿要求在任务教程里 按照要求交稿就可以了。公众号会不定期有新的手机赚钱任务，玩手机游戏比赛可以赚钱，手机签到也可以赚钱，更多精彩还在开发中。手机赚钱任务，首选 SZLM9588 任务多多，奖励多多。我们期待您的关注。必须要完成2个任务其中一个才算合格,任务编号：407118,mf183****1121,mf183****1121,jack8408,xz3968766285,Jyobinn,"工作室 |            
            snow设计工作室",飞鱼1111111111,"个人 |            
            小设计大天地",沧海一粟洋洋,mf182****0115
【详情页设计】大众点评网商户评论，3元一稿,https://task.epwk.com/405595/,4314人,14人,¥510,精锐教育,￥ 510,￥21,2016.02.20,具体要求：问答平台：大众点评网商户（精锐教育（凤起路学习中心））链接 687474703a2f2f7777772e6469616e70696e672e636f6d2f73686f702f35353631343632问答内容：五星或四星评论，字数要求30字起（可以写的内容：学校环境不错；老师认真负责；报的一对一课时送了晚托班；晚托班非常好解决了孩子晚上写作业的问题；停车方便，商家有免费停车券提供；学了一两月考试成绩有所提高；孩子喜欢去。），并且附带2张图片，可以网上搜索精锐教育找账号要求：要求一星以上大众点评账号好评，最好浙江地区！交稿格式：问答链接地址+截图（必须 要三天之内没有被屏蔽删除才算有效稿件）参考评论内容：1.试听了一下，觉得挺好的。比较吸引我的是老师很会根据学生情况去调整上课内容和方式。校区的环境也让人很放松，上课的时候不会被其他事情和声音打扰。2.在这里学了快一年了，老师还是非常负责任的，其实孩子的成绩提升是一方面，更重要的是我们家孩子学习态度有了很大的改观。唯一的缺点就是费用有点高。3.效果挺好，老师负责，环境好，反正我儿子应该要学到中考结束的，或者有优惠的话可以把高中课程也买了,任务编号：405595,mf177****2535,mf184****7181,巨蟒少年,o千雾岛o,mf189****6662,mf182****3533,qq448232507,,,
【广告设计】最新试玩游戏30一稿，可长期赚钱,https://task.epwk.com/404311/,8813人,5人,¥510,三只鹅,￥ 510,,2016.02.03,"大家注意做任务的网站中： 理财赚钱，试玩平台这两个个项目很赚钱，快的话，几分钟就能完成了（注意手机类的不算），首次赏金30加上网站30，共60元。请收藏该网站长期做每天80-300不等任务步骤和要求：                                     1.  注册地址 http://activity.juxiangyou.com/redpacket/index.php?r=7914874   （复制浏览器打开此链接，注意验证码是语音）  （若注册不上用备用注册链接：http://www.juxiangou.com/r7914874  ）                                                                  2.  新手教程： http://pro00029372.isitestar.cn    （复制打开）                                 3.  注册就送10000U币，试玩游戏，理财赚钱账户达到30万U币就算完成任务（注意：手机赚钱的不算）    然后截图（看下方示范，就是截图网站首页的大头像，余额显示为30万U币以上,不可以重复提交合格稿件)注意：首次只规定10万事为了让大家快速完成任务，做我的任务比其他人的任务快，另外不光是首次20元，后面只要你长期做，我还会给梯度奖励无上限，教程里面有。请务必收藏下来做。",任务编号：404311,,,,,,,,,,
【广告设计】网站体验注册任务，多劳多得,https://task.epwk.com/379886/,16005人,17人,¥500,三只鹅,￥ 500,￥20,2015.09.16,试玩游戏排名月榜第一名奖励3000元，排前3名，奖励1000元。本任务绝对算得上本网站 前10大任务，系望你不限于首次完成任务奖励的20几元，而是长期做，本帖会长期置顶。 首次完成任务可得（注册2元 任务12元 赏金10元=24元 ）。长期做，基本每天80-200元。值得你收藏为长期任务！ 教程：http://user.qzone.qq.com/2757759407/blog/1438046471（复制到浏览器打开，必看，教你如何快速赚钱）· 注册流程： 1.打开官网 http://www.juxiangyou.com/r7914874  注册聚享游（注册送1万U币，最好QQ邮箱，不是本链接注册不给赏金） · 2.手机验证：流程：注册好后点网站首页-点自己头像-点右边安全验证服务-手机验证（记住必须选语音验证码）3.去试玩平台 找热门游戏试玩（比如传奇霸业）赚取U币，余额达到10万U币，截图（如下图附件），加我赏金10，20几元到手。平台赚钱项目很多，不会玩游戏的也可以做其他项目同样给奖励！具体看教程· 此网站可以长期做，长期做的加我q2757759407，群480175100,任务编号：379886,"工作室 |            
            javaee软件开发",mf186****9667,,,,,,,,
【LOGO设计】渔线盘标贴设计,https://task.epwk.com/315829/,5201人,5人,¥500,mf186****5155,￥ 500,,2014.11.12,"仅设计圆形标贴图案部分（如例图上去掉断刀字样）,但需留出例图上填字空间以供后续编辑使用。同一稿件，要求图案相同，采用2组配色方案例图上的外圈（金色）需要在所有图标上保留（可以采用不同颜色）填字空间尽量竖排，例图的比例比较合适可以参考，放在图案左右均可",任务编号：315829,,,,,,,,,,
【排版设计】找人打字，每一千字两元,https://task.epwk.com/299038/,13852人,13人,¥100,wangbowel,￥ 100,,2014.08.06,一、文件的原格式为jpg图像，图像可以用ACDSee5.0打开，打开图像后需要放大才可以看到完整的内容。 要求： 1、对这个内容重新打字排版，文档格式和现在的一样就可以。 2、希望3天内能完成，当然越快完成越好。 3、有问题可以联系我25418446534.文件有很多  可以重复接案,任务编号：299038,,,,,,,,,,
【宣传册设计】AI表格源文件素材进行更换，2元一稿,https://task.epwk.com/257718/,5597人,0人,¥250,admin999,￥ 250,,2014.04.20,"AI表格源文件素材进行更换（单件结算）简单任务，没有难度，要细心和时间（急）1.已有一个AI源文件和图片素材，需要根据表格，替换内容,2.已上传2个例子，2个图片分别是已完成的，表格就是要做的内容，平均替换一个15分钟左右，完整内容有120个，需要细心和时间，联系QQ198769295，索取素材3.一个表格算一个稿件，一稿2元4.以截图方式交稿，一人可以多交稿件 因系统设置至21号..正确截止日期为20号，过了12点不再审稿，",任务编号：257718,,,,,,,,,,
