标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【大模型应用】AI大模型的软件开发,https://task.epwk.com/1119719/,123人,1人,¥50000,圆满完成,大模型应用,k2797****1,"称呼:刘先生
地区:北京
需求:有做过或者现在的AI捜索  AI场景  或者AI大模型、职场社交等方面的案例，有案例的话，提供一下模版产品需求文档，或者产品模型，前端页面或者后台管理系统的，最好是北京的技术公司联系，杭州、深圳、或者其他城市的AI大模型团队有经验做的好都可以，具体详谈",2025-03-14,2025.03.30,任务编号：1119719,50000.0,10天,辽宁-沈阳市-市辖区,故事老酒,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI服务咨询】电商运营AI服务,https://task.epwk.com/1119718/,51人,1人,¥5000,圆满完成,AI服务咨询,k9765****7,想找电商AI服务咨询，能分析店铺数据，像流量、转化率等，找出问题并给优化方案。能提供选品建议，制定营销推广策略。,2025-03-01,2025.03.16,任务编号：1119718,5000.0,5天,湖南-岳阳市-市辖区,caijunxiong,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【私有化部署】企业智能办公大模型私有化部署,https://task.epwk.com/1119714/,26人,1人,¥3000,圆满完成,私有化部署,k7161****6,"1、需将智能办公大模型私有化部署，助力企业办公效率提升。
2、实现智能文档处理、会议纪要生成、邮件智能回复等功能。
3、能与企业现有办公系统集成，数据本地存储，保障安全，对模型定期更新优化，适配企业业务发展。",2025-02-11,2025.03.01,任务编号：1119714,3000.0,7天,山东-临淄市-市辖区,兮风夜影,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据处理】ai智能客服,https://task.epwk.com/1107749/,244人,1人,¥5000,圆满完成,数据处理,mf186****0643,工作内容：		一、知识库问答功能		1）建立知识库指导我司人员进行维护和更新		2）初步完成知识库问答的校准调优工作，并且传授我司人员后续如何操作		3）封装可被方便调用的对外调用的接口		二、ai与系统内数据库表结合完成		1）具备数据库表内字段和信息的简单查询和统计能力		2）具备能够调用外部接口的能力	工作要求：		交付的文档清晰准确，代码不侵权。培训我司人员能够对智能客服进行运维及升级。及时协助解决我司人员对接过程中遇到的问题。,2025-02-10,2025.02.20,任务编号：1107749,5000.0,5天,山东省-淄博市,果田科技 100%好评服务商,https://shop.epwk.com/j7n38x8pe5e1/,果田科技 100%好评服务商,出售服务,https://shop.epwk.com/j7n38x8pe5e1/chushou/,企业,一品,82分,总 67 次中标，交易总金额,￥37.77万,果田科技 100%好评服务商,,各平台APP开发,价格面议,各平台小程序开发,价格面议,,,,,,,,,,,,,,
【AI接口】公文分析（二期款）,https://task.epwk.com/1105171/,2043人,1人,¥48000,圆满完成,AI接口,威高qzkLo,1、大语言模型部署按照信创标准国产化离线版部署使用需要交付源码和技术支持2、通过大语言模型对甲方要求的文件能够进行提取分析word 文件、pdf文件、excel文件和TXT文件等常用的办公文档文件格式，并根据用户需求运用大语言模型及神经网络等技术进行训练，优化识别结果3、支持大文件（文件长度为100页以上）文字内容进行分析,2025-01-20,2025.03.06,任务编号：1105171,48000.0,15天,北京市-北京市,老郭的AI程序铺,https://shop.epwk.com/78dlj0elx5lx/,老郭的AI程序铺,出售服务,https://shop.epwk.com/78dlj0elx5lx/chushou/,个人,一品,62分,总 3 次中标，交易总金额,￥21.2万,老郭的AI程序铺,,,,,,,,,,,,,,,,,,,
【智能体搭建】AI智能体+图片识别开发,https://task.epwk.com/1119713/,58人,1人,¥3000,圆满完成,智能体搭建,k4873****3,"答题软件为手机APP,可以链接pc电脑投屏进行抢题-答题
要求:
1.会简单利用智能体,如coze等,回答的问题300-400字左右,星盘方面的知识,通俗易懂即可。
2.自动化抢题答题脚本,pc端,手机端都可以,手机可root。",2025-01-13,2025.02.03,任务编号：1119713,3000.0,7天,陕西-宝鸡市-市辖区,夢里飄雪,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AIGC技术】音频合成软件,https://task.epwk.com/1116483/,265人,1人,¥15000,圆满完成,AIGC技术,k4743****0,合成逼真、自然的语音音频，支持多种音色、语调、语速设置。可根据文本内容准确表达情感，适用于有声读物、智能客服、语音助手等场景，为用户提供优质的听觉体验。,2025-01-11,2025.01.20,任务编号：1116483,15000.0,8天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【智能客服】AI智能客服开发,https://task.epwk.com/1119711/,7人,1人,¥10000,圆满完成,智能客服,k2246****0,"称呼:詹先生
地区:福建省,泉州市
需求:电器类的，原本有上线小程序，开发语言是python；需要擅长有AI的技术对接
完成时间:看沟通情况
预算:具体详聊
备注：手机微信同号",2025-01-11,2025.02.07,任务编号：1119711,10000.0,7天,广西-南宁市-市辖区,颠覆風雲,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【AI设计】Logo设计AI助手开发,https://task.epwk.com/1119710/,67人,1人,¥8000,圆满完成,AI设计,k1282****3,"1、能依用户输入的行业、风格、色彩偏好等生成多样logo方案
2、具备图形编辑功能，可微调logo细节
3、输出高分辨率logo图，支持常见格式，提供创意阐释，交互界面友好",2025-01-10,2025.01.25,任务编号：1119710,8000.0,7天,吉林-长春市-市辖区,凉辰梦瑾,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【语音识别】对常见性方言可以进行识别,https://task.epwk.com/1116491/,904人,1人,¥13000,圆满完成,语音识别,k6697****1,专注于多种方言的语音识别，如粤语、四川话、闽南语等。能够精准识别不同地区方言的独特发音、词汇和语法，适应复杂多变的方言环境，助力方言文化传承、地方特色语音服务等场景应用。,2025-01-09,2025.01.21,任务编号：1116491,13000.0,10天,江西-南昌市-市辖区,浪漫使者,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
