标题,标题链接,查看数,参与数,需求价格,需求者,交易价格,交易价格备选,发布时间,需求文本,任务编号,设计师1,设计师2,设计师3,设计师4,设计师5,设计师6,设计师7,设计师8,设计师9,设计师10,交易价格统一,任务类型
【生日祝福】生日祝福手卡照片征集,https://task.epwk.com/979304/,4402,51,¥500,威你所思REsLx,￥ 500,￥500,2022/1/14,2月1日是我偶像，前阿根廷国家足球队9号巴蒂斯图塔的生日，作为粉丝，我想征集一些生日祝福的照片寄给巴蒂。要求：1、可以不露脸拍摄照片，写上我来自XXX地区的，整个画面中须展示：手持人、纸板与完整内容、如果您不吝啬您的肖像权，就大胆展示出来，谢谢朋友们了。2、内容必须要求有明显Happy birthday！Gabriel Batistuta的话语标识，最好是英文，可以写上手卡。拍摄像素要高！3、其他的话语可以随意写，自由发挥即可！4、交稿要求：拍完可上传到一品威客任务页面上。一个一品威客账号仅限参加一次。,任务编号：979304,甜不止吃,"个人 |            
            暖心小屋",X20022022,橙子1215,o61de134165bb1,ttt772311,i_shine,华创QQ6dm,张赞yyds,林优秀02,500,生日祝福
【纪念日祝福】结婚16周年祝福,https://task.epwk.com/975002/,1835,0,¥666,益企创梦73GJ0,￥ 666,,2021/12/17,大家好，我在山东济南，明天（12月18日）是我和爱人结婚16周年纪念日，也是我们的二宝，宝贝女儿一百天的日子，想给她个惊喜，也给孩子求祝福！形式：视频内容：“我在城市，祝朱老师刘老师......（祝福的话，怎样说都可以）”。因为我俩是一起做儿童教育，是老师，大家称呼我们朱老师、刘老师就可以，女儿小名叫百合。如在室外，以当地地标性场景为背景最好！求99份。每人限一份祝福。时间截至2021年12月18日22:00第一次来这里，不熟悉规则，如果这里直接提交也可，或者发邮件：xiashanedu@163.com   若方便请留下您的联系电话或微信。我的微信：xiashanedu,任务编号：975002,,,,,,,,,,,666,纪念日祝福
【道歉短信】挽留短信,https://task.epwk.com/928274/,5947,42,¥500,o5c8d28f14e13a,￥ 500,￥149.85,2021/4/7,短信内容：童宝宝，老朱真心很爱你。希望能和老朱在一起。死生契阔，与子成悦。执子之手，与子偕老。 1、时间：从2021年4月7日 20：00。 2、一个一品号码只限一次，祝福语可不要一样哦 不要回复TA的短信。过期了就不要发了。谢谢朋友们   3、若对方回短信询问时无需回复 不要透漏一品威客发任务的信息，谢谢！  4、审核标准：截图为证，带有内容日期时间（或定时发送成功）且带号码的截图（可以隐藏手机中间四位）。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福  下载附件，看内容,任务编号：928274,"工作室 |            
            藏鱼创意工作室","工作室 |            
            小小龙儿","个人 |            
            同科财税","个人 |            
            slosao",yuesine,"个人 |            
            同科财税",小小天天,"个人 |            
            推广专用",乔伊伊,四川曾先生,500,道歉短信
【节假日祝福】春节祝福邮件发送,https://task.epwk.com/918918/,2497,48,¥500,微笑灬永恒,￥ 500,￥500,2021/2/5,希望TA能收到来自天涯海角的春节祝福，信息开头须表明您是来自哪个省份的谁(可用您的小名代替。例如，丽丽，小华等)。1.邮件内容开头为：我是来自XX省的XXX，特地从XX(省份)给雅茹小jiejie(系统检测为敏感词汇，只能用拼音来表示，发送的时候请用汉字)带来春节的祝福。剩余内容自由发挥，突出关心/祝福等创意都可以，不低于45字。(自由发挥的字数，开头不计入字数)2.只能用QQ邮箱定时发送，定时发送的时间为：2021年2月12日（大年初一），早上8点到中午12点。时间很重要，一定要在那天，不能晚也不能早呀，谢谢朋友们啦，提前祝大家新年快乐！(TA的QQ邮箱为:2278224650@qq.com)3.主题为：来自XX(省份)的春节祝福。若有回复，请不用回复！4.可参加多次，但必须是不同的QQ号码不同的称呼。5.截稿时间为2021年2月12日晚上十二点。6.审核标准：截图为证(两张)， 一张带有内容和一张定时发送成功的截图。感谢大家的支持！7.有问题询问请添加我的QQ（2744671934）或微信（yry13135875130）。发送完成后，请提交定时发送的截图和内容截图审核，一条5元。备注：一个一品威客账号最多只能参加3次。,任务编号：918918,wyfxa,o601ce7fb726aa,系菠萝派,"个人 |            
            安利工作室","个人 |            
            叮叮建筑地摊店铺","个人 |            
            叮叮建筑地摊店铺","个人 |            
            叮叮建筑地摊店铺",feng0aee0,wyfxa,o5c35d8a11df0b,500,节假日祝福
【生日祝福】生日祝福短信发送,https://task.epwk.com/906205/,4234,78,¥500,o5fb4ab1d9c81e,￥ 500,￥270.9,2020/11/23,希望TA能收到来自天涯海角的祝福短信内容大概是：可爱漂亮的赵，来自XX省XX市的XX为你送上生日祝福：祝你17岁生日快乐 永远开心漂亮 任意祝福都可 有新意的 1、时间：从2020年11月30日 00：00-11月30日16：00之间。（11月30日16：00分后发送视为无效） 2、一个号码只限一次，祝福语可不要一样哦 不要回复TA的短信。过期了就不要发了。谢谢朋友们   3、若对方回短信询问时无需回复 不要透漏一品威客发任务的信息，谢谢！  4、审核标准：截图为证，带有内容日期时间（或定时发送成功）且带号码的截图（可以隐藏手机中间四位）。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福   5、手机号码看附件字数要30字以上 字数30字以下视为不合格。,任务编号：906205,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","个人 |            
            denglong","个人 |            
            一颗冰心",o5b6c04b568c58,wyfxa,"工作室 |            
            luo0710","个人 |            
            slosao",亲亲宝贝儿,yuesine,500,生日祝福
【软文发布】乐器品牌的平台软文推广,https://task.epwk.com/902189/,1733,38,¥500,尚未乐器,￥ 500,￥495,2020/11/2,我司为吉他品牌：艾木，推广型号：SD20推广建议平台：贴吧（吉他吧、民谣吉他吧），微博（最好带话题，吉他话题），小红书、抖音、知乎操作方式：去上述任一平台发贴即可，随意宣传艾木SD20即可，有配图，在附件，例：1、想学吉他，有没有知道这是把什么2、朋友推荐的吉他，很好看3、艾木SD20，有没有渠道可以拿到价格的4、很好看的一把吉他5、想学吉他了6、有没有一起玩吉他的等等之类，如果配图，标题内容随意，如果不配图，一定要说明型号投稿要求：截图上传即可，满足要求的门槛很低后续还有两个品牌，每天都做推广，欢迎长期合作。,任务编号：902189,o5fa05bc433705,o5fa0b0349f601,贺15919770131,"工作室 |            
            小小龙儿","个人 |            
            慕容苓泽","工作室 |            
            小小龙儿","个人 |            
            慕容苓泽",wyfxa,feng0aee0,阿碧姑娘,500,软文发布
【生日祝福】20元一稿，征集20秒左右的生日祝福视频给喜欢的女生,https://task.epwk.com/893959/,2932,0,¥500,Wz_爱安妮,￥ 500,,2020/9/21,喜欢她大概有一年时间了，从素不相识一直到现在的朋友关系，挺不容易的，她是一个很善良很简单同时也很宅的小女生，很难邀她出去玩，吃过两次饭，看过一场电影，送过两次花，她知道我喜欢她，她坦白过对我差了点心动的感觉，说做朋友挺好的，可是我不想只做朋友，如果没遇见那是天意，遇见了那这辈子就是她了，就算只有十分之一的机会，我也不愿错过而后悔。11月20号是她的生日，我想趁着这次机会策划一次表白，想到了去街上录陌生人祝福剪辑成一个vlog视频，由于个人原因无法在街上收集到足够的素材，所以就来麻烦各位啦，不限出镜人数、年龄、职业、地域和方言，也不需要用纸张写，就简单面对镜头说一段话就OK。稿件要求：1、露脸，这一点很重要！光是文字或者声音的话稍显苍白，我觉得看得到人更加真诚。                                                       2、她的名字叫吴安妮，必须出现的字眼有“吴安妮，生日快乐，答应他吧，祝你们幸福”。我写一个范本，不知道怎么说的可以照着念：“吴安妮，我是某某城市的某某，祝你生日快乐，他真的很用心在喜欢你，答应他吧，祝你们幸福。”                     3、出镜人不限，不过同一个人拍摄两个视频的话，只算一份赏金哦谢谢理解。大概需要25个素材视频，大家可以将稿件压缩到2M以下直接提交，若有问题的话联系我QQ（1165842807）微信（15058349900）邮箱（1165842807@qq.com），我及时来处理，同一个工作室或者公司的小伙伴可以互相推荐给身边的同事或者家里的老人、小孩，都可以拍，一个稿件赏金20元，金额不多，请你们喝杯奶茶作为感谢，有效日期到素材收集足够为止，麻烦各位啦。,任务编号：893959,,,,,,,,,,,500,生日祝福
【道歉短信】挽回我爱的人，帮忙发送短信,https://task.epwk.com/893807/,3785,53,¥500,o5f5f930b0d1fe,￥ 500,￥222.2,2020/9/20,1、挽回前任、分手没几天！一条5元。每人限发1条（接收手机在附件。 时间：2020年9月20日23点）2、我叫金剑。我跟她在一起四年，前几天分手，原因是我之前不懂的照顾她的感受、对她关心不够。同时也犯了很多低级错误，老是惹她伤心。四年来的相处也有很多的美好。短信内容就大概让她回忆一下我们美好的四年、有可能的话给我一个机会。我已经知道自己的问题所在，并保证绝对改正。如果能重新在一起。一定会比以前做的好太多、她所有的要求我都可以答应。也不会再让爱情不新鲜、把每一天都当成第一天来过。同时最后表达一下希望能认真考虑考虑。给四年的感情再给一次机会。3、格式：宇宙超级无敌聪明美少女朱真真你好。我是来自xx省xx市的xxx，我代表xx省希望你在新工作中....（工作祝福），然后就是根据第二条要求自己发挥。4、为保证有更多不同城市的祝福，每人限发1条，谢谢大家。5、如用类似139邮箱设置定时发送，谢谢 6、为方便确认，最好截屏图为交稿 审核7、若收到回复信息询问情况时不要回复。最后，灰常灰常感谢帮忙发送了短信的各地朋友，热心人一生平安。,任务编号：893807,"工作室 |            
            luo0710",四川曾先生,"个人 |            
            slosao",wyfxa,乔伊伊,yuesine,安美人,feng0aee0,zzw373995774,snow929,500,道歉短信
【百科/问答撰写】百度知道问答  填写  答案,https://task.epwk.com/890971/,3461,65,¥500,o5f4e27592bebc,￥ 500,￥10,2020/9/8,1、自行去百度知道页面搜索问题，包括但不限于”越南语、越南、翻译、翻译软件“等关键词2、要求：涉及到”越南语的翻译“；你是越南旅游翻译也行，越南工作翻译也行，搜索的问题随你组合3、当搜索完问题后，出现了展示页面，选取第一页所展示的问题进行相关补充回答4、回答的内容可以自由发挥，逻辑正常，内容合规就行，如“我在越南用过XX软件很好，翻译比较准，还带人工翻译”5、软件名字：译兔；链接：http://works.chengyouhd.com/zh-CN/Home/index；二维码图片6、要求，回答内容涵盖软件名字：译兔；二维码、链接选取一个就可以，7、酬劳：成功提交一个答案，含有“软件名、链接或者二维码”并且展示出来视为合格提交；一个5元8、提交完后，请附带链接，查阅后付款,任务编号：890971,o5f5b97e0ee270,LING0924,,,,,,,,,500,百科/问答撰写
【生日祝福】发生日短信3.01一稿，各位给力 只限2020.8.28,https://task.epwk.com/888570/,2331,26,¥500,杨小包,￥ 500,￥36.12,2020/8/28,"今天是8月28日，希望TA能收到来自天涯海角的祝福。 短信内容大概是：可爱美丽的张MM，我是来自XX省XX市的XX，代表杨先生送上生日祝福：祝你24岁生日快乐，天天开心！余生有你，小包你有。（然后加上任意祝福语，最好是温馨有新意的哦）。 1、时间：从2020年8月28日 00：00-23：59 （8月28日23：59分后发送视为无效）2、一个号码只限一次，祝福语可不要一样哦。若TA有回复，请不要回复TA的短信。过期了就不要发了。谢谢朋友们了。 3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！ 4、审核标准：截图为证，带有内容日期时间（或定时发送成功）且带号码的截图（可以隐藏手机中间四位）。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福5、手机号码请看附件，谢谢。,今天是8月28日，希望TA能收到来自天涯海角的祝福。 短信内容大概是：可爱美丽的张MM，我是来自XX省XX市的XX，代表杨先生送上生日祝福：祝你24岁生日快乐，天天开心！余生有你，小包你有。（然后加上任意祝福语，最好是温馨有新意的哦）。 1、时间：从2020年8月28日 00：00-23：59 （8月28日23：59分后发送视为无效）2、一个号码只限一次，祝福语可不要一样哦。若TA有回复，请不要回复TA的短信。过期了就不要发了。谢谢朋友们了。 3、若对方回短信询问时无需回复，请大家保密，不要透漏一品威客发任务的信息，谢谢！ 4、审核标准：截图为证，带有内容日期时间（或定时发送成功）且带号码的截图（可以隐藏手机中间四位）。感谢大家的支持！谢谢大家了！同时也祝为我投稿的人爱情美满，全家幸福5、手机号码请看附件，谢谢。",任务编号：888570,黄跳跳,cleverboy,"个人 |            
            denglong","工作室 |            
            小小龙儿",四川曾先生,苄苄626,"个人 |            
            慕容苓泽",冷暖自知柒,静默笑看世间沉浮,grassroot,500,生日祝福
