标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14,任务类型
【宣传策划】宣传视频制作,https://task.epwk.com/1116281/,20人,1人,¥500,圆满完成,o5b8023b3eebcd,宣传视频制作 具体按照谈好制作,2025-03-23,2025.04.10,任务编号：1116281,500.0,5天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【宣传策划】编写企业简介文案,https://task.epwk.com/1114885/,745人,1人,¥500,圆满完成,赛威8dgq9,建筑企业资质文案，不能太过于做作，要有针对性符合公司实情和建筑行业要求文字1000-1500字左右能够体现“四川+北京”双总部运行模式知识产权说明：所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任,2025-03-14,2025.04.22,任务编号：1114885,500.0,7天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",宣传策划
【产品卖点】精装笔记本文案撰写,https://task.epwk.com/1091911/,756人,2人,¥100,圆满完成,优社OJXYk,精装笔记本文案撰写，具体细节详谈,2024-09-14,2024.09.20,任务编号：1091911,100.0,"10天,7天","湖北省-武汉市,山东省-青岛市",华创iTiFJ,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品卖点
【产品卖点】关于十二个主角的儿童故事文案确定合作者,https://task.epwk.com/1087086/,456人,1人,¥1000,圆满完成,vitorru,需求:写关于十二个主角的儿童故事文案，后续需要拓展成绘本的小故事，内容以轻松，成长，正能量，积极，欢乐为主。,2024-07-22,2024.09.18,任务编号：1087086,1000.0,3天,广东省-深圳市,丽卿云商,https://shop.epwk.com/4rn8q7373ngm/,丽卿云商,出售服务,https://shop.epwk.com/4rn8q7373ngm/chushou/,个人,八品,40分,,,丽卿云商,,宣传品设计各类,"￥199
            /起",视觉传达设计,"￥299
            /起",平面设计创意,"￥299
            /起",商业计划书诚信,"￥299
            /起",品牌策划资深,"￥199
            /起",文案策划专业创作,"￥99
            /起",,,,,,,,,产品卖点
【其他内容创作】淘宝开放平台奇门资质接入文档-2,https://task.epwk.com/1084157/,229人,1人,¥1000,圆满完成,多面人生,淘宝开放平台奇门资质接入流程，具体详谈,2024-06-24,2024.07.15,任务编号：1084157,1000.0,3天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",会议展览策划周年庆典年会开业产品推介会发布会促销活动物料设计,"￥1200
            /起",其他内容创作
【活动文案】仿真系统内的游戏体验活动文案,https://task.epwk.com/1115846/,18人,1人,¥800,圆满完成,k6244****9,仿真系统内的游戏体验有三个脚本，每个脚本10分钟的体验时间，体验的内容跟航海有关，要求对游戏熟知，最好是北京团队，有写过类似的活动策划文案，有一定的文字功底,2024-06-08,2024.06.30,任务编号：1115846,800.0,3天,福建-福州市-市辖区,木雪涯设计工作室,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动文案
【客户案例】景区共享雨伞小程序案例,https://task.epwk.com/1115840/,3人,1人,¥500,圆满完成,k8545****5,案例要有小程序各个页面的图片以及小程序使用的具体说明,2024-05-08,2024.05.30,任务编号：1115840,500.0,2天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,客户案例
【公关稿】枸杞精华特殊膳食公关稿,https://task.epwk.com/1098949/,46人,1人,¥800,圆满完成,k7895****1,"语言风格应科学严谨又通俗易懂，类似专业营养师分享养生秘诀，运用实例、数据解读产品
突出枸杞药用价值及特殊膳食规范；有公关稿撰写经验的优先",2024-04-24,2024.05.13,任务编号：1098949,800.0,5天,浙江-温州市-市辖区,一濒箫声,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,公关稿
【广告口号】方便火锅广告语,https://task.epwk.com/1115847/,202人,1人,¥500,圆满完成,k1837****3,可以加一些网络热梗，广告语要突出无需火电，随时随地，还有口味的多元且正宗，最好是关联到日常情境，勾起人的消费欲,2024-04-23,2024.05.15,任务编号：1115847,500.0,5天,浙江-温州市-市辖区,一濒箫声,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广告口号
【行业分析报告】奶茶行业分析报告,https://task.epwk.com/1098936/,136人,1人,¥1000,圆满完成,k6753****7,需要对奶茶店原料供应、制作工艺、门店运营、营销玩法有一定的了解，有丰富调研与报告撰写经验，洞察消费潮流、竞争格局，剖析成本利润、扩张难点，能够为从业者、投资者剖析市场，把握趋势、制定决策提供支撑,2024-04-02,2024.04.20,任务编号：1098936,1000.0,10天,云南-昆明市-市辖区,十分逆天,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,行业分析报告
