标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【招商加盟】测试任务，请勿参与,https://task.epwk.com/1104087/,37人,1人,1000元以内,圆满完成,招商加盟,lgh813,"“客家人”厦门经营特色小吃的餐厅，LOGO设计及简单应用 经营介绍：“客家人”是一家以经营特色小吃为主的快餐餐厅特色餐品“客家人”是用独特的传统工艺制作而成，口感独特，明显区别其它面种，传承百年，获奖无数。VI应用内容：设计LOGO、店面招牌设计(竖排，横排)、菜牌、名片、餐巾纸、筷子纸筒、牙签包装、员工胸牌、服装设计。设计要求： 1、大气、简洁、明快;2、有视觉冲击力，醒目易识别，突出餐饮品牌元素;3、能体现特色，LOGO已有，但如限制了设计师的创意，可重新设计。4、附上创意说明。知识产权说明： 1、所设计的作品为原创，为第一次发布，未侵犯他人的著作权，如有侵犯他人著作权，由设计者承担所有法律责任;2、中标的设计作品，我方支付设计制作费，即拥有该作品的知识产权，包括著作权,使用权和发布权等,有权对设计作品进行修改,组合和应用;设计者不得再向其他任何地方使用该设计作品。",2025-01-13,2025.01.13,任务编号：1104087,100.0,20天,福建省-厦门市,华丽艺术,https://shop.epwk.com/zqdpllqj9n1v/,华丽艺术,出售服务,https://shop.epwk.com/zqdpllqj9n1v/chushou/,工作室,六品,68分,总 39 次中标，交易总金额,￥6783.18,华丽艺术,,,,,,,,,,,,,,,,,,,
【招商加盟】测试任务，请勿操作,https://task.epwk.com/1101343/,19人,1人,1000元以内,圆满完成,招商加盟,lgh813,测试任务，请勿操作,2024-12-26,2024.12.26,任务编号：1101343,100.0,5天,福建省-厦门市,华丽艺术,https://shop.epwk.com/zqdpllqj9n1v/,华丽艺术,出售服务,https://shop.epwk.com/zqdpllqj9n1v/chushou/,工作室,六品,68分,总 39 次中标，交易总金额,￥6783.18,华丽艺术,,,,,,,,,,,,,,,,,,,
【英语】中文资料翻译成英文内容,https://task.epwk.com/930551/,2639人,2人,3000-5000元,圆满完成,英语,epqihua,需要将中文资料内容，翻译英文内容，具体咨询详聊。,2021-04-20,2021.05.07,任务编号：930551,3000.0,"7天,6天","陕西省-西安市,湖北省-武汉市",陕西臻创意设计有限公司,https://shop.epwk.com/qgdmj271gdke/,陕西臻创意设计有限公司,出售服务,https://shop.epwk.com/qgdmj271gdke/chushou/,企业,六品,40分,,,陕西臻创意设计有限公司,,展览设计,"￥100000
            /次",日语翻译,价格面议,高端书籍设计,"￥100
            /页",画册设计,"￥100
            /页",英文翻译,价格面议,LOGO设计,"￥3000
            /件",,,,,,
【日语】绘本日文翻译成中文,https://task.epwk.com/820578/,3492人,1人,1000元以内,圆满完成,日语,o5dcaf318c377a,小孩绘本，日文翻译成中文，要求能让孩子喜欢,2019-12-11,2019.12.13,任务编号：820578,120.0,5天,北京市-北京市-朝阳区,盛世服务网络科技,https://shop.epwk.com/81n419weenp6/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【代办/跑腿】求助在美留学生拍几张工厂的产品在沃尔玛上架照片,https://task.epwk.com/818452/,2413人,1人,1000-3000元,圆满完成,代办/跑腿,xyp1230,因工厂推广需求，需要求助在美留学生帮忙去美国任意一个沃尔玛超市，拍几张关于我们工厂今年生产的围巾帽子产品在货架上的照片。报酬商议。,2019-12-04,2019.12.07,任务编号：818452,1600.0,10天,北京市-北京市-海淀区,初八信珩【专注VR/AR定制研发】,https://shop.epwk.com/z2nkz994xnqy/,初八信珩【专注VR/AR定制研发】,出售服务,https://shop.epwk.com/z2nkz994xnqy/chushou/,企业,一品,170分,,,初八信珩【专注VR/AR定制研发】,,微信小程序开发【模版/定制】,"￥100
            /起",微信公众号开发【模版/定制】,"￥100
            /起",网站开发【模版/定制】,"￥100
            /起",VR项目【模版/定制】,"￥100
            /起",AR项目【模版/定制】,"￥100
            /起",OA管理系统【模版/定制】,"￥100
            /起",CRM管理系统【模版/定制】,"￥100
            /起",定制/成品 专用【模版/定制】,"￥100
            /起",,
【英语】英文邮件翻译,https://task.epwk.com/814552/,2918人,3人,1000元以内,圆满完成,英语,o5dd36cb4dba50,邮件翻译，目前是1封，有兴趣的邮件联系。,2019-11-21,2019.11.25,任务编号：814552,100.0,"1天,7天,1天","北京市-北京市-海淀区,广西-南宁市-青秀区,广东省-东莞市-东莞市市辖区",智造之间,https://shop.epwk.com/z2nkz919pnqy/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】杏树灌溉外文翻译,https://task.epwk.com/799698/,1296人,1人,1000元以内,圆满完成,英语,o5d9048c1980b4,接单后发邮件上传原文,2019-10-04,2019.10.07,任务编号：799698,100.0,1天,辽宁省-大连市-庄河市,强哥全能,https://shop.epwk.com/qgdmj4pyqdke/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【英语】化工英语翻译,https://task.epwk.com/789380/,1412人,1人,1000元以内,圆满完成,英语,o5d6a7d6bf1097,翻译资料并且现场翻译。工作地点北京,2019-08-31,2019.09.01,任务编号：789380,110.0,2天,北京市-北京市-东城区,译出未来,https://shop.epwk.com/78n96y4yonkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【网络接单】软件验证码获取操作,https://task.epwk.com/764572/,9781人,56人,1000元以内,圆满完成,网络接单,ml133****6483,"大学在校生，我方提供相关的软件，系统自动跳出验证码后输入后摁回车即可，时间为每月倒数第二个周六上午10点半到11点半我方另行通知（以国拍行公告为准），每场投标拍卖会持续时间为60分，在家中使用电脑软件操作即可，请把最后5分钟的录像录下来上传给我就算交作业，每次大概输入5个验证码。         拍手要求：有责任心，接标后不放鸽子，有问题及时反馈。电脑软硬件达标，即 使用windows操作系统的内核是IE6及以上的浏览器。如使用MacX操作系统的Safari浏览器，必须安装可运行的版本为11及以上的flash播放器。登录网站获得测试页面截图,没有截图的不给回复。（注意不要使用360浏览器登录这个页面，其内核非ie浏览器）测试者请登录http://test.alltobid.com/酬劳：没拍中只要交了作业就给80元人民币，如果拍中给400元人民币。         竞标者请发给我图片，不发测试图不回复",2019-06-26,2019.08.10,任务编号：764572,100.0,"365天,100天,100天,2天,60天,100天,100天,100天,100天,1000天,10天,365天","上海市-市辖区-浦东新区,陕西省-延安市-宜川县,江苏省-南京市-雨花台区,山东省-德州市-齐河县,北京市-北京市-东城区,广西-桂林市-市辖区,贵州省-贵阳市-小河区,浙江省-衢州市-柯城区,宁夏回族自治区-银川市-兴庆区,广东省-茂名市-茂南区,陕西省-延安市-宝塔区,江苏省-徐州市-泉山区",zyj1106zyj,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【数据录入】长期淘宝数据录入,https://task.epwk.com/693433/,18222人,74人,1000元以内,圆满完成,数据录入,o5c077c8909a35,"工作内容:上传淘宝新的宝贝工作报酬:20块钱/日,600元/月,(酬劳不高,但胜在稳定,真实,长期)工作时间:熟练约需要不到1个小时,不熟练1.5小时-2小时工作难度:非常简单,仅美图秀秀P图(就算没使用过,5分钟也就学会了)需求人数:3人(女生为佳,耐心细致,稳定,可以做枯燥重复的工作)工作方式:1.会给你我们淘宝店铺的淘宝子账号,只拥有上新宝贝的权限.2.每日会给你5个淘宝宝贝的内容(每个淘宝宝贝约5-9张图,)3. 对这些图非常简单的P图,P一张图大概只需要10-20秒,4.把P好的5个淘宝宝贝 ,上架的我们的淘宝店铺里即可需要的联系我",2018-12-16,2018.12.21,任务编号：693433,100.0,"3天,30天,90天,30天,7天,30天,1000天,30天,30天,5天,26天,30天","null-null-null,江苏省-南京市-浦口区,山东省-德州市-市辖区,山东省-淄博市,河北省-邢台市,江苏省-无锡市,山东省-德州市-德城区,北京市-北京市-朝阳区,四川省-泸州市-江阳区,河北省-石家庄市-市辖区,广东省-东莞市-东莞市,天津市-市辖区",o5af02063871be,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,
