标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,任务类型
【营销解决方案】需要代写盈利方案或招商方案,https://task.epwk.com/1061913/,706人,1人,¥1300,圆满完成,o5cfc93b377104,有个线上项目，需要代写盈利方案或招商方案，有大概的方案，需要完善，具体细节详谈,2023-10-27,2023.12.07,任务编号：1061913,1300.0,5天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",营销解决方案
【小程序推广】小程序营销推广,https://task.epwk.com/1056583/,390人,1人,¥500,圆满完成,威友wOKw1,小程序营销推广，需点击量，具体以沟通的为准。,2023-09-06,2023.09.13,任务编号：1056583,500.0,2天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",小程序推广
【整合营销】求5G物联网线上游戏机行业研究报告一期（1）,https://task.epwk.com/1028190/,271人,1人,¥999,圆满完成,微服RrLaP,整理行业研究报告，包含以下内容：5G物联网线上游戏机行业(线下游戏厅机台线上游玩）现市场规模、市场概况、项目分析、未来前景分析等,2023-02-03,2023.02.22,任务编号：1028190,999.0,3天,北京市-北京市,北京德达互动,https://shop.epwk.com/78dlj2jq65lx/,北京德达互动,出售服务,https://shop.epwk.com/78dlj2jq65lx/chushou/,企业,五品,64分,,,北京德达互动,,【德达互动】VI品牌设计/LOGO设计/平面海报,"￥599
            /起",【德达互动】包装设计/工业设计/品牌视觉设计/平面海报,"￥899
            /起",【德达互动】网站开发/官网搭建/小程序搭建/微网站搭建,"￥1099
            /起",【德达互动】文案策划/公众号代运营/自媒体营销/商业计划书,"￥299
            /起",【德达互动】视频剪辑/短视频代运营/MG动画制作/宣传片剪辑,"￥599
            /起",【德达互动】视频拍摄/上门服务/微电影/广告视频/宣传片,"￥1099
            /起",【德达互动】整合营销/网络推广/新媒体代运营/市场调研,"￥1599
            /起",【德达互动】创意设计/海报设计/Vi设计/品牌视觉设计,"￥800
            /起",整合营销
【整合营销】求5G物联网线上游戏机行业研究报告一期（2）,https://task.epwk.com/1028191/,201人,1人,¥999,圆满完成,微服RrLaP,整理行业研究报告，包含以下内容：5G物联网线上游戏机行业(线下游戏厅机台线上游玩）现市场规模、市场概况、项目分析、未来前景分析等,2023-02-03,2023.02.22,任务编号：1028191,999.0,3天,北京市-北京市,北京德达互动,https://shop.epwk.com/78dlj2jq65lx/,北京德达互动,出售服务,https://shop.epwk.com/78dlj2jq65lx/chushou/,企业,五品,64分,,,北京德达互动,,【德达互动】VI品牌设计/LOGO设计/平面海报,"￥599
            /起",【德达互动】包装设计/工业设计/品牌视觉设计/平面海报,"￥899
            /起",【德达互动】网站开发/官网搭建/小程序搭建/微网站搭建,"￥1099
            /起",【德达互动】文案策划/公众号代运营/自媒体营销/商业计划书,"￥299
            /起",【德达互动】视频剪辑/短视频代运营/MG动画制作/宣传片剪辑,"￥599
            /起",【德达互动】视频拍摄/上门服务/微电影/广告视频/宣传片,"￥1099
            /起",【德达互动】整合营销/网络推广/新媒体代运营/市场调研,"￥1599
            /起",【德达互动】创意设计/海报设计/Vi设计/品牌视觉设计,"￥800
            /起",整合营销
【公众号推广】公众号推广,https://task.epwk.com/984225/,536人,1人,¥450,圆满完成,k3822****55,项目:公众号推广称呼:黄女士地区:广东省广州市需求:需要把已有的公众号推广出去，具体详谈，联系请告知是一品威客推荐的预算:联系报价,2022-02-28,2022.03.14,任务编号：984225,450.0,3天,四川省-成都市,腾际品牌管理,https://shop.epwk.com/3gd2mor7gner/,腾际品牌管理,出售服务,https://shop.epwk.com/3gd2mor7gner/chushou/,企业,四品,54分,,,腾际品牌管理,,百度百科搜狗互动企业品牌人物APP词条创建编辑,"￥100
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划,"￥100
            /起",商务商业计划书**策划书招商路演项目可行性研究报告**作,"￥100
            /起",招商策划商务合作拓展餐饮美容健身教育培训机构营销策略品牌,"￥100
            /起",代做可行性研究报告修改立项审批项目建议书资金申请可研报,"￥100
            /起",创业商业计划书**策划书招商项目路演可行性研究报告,"￥100
            /起",商业计划书招商计划书**路演创业可行性研究报告策划书,"￥100
            /起",企业画册logo标志设计产品册设计菜谱菜单广告封面画册设计,"￥100
            /起",公众号推广
【活动策划】企业文化方案首付款,https://task.epwk.com/960482/,2514人,1人,¥4000,圆满完成,vitorru,企业文化方案，按照沟通好设计,2021-10-14,2021.10.15,任务编号：960482,4000.0,1天,山东省-青岛市,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",活动策划
【口碑营销】原创女装店口碑营销,https://task.epwk.com/959666/,331人,3人,¥15000,圆满完成,k7477****5,淘宝店，主营原创轻职场女装，想在小红书、淘宝、短视频点赞之类的平台做些用户案例分享、以及带货直播，有相关经验的来,2021-09-20,2021.10.03,任务编号：959666,15000.0,"5天,8天,7天","辽宁省-沈阳市-市辖区,重庆市-沙坪坝区-市辖区,海南省-海口市-市辖区",k758959886,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】化妆品新品上市推广,https://task.epwk.com/959554/,342人,1人,¥20000,圆满完成,k2261****8,新品马上上市，想要针对女性用户常用平台做口碑营销，对外输出新品的卖点，吸引新老用户购买，有化妆品推广经验的联系,2021-09-18,2021.09.23,任务编号：959554,20000.0,4天,北京市-北京市-市辖区,k313280465,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】婚庆咨询公司做品牌口碑营销,https://task.epwk.com/959229/,284人,1人,¥10000,圆满完成,k7716****2,我们公司是做婚庆咨询的，想针对知乎，360，百度，小红书等平台做口碑营销,2021-09-16,2021.09.29,任务编号：959229,10000.0,7天,辽宁省-葫芦岛市-市辖区,k830492370,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
【口碑营销】美容院门店整合网络营销全案,https://task.epwk.com/959199/,629人,1人,¥30000,圆满完成,k8640****3,我们美容院全国连锁，需要针对各平台一份网络营销方案，需要做百度渠道推广，口碑全网传播，具体可联系细聊,2021-09-15,2021.09.27,任务编号：959199,30000.0,5天,广东省-广州市-市辖区,江湖墨年,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,口碑营销
