标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9
【商业空间】零工市场装修效果图制作,https://task.epwk.com/1110509/,284人,1人,¥600,圆满完成,商业空间,jz114****97,找人设计一个零工市场效果图。要求：零工服务场所面积原则上不小于100㎡，原则上采取所在市或者县（市、区）+具体 位置+零工市场（零工驿站、零工超市等）的命名模式。标识统一，应悬挂于零工市场入口显著位置。应设置综合服务区、岗位对接区、生活服务区。综合服务区应设置专门服务窗口，主要提供求职（用工）登记、技能培训、劳动维权、政策咨询服务。岗位对接区设置劳务交易洽谈和求职用工信息发布两个功能区域，用于供需双方开展外包对接；生活服务区主要针对供求双方提供休息、饮水取用等生活服务。应配备信息发布屏、众包展位终端、公告宣传栏等基本服务设施设备应配备写字桌台、休息座椅、空调通风、户外停车、手机充电等便民服务设施设备。应配备电脑、电话、打印机、复印机等必要办公设施设备。,2025-02-24,2025.03.15,任务编号：1110509,600.0,1天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【自建房】庭院设计,https://task.epwk.com/1099535/,342人,1人,¥800,圆满完成,自建房,jcdzzm,庭院墙景，鱼池，路径，灯光设计，面积约70平方米，设计部分为黄线区域，3D效果图，施工图，加微信给到参考效果,2024-12-14,2025.01.17,任务编号：1099535,600.0,3天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【商业空间】商业空间设计,https://task.epwk.com/1097663/,93人,1人,"¥1,800",圆满完成,商业空间,心静1211,商业空间设计，已谈好合作细节。,2024-11-26,2024.11.30,任务编号：1097663,1800.0,1天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【效果图设计】科技公司办公楼入口外立面设计,https://task.epwk.com/1096489/,227人,1人,¥800,圆满完成,效果图设计,威品ciPAt,科技公司办公楼入口外立面及标识设计要求:简洁、‌现代感、科技感。体现其行业特色和技术感，‌通过设计元素的创新，‌展现公司的科技实力和创新精神。标识设计可使用中英文双语。,2024-11-11,2024.11.27,任务编号：1096489,800.0,4天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【门头设计】网吧的门头设计确定合作者,https://task.epwk.com/1081268/,482人,1人,¥800,圆满完成,门头设计,k3882****95,称呼:谢女士地区:湖南益阳（服务商地域不限）需求:网吧的门头设计，第一次装修，具体详谈预算:报价联系备注 微信号是手机号,2024-05-24,2024.08.29,任务编号：1081268,800.0,7天,重庆市-市辖区,指上花开©品牌设计,https://shop.epwk.com/j7n3880995e1/,指上花开©品牌设计,出售服务,https://shop.epwk.com/j7n3880995e1/chushou/,个人,一品,80分,,,指上花开©品牌设计,,总监logo设计,"￥8000
            /件",【资深设计师】LOGO设计 3套方案 30天内修改满意为止,"￥5000
            /件",专业VI设计-因定制类商品无法完全规定价格！是方便拍的基数价格！具体找客服索取!,"￥1000
            /件",【总监设计师】包装设计 1套方案 30天内修改满意为止,"￥8000
            /件",原创海报设计,"￥1000
            /件",总监包装设计,"￥5000
            /件",【总监设计师】卡通设计 1套方案 30天内修改满意为止,"￥10000
            /件",卡通logo设计|企业卡通形象|企业|商业|零售满意为止,"￥8000
            /件",卡通三视图设计,"￥4000
            /件"
【施工图设计】家具效果图设计，剪辑成小视频,https://task.epwk.com/1081094/,180人,1人,¥480,圆满完成,施工图设计,五花马红木家具,红木家具的效果图AI生成，有参考的样板,2024-05-22,2024.05.31,任务编号：1081094,480.0,5天,河北省-石家庄市,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
【商业空间】家具效果图设计,https://task.epwk.com/1079940/,238人,1人,¥500,圆满完成,商业空间,五花马红木家具,家具的效果图设计，有样稿，做2个场景，每一个场景做一个效果图，共计20个，最后做成视频，总金额2000元,2024-05-12,2024.05.22,任务编号：1079940,500.0,7天,广东省-中山市-中山市,禾晟创意,https://shop.epwk.com/2j5xoj49x5xm/,禾晟创意,出售服务,https://shop.epwk.com/2j5xoj49x5xm/chushou/,企业,五品,69分,总 30 次中标，交易总金额,￥2.63万,禾晟创意,,品牌形象设计,"￥1000
            /套",包装设计/插画包装/礼盒包装,"￥1500
            /起",商业插画/书籍装帧/海报设计,"￥1000
            /套",电商装修/主图设计/详情页设计,"￥500
            /套",网页设计,价格面议,文案业务,价格面议,型录设计,价格面议,,,,
【效果图设计】餐饮店吧台操作效果图设计,https://task.epwk.com/1056834/,238人,1人,¥300,圆满完成,效果图设计,致利昂QEzSK,做个快餐店吧台效果图,2023-09-08,2023.10.07,任务编号：1056834,300.0,3天,山东省-淄博市,青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【办公空间】设计一面背景墙,https://task.epwk.com/1053443/,342人,1人,¥700,圆满完成,办公空间,o5f6f3790ca7ae,"请帮忙设计一面背景墙我们是一个工厂,工厂主要出口外贸这面墙是我们工厂进门的一个玄关我们想用来展示我们做过的客人的品牌logo,如果空间允许,我们也可以添加一些生产标准(比如说ISO9001)logo我希望是不规则,无顺序,无大小的铺放在墙面上,可以接受任何风格的设计,墙体有预埋电线图片是我预想的效果有兴趣请随时联系我进一步沟通图3和图4 是实际墙面的照片图5是尺寸",2023-08-12,2023.09.08,任务编号：1053443,700.0,7天,山东省-淄博市,青韵设计工作室,https://shop.epwk.com/0jnek9g2rnv3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
【商业空间】店面空间展示设计初稿小样,https://task.epwk.com/1050681/,120人,1人,"¥2,000",圆满完成,商业空间,吾艺方舟品牌设计,已谈好合作方,2023-07-24,2023.07.31,任务编号：1050681,2000.0,3天,河北省-石家庄市-长安区,艺弘设计,https://shop.epwk.com/j7n38j0oe5e1/,艺弘设计,出售服务,https://shop.epwk.com/j7n38j0oe5e1/chushou/,工作室,四品,55分,总 25 次中标，交易总金额,￥2.94万,艺弘设计,,医疗美容空间设计,"￥60
            /㎡",娱乐空间设计,"￥60
            /㎡",餐饮空间设计,"￥100
            /㎡",办公空间设计,"￥70
            /㎡",,,,,,,,,,
